Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AMP,2014-03,746.00M,33.38B,300.00M,2.05,2.01,2014-03,400.00M,9.246B,-86.00M,-86.00M,7.211B,8.866B,1.228B,650.00M,134.00M,3.003B,1.544B,8.344B,145.96B,3.00M,38.09B,1.528B,136.52B,50.26B,38.51B,1.544B,0,4.714B
AMP,2013-12,595.00M,33.36B,500.00M,1.49,1.46,2013-12,296.00M,8.856B,-94.00M,-94.00M,7.062B,8.456B,1.429B,479.00M,97.00M,2.953B,1.557B,8.192B,144.58B,3.00M,37.97B,1.929B,135.34B,49.49B,38.25B,1.557B,0,4.61B
AMP,2013-09,605.00M,33.55B,500.00M,1.9,1.86,2013-09,382.00M,8.499B,-76.00M,-76.00M,6.744B,8.189B,1.417B,602.00M,154.00M,2.821B,1.461B,8.325B,140.21B,3.00M,38.05B,1.917B,131.04B,48.52B,37.79B,1.461B,0,4.503B
AMP,2013-06,625.00M,33.40B,501.00M,1.57,1.54,2013-06,321.00M,8.469B,-68.00M,-68.00M,6.586B,7.649B,1.298B,402.00M,120.00M,2.757B,1.507B,8.34B,137.26B,3.00M,38.05B,1.799B,128.28B,48.57B,14.24B,1.507B,0,4.651B
AMP,2013-03,1.084B,34.09B,500.00M,1.61,1.58,2013-03,335.00M,8.219B,-74.00M,-74.00M,6.494B,7.537B,1.053B,487.00M,121.00M,2.699B,1.456B,8.96B,137.30B,3.00M,38.47B,1.553B,127.68B,48.55B,14.03B,1.456B,0,4.383B
AMP,2012-12,1.194B,34.42B,501.00M,1.85,1.81,2012-12,389.00M,8.285B,-77.00M,-77.00M,6.526B,7.384B,1.324B,418.00M,87.00M,2.684B,1.448B,9.092B,134.73B,3.00M,38.74B,1.825B,125.02B,49.03B,36.93B,1.448B,0,4.315B
AMP,2012-09,1.267B,3.932B,500.00M,0.8,0.79,2012-09,173.00M,3.293B,-79.00M,-79.00M,9.85B,7.634B,1.17B,199.00M,47.00M,2.479B,1.385B,9.157B,138.56B,3.00M,9.516B,1.67B,128.74B,51.69B,17.68B,1.385B,0,5.584B
AMP,2012-06,942.00M,3.272B,498.00M,1.01,0.99,2012-06,223.00M,3.301B,-82.00M,-82.00M,0,7.616B,1.002B,299.00M,128.00M,2.524B,1.426B,9.005B,135.27B,3.00M,8.809B,1.50B,125.66B,51.98B,17.70B,1.426B,0,5.537B
AMP,2012-03,851.00M,2.874B,504.00M,1.07,1.05,2012-03,244.00M,3.356B,-80.00M,-80.00M,0,2.381B,907.00M,322.00M,73.00M,2.572B,1.428B,9.115B,136.76B,3.00M,8.39B,1.411B,127.01B,51.44B,12.34B,1.428B,0,5.516B
AMP,2011-12,751.00M,37.76B,504.00M,1.03,1.01,2011-12,236.00M,8.773B,-107.00M,-107.00M,0,7.571B,1.065B,326.00M,58.00M,2.593B,1.347B,8.988B,132.31B,3.00M,42.20B,1.569B,122.61B,52.57B,17.42B,1.347B,0,4.44B
AMP,2011-09,636.00M,3.093B,504.00M,1.36,1.34,2011-09,324.00M,3.261B,-83.00M,-83.00M,0,7.933B,1.03B,326.00M,109.00M,2.467B,1.384B,10.27B,130.38B,3.00M,8.457B,1.534B,119.39B,46.91B,17.56B,1.384B,0,5.364B
AMP,2011-06,633.00M,3.007B,505.00M,1.28,1.25,2011-06,315.00M,3.26B,-86.00M,-86.00M,0,8.034B,1.072B,409.00M,118.00M,2.634B,1.433B,10.55B,135.14B,3.00M,8.342B,1.577B,123.91B,43.70B,17.46B,1.433B,0,5.335B
AMP,2011-03,542.00M,3.366B,497.00M,0.96,0.94,2011-03,241.00M,3.277B,-88.00M,-88.00M,0,8.01B,907.00M,386.00M,92.00M,2.545B,1.405B,10.55B,133.83B,3.00M,8.955B,1.404B,122.64B,42.57B,16.92B,1.405B,0,5.589B
