Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AJG,2015-09,-496.30M,369.70M,1.024B,267.60M,51.70M,0.76,0.75,5.321B,548.70M,431.00M,2015-09,133.30M,-25.60M,-25.60M,200.70M,0,2.125B,141.00M,2.707B,105.70M,-35.20M,1.455B,0,3.652B,10.51B,176.70M,4.020B,3.729B,6.802B,6.490B,3.073B,290.00M,2.707B,1.903B
AJG,2015-06,-338.70M,321.70M,921.90M,246.60M,63.80M,0.82,0.81,5.331B,445.80M,449.50M,2015-06,139.30M,-26.00M,-26.00M,198.20M,0,2.125B,160.10M,2.901B,128.50M,-19.10M,1.371B,0,3.638B,10.72B,174.50M,4.261B,3.905B,7.005B,6.455B,3.099B,289.40M,2.901B,2.089B
AJG,2015-03,-380.20M,276.80M,884.50M,210.80M,76.30M,0.13,0.13,5.142B,0,346.80M,2015-03,21.90M,-25.60M,-25.60M,190.60M,0,2.125B,67.10M,2.447B,30.90M,-1.50M,1.231B,0,3.145B,9.731B,166.70M,3.595B,3.439B,6.511B,6.136B,3.073B,279.70M,2.447B,1.766B
AJG,2014-12,-260.60M,314.40M,897.90M,267.90M,66.10M,0.31,0.31,5.226B,0,347.50M,2014-12,51.50M,-25.70M,-25.70M,195.40M,0,2.125B,56.10M,2.623B,29.50M,-25.20M,1.245B,0,3.229B,10.01B,164.60M,3.811B,3.643B,6.705B,6.199B,3.062B,291.40M,2.623B,1.722B
AJG,2014-09,-83.70M,290.50M,890.80M,296.20M,98.70M,0.58,0.58,5.067B,0,396.00M,2014-09,93.60M,-25.90M,-25.90M,196.60M,0,2.125B,125.80M,2.755B,95.40M,-5.90M,1.287B,0,3.256B,9.988B,161.40M,3.972B,3.770B,6.732B,6.016B,2.962B,270.20M,2.755B,1.669B
AJG,2014-06,54.20M,973.50M,800.50M,392.00M,94.30M,0.71,0.7,4.659B,0,378.80M,2014-06,109.00M,-21.20M,-21.20M,193.70M,0,2.125B,140.10M,2.819B,111.90M,-1.80M,1.179B,0,3.250B,10.02B,159.00M,4.440B,3.875B,6.770B,5.579B,2.895B,238.70M,2.819B,1.998B
AJG,2014-03,6.90M,739.20M,637.30M,467.40M,86.60M,0.37,0.36,3.236B,0,277.70M,2014-03,49.30M,-16.20M,-16.20M,165.90M,0,1.425B,76.00M,1.975B,54.70M,-3.10M,915.00M,0,2.144B,7.276B,135.10M,3.198B,3.034B,5.131B,4.078B,2.098B,201.70M,1.975B,1.253B
AJG,2013-12,-2.60M,298.10M,628.80M,630.50M,84.50M,0.4534,0.45,3.224B,0,261.40M,2013-12,60.00M,-13.90M,-13.90M,160.40M,0,825.00M,79.90M,2.155B,65.80M,-10.20M,890.20M,0,2.086B,6.860B,133.60M,2.876B,3.285B,4.775B,3.985B,1.490B,181.50M,2.155B,1.414B
AJG,2013-09,-41.80M,286.90M,559.40M,235.50M,69.70M,0.57,0.57,2.690B,0,276.40M,2013-09,74.60M,-13.10M,-13.10M,148.10M,0,825.00M,98.20M,1.876B,85.50M,10.90M,835.80M,0,1.932B,5.970B,131.50M,2.547B,2.578B,4.038B,3.424B,1.460B,178.20M,1.876B,1.075B
AJG,2013-06,-72.60M,240.00M,492.10M,50.00M,73.60M,0.73,0.73,2.291B,363.80M,287.40M,2013-06,93.50M,-11.90M,-11.90M,123.00M,0,925.00M,106.80M,1.948B,97.40M,3.90M,779.50M,110.50M,1.702B,5.562B,127.70M,2.603B,2.344B,3.860B,2.960B,1.516B,180.60M,1.948B,1.245B
AJG,2013-03,-55.00M,224.00M,442.00M,129.00M,66.40M,0.32,0.32,2.237B,336.50M,232.10M,2013-03,40.50M,-11.20M,-11.20M,108.50M,0,725.00M,57.90M,1.728B,42.30M,1.80M,674.10M,108.20M,1.665B,5.225B,126.80M,2.301B,2.215B,3.560B,2.924B,1.345B,174.20M,1.728B,1.051B
AJG,2012-12,-32.80M,302.10M,448.20M,48.00M,70.60M,0.2681,0.2681,2.282B,0,225.00M,2012-12,33.50M,-10.90M,-10.90M,105.40M,0,725.00M,58.70M,1.820B,45.40M,11.90M,673.20M,94.00M,1.659B,5.352B,125.60M,2.430B,2.363B,3.694B,2.923B,1.331B,166.30M,1.820B,1.096B
AJG,2012-09,-25.80M,305.20M,401.60M,92.00M,67.70M,0.5,0.5,3.214B,0,248.80M,2012-09,61.70M,-10.70M,-10.70M,101.00M,0,725.00M,90.70M,1.989B,76.30M,14.60M,650.40M,0,1.636B,5.009B,124.40M,2.325B,2.090B,3.373B,2.684B,1.283B,158.10M,1.704B,1.032B
AJG,2012-06,-48.10M,282.10M,393.10M,10.00M,74.00M,0.6,0.59,1.931B,0,256.80M,2012-06,71.70M,-10.80M,-10.80M,100.90M,0,675.00M,96.70M,2.282B,91.10M,19.40M,649.90M,0,1.473B,5.134B,121.00M,2.632B,2.442B,3.661B,2.502B,1.219B,160.10M,2.038B,1.368B
AJG,2012-03,-36.00M,301.80M,362.10M,35.00M,73.60M,0.24,0.24,1.794B,0,184.70M,2012-03,28.10M,-10.60M,-10.60M,95.70M,0,675.00M,45.60M,1.853B,32.50M,4.40M,546.80M,0,1.357B,4.603B,118.30M,2.225B,2.044B,3.246B,2.378B,1.202B,139.10M,1.638B,1.080B
AJG,2011-12,-47.20M,291.20M,380.60M,0,69.70M,0.36,0.35,1.717B,0,197.80M,2011-12,40.50M,-10.40M,-10.40M,91.30M,0,675.00M,57.60M,1.622B,47.40M,6.90M,578.40M,0,1.244B,4.484B,114.70M,2.199B,2.074B,3.240B,2.284B,1.166B,140.20M,1.622B,1.027B
AJG,2011-09,-12.10M,241.40M,345.90M,0,64.30M,0.41,0.41,1.649B,0,216.90M,2011-09,46.70M,-10.30M,-10.30M,90.50M,0,675.00M,77.00M,1.847B,71.00M,24.30M,562.80M,0,1.219B,4.247B,112.90M,2.089B,1.944B,3.028B,2.158B,1.084B,139.90M,1.600B,982.00M
AJG,2011-06,3.70M,263.20M,336.50M,0,64.50M,0.38,0.37,1.635B,0,209.60M,2011-06,41.70M,-10.60M,-10.60M,87.70M,0,675.00M,74.00M,2.144B,65.90M,24.20M,546.10M,0,1.203B,4.582B,112.20M,2.416B,2.287B,3.379B,2.166B,1.092B,135.60M,1.928B,1.293B
AJG,2011-03,6.50M,333.20M,295.10M,0,65.00M,0.14,0.14,1.415B,0,152.30M,2011-03,15.20M,-9.50M,-9.50M,79.40M,0,675.00M,33.80M,1.379B,23.50M,8.30M,447.40M,0,1.147B,3.691B,110.30M,1.750B,1.485B,2.544B,1.941B,1.059B,118.50M,1.213B,718.80M
