Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
O,2020-12,-54.63M,824.48M,27.14M,0,130.23M,0.33,0.33,1.725B,230.63M,390.94M,2020-12,117.93M,-77.75M,-77.75M,230.63M,8.938B,199.23M,253.67M,122.65M,4.50M,418.08M,16.67M,10.99B,20.74B,14.70B,1.296B,383.90M,9.723B,19.44B,9.339B,191.72M,122.36M,418.12M
O,2020-09,-52.45M,724.75M,25.41M,856.14M,112.00M,0.07,0.07,1.625B,230.03M,379.16M,2020-09,22.90M,-75.68M,-75.68M,230.03M,7.703B,193.56M,222.61M,27.74M,4.592M,404.57M,16.51M,10.47B,19.79B,14.05B,1.151B,1.191B,9.286B,18.63B,8.095B,185.60M,122.94M,361.11M
O,2020-06,-53.08M,335.34M,26.45M,628.55M,116.52M,0.31,0.31,1.523B,217.74M,388.18M,2020-06,107.82M,-76.54M,-76.54M,217.74M,7.372B,200.79M,208.58M,110.91M,2.838M,414.64M,19.06M,10.34B,19.10B,13.70B,808.15M,953.65M,8.729B,18.29B,7.775B,187.39M,112.75M,337.00M
O,2020-03,-42.57M,41.80M,25.61M,615.18M,117.29M,0.44,0.44,1.531B,208.45M,388.74M,2020-03,146.83M,-75.24M,-75.24M,208.45M,7.048B,203.19M,195.14M,149.91M,2.763M,414.34M,20.96M,10.39B,18.80B,13.60B,430.01M,927.61M,8.379B,18.37B,7.451B,185.55M,106.12M,267.07M
O,2019-12,-17.10M,54.01M,25.25M,704.34M,127.69M,0.39,0.39,1.508B,157.43M,372.28M,2019-12,129.30M,-74.38M,-74.38M,157.43M,7.325B,199.35M,227.41M,131.29M,1.736M,397.53M,16.33M,9.774B,18.55B,12.87B,455.50M,1.059B,8.751B,18.10B,7.691B,172.92M,113.24M,273.54M
O,2019-09,-13.60M,236.06M,20.35M,0,123.85M,0.32,0.32,1.328B,159.66M,353.89M,2019-09,101.05M,-72.72M,-72.72M,159.66M,7.168B,188.01M,220.22M,103.10M,1.822M,374.25M,16.46M,9.293B,17.18B,12.29B,512.38M,344.07M,7.862B,16.67B,7.518B,165.88M,112.24M,227.77M
O,2019-06,-14.60M,27.14M,21.34M,8.00M,112.30M,0.31,0.31,1.323B,162.25M,344.11M,2019-06,95.19M,-71.80M,-71.80M,162.25M,7.199B,175.10M,213.82M,96.58M,1.155M,365.45M,18.58M,8.838B,16.75B,11.72B,304.08M,334.12M,7.886B,16.44B,7.552B,169.01M,102.47M,236.05M
O,2019-03,-11.80M,2.997M,21.64M,838.00M,102.64M,0.37,0.37,1.220B,164.97M,332.73M,2019-03,110.94M,-69.34M,-69.34M,164.97M,6.312B,180.10M,183.48M,112.68M,1.445M,354.36M,15.11M,7.984B,15.76B,10.75B,224.98M,1.124B,7.754B,15.54B,6.630B,152.62M,84.39M,173.93M
O,2018-12,-8.098M,10.39M,17.73M,252.00M,115.38M,0.29,0.29,1.214B,0,324.84M,2018-12,85.07M,-70.30M,-70.30M,0,6.254B,152.96M,194.55M,86.91M,1.607M,342.58M,34.18M,8.089B,15.26B,10.75B,184.89M,561.93M,7.140B,15.08B,6.578B,171.89M,82.30M,144.99M
O,2018-09,0,6.666M,15.81M,774.00M,98.08M,0.34,0.34,1.228B,0,322.28M,2018-09,99.00M,-69.61M,-69.61M,0,6.011B,168.98M,184.89M,100.58M,1.302M,338.08M,16.33M,7.676B,15.10B,10.22B,228.97M,1.057B,7.384B,14.87B,6.327B,153.30M,89.38M,135.87M
