Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CME,2016-12,-14.10M,1.952B,129.10M,0,0,1.1,1.1,27.19B,1.022B,783.80M,2016-12,373.40M,-31.60M,-31.60M,425.20M,7.291B,2.231B,538.00M,26.20M,594.20M,220.80M,912.90M,52.60M,20.34B,69.37B,3.40M,40.03B,38.95B,49.03B,29.34B,10.08B,245.80M,26.20M,364.40M
CME,2016-09,22.90M,1.504B,137.50M,0,0,1.4,1.39,27.21B,1.004B,704.20M,2016-09,472.80M,-31.10M,-31.10M,426.70M,7.318B,2.231B,525.30M,34.50M,548.80M,76.00M,841.70M,101.90M,21.26B,63.25B,3.40M,33.78B,31.89B,41.99B,29.48B,10.10B,178.90M,34.50M,395.70M
CME,2016-06,113.30M,1.241B,138.00M,0,0,0.95,0.95,27.23B,1.093B,768.40M,2016-06,320.10M,-31.00M,-31.00M,437.90M,7.353B,2.230B,563.30M,35.60M,566.10M,246.00M,906.40M,113.90M,21.07B,67.63B,3.40M,38.03B,36.42B,46.55B,29.60B,10.13B,205.10M,35.60M,427.00M
CME,2016-03,28.10M,1.225B,138.60M,0,0,1.09,1.09,27.26B,1.130B,795.60M,2016-03,367.80M,-29.80M,-29.80M,449.80M,7.331B,2.230B,573.90M,32.20M,578.50M,210.70M,934.20M,109.40M,20.84B,68.77B,3.40M,39.25B,37.85B,47.93B,29.51B,10.08B,221.70M,32.20M,389.30M
CME,2015-12,-80.80M,1.765B,141.00M,0,0,0.87,0.86,27.28B,1.280B,672.80M,2015-12,291.70M,-28.90M,-28.90M,491.70M,7.358B,2.229B,469.90M,28.70M,468.50M,176.80M,813.80M,104.00M,20.55B,67.36B,3.40M,37.90B,36.82B,46.81B,29.45B,9.983B,202.90M,28.70M,357.80M
CME,2015-09,-94.60M,1.507B,143.50M,0,0,1.07,1.06,27.31B,1.273B,706.80M,2015-09,359.90M,-28.30M,-28.30M,496.10M,7.342B,2.241B,516.40M,38.10M,516.40M,156.50M,850.30M,105.40M,21.38B,80.95B,3.40M,51.46B,49.60B,59.57B,29.49B,9.974B,190.40M,38.10M,363.80M
CME,2015-06,5.10M,1.227B,148.10M,0,0,0.79,0.78,27.33B,1.281B,671.90M,2015-06,265.00M,-28.60M,-28.60M,499.20M,7.340B,2.241B,495.10M,22.10M,448.10M,183.10M,820.00M,96.10M,21.26B,73.66B,3.40M,44.06B,42.43B,52.40B,29.61B,9.972B,176.80M,22.10M,399.90M
CME,2015-03,-25.80M,1.774B,148.90M,749.90M,0,0.98,0.98,27.36B,1.268B,693.80M,2015-03,330.40M,-31.60M,-31.60M,503.30M,7.300B,2.852B,507.30M,34.00M,523.80M,193.40M,842.70M,98.10M,21.10B,77.13B,3.40M,47.49B,45.50B,56.03B,29.64B,10.54B,186.50M,34.00M,383.40M
CME,2014-12,6.20M,1.441B,152.50M,749.70M,0,0.91,0.91,27.38B,1.250B,688.60M,2014-12,306.50M,-28.70M,-28.70M,508.90M,7.303B,2.108B,471.50M,36.90M,473.80M,167.30M,841.10M,105.30M,20.92B,72.24B,3.40M,42.55B,41.53B,51.32B,29.70B,9.787B,217.10M,36.90M,341.20M
CME,2014-09,130.50M,1.161B,139.90M,0,0,0.87,0.86,27.41B,1.244B,622.50M,2014-09,290.00M,-28.70M,-28.70M,498.70M,7.308B,2.108B,430.40M,35.00M,429.10M,139.10M,762.40M,96.20M,21.54B,63.97B,3.30M,34.17B,32.63B,42.43B,29.80B,9.805B,192.10M,35.00M,344.80M
CME,2014-06,206.70M,1.110B,148.00M,0,0,0.79,0.79,27.44B,1.226B,583.60M,2014-06,263.80M,-28.30M,-28.30M,503.40M,7.272B,2.108B,412.00M,32.10M,422.10M,158.30M,731.60M,101.00M,21.47B,51.61B,3.30M,21.73B,20.38B,30.15B,29.88B,9.769B,171.60M,32.10M,334.90M
CME,2014-03,176.30M,1.126B,143.70M,0,0,0.8,0.79,27.46B,1.203B,633.70M,2014-03,266.80M,-33.70M,-33.70M,508.40M,7.276B,2.107B,454.50M,43.10M,446.40M,179.80M,777.40M,95.70M,21.30B,53.17B,3.30M,23.31B,22.03B,31.86B,29.86B,9.827B,179.20M,43.10M,344.60M
CME,2013-12,152.00M,2.538B,135.20M,0,0,0.58,0.58,27.49B,1.192B,551.80M,2013-12,193.10M,-38.60M,-38.60M,513.40M,7.250B,2.107B,323.20M,36.20M,307.00M,113.90M,687.00M,104.60M,21.15B,54.28B,3.30M,24.41B,23.31B,33.12B,29.87B,9.806B,228.60M,36.20M,302.70M
CME,2013-09,177.20M,2.13B,143.20M,0,0,0.71,0.71,27.52B,1.403B,571.40M,2013-09,236.70M,-34.60M,-34.60M,714.20M,7.306B,2.107B,400.50M,41.00M,398.90M,162.60M,714.60M,93.90M,21.97B,48.98B,3.30M,19.05B,17.21B,27.00B,29.93B,9.789B,170.90M,41.00M,311.90M
CME,2013-06,153.20M,2.029B,137.50M,1.499B,0,0.94,0.93,27.55B,1.374B,678.60M,2013-06,311.20M,-39.20M,-39.20M,713.20M,7.248B,1.358B,507.80M,37.00M,507.50M,196.20M,816.10M,87.60M,21.85B,46.88B,3.30M,16.92B,16.19B,25.03B,29.96B,8.835B,170.80M,37.00M,359.10M
CME,2013-03,230.00M,1.904B,138.30M,1.499B,0,0.71,0.71,27.57B,1.361B,580.30M,2013-03,235.80M,-39.00M,-39.00M,709.90M,7.412B,1.358B,405.50M,31.30M,387.60M,150.20M,718.60M,74.00M,21.55B,42.42B,3.30M,12.30B,11.79B,20.87B,30.12B,9.079B,174.80M,31.30M,309.20M
CME,2012-12,209.30M,1.661B,122.30M,749.70M,0,0.5,0.5,27.60B,1.364B,538.60M,2012-12,166.80M,-44.00M,-44.00M,724.00M,7.413B,2.107B,375.60M,41.70M,353.50M,185.40M,660.90M,80.20M,21.42B,38.86B,3.30M,8.718B,7.617B,17.44B,30.15B,9.821B,163.00M,41.70M,267.50M
CME,2012-09,119.70M,2.079B,127.30M,749.60M,0,0.66,0.66,27.46B,1.317B,555.90M,2012-09,218.00M,-30.20M,-30.20M,705.40M,7.320B,2.106B,396.00M,44.50M,395.80M,176.90M,683.20M,76.50M,21.71B,39.86B,3.30M,10.02B,8.390B,18.07B,29.84B,9.680B,159.90M,44.50M,296.90M
CME,2012-06,114.30M,1.336B,141.80M,0,0,0.74,0.74,27.45B,1.285B,654.10M,2012-06,244.90M,-28.90M,-28.90M,703.70M,7.262B,2.108B,469.20M,38.70M,510.70M,257.30M,795.90M,94.40M,21.62B,37.95B,3.30M,8.241B,6.660B,16.25B,29.70B,9.588B,184.90M,38.70M,336.90M
CME,2012-03,164.80M,8.845B,145.40M,0,0,0.81,0.8,28.31B,1.415B,629.20M,2012-03,266.60M,-29.10M,-29.10M,816.50M,7.256B,2.107B,451.20M,29.00M,433.40M,167.10M,774.60M,86.00M,21.55B,39.29B,0.70M,9.355B,8.110B,17.67B,29.93B,9.560B,178.00M,29.00M,360.00M
CME,2011-12,111.60M,1.090B,-2.50M,0,0,2.25,2.24,28.34B,1.398B,739.00M,2011-12,745.90M,-29.10M,-29.10M,821.90M,7.227B,2.107B,390.40M,31.10M,369.70M,-377.00M,736.50M,219.00M,21.55B,40.76B,3.30M,10.95B,9.615B,19.21B,29.81B,9.592B,348.60M,31.10M,289.40M
CME,2011-09,91.90M,8.553B,173.20M,0,0,0.95,0.95,28.37B,1.379B,701.00M,2011-09,316.10M,-29.00M,-29.00M,813.80M,7.735B,2.106B,572.10M,40.70M,545.90M,230.90M,874.20M,41.10M,20.86B,38.89B,0.70M,9.091B,7.922B,17.95B,29.80B,10.03B,128.90M,40.70M,369.50M
CME,2011-06,208.30M,4.990B,172.40M,0,0,0.88,0.88,28.40B,1.369B,665.90M,2011-06,293.70M,-28.70M,-28.70M,812.80M,7.786B,2.106B,534.50M,39.70M,509.30M,213.70M,838.30M,37.60M,20.90B,35.59B,0.70M,5.555B,4.523B,14.62B,30.03B,10.09B,131.40M,39.70M,385.80M
CME,2011-03,244.90M,4.043B,174.90M,0,0,1.366,1.362,28.45B,1.332B,656.70M,2011-03,456.60M,-30.10M,-30.10M,797.00M,7.811B,2.105B,524.10M,58.40M,511.60M,54.50M,831.60M,42.90M,20.79B,34.71B,0.70M,4.588B,3.744B,13.85B,30.12B,10.11B,132.60M,58.40M,394.00M
