Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
KEY,2021-03,103.00M,50.24B,759.00M,0.62,0.61,2.846B,2.394B,2021-03,622.00M,97.68B,737.00M,13.24B,2.862B,765.00M,147.00M,1.692B,806.00M,17.63B,176.20B,3.157B,61.69B,3.143B,158.57B,158.85B,155.43B,820.00M,0,11.45B
KEY,2020-12,738.00M,44.84B,818.00M,0.57,0.57,2.852B,2.425B,2020-12,582.00M,96.74B,753.00M,13.69B,2.385B,689.00M,114.00M,1.81B,851.00M,17.98B,170.34B,3.157B,56.05B,3.364B,152.36B,153.05B,148.97B,866.00M,0,11.21B
KEY,2020-09,867.00M,20.34B,1.716B,0.41,0.41,2.867B,2.478B,2020-09,428.00M,98.70B,765.00M,12.68B,2.356B,484.00M,60.00M,1.681B,757.00M,17.72B,170.54B,3.157B,31.82B,3.387B,152.82B,153.10B,149.43B,772.00M,0,11.48B
KEY,2020-06,936.00M,19.15B,4.606B,0.17,0.17,2.882B,0,2020-06,187.00M,102.00B,776.00M,13.73B,2.42B,215.00M,30.00M,1.71B,743.00M,17.54B,171.19B,3.157B,30.59B,4.403B,153.65B,153.66B,149.25B,761.00M,0,11.44B
KEY,2020-03,814.00M,5.575B,705.00M,0.12,0.12,2.90B,0,2020-03,146.00M,99.36B,791.00M,13.73B,2.70B,168.00M,23.00M,1.546B,680.00M,17.41B,156.20B,3.157B,16.81B,9.75B,138.79B,139.03B,129.04B,697.00M,0,11.24B
KEY,2019-12,26.00M,23.85B,700.00M,0.45,0.45,2.917B,0,2019-12,469.00M,90.39B,814.00M,12.42B,2.54B,541.00M,75.00M,1.63B,723.00M,17.04B,144.99B,3.157B,34.03B,3.632B,127.95B,128.95B,124.29B,742.00M,0,10.18B
KEY,2019-09,159.00M,4.357B,720.00M,0.39,0.39,2.936B,0,2019-09,416.00M,89.06B,815.00M,14.47B,2.574B,483.00M,70.00M,1.622B,709.00M,17.12B,146.69B,3.157B,14.67B,3.456B,129.58B,130.58B,126.12B,735.00M,0,10.32B
KEY,2019-06,-2.00M,3.469B,679.00M,0.4,0.4,2.962B,0,2019-06,425.00M,88.32B,829.00M,14.31B,2.435B,510.00M,87.00M,1.603B,755.00M,16.97B,144.54B,3.157B,13.64B,3.316B,127.57B,128.57B,124.26B,777.00M,0,10.18B
KEY,2019-03,-530.00M,3.45B,544.00M,0.38,0.38,2.816B,0,2019-03,407.00M,85.75B,849.00M,14.17B,2.301B,488.00M,82.00M,1.513B,713.00M,15.92B,141.52B,2.707B,13.52B,3.246B,125.59B,125.61B,122.34B,735.00M,0,10.07B
KEY,2018-12,-818.00M,22.67B,0,0.45,0.45,2.832B,0,2018-12,484.00M,85.35B,882.00M,13.65B,2.113B,574.00M,92.00M,1.645B,746.00M,15.60B,139.61B,2.707B,32.27B,2.976B,124.02B,124.06B,120.96B,768.00M,0,9.60B
KEY,2018-09,-1.166B,2.715B,637.00M,0.45,0.45,2.854B,2.508B,2018-09,482.00M,85.58B,891.00M,13.85B,2.044B,569.00M,87.00M,1.595B,726.00M,15.21B,138.80B,2.707B,11.53B,3.966B,123.60B,124.36B,119.63B,749.00M,0,8.811B
KEY,2018-06,-1.085B,3.586B,639.00M,0.44,0.44,2.877B,2.541B,2018-06,482.00M,84.30B,892.00M,13.85B,1.983B,582.00M,103.00M,1.639B,765.00M,15.10B,137.79B,2.282B,12.44B,4.289B,122.69B,122.79B,118.40B,790.00M,0,8.851B
KEY,2018-03,-991.00M,2.466B,1.133B,0.38,0.38,2.925B,0,2018-03,418.00M,84.33B,916.00M,13.75B,1.854B,478.00M,62.00M,1.545B,760.00M,14.94B,137.05B,2.282B,11.24B,3.603B,122.10B,122.20B,118.50B,789.00M,0,8.774B
KEY,2017-12,-779.00M,23.26B,634.00M,0.17,0.17,2.954B,0,2017-12,196.00M,81.87B,930.00M,14.24B,2.094B,447.00M,251.00M,1.594B,798.00M,15.02B,137.70B,2.282B,32.28B,3.105B,122.67B,122.54B,119.48B,824.00M,0,9.02B
KEY,2017-09,-506.00M,4.823B,616.00M,0.32,0.32,2.899B,0,2017-09,364.00M,82.29B,916.00M,15.10B,1.717B,497.00M,134.00M,1.54B,743.00M,15.25B,136.73B,2.282B,13.86B,2.705B,121.48B,121.62B,118.78B,768.00M,0,8.417B
KEY,2017-06,-506.00M,3.346B,924.00M,0.37,0.36,2.899B,0,2017-06,412.00M,82.69B,919.00M,13.26B,1.475B,565.00M,158.00M,1.626B,725.00M,15.25B,135.82B,2.282B,12.83B,4.179B,120.57B,120.18B,116.39B,747.00M,0,8.844B
KEY,2017-03,-554.00M,3.308B,943.00M,0.28,0.27,2.789B,0,2017-03,324.00M,82.02B,935.00M,12.32B,1.552B,419.00M,94.00M,1.495B,722.00M,14.98B,134.48B,2.282B,12.58B,2.937B,119.50B,119.05B,116.56B,744.00M,0,8.689B
KEY,2016-12,-541.00M,23.66B,808.00M,0.2,0.19,2.83B,0,2016-12,229.00M,81.66B,978.00M,12.28B,1.796B,270.00M,38.00M,1.556B,873.00M,15.24B,136.45B,2.922B,32.97B,4.106B,121.21B,120.81B,117.01B,900.00M,0,8.507B
KEY,2016-09,-182.00M,4.292B,809.00M,0.17,0.17,2.906B,0,2016-09,172.00M,81.07B,1.023B,12.62B,1.739B,188.00M,16.00M,1.329B,808.00M,15.00B,135.80B,2.422B,13.81B,3.15B,120.81B,119.84B,117.66B,821.00M,0,8.218B
KEY,2016-06,-114.00M,7.433B,687.00M,0.23,0.23,1.11B,0,2016-06,202.00M,57.75B,742.00M,11.39B,1.326B,267.00M,69.00M,1.07B,556.00M,11.31B,101.15B,1.307B,15.28B,2.373B,89.83B,87.52B,87.46B,563.00M,0,6.616B
KEY,2016-03,-213.00M,6.233B,615.00M,0.22,0.22,1.117B,0,2016-03,188.00M,56.41B,750.00M,10.76B,1.41B,243.00M,56.00M,1.035B,522.00M,11.07B,98.40B,1.307B,14.04B,2.399B,87.33B,84.78B,84.93B,530.00M,0,6.74B
KEY,2015-12,-405.00M,17.53B,533.00M,0.27,0.26,1.125B,0,2015-12,226.00M,55.75B,779.00M,10.08B,1.605B,306.00M,73.00M,1.087B,554.00M,10.75B,95.13B,1.307B,25.41B,2.51B,84.37B,81.26B,81.76B,563.00M,0,7.263B
KEY,2015-09,-272.00M,2.745B,677.00M,0.26,0.25,1.134B,0,2015-09,219.00M,56.34B,771.00M,10.31B,1.562B,292.00M,72.00M,1.061B,543.00M,10.70B,95.42B,1.307B,10.77B,2.646B,84.70B,81.32B,82.06B,552.00M,0,7.232B
KEY,2015-06,-345.00M,4.182B,528.00M,0.28,0.27,1.14B,0,2015-06,238.00M,54.35B,788.00M,10.27B,1.537B,320.00M,84.00M,1.072B,527.00M,10.59B,94.61B,1.307B,11.99B,2.509B,84.00B,80.44B,81.50B,536.00M,0,7.271B
KEY,2015-03,-279.00M,4.185B,608.00M,0.27,0.26,1.149B,0,2015-03,233.00M,54.80B,806.00M,8.713B,1.308B,304.00M,74.00M,1.008B,487.00M,10.60B,94.21B,1.307B,12.07B,2.433B,83.59B,80.08B,81.16B,496.00M,0,7.153B
KEY,2014-12,-356.00M,18.28B,423.00M,0.29,0.28,1.158B,0,2014-12,253.00M,53.13B,841.00M,7.78B,1.621B,346.00M,94.00M,1.072B,523.00M,10.53B,93.82B,1.308B,26.04B,2.619B,83.28B,79.61B,80.56B,533.00M,0,7.148B
KEY,2014-09,-325.00M,15.24B,996.00M,0.21,0.21,1.177B,0,2014-09,186.00M,52.00B,832.00M,7.172B,1.613B,267.00M,64.00M,992.00M,515.00M,10.49B,89.78B,1.308B,22.81B,3.266B,79.28B,75.68B,76.01B,525.00M,0,7.159B
KEY,2014-06,-289.00M,16.00B,521.00M,0.24,0.24,1.087B,0,2014-06,219.00M,50.98B,844.00M,8.213B,1.40B,329.00M,76.00M,1.028B,500.00M,10.50B,91.80B,1.308B,23.88B,3.134B,81.28B,75.64B,76.46B,509.00M,0,7.331B
KEY,2014-03,-324.00M,15.69B,464.00M,0.27,0.26,1.096B,0,2014-03,242.00M,50.62B,862.00M,7.712B,1.297B,330.00M,92.00M,998.00M,488.00M,10.40B,90.80B,1.308B,23.52B,3.178B,80.38B,74.71B,75.39B,498.00M,0,7.40B
KEY,2013-12,-352.00M,18.55B,343.00M,0.25,0.25,1.106B,0,2013-12,230.00M,49.73B,885.00M,7.56B,1.557B,305.00M,70.00M,1.036B,515.00M,10.30B,92.93B,1.308B,26.46B,3.434B,82.61B,76.43B,77.24B,525.00M,0,7.504B
KEY,2013-09,-369.00M,16.89B,466.00M,0.29,0.29,1.116B,1.232B,2013-09,272.00M,48.88B,890.00M,6.154B,1.375B,293.00M,59.00M,1.037B,526.00M,10.21B,90.71B,1.308B,24.66B,3.296B,80.47B,73.97B,75.14B,538.00M,0,7.297B
KEY,2013-06,-318.00M,17.53B,298.00M,0.22,0.22,1.128B,1.272B,2013-06,204.00M,47.85B,900.00M,6.666B,1.421B,271.00M,72.00M,1.01B,512.00M,10.23B,90.64B,1.308B,25.63B,3.366B,80.38B,73.40B,74.84B,522.00M,0,7.638B
KEY,2013-03,-162.00M,17.20B,378.00M,0.22,0.21,1.138B,1.317B,2013-03,204.00M,47.32B,930.00M,7.785B,1.352B,272.00M,70.00M,1.008B,491.00M,10.34B,89.20B,1.308B,25.49B,3.68B,78.82B,71.75B,72.96B,503.00M,0,7.68B
KEY,2012-12,-124.00M,16.62B,313.00M,0.21,0.21,1.15B,0,2012-12,203.00M,47.68B,965.00M,6.731B,1.387B,249.00M,53.00M,1.04B,554.00M,10.27B,89.24B,1.308B,24.94B,3.309B,78.93B,71.71B,73.31B,566.00M,0,7.634B
KEY,2012-09,-69.00M,3.182B,388.00M,0.23,0.23,1.161B,0,2012-09,219.00M,51.16B,1.232B,6.119B,1.238B,269.00M,51.00M,1.09B,527.00M,10.25B,86.95B,1.308B,3.953B,3.372B,76.67B,75.41B,70.96B,536.00M,0,2.978B
KEY,2012-06,-72.00M,2.933B,362.00M,0.24,0.24,932.00M,0,2012-06,236.00M,49.37B,931.00M,7.521B,1.417B,281.00M,54.00M,995.00M,511.00M,10.16B,86.52B,1.308B,6.729B,3.495B,76.35B,72.01B,70.45B,512.00M,0,8.673B
KEY,2012-03,-19.00M,4.021B,324.00M,0.2,0.2,932.00M,0,2012-03,200.00M,48.79B,1.272B,8.898B,1.45B,274.00M,73.00M,995.00M,488.00M,10.10B,87.43B,1.308B,4.851B,3.62B,77.32B,75.96B,71.15B,489.00M,0,2.968B
KEY,2011-12,-28.00M,20.22B,916.00M,0.2,0.2,934.00M,0,2011-12,200.00M,43.70B,944.00M,8.913B,1.763B,262.00M,64.00M,851.00M,601.00M,9.905B,88.78B,1.308B,29.84B,4.39B,78.86B,69.36B,71.90B,602.00M,0,0
KEY,2011-09,143.00M,5.594B,519.00M,0.22,0.22,935.00M,0,2011-09,217.00M,47.54B,1.317B,10.72B,1.556B,330.00M,95.00M,1.032B,468.00M,9.901B,89.26B,1.308B,6.534B,3.803B,79.34B,77.02B,72.89B,469.00M,0,0
