Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TFC,2015-12,-1.028B,28.86B,2.581B,0.64,0.64,10.11B,3.728B,2015-12,539.00M,135.53B,2.007B,23.77B,6.121B,793.00M,251.00M,2.571B,945.00M,27.31B,209.95B,6.505B,29.01B,9.714B,182.61B,205.78B,172.89B,927.00M,6.121B,0
TFC,2015-09,-796.00M,26.90B,3.883B,0.64,0.64,10.05B,3.646B,2015-09,529.00M,135.51B,2.038B,24.88B,6.254B,755.00M,222.00M,2.51B,940.00M,27.22B,208.81B,6.504B,27.03B,8.835B,181.54B,205.45B,172.71B,892.00M,6.254B,0
TFC,2015-06,-748.00M,23.61B,3.13B,0.63,0.62,8.567B,0,2015-06,491.00M,123.31B,1.90B,23.27B,5.948B,581.00M,80.00M,2.395B,928.00M,25.08B,191.02B,6.27B,23.80B,9.831B,165.88B,188.02B,156.05B,754.00M,5.948B,0
TFC,2015-03,-733.00M,23.45B,3.717B,0.68,0.67,8.244B,0,2015-03,525.00M,120.56B,1.879B,23.44B,6.694B,788.00M,241.00M,2.388B,909.00M,24.64B,189.23B,6.219B,23.67B,9.824B,164.49B,186.72B,154.67B,917.00M,6.694B,0
TFC,2014-12,-751.00M,23.08B,3.385B,0.77,0.76,8.218B,0,2014-12,588.00M,119.83B,1.827B,23.31B,6.388B,880.00M,277.00M,2.441B,878.00M,24.29B,186.83B,6.206B,23.23B,10.10B,162.46B,184.14B,152.35B,882.00M,6.388B,0
TFC,2014-09,-442.00M,23.05B,3.979B,0.71,0.7,8.339B,0,2014-09,549.00M,119.19B,1.842B,22.36B,6.073B,725.00M,172.00M,2.385B,882.00M,24.24B,187.02B,6.204B,23.19B,9.458B,162.71B,184.71B,153.25B,776.00M,6.073B,0
TFC,2014-06,-406.00M,23.24B,3.285B,0.59,0.58,8.374B,0,2014-06,461.00M,119.62B,1.857B,21.93B,6.555B,693.00M,216.00M,2.389B,897.00M,23.88B,188.01B,6.201B,23.38B,10.53B,164.05B,185.27B,153.51B,907.00M,6.555B,0
TFC,2014-03,-500.00M,22.57B,2.232B,0.7,0.68,8.378B,0,2014-03,533.00M,115.99B,1.854B,23.38B,6.95B,829.00M,256.00M,2.358B,866.00M,23.46B,184.65B,6.195B,22.72B,10.24B,161.10B,182.07B,150.86B,881.00M,6.95B,0
TFC,2013-12,-593.00M,24.12B,0,0.76,0.75,8.43B,0,2013-12,575.00M,115.41B,1.869B,21.49B,7.095B,990.00M,401.00M,2.521B,902.00M,22.76B,183.01B,6.136B,24.27B,11.23B,160.20B,180.42B,148.97B,918.00M,7.095B,0
TFC,2013-09,-860.00M,25.17B,4.813B,0.38,0.37,8.374B,3.574B,2013-09,305.00M,116.74B,1.876B,20.40B,6.257B,759.00M,450.00M,2.396B,879.00M,22.05B,181.05B,6.128B,25.58B,11.07B,158.96B,177.82B,147.89B,901.00M,6.257B,245.00M
TFC,2013-06,-784.00M,26.66B,3.192B,0.78,0.77,8.336B,3.47B,2013-06,560.00M,116.38B,1.893B,19.36B,7.106B,797.00M,221.00M,2.546B,929.00M,21.94B,182.74B,6.118B,27.16B,10.30B,160.74B,179.47B,150.44B,929.00M,7.106B,299.00M
TFC,2013-03,-612.00M,27.08B,3.239B,0.3,0.29,8.205B,0,2013-03,240.00M,115.65B,1.88B,18.32B,6.701B,737.00M,481.00M,2.482B,876.00M,21.16B,180.84B,5.623B,27.75B,9.94B,159.61B,177.26B,149.67B,898.00M,6.701B,368.00M
TFC,2012-12,-559.00M,28.05B,2.346B,0.72,0.71,8.104B,0,2012-12,536.00M,116.35B,1.888B,19.11B,8.223B,756.00M,207.00M,2.593B,920.00M,21.16B,184.50B,5.615B,28.18B,11.09B,163.28B,180.71B,152.19B,935.00M,8.223B,656.00M
TFC,2012-09,-409.00M,3.341B,0,0.67,0.66,7.436B,0,2012-09,494.00M,115.56B,1.94B,19.22B,9.157B,673.00M,177.00M,2.536B,887.00M,20.48B,182.02B,5.177B,4.159B,12.25B,161.49B,177.86B,149.24B,875.00M,9.157B,831.00M
TFC,2012-06,-541.00M,3.655B,0,0.73,0.72,7.689B,0,2012-06,518.00M,111.68B,1.816B,22.56B,7.787B,729.00M,191.00M,2.502B,849.00M,18.86B,178.53B,4.053B,4.698B,10.98B,159.60B,173.83B,148.62B,876.00M,7.787B,949.00M
TFC,2012-03,-616.00M,3.80B,0,0.62,0.61,7.195B,0,2012-03,431.00M,108.50B,1.822B,22.77B,6.509B,634.00M,189.00M,2.364B,787.00M,17.82B,174.75B,3.492B,5.001B,9.945B,156.87B,169.33B,146.92B,797.00M,6.509B,1.10B
TFC,2011-12,-713.00M,26.54B,0,0.56,0.55,7.084B,0,2011-12,391.00M,108.95B,1.855B,21.80B,6.791B,484.00M,84.00M,2.663B,717.00M,17.42B,174.58B,3.486B,27.78B,10.36B,157.10B,169.12B,146.74B,893.00M,6.791B,1.221B
TFC,2011-09,-356.00M,4.219B,0,0.52,0.52,7.022B,0,2011-09,366.00M,105.09B,1.864B,22.15B,6.463B,439.00M,68.00M,2.106B,747.00M,17.48B,167.68B,3.486B,5.625B,10.42B,150.14B,162.03B,139.72B,716.00M,6.463B,1.446B
TFC,2011-06,-574.00M,2.536B,0,0.44,0.44,7.352B,0,2011-06,307.00M,102.83B,1.846B,23.38B,5.975B,418.00M,91.00M,2.151B,828.00M,16.98B,159.31B,3.484B,4.232B,10.82B,142.26B,155.06B,131.44B,841.00M,5.975B,0
