Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,2011-12,2011-09
NWS,2016-03,-845.00M,1.972B,0,0,378.00M,-0.26,-0.26,5.91B,0,0,2016-03,367.00M,-149.00M,11.00M,11.00M,2.499B,200.00M,369.00M,32.00M,1.904B,-226.00M,-98.00M,1.891B,649.00M,11.67B,15.72B,26.00M,3.905B,2.648B,3.851B,11.81B,1.203B,1.859B,465.00M,1.313B,,
NWS,2015-12,-923.00M,1.883B,0,0,337.00M,0.11,0.11,5.254B,5.183B,0,2015-12,254.00M,63.00M,11.00M,11.00M,2.554B,145.00M,0,157.00M,1.585B,155.00M,49.00M,2.161B,688.00M,11.81B,14.88B,26.00M,3.795B,2.096B,2.876B,11.08B,780.00M,2.004B,477.00M,1.409B,124.00M,66.00M
NWS,2015-09,-1.025B,1.898B,0,0,354.00M,0.3,0.3,5.155B,5.632B,0,2015-09,293.00M,175.00M,12.00M,12.00M,2.553B,171.00M,0,44.00M,1.636B,52.00M,-91.00M,2.014B,650.00M,11.64B,14.76B,26.00M,3.889B,2.166B,2.955B,10.87B,789.00M,1.97B,503.00M,1.361B,41.00M,21.00M
NWS,2015-06,-582.00M,1.951B,0,0,346.00M,-0.65,-0.65,5.266B,0,0,2015-06,299.00M,-378.00M,14.00M,14.00M,2.69B,166.00M,0,92.00M,1.553B,68.00M,48.00M,2.117B,687.00M,11.96B,15.04B,26.00M,4.014B,2.11B,2.899B,11.02B,789.00M,2.025B,428.00M,1.346B,2.225B,2.165B
NWS,2015-03,-554.00M,2.027B,0,0,438.00M,0.04,0.04,5.823B,0,0,2015-03,370.00M,23.00M,12.00M,12.00M,2.699B,295.00M,0,60.00M,1.59B,81.00M,25.00M,2.041B,653.00M,12.39B,15.69B,26.00M,4.088B,2.273B,3.14B,11.60B,867.00M,1.981B,469.00M,1.36B,703.00M,663.00M
NWS,2014-12,-261.00M,1.918B,0,0,457.00M,0.24,0.24,5.926B,0,0,2014-12,274.00M,143.00M,13.00M,13.00M,2.809B,274.00M,0,225.00M,1.734B,247.00M,65.00M,2.258B,655.00M,12.63B,15.97B,26.00M,4.052B,2.329B,3.183B,11.92B,854.00M,2.033B,598.00M,1.505B,,
NWS,2014-09,152.00M,2.735B,0,0,442.00M,0.11,0.11,5.155B,0,0,2014-09,293.00M,65.00M,17.00M,17.00M,2.91B,245.00M,0,70.00M,1.655B,156.00M,47.00M,2.108B,632.00M,12.86B,16.12B,26.00M,4.865B,2.293B,3.121B,11.26B,828.00M,2.038B,523.00M,1.471B,,
NWS,2014-06,610.00M,3.145B,0,0,405.00M,0.02,0.02,4.919B,0,0,2014-06,310.00M,13.00M,18.00M,18.00M,3.009B,224.00M,0,189.00M,1.657B,243.00M,72.00M,2.098B,532.00M,13.26B,16.49B,26.00M,5.27B,2.264B,3.07B,11.22B,806.00M,1.909B,469.00M,1.454B,,
NWS,2014-03,482.00M,3.207B,0,0,468.00M,0.08,0.08,4.879B,0,0,2014-03,364.00M,48.00M,17.00M,17.00M,2.959B,295.00M,0,33.00M,1.758B,62.00M,1.00M,2.078B,644.00M,13.05B,16.54B,26.00M,5.37B,2.498B,3.355B,11.17B,857.00M,2.045B,558.00M,1.485B,,
NWS,2013-12,257.00M,2.908B,0,0,441.00M,0.26,0.26,4.848B,0,0,2013-12,277.00M,151.00M,16.00M,16.00M,2.927B,239.00M,0,-49.00M,1.656B,-45.00M,-211.00M,2.238B,637.00M,12.77B,15.98B,26.00M,5.112B,2.292B,3.092B,10.87B,800.00M,2.287B,541.00M,1.628B,,
NWS,2013-09,489.00M,2.688B,0,0,475.00M,0.05,0.05,4.913B,0,0,2013-09,275.00M,27.00M,17.00M,17.00M,3.012B,185.00M,0,-483.00M,2.007B,-438.00M,-476.00M,2.072B,636.00M,12.84B,16.34B,26.00M,5.23B,2.645B,3.384B,11.11B,739.00M,2.555B,900.00M,2.01B,,
NWS,2013-06,271.00M,2.381B,1.299B,0,450.00M,-1.942,-1.942,4.911B,5.276B,866.00M,2013-06,301.00M,-1.124B,23.00M,23.00M,2.992B,152.00M,0,-20.00M,1.532B,-1.46B,-347.00M,2.257B,747.00M,12.58B,15.64B,26.00M,4.643B,2.171B,2.947B,11.00B,776.00M,2.277B,424.00M,1.582B,,
NWS,2013-03,1.047B,1.539B,0,0,424.00M,0.5583,0.5583,6.484B,5.584B,0,2013-03,246.00M,323.00M,25.00M,25.00M,3.221B,1.146B,0,25.00M,1.306B,337.00M,5.00M,2.18B,657.00M,12.57B,16.95B,0,3.851B,2.493B,4.388B,13.10B,1.895B,2.155B,259.00M,1.463B,,
NWS,2012-12,0,741.00M,0,0,417.00M,2.418,2.418,6.347B,0,0,2012-12,0,1.399B,18.00M,18.00M,3.315B,1.03B,0,171.00M,1.234B,1.407B,-4.00M,2.321B,669.00M,12.44B,16.56B,0,3.164B,2.312B,4.124B,13.40B,1.812B,2.15B,244.00M,1.656B,3.407B,783.00M
NWS,2012-09,0,1.01B,0,0,413.00M,-0.159,-0.159,5.21B,0,0,2012-09,0,-92.00M,11.00M,11.00M,3.302B,927.00M,0,-36.00M,1.257B,-111.00M,-28.00M,2.133B,710.00M,9.194B,13.34B,0,3.126B,2.442B,4.141B,10.21B,1.699B,2.169B,277.00M,1.426B,,
NWS,2012-06,0,1.133B,0,0,456.00M,-3.834,-3.834,5.049B,0,0,2012-06,0,-2.218B,17.00M,17.00M,3.274B,926.00M,0,55.00M,1.896B,-2.625B,-418.00M,2.134B,681.00M,8.809B,13.09B,0,3.115B,2.467B,4.171B,9.975B,1.704B,2.079B,900.00M,1.369B,,
