Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FTNT,2018-06,-1.40M,1.434B,113.10M,849.50M,0.29,0.28,46.50M,363.50M,328.20M,2018-06,78.20M,49.30M,5.80M,5.80M,256.00M,621.30M,50.70M,144.40M,51.50M,2.20M,61.20M,441.30M,216.30M,780.20M,2.576B,0.20M,1.885B,1.085B,1.796B,690.90M,710.30M,277.50M,85.40M,333.60M
FTNT,2018-03,-2.00M,1.304B,97.20M,817.10M,0.25,0.24,29.10M,346.70M,301.80M,2018-03,80.00M,41.60M,4.50M,4.50M,245.10M,579.30M,32.40M,130.30M,36.70M,-4.90M,59.10M,399.00M,210.30M,693.50M,2.401B,0.20M,1.736B,1.030B,1.707B,664.90M,677.50M,269.40M,74.70M,313.10M
FTNT,2017-12,-0.80M,1.251B,105.40M,793.80M,-0.17,-0.17,30.90M,340.60M,311.20M,2017-12,77.30M,-29.00M,4.00M,4.00M,245.40M,542.50M,42.20M,141.40M,45.00M,74.00M,54.70M,416.60M,214.30M,589.40M,2.258B,0.20M,1.717B,1.027B,1.668B,541.10M,641.30M,269.00M,91.40M,348.20M
FTNT,2017-09,-0.416M,1.276B,93.60M,734.31M,0.15,0.15,32.84M,327.87M,280.60M,2017-09,73.60M,26.70M,3.90M,3.90M,239.89M,484.64M,33.70M,100.84M,38.00M,11.30M,53.50M,374.20M,193.40M,902.22M,2.395B,0.175M,1.651B,910.64M,1.493B,744.63M,582.42M,246.90M,60.40M,258.00M
FTNT,2017-06,-0.523M,1.207B,95.70M,706.67M,0.13,0.13,34.88M,320.35M,267.80M,2017-06,86.44M,23.00M,3.20M,3.20M,238.51M,454.80M,28.40M,98.54M,32.90M,9.90M,51.20M,363.50M,188.20M,922.14M,2.361B,0.175M,1.605B,885.52M,1.439B,756.06M,553.03M,239.40M,57.36M,274.48M
FTNT,2017-03,-0.489M,1.199B,90.60M,677.11M,0.06,0.06,37.09M,231.22M,250.00M,2017-03,104.98M,10.70M,2.40M,2.40M,155.48M,420.94M,5.80M,106.27M,8.10M,-2.60M,51.20M,340.60M,193.00M,898.25M,2.267B,0.175M,1.616B,856.58M,1.369B,651.30M,512.55M,244.20M,62.82M,270.11M
FTNT,2016-12,-0.765M,1.086B,90.85M,645.34M,0.15,0.14,39.38M,207.72M,271.93M,2016-12,106.89M,25.18M,1.961M,1.961M,137.25M,390.01M,45.98M,105.96M,43.46M,18.28M,45.60M,362.79M,180.34M,837.68M,2.140B,0.173M,1.539B,829.44M,1.302B,601.22M,472.82M,225.95M,70.32M,313.00M
FTNT,2016-09,0.153M,1.030B,84.80M,582.14M,0.04,0.04,42.40M,189.98M,231.85M,2016-09,93.73M,6.291M,1.888M,1.888M,126.11M,352.65M,7.771M,102.60M,6.589M,0.298M,47.24M,316.65M,176.84M,823.09M,2.010B,0.173M,1.395B,750.36M,1.187B,615.29M,436.71M,224.08M,65.32M,238.99M
FTNT,2016-06,0.724M,984.77M,84.50M,563.20M,-0.01,-0.01,45.72M,184.64M,226.89M,2016-06,81.25M,-1.388M,1.705M,1.705M,125.64M,340.79M,-3.492M,97.98M,-3.69M,-2.302M,45.50M,311.39M,184.88M,804.63M,1.960B,0.172M,1.354B,731.96M,1.156B,606.29M,423.59M,230.38M,65.08M,254.38M
FTNT,2016-03,0.294M,952.60M,77.64M,538.45M,0.01,0.01,21.15M,170.40M,206.93M,2016-03,78.24M,2.118M,1.746M,1.746M,115.78M,298.74M,-3.364M,90.73M,-3.258M,-5.376M,44.75M,284.58M,165.54M,742.40M,1.812B,0.171M,1.286B,687.34M,1.069B,525.82M,381.78M,210.30M,57.18M,220.14M
FTNT,2015-12,-0.933M,891.35M,81.98M,514.65M,-0.01,-0.01,22.33M,140.13M,214.55M,2015-12,83.87M,-2.534M,1.176M,1.176M,91.07M,276.65M,14.58M,102.91M,13.04M,15.57M,42.81M,296.53M,157.16M,755.38M,1.791B,0.171M,1.271B,678.67M,1.035B,519.97M,356.46M,199.97M,69.88M,259.56M
FTNT,2015-09,-0.09M,908.16M,71.70M,471.12M,0.05,0.05,23.23M,154.98M,188.37M,2015-09,80.65M,8.169M,1.333M,1.333M,83.37M,235.79M,4.043M,84.10M,-1.16M,-9.329M,42.11M,260.07M,142.21M,795.39M,1.707B,0.172M,1.252B,603.13M,911.79M,455.43M,308.65M,184.32M,54.27M,174.11M
FTNT,2015-06,-0.309M,873.03M,69.50M,441.18M,0.0047,0.0045,3.517M,137.78M,170.29M,2015-06,68.84M,0.792M,1.364M,1.364M,71.46M,216.38M,2.952M,72.58M,3.486M,2.694M,37.39M,239.78M,129.95M,750.83M,1.605B,0.17M,1.196B,565.30M,854.05M,409.37M,288.75M,167.34M,43.43M,176.85M
FTNT,2015-03,0.226M,803.96M,63.60M,406.53M,0.01,0.01,5.383M,123.82M,149.28M,2015-03,72.06M,1.56M,1.422M,1.422M,63.49M,193.64M,0.898M,69.38M,1.643M,0.083M,35.82M,212.89M,112.57M,719.75M,1.498B,0.169M,1.112B,518.63M,778.56M,386.50M,259.92M,148.39M,43.51M,161.85M
FTNT,2014-12,-0.349M,720.02M,65.62M,368.93M,0.04,0.04,5.656M,94.65M,158.34M,2014-12,69.48M,6.813M,1.402M,1.402M,58.92M,189.83M,19.92M,81.65M,20.12M,13.30M,33.10M,223.97M,105.33M,675.97M,1.425B,0.166M,1.005B,496.46M,748.81M,419.39M,252.35M,138.43M,52.64M,184.74M
FTNT,2014-09,0.114M,660.59M,56.88M,329.13M,0.02,0.02,5.928M,109.21M,136.46M,2014-09,51.34M,4.056M,1.339M,1.339M,56.81M,170.88M,15.45M,64.67M,15.78M,11.73M,30.79M,193.35M,90.22M,649.23M,1.313B,0.165M,896.44M,434.50M,663.38M,416.16M,228.88M,121.01M,39.01M,116.38M
FTNT,2014-06,1.181M,558.12M,57.76M,321.36M,0.04,0.04,6.201M,104.72M,126.34M,2014-06,46.82M,6.081M,1.319M,1.319M,55.30M,158.84M,11.14M,61.02M,11.89M,5.806M,29.94M,184.10M,85.26M,625.22M,1.265B,0.163M,806.95M,426.09M,639.89M,458.16M,213.80M,115.20M,35.85M,127.82M
FTNT,2014-03,0.077M,561.05M,50.74M,305.70M,0.05,0.05,9.042M,91.46M,118.21M,2014-03,43.29M,8.393M,1.333M,1.333M,47.47M,145.60M,12.82M,53.32M,13.76M,5.366M,29.06M,168.95M,76.34M,610.09M,1.200B,0.163M,781.46M,394.87M,589.94M,418.57M,195.07M,105.39M,27.60M,111.49M
FTNT,2013-12,1.092M,491.37M,53.88M,293.66M,0.07,0.07,9.713M,78.45M,123.47M,2013-12,48.67M,12.02M,1.318M,1.318M,36.65M,138.96M,24.64M,84.40M,25.54M,13.53M,27.75M,177.35M,71.08M,585.76M,1.168B,0.161M,735.55M,413.06M,582.70M,432.92M,169.64M,98.83M,57.02M,130.47M
FTNT,2013-09,1.653M,513.02M,43.93M,271.30M,0.07,0.07,10.65M,67.81M,110.77M,2013-09,46.88M,11.03M,1.282M,1.282M,28.38M,128.87M,18.28M,65.57M,18.41M,7.381M,26.42M,154.70M,66.07M,599.95M,1.128B,0.163M,705.97M,367.33M,528.19M,422.21M,160.86M,92.49M,33.26M,107.80M
FTNT,2013-06,0.35M,502.70M,43.71M,265.64M,0.06,0.05,9.573M,63.17M,103.72M,2013-06,33.32M,8.979M,1.337M,1.337M,27.05M,124.04M,13.78M,64.06M,15.01M,6.035M,25.16M,147.43M,64.78M,567.18M,1.086B,0.164M,672.40M,360.48M,518.56M,413.38M,158.08M,89.94M,35.96M,108.91M
FTNT,2013-03,2.166M,460.38M,39.13M,257.33M,0.08,0.07,9.998M,59.84M,96.69M,2013-03,23.93M,12.25M,1.369M,1.369M,25.80M,119.08M,15.39M,48.05M,16.98M,4.726M,23.33M,135.82M,57.97M,547.71M,1.033B,0.164M,613.66M,331.73M,485.02M,419.10M,153.29M,81.30M,26.37M,102.36M
FTNT,2012-12,3.091M,413.69M,41.44M,247.27M,0.13,0.13,2.117M,56.86M,109.72M,2012-12,21.06M,21.51M,1.40M,1.40M,25.64M,115.92M,35.04M,43.08M,36.27M,14.76M,20.52M,151.16M,54.16M,510.93M,975.50M,0.162M,569.27M,319.30M,464.56M,406.22M,145.26M,74.68M,24.60M,107.64M
FTNT,2012-09,3.577M,374.65M,37.81M,230.56M,0.11,0.1,1.378M,55.79M,98.46M,2012-09,26.18M,17.21M,1.318M,1.318M,26.02M,109.52M,25.77M,42.19M,26.77M,9.565M,20.50M,136.27M,52.19M,478.47M,913.27M,0.161M,514.65M,298.69M,434.80M,398.62M,136.10M,72.69M,23.16M,89.84M
FTNT,2012-06,1.154M,401.63M,37.13M,226.51M,0.09,0.08,0,37.74M,91.84M,2012-06,20.83M,13.95M,1.203M,1.203M,10.25M,104.86M,20.95M,41.38M,22.23M,8.276M,20.39M,128.96M,50.50M,426.64M,851.24M,0.159M,544.51M,294.98M,424.60M,306.73M,129.62M,70.88M,24.10M,95.35M
FTNT,2012-03,2.13M,428.07M,31.04M,216.56M,0.09,0.09,0,35.18M,86.20M,2012-03,17.96M,14.17M,1.085M,1.085M,9.56M,98.01M,18.72M,30.48M,19.73M,5.556M,19.67M,117.25M,47.82M,398.33M,788.44M,0.158M,551.50M,270.96M,390.12M,236.94M,119.16M,67.49M,13.76M,84.76M
FTNT,2011-12,0.402M,390.27M,32.48M,206.93M,0.11,0.1,0,31.82M,88.38M,2011-12,16.25M,16.49M,0.963M,0.963M,7.966M,87.90M,26.52M,35.74M,27.37M,10.88M,16.38M,120.86M,45.48M,358.35M,734.75M,0.156M,523.57M,266.86M,376.39M,211.18M,109.53M,61.86M,19.77M,95.52M
FTNT,2011-09,-0.004M,389.17M,31.14M,192.93M,0.12,0.11,0,29.71M,85.29M,2011-09,12.97M,17.92M,0.904M,0.904M,7.485M,82.20M,26.16M,37.63M,27.12M,9.207M,16.83M,116.43M,42.29M,316.87M,670.99M,0.155M,503.93M,251.67M,354.12M,167.06M,102.45M,59.13M,15.34M,75.84M
FTNT,2011-06,3.184M,342.02M,26.56M,192.45M,0.1,0.09,0,28.90M,76.46M,2011-06,13.65M,14.49M,0.863M,0.863M,7.339M,80.75M,18.78M,33.18M,19.44M,4.941M,15.94M,103.02M,41.74M,287.52M,635.24M,0.154M,454.41M,246.29M,347.72M,180.82M,101.43M,57.69M,13.21M,72.21M
FTNT,2011-03,2.756M,301.60M,23.42M,187.52M,0.09,0.08,0,27.44M,69.85M,2011-03,12.12M,13.59M,0.793M,0.793M,7.098M,78.51M,17.44M,28.34M,18.14M,4.556M,14.42M,93.27M,37.98M,258.09M,587.75M,0.077M,404.14M,235.92M,329.66M,183.61M,93.74M,52.40M,8.696M,71.33M
