Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FTNT,2020-12,0.70M,1.837B,167.00M,1.393B,0.9,0.89,124.60M,620.50M,581.00M,2020-12,139.80M,146.70M,2.00M,2.00M,448.00M,1.212B,168.20M,290.80M,171.70M,25.00M,89.00M,748.00M,323.80M,856.00M,4.044B,0.20M,2.740B,1.830B,3.188B,1.304B,1.359B,412.80M,141.60M,720.00M
FTNT,2020-09,1.40M,1.657B,139.20M,1.30B,0.76,0.75,93.50M,582.80M,511.90M,2020-09,134.50M,123.40M,2.50M,2.50M,419.40M,1.092B,125.80M,223.70M,128.40M,5.00M,90.00M,651.10M,296.10M,713.20M,3.586B,0.20M,2.385B,1.646B,2.873B,1.202B,1.227B,386.10M,95.90M,546.60M
FTNT,2020-06,2.50M,1.527B,135.10M,1.276B,0.69,0.68,90.60M,548.10M,480.40M,2020-06,126.00M,112.10M,4.00M,4.00M,392.60M,1.047B,115.60M,225.40M,121.60M,9.50M,82.10M,615.50M,282.70M,543.90M,3.331B,0.20M,2.209B,1.612B,2.787B,1.122B,1.175B,364.80M,107.20M,498.70M
FTNT,2020-03,-3.10M,1.401B,128.70M,1.230B,0.61,0.6,94.30M,521.10M,448.20M,2020-03,105.00M,104.00M,9.20M,9.20M,374.20M,996.60M,79.10M,209.20M,117.10M,13.10M,80.30M,576.90M,288.80M,536.30M,3.206B,0.20M,2.035B,1.543B,2.670B,1.171B,1.127B,369.10M,87.80M,474.70M
FTNT,2019-12,1.10M,2.066B,140.50M,1.156B,0.67,0.66,98.30M,481.30M,477.60M,2019-12,117.90M,118.20M,9.90M,9.90M,344.30M,953.30M,122.10M,198.20M,131.40M,13.20M,71.20M,618.10M,284.30M,1.342B,3.879B,0.20M,2.769B,1.456B,2.537B,1.110B,1.081B,355.50M,96.40M,544.30M
FTNT,2019-09,1.10M,1.940B,124.10M,1.064B,0.47,0.46,52.20M,434.60M,424.00M,2019-09,99.20M,80.20M,11.40M,11.40M,305.50M,882.00M,100.60M,187.90M,106.00M,25.80M,69.90M,548.10M,253.50M,1.200B,3.546B,0.20M,2.466B,1.342B,2.345B,1.079B,1.003B,323.40M,97.50M,384.10M
FTNT,2019-06,0.90M,1.830B,128.30M,1.032B,0.42,0.42,54.40M,406.20M,393.40M,2019-06,85.70M,72.70M,11.00M,11.00M,284.70M,835.00M,75.20M,170.60M,85.80M,13.10M,67.40M,521.70M,250.80M,1.122B,3.369B,0.20M,2.361B,1.294B,2.247B,1.009B,953.40M,318.20M,87.40M,403.10M
FTNT,2019-03,-0.20M,1.802B,113.00M,991.10M,0.35,0.34,57.30M,391.00M,359.60M,2019-03,88.40M,58.80M,10.20M,10.20M,272.00M,774.70M,50.60M,182.20M,60.30M,1.50M,68.60M,472.60M,240.40M,1.058B,3.206B,0.20M,2.313B,1.254B,2.148B,892.40M,893.30M,309.00M,93.50M,381.00M
FTNT,2018-12,-0.80M,1.650B,128.50M,965.90M,1.07,1.04,60.30M,382.20M,381.90M,2018-12,90.00M,185.30M,9.30M,9.30M,271.40M,720.90M,88.50M,192.10M,95.50M,-89.80M,65.50M,510.40M,227.90M,1.010B,3.078B,0.20M,2.221B,1.256B,2.068B,857.10M,811.40M,293.40M,114.60M,444.50M
FTNT,2018-09,-1.00M,1.634B,111.60M,876.20M,0.35,0.33,43.80M,379.60M,342.30M,2018-09,80.80M,58.70M,6.90M,6.90M,265.40M,668.20M,62.80M,150.30M,70.60M,11.90M,58.70M,453.90M,220.80M,891.60M,2.764B,0.20M,2.078B,1.112B,1.872B,685.40M,760.00M,279.50M,89.60M,324.40M
