Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,2011-09,2011-06,2011-03
FB,2018-06,-687.00M,42.31B,2.214B,0,91.00M,1.76,1.74,19.84B,23.92B,11.02B,2018-06,5.106B,143.00M,143.00M,18.36B,50.00M,0,5.863B,4.579B,5.868B,762.00M,2.523B,13.23B,2.631B,79.38B,90.29B,0,49.83B,4.67B,10.91B,40.46B,6.239B,5.154B,859.00M,5.59B,,2011-09,2011-06,2011-03
FB,2018-03,-294.00M,43.96B,1.927B,0,94.00M,1.72,1.69,20.00B,21.29B,10.04B,2018-03,4.988B,145.00M,145.00M,16.21B,0,0,5.449B,4.992B,5.61B,622.00M,2.238B,11.97B,2.352B,77.62B,88.94B,0,50.41B,5.086B,11.32B,38.53B,6.239B,4.59B,989.00M,5.115B,,227.00M,240.00M,233.00M
FB,2017-12,-227.00M,41.71B,1.611B,0,98.00M,1.47,1.44,20.10B,18.34B,11.36B,2017-12,4.269B,126.00M,126.00M,13.72B,0,0,7.352B,1.795B,7.462B,3.193B,1.949B,12.97B,2.06B,74.35B,84.52B,0,48.56B,3.76B,10.18B,35.96B,6.417B,4.009B,1.11B,5.832B,,-10.00M,-9.00M,-7.00M
FB,2017-09,-200.00M,38.29B,1.448B,0,105.00M,1.62,1.59,20.26B,16.45B,8.88B,2017-09,4.707B,108.00M,108.00M,12.16B,0,0,5.122B,3.20B,5.236B,529.00M,2.052B,10.33B,1.706B,71.21B,79.00B,0,44.20B,3.305B,7.79B,34.80B,4.485B,3.758B,697.00M,4.424B,,-10.00M,-9.00M,-7.00M
FB,2017-06,-370.00M,35.45B,1.237B,0,88.00M,1.34,1.32,20.32B,14.67B,8.084B,2017-06,3.894B,91.00M,91.00M,10.63B,0,0,4.401B,3.227B,4.488B,594.00M,1.919B,9.321B,1.764B,66.48B,73.84B,0,40.80B,3.315B,7.362B,33.04B,4.047B,3.683B,601.00M,3.897B,,,,
FB,2017-03,-626.00M,32.31B,1.159B,0,80.00M,1.06,1.04,20.49B,13.03B,6.873B,2017-03,3.064B,67.00M,67.00M,9.462B,0,0,3.327B,2.848B,3.408B,344.00M,1.834B,8.032B,1.712B,62.19B,68.71B,0,36.93B,2.928B,6.526B,31.78B,3.598B,3.546B,448.00M,3.415B,,,,
FB,2016-12,-703.00M,29.45B,1.047B,0,90.00M,1.24,1.21,20.66B,11.80B,7.762B,2016-12,3.569B,56.00M,56.00M,8.591B,0,0,4.567B,1.068B,4.533B,964.00M,1.563B,8.809B,1.632B,59.19B,64.96B,0,34.40B,2.875B,5.767B,30.56B,2.892B,3.195B,737.00M,3.993B,,,,
FB,2016-09,-372.00M,26.14B,987.00M,0,78.00M,0.91,0.9,20.79B,10.78B,6.024B,2016-09,2.627B,50.00M,50.00M,7.899B,0,0,3.117B,2.517B,3.164B,537.00M,1.542B,7.011B,1.365B,54.12B,59.67B,0,30.33B,2.595B,5.559B,29.35B,2.964B,2.907B,499.00M,3.07B,,414.00M,407.00M,388.00M
FB,2016-06,-374.00M,23.29B,917.00M,0,79.00M,0.8,0.78,20.92B,9.756B,5.519B,2016-06,2.283B,32.00M,32.00M,7.104B,0,0,2.734B,2.132B,2.754B,471.00M,1.471B,6.436B,1.314B,50.38B,55.74B,0,27.01B,2.211B,5.356B,28.73B,3.145B,2.785B,362.00M,2.801B,,,,
FB,2016-03,-276.00M,20.62B,838.00M,0,55.00M,0.61,0.6,21.10B,8.813B,4.544B,2016-03,1.738B,27.00M,27.00M,6.467B,0,0,2.01B,1.754B,2.066B,328.00M,1.343B,5.382B,1.191B,47.15B,52.08B,0,23.81B,1.809B,4.925B,28.26B,3.116B,2.534B,365.00M,2.348B,,379.00M,399.00M,398.00M
FB,2015-12,-455.00M,18.43B,824.00M,208.00M,56.00M,0.55,0.54,21.27B,7.819B,5.017B,2015-12,1.561B,14.00M,14.00M,5.687B,769.00M,107.00M,2.56B,605.00M,2.557B,996.00M,1.314B,5.841B,1.143B,44.22B,49.41B,0,21.65B,1.925B,5.189B,27.76B,3.264B,2.457B,413.00M,2.559B,,152.00M,159.00M,165.00M
FB,2015-09,-380.00M,15.83B,720.00M,17.00M,47.00M,0.32,0.31,21.46B,7.37B,3.781B,2015-09,896.00M,7.00M,7.00M,5.335B,47.00M,109.00M,1.459B,1.728B,1.432B,536.00M,1.271B,4.501B,1.051B,41.42B,46.47B,0,19.14B,1.792B,5.049B,27.33B,3.257B,2.322B,390.00M,2.01B,,108.00M,99.00M,57.00M
FB,2015-06,-357.00M,14.12B,668.00M,39.00M,49.00M,0.26,0.25,21.63B,6.916B,3.374B,2015-06,719.00M,5.00M,5.00M,4.955B,0,110.00M,1.273B,1.793B,1.273B,554.00M,1.17B,4.042B,931.00M,39.45B,44.13B,0,16.95B,1.881B,4.678B,27.18B,2.797B,2.101B,321.00M,1.815B,,954.00M,895.00M,731.00M
FB,2015-03,-447.00M,12.41B,654.00M,73.00M,55.00M,0.18,0.18,21.78B,6.574B,2.889B,2015-03,512.00M,2.00M,2.00M,4.619B,0,113.00M,933.00M,1.618B,932.00M,420.00M,1.062B,3.543B,894.00M,37.50B,42.01B,0,15.00B,1.746B,4.506B,27.00B,2.76B,1.956B,318.00M,1.508B,,196.00M,179.00M,119.00M
FB,2014-12,-228.00M,11.20B,652.00M,114.00M,66.00M,0.25,0.25,21.91B,5.784B,3.199B,2014-12,701.00M,0,0,3.967B,0,119.00M,1.133B,542.00M,1.114B,413.00M,1.111B,3.851B,955.00M,36.10B,39.97B,0,13.39B,1.424B,3.87B,26.58B,2.446B,2.066B,378.00M,1.678B,,,,
FB,2014-09,-109.00M,14.25B,565.00M,149.00M,48.00M,0.31,0.3,3.929B,5.319B,2.638B,2014-09,806.00M,4.00M,4.00M,3.703B,0,129.00M,1.397B,1.037B,1.336B,530.00M,608.00M,3.203B,633.00M,21.24B,24.19B,0,16.12B,1.234B,2.95B,8.073B,1.716B,1.241B,328.00M,1.363B,,,,
FB,2014-06,-5.00M,13.96B,473.00M,173.00M,53.00M,0.31,0.3,1.672B,4.794B,2.437B,2014-06,791.00M,0,0,3.334B,0,153.00M,1.39B,988.00M,1.386B,595.00M,492.00M,2.91B,555.00M,18.35B,20.77B,0,15.56B,1.214B,2.423B,5.212B,1.209B,1.047B,322.00M,1.19B,,,,
FB,2014-03,15.00M,12.63B,462.00M,201.00M,38.00M,0.25,0.25,1.682B,4.37B,2.04B,2014-03,642.00M,0,0,3.074B,0,191.00M,1.075B,798.00M,1.075B,433.00M,455.00M,2.502B,510.00M,16.74B,19.03B,0,14.06B,1.037B,2.291B,4.968B,1.254B,965.00M,273.00M,1.006B,,,,
FB,2013-12,14.00M,11.45B,491.00M,239.00M,38.00M,0.21,0.2,1.722B,4.142B,2.095B,2013-12,523.00M,-2.00M,-2.00M,2.882B,0,237.00M,1.132B,355.00M,1.13B,607.00M,409.00M,2.586B,554.00M,15.47B,17.90B,0,13.07B,1.10B,2.425B,4.825B,1.325B,963.00M,268.00M,1.109B,,,,
FB,2013-09,13.00M,9.328B,507.00M,288.00M,36.00M,0.17,0.17,1.609B,3.821B,1.509B,2013-09,425.00M,-16.00M,-16.00M,2.685B,0,287.00M,736.00M,660.00M,726.00M,301.00M,369.00M,2.016B,404.00M,13.05B,14.93B,0,10.55B,984.00M,1.885B,4.384B,901.00M,773.00M,207.00M,879.00M,,,,
FB,2013-06,-29.00M,10.25B,465.00M,316.00M,32.00M,0.14,0.13,1.631B,3.591B,1.348B,2013-06,333.00M,-9.00M,-9.00M,2.577B,0,1.851B,562.00M,732.00M,545.00M,212.00M,344.00M,1.813B,442.00M,12.35B,15.72B,0,11.42B,1.08B,3.375B,4.303B,2.295B,786.00M,227.00M,782.00M,,,,
FB,2013-03,-15.00M,9.472B,413.00M,338.00M,30.00M,0.09,0.09,1.501B,3.535B,1.045B,2013-03,219.00M,-10.00M,-10.00M,2.533B,0,1.92B,373.00M,695.00M,353.00M,134.00M,293.00M,1.458B,379.00M,11.82B,15.16B,0,11.04B,1.063B,3.339B,4.121B,2.276B,672.00M,265.00M,1.085B,,,,
FB,2012-12,2.00M,9.626B,397.00M,365.00M,30.00M,0.03,0.03,1.388B,3.273B,1.188B,2012-12,64.00M,-2.00M,-2.00M,2.391B,0,1.991B,523.00M,280.00M,505.00M,441.00M,297.00M,1.585B,368.00M,11.76B,15.10B,0,11.27B,1.052B,3.348B,3.836B,2.296B,665.00M,234.00M,1.17B,,304.00M,278.00M,176.00M
FB,2012-09,-6.00M,10.45B,322.00M,372.00M,85.00M,-0.02,-0.02,1.423B,3.023B,940.00M,2012-09,-59.00M,-11.00M,-11.00M,2.289B,0,530.00M,377.00M,623.00M,372.00M,431.00M,244.00M,1.262B,319.00M,14.17B,16.04B,0,12.28B,1.08B,1.864B,3.753B,784.00M,563.00M,214.00M,1.202B,,,,
FB,2012-06,-29.00M,10.19B,367.00M,312.00M,85.00M,-0.08,-0.08,809.00M,2.734B,817.00M,2012-06,-157.00M,-10.00M,-10.00M,2.105B,0,394.00M,-743.00M,637.00M,-765.00M,-608.00M,705.00M,1.184B,855.00M,13.31B,14.93B,0,11.97B,1.034B,1.619B,2.961B,585.00M,1.56B,196.00M,1.145B,,,,
FB,2012-03,-7.00M,3.91B,277.00M,302.00M,93.00M,0.0641,0.0641,189.00M,2.392B,781.00M,2012-03,205.00M,-13.00M,-13.00M,1.855B,0,404.00M,381.00M,644.00M,382.00M,177.00M,153.00M,1.058B,247.00M,5.597B,7.184B,0,5.019B,1.039B,1.587B,2.165B,548.00M,400.00M,307.00M,482.00M,,,,
FB,2011-12,-6.00M,3.908B,247.00M,279.00M,90.00M,0.0964,0.0964,162.00M,1.925B,884.00M,2011-12,302.00M,-12.00M,-12.00M,1.475B,0,398.00M,547.00M,234.00M,519.00M,217.00M,124.00M,1.131B,213.00M,4.899B,6.331B,615.00M,4.604B,899.00M,1.432B,1.727B,533.00M,337.00M,234.00M,547.00M,,,,
