Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,2011-09,2011-06,2011-03
FB,2020-12,927.00M,61.95B,5.21B,1.023B,382.00M,3.94,3.88,19.67B,70.40B,22.86B,2020-12,11.22B,136.00M,136.00M,54.98B,673.00M,9.631B,12.78B,7.498B,13.06B,1.836B,5.207B,28.07B,4.88B,128.29B,159.32B,0,75.67B,14.98B,31.03B,83.65B,16.04B,10.09B,4.462B,11.34B,,,,
FB,2020-09,308.00M,55.62B,4.194B,975.00M,379.00M,2.75,2.71,19.78B,65.87B,17.28B,2020-09,7.846B,146.00M,146.00M,51.73B,0,9.641B,8.04B,10.59B,8.133B,287.00M,4.763B,21.47B,4.473B,117.73B,146.44B,0,65.80B,11.94B,28.71B,80.64B,16.76B,9.236B,1.906B,8.024B,,,,
FB,2020-06,-142.00M,58.24B,3.829B,899.00M,264.00M,1.82,1.8,19.89B,61.52B,14.86B,2020-06,5.178B,162.00M,162.00M,48.44B,0,9.633B,5.963B,10.14B,6.131B,953.00M,4.462B,18.69B,4.433B,110.45B,139.69B,0,68.13B,11.31B,29.24B,71.56B,17.94B,8.895B,1.649B,7.483B,,236.00M,210.00M,167.00M
FB,2020-03,-544.00M,60.29B,3.459B,835.00M,247.00M,1.72,1.71,19.65B,58.10B,14.28B,2020-03,4.902B,228.00M,228.00M,46.49B,0,9.509B,5.893B,13.99B,5.861B,959.00M,4.015B,17.74B,4.37B,105.30B,138.37B,0,69.35B,15.07B,33.07B,69.02B,18.00B,8.385B,1.541B,7.289B,,,,
FB,2019-12,-489.00M,54.86B,3.491B,800.00M,269.00M,2.58,2.56,19.61B,55.45B,17.59B,2019-12,7.349B,229.00M,229.00M,44.78B,0,9.524B,8.858B,9.953B,9.169B,1.82B,3.878B,21.08B,4.855B,101.05B,133.38B,0,66.22B,15.05B,32.32B,67.15B,17.27B,8.733B,2.873B,9.518B,,,,
FB,2019-09,-849.00M,52.27B,3.155B,776.00M,225.00M,2.13,2.12,19.19B,50.33B,14.50B,2019-09,6.091B,258.00M,258.00M,40.69B,0,8.356B,7.185B,12.33B,7.329B,1.238B,3.548B,17.65B,3.764B,94.00B,124.42B,0,62.08B,13.33B,30.42B,62.34B,17.09B,7.312B,1.45B,7.673B,,0.0706,0.0748,0.072
FB,2019-06,-483.00M,48.60B,3.307B,688.00M,198.00M,0.92,0.91,19.33B,46.02B,13.58B,2019-06,2.616B,219.00M,219.00M,37.27B,0,7.122B,4.626B,12.09B,4.832B,2.216B,3.315B,16.89B,5.638B,88.76B,117.01B,0,57.96B,12.98B,28.24B,59.04B,15.26B,8.953B,1.215B,7.513B,,0.0635,0.0673,0.0648
FB,2019-03,-781.00M,45.24B,2.816B,645.00M,142.00M,0.85,0.85,19.48B,41.75B,12.26B,2019-03,2.429B,198.00M,198.00M,34.09B,0,6.565B,3.317B,9.121B,3.482B,1.053B,2.86B,15.08B,6.084B,86.52B,109.48B,0,53.30B,9.908B,22.96B,56.18B,13.05B,8.944B,1.141B,6.475B,,,,
FB,2018-12,-760.00M,41.11B,2.796B,500.00M,147.00M,2.4,2.38,19.60B,31.57B,14.12B,2018-12,6.882B,187.00M,187.00M,24.68B,0,0,7.82B,3.383B,7.971B,1.089B,2.855B,16.91B,3.443B,84.13B,97.33B,0,50.48B,7.017B,13.21B,46.85B,6.19B,6.298B,1.852B,7.587B,,,,
FB,2018-09,-777.00M,41.21B,2.418B,0,115.00M,1.78,1.76,19.76B,27.20B,11.31B,2018-09,5.137B,176.00M,176.00M,21.11B,0,0,5.781B,5.347B,5.912B,775.00M,2.657B,13.73B,2.871B,80.34B,92.45B,0,49.15B,5.462B,12.11B,43.30B,6.648B,5.528B,1.092B,6.058B,,718.00M,685.00M,564.00M
