Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LNT,2018-06,0.10M,5.00M,515.70M,438.60M,39.40M,0.43,0.43,15.78B,300.40M,2018-06,200.10M,102.90M,-61.30M,-61.30M,11.70B,1.507B,5.128B,149.20M,431.10M,116.50M,13.60M,816.10M,4.351B,14.62B,2.30M,805.90M,1.257B,10.06B,13.81B,8.807B,151.20M,431.10M,415.00M
LNT,2018-03,-0.50M,19.10M,605.60M,1.287B,0,0.52,0.52,14.73B,310.70M,2018-03,202.80M,123.50M,-59.20M,-59.20M,11.44B,1.512B,4.057B,163.30M,363.10M,140.30M,16.80M,916.30M,4.232B,14.24B,2.30M,725.90M,2.074B,9.810B,13.52B,7.737B,147.40M,363.10M,343.20M
LNT,2017-12,-0.50M,27.90M,563.40M,1.271B,0,0.41,0.41,0,292.70M,2017-12,222.40M,96.30M,-56.60M,-56.60M,11.23B,1.478B,4.011B,147.10M,477.30M,98.10M,1.80M,856.10M,4.182B,14.19B,2.30M,905.10M,2.149B,9.806B,13.28B,7.657B,145.60M,477.30M,482.80M
LNT,2017-09,-0.40M,9.20M,527.50M,590.50M,0,0.73,0.73,0,379.40M,2017-09,220.60M,171.40M,-53.90M,-53.90M,10.93B,2.775B,4.255B,231.70M,478.10M,197.50M,26.10M,906.90M,4.154B,14.11B,2.30M,751.50M,1.470B,9.761B,13.36B,8.291B,147.70M,478.10M,336.10M
LNT,2017-06,-0.40M,7.30M,475.20M,373.80M,0,0.41,0.41,0,290.10M,2017-06,201.60M,96.80M,-52.80M,-52.80M,10.61B,2.681B,4.354B,149.40M,381.10M,118.00M,21.20M,765.30M,4.050B,13.74B,2.30M,814.70M,1.208B,9.493B,12.93B,8.285B,140.70M,381.10M,424.90M
LNT,2017-03,-0.40M,8.40M,577.50M,307.40M,0,0.44,0.44,0,276.40M,2017-03,187.70M,103.00M,-52.30M,-52.30M,10.45B,2.626B,4.316B,143.00M,369.50M,119.20M,17.60M,853.90M,3.897B,13.46B,2.30M,749.80M,1.165B,9.368B,12.72B,8.203B,133.40M,369.50M,424.90M
LNT,2016-12,-0.40M,8.20M,568.60M,248.70M,0,0.28,0.28,0,228.40M,2016-12,222.30M,65.20M,-51.70M,-51.70M,10.28B,2.570B,4.316B,100.40M,445.30M,77.70M,12.20M,797.00M,3.862B,13.37B,2.30M,877.10M,1.162B,9.312B,12.50B,8.150B,128.00M,445.30M,493.30M
LNT,2016-09,-0.40M,84.70M,545.60M,552.30M,0,0.57,0.57,0,379.00M,2016-09,219.90M,131.00M,-48.70M,-48.70M,9.920B,2.531B,3.817B,249.00M,365.10M,138.90M,7.50M,924.60M,3.859B,13.03B,2.30M,958.10M,1.370B,8.970B,12.07B,7.600B,130.00M,365.10M,491.50M
LNT,2016-06,-0.40M,6.50M,498.90M,534.60M,0,0.37,0.37,0,255.70M,2016-06,209.10M,86.40M,-48.00M,-48.00M,9.846B,2.474B,3.588B,128.60M,353.00M,105.00M,18.10M,754.60M,3.790B,12.69B,2.30M,702.30M,1.373B,8.695B,11.98B,7.322B,127.10M,353.00M,316.30M
LNT,2016-03,-0.40M,4.80M,569.10M,526.80M,0,0.43,0.43,0,274.70M,2016-03,197.20M,99.10M,-47.80M,-47.80M,9.627B,2.425B,3.523B,145.90M,323.80M,121.80M,21.60M,843.80M,3.765B,12.54B,1.10M,768.50M,1.348B,8.570B,11.77B,7.222B,128.80M,323.80M,390.60M
LNT,2015-12,-0.40M,5.80M,534.40M,473.20M,53.20M,0.15,0.15,13.77B,205.70M,2015-12,223.50M,36.60M,-47.30M,-47.30M,9.519B,2.381B,3.522B,79.20M,402.40M,48.60M,10.90M,740.10M,3.724B,12.50B,2.30M,826.80M,1.359B,8.571B,11.67B,7.212B,126.50M,402.40M,397.60M
LNT,2015-09,-0.60M,139.20M,538.10M,112.10M,0,0.79,0.79,13.14B,360.80M,2015-09,211.50M,182.50M,-46.30M,-46.30M,9.366B,2.462B,3.856B,235.90M,438.30M,210.40M,27.80M,898.90M,3.745B,12.56B,1.10M,1.088B,990.80M,8.612B,11.47B,7.622B,124.90M,438.30M,427.30M
LNT,2015-06,-0.60M,54.80M,481.30M,154.40M,0,0.3,0.3,12.66B,235.90M,2015-06,185.20M,70.10M,-46.30M,-46.30M,9.174B,2.449B,3.717B,109.00M,374.90M,82.60M,11.20M,717.20M,3.621B,12.31B,1.10M,1.044B,991.50M,8.491B,11.27B,7.499B,126.90M,374.90M,297.30M
LNT,2015-03,-0.60M,97.60M,617.80M,224.50M,0,0.435,0.435,12.40B,279.60M,2015-03,167.40M,99.20M,-46.50M,-46.50M,9.05B,2.367B,3.607B,152.90M,356.90M,119.70M,20.50M,897.40M,3.597B,12.08B,1.10M,913.20M,1.023B,8.281B,11.17B,7.258B,126.70M,356.90M,361.60M
LNT,2014-12,-0.60M,56.90M,587.80M,324.30M,0,0.27,0.27,12.22B,216.30M,2014-12,223.80M,62.50M,-45.70M,-45.70M,8.938B,2.321B,3.584B,91.30M,427.90M,60.80M,-1.90M,804.10M,3.439B,12.06B,1.10M,1.043B,1.215B,8.423B,11.02B,7.208B,125.00M,427.90M,427.30M
LNT,2014-09,-0.20M,11.00M,525.60M,846.60M,0,0.69,0.69,12.31B,317.50M,2014-09,204.20M,155.90M,-44.40M,-44.40M,8.764B,2.290B,2.800B,194.80M,471.10M,170.20M,12.40M,843.10M,3.436B,11.59B,1.10M,962.30M,1.742B,7.957B,10.63B,6.215B,122.70M,471.10M,398.00M
LNT,2014-06,-0.20M,16.20M,527.10M,816.90M,0,0.28,0.28,11.83B,223.20M,2014-06,172.80M,64.30M,-45.20M,-45.20M,8.566B,2.190B,2.830B,103.30M,475.60M,77.80M,13.20M,750.30M,3.337B,11.39B,1.10M,1.010B,1.733B,7.848B,10.38B,6.114B,119.90M,475.60M,482.00M
LNT,2014-03,-0.20M,14.50M,677.00M,580.10M,0,0.485,0.485,0,275.80M,2014-03,151.00M,110.60M,-43.50M,-43.50M,8.426B,2.142B,2.981B,154.20M,388.10M,131.20M,20.60M,952.80M,3.332B,11.12B,1.10M,936.20M,1.384B,7.584B,10.18B,6.199B,121.60M,388.10M,496.60M
LNT,2013-12,-0.20M,9.80M,605.20M,637.90M,0,0.295,0.295,0,227.40M,2013-12,211.80M,68.10M,-46.50M,-46.50M,8.326B,2.113B,2.978B,108.60M,365.00M,82.80M,13.70M,832.60M,3.281B,11.11B,1.10M,1.011B,1.433B,7.629B,10.10B,6.196B,118.80M,365.00M,473.30M
LNT,2013-09,-0.80M,17.70M,548.20M,285.70M,0,0.71,0.71,0,318.40M,2013-09,220.50M,160.20M,-41.90M,-41.90M,8.141B,2.064B,3.105B,201.40M,368.70M,179.10M,17.60M,866.60M,3.267B,10.98B,1.10M,880.10M,1.053B,7.513B,10.10B,6.460B,117.00M,368.70M,331.40M
LNT,2013-06,-0.80M,11.50M,498.80M,224.60M,48.00M,0.295,0.295,11.66B,219.20M,2013-06,191.20M,67.80M,-42.20M,-42.20M,8.027B,1.991B,3.141B,103.20M,391.10M,78.90M,10.50M,718.00M,3.160B,10.89B,1.10M,893.40M,1.072B,7.525B,9.994B,6.453B,116.00M,391.10M,344.40M
LNT,2013-03,-0.80M,53.40M,620.20M,244.90M,46.90M,0.315,0.315,11.49B,239.40M,2013-03,173.70M,80.10M,-41.80M,-41.80M,7.914B,1.901B,3.122B,120.70M,368.60M,95.20M,12.10M,859.60M,3.146B,10.73B,1.10M,870.40M,1.038B,7.386B,9.864B,6.348B,118.70M,368.60M,393.30M
LNT,2012-12,-0.80M,21.20M,539.60M,219.00M,0,0.31,0.31,11.58B,211.30M,2012-12,203.90M,72.30M,-39.30M,-39.30M,7.838B,1.934B,3.137B,101.60M,387.30M,80.70M,5.60M,750.90M,3.135B,10.79B,1.10M,994.30M,1.02B,7.504B,9.791B,6.484B,109.70M,339.30M,385.70M
LNT,2012-09,-0.80M,41.10M,566.60M,71.80M,0,0.68,0.68,10.74B,321.00M,2012-09,209.20M,154.70M,-37.60M,-37.60M,7.385B,1.837B,2.828B,213.70M,502.00M,192.30M,39.30M,887.60M,3.116B,10.25B,1.10M,1.029B,945.50M,6.988B,9.222B,6.043B,107.30M,455.40M,437.30M
LNT,2012-06,-0.80M,30.80M,476.20M,164.20M,0,0.3,0.3,10.55B,214.10M,2012-06,205.80M,69.80M,-38.00M,-38.00M,7.248B,1.736B,2.753B,108.80M,430.50M,86.20M,16.80M,690.30M,3.014B,9.934B,1.10M,920.40M,957.30M,6.773B,9.014B,5.816B,105.30M,383.90M,335.50M
LNT,2012-03,-0.80M,30.90M,561.80M,58.40M,0,0.16,0.16,10.33B,203.90M,2012-03,200.10M,38.90M,-37.80M,-37.80M,7.081B,1.638B,2.728B,95.60M,350.20M,71.00M,27.70M,765.70M,2.998B,9.628B,1.10M,780.60M,773.30M,6.484B,8.848B,5.710B,108.30M,303.60M,282.00M
LNT,2011-12,-0.80M,11.40M,1.040B,104.20M,0,0.255,0.255,10.45B,-279.30M,2011-12,218.10M,61.00M,-36.50M,-36.50M,7.033B,1.592B,2.703B,106.00M,314.40M,82.60M,14.70M,760.80M,3.013B,9.688B,1.10M,870.60M,855.20M,6.528B,8.817B,5.673B,-385.30M,267.80M,317.20M
LNT,2011-09,-0.60M,45.70M,404.20M,23.50M,0,0.55,0.55,10.11B,466.70M,2011-09,205.10M,125.90M,-38.20M,-38.20M,6.938B,1.561B,2.704B,209.40M,399.00M,184.10M,43.30M,870.90M,3.002B,9.481B,1.10M,947.10M,774.40M,6.333B,8.534B,5.558B,257.30M,352.40M,449.50M
LNT,2011-06,-0.60M,77.10M,362.80M,1.40M,0,0.23,0.23,9.984B,349.70M,2011-06,185.30M,55.30M,-39.60M,-39.60M,6.866B,1.478B,2.704B,70.60M,398.20M,43.30M,-11.20M,712.50M,2.927B,9.301B,1.10M,877.80M,760.10M,6.227B,8.423B,5.467B,279.10M,351.60M,321.50M
LNT,2011-03,-1.40M,126.10M,481.80M,33.70M,0,0.33,0.33,9.890B,395.40M,2011-03,170.20M,79.70M,-39.70M,-39.70M,6.823B,1.473B,2.704B,127.30M,384.60M,100.60M,22.40M,877.20M,2.920B,9.400B,1.10M,977.00M,778.90M,6.293B,8.424B,5.514B,268.10M,337.90M,404.50M
