Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LNT,2020-12,-1.00M,54.00M,518.00M,397.00M,67.00M,0.26,0.26,19.48B,299.00M,2020-12,217.00M,66.00M,-68.00M,-68.00M,14.34B,1.814B,6.769B,112.00M,377.00M,56.00M,-10.00M,817.00M,5.688B,17.71B,2.00M,887.00M,1.297B,11.82B,16.82B,10.52B,187.00M,377.00M,224.00M
LNT,2020-09,-1.00M,189.00M,465.00M,429.00M,70.00M,0.99,0.98,18.36B,455.00M,2020-09,223.00M,249.00M,-68.00M,-68.00M,14.20B,1.803B,6.574B,272.00M,417.00M,229.00M,-20.00M,920.00M,5.709B,17.54B,2.00M,1.033B,1.295B,11.63B,16.51B,10.34B,183.00M,417.00M,399.00M
LNT,2020-06,-0.60M,208.10M,415.80M,192.80M,0,0.54,0.54,17.00B,347.30M,2020-06,221.80M,136.90M,-69.60M,-69.60M,13.94B,1.761B,6.572B,168.10M,429.90M,128.60M,-8.30M,763.10M,5.548B,17.27B,2.50M,1.044B,1.221B,11.52B,16.23B,10.30B,179.20M,429.90M,386.50M
LNT,2020-03,2.00M,55.20M,553.50M,627.70M,0,0.7,0.7,0,362.20M,2020-03,220.60M,172.60M,-68.90M,-68.90M,13.68B,1.736B,5.834B,188.30M,375.40M,153.90M,-18.70M,915.70M,5.502B,16.88B,2.50M,912.20M,1.650B,11.18B,15.97B,9.526B,173.90M,375.40M,396.40M
LNT,2019-12,1.00M,16.00M,549.00M,994.00M,0,0.46,0.46,0,331.00M,2019-12,227.00M,113.00M,-69.00M,-69.00M,13.53B,1.714B,5.533B,161.00M,422.00M,133.00M,20.00M,880.00M,5.205B,16.70B,2.00M,876.00M,2.054B,11.30B,15.82B,9.242B,170.00M,422.00M,214.00M
LNT,2019-09,1.00M,193.70M,529.00M,1.006B,0,0.95,0.94,0,461.00M,2019-09,224.10M,229.00M,-68.00M,-68.00M,13.13B,1.703B,5.535B,290.00M,497.70M,252.00M,23.00M,990.00M,4.969B,16.53B,2.40M,1.113B,2.082B,11.36B,15.42B,9.282B,171.00M,497.70M,451.50M
LNT,2019-06,1.00M,170.20M,469.90M,1.097B,0,0.4,0.4,0,320.30M,2019-06,205.80M,97.10M,-69.20M,-69.20M,12.85B,1.658B,5.438B,149.80M,422.50M,108.30M,11.20M,790.20M,4.700B,16.12B,2.40M,1.027B,1.949B,11.22B,15.09B,9.273B,170.50M,422.50M,421.50M
LNT,2019-03,2.40M,10.10M,644.20M,771.20M,0,0.53,0.53,0,343.00M,2019-03,168.00M,127.70M,-66.30M,-66.30M,12.67B,1.642B,5.362B,176.80M,387.70M,142.80M,15.10M,987.20M,4.682B,15.71B,2.40M,815.20M,1.588B,10.83B,14.90B,9.243B,166.20M,387.70M,417.90M
LNT,2018-12,1.70M,20.90M,589.50M,697.70M,0,0.36,0.36,0,283.50M,2018-12,211.80M,87.50M,-63.20M,-63.20M,12.46B,1.603B,5.246B,127.00M,543.30M,93.40M,5.90M,873.00M,4.586B,15.43B,2.40M,785.10M,1.644B,10.64B,14.64B,8.996B,156.50M,543.30M,350.40M
LNT,2018-09,-0.20M,239.70M,518.20M,642.90M,0,0.87,0.87,0,410.40M,2018-09,211.10M,208.10M,-63.30M,-63.30M,12.01B,1.575B,5.248B,254.50M,498.10M,219.80M,11.70M,928.60M,4.570B,15.27B,2.40M,1.125B,1.548B,10.50B,14.14B,8.951B,155.90M,498.10M,465.30M
