Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GL,2021-03,3.029B,21.42B,254.92M,0,1.73,1.7,441.59M,2021-03,178.52M,584.38M,-21.18M,-21.18M,186.00M,0,1.668B,1.834B,218.79M,40.28M,1.267B,60.03M,8.771B,29.05B,113.22M,21.89B,2.089B,20.28B,23.09B,1.730B,81.21M,1.834B,474.18M
GL,2020-12,2.551B,20.62B,279.76M,0,1.96,1.93,441.59M,2020-12,204.24M,581.21M,-21.41M,-21.41M,161.00M,0,1.668B,1.682B,249.98M,45.74M,1.229B,72.38M,8.225B,28.04B,117.22M,21.08B,1.962B,19.82B,22.23B,1.732B,74.34M,1.682B,458.36M
GL,2020-09,2.232B,20.31B,831.08M,0,1.78,1.76,441.59M,2020-09,188.94M,579.54M,-21.67M,-21.67M,135.00M,0,1.272B,1.632B,231.54M,42.59M,1.196B,70.20M,7.848B,27.53B,117.22M,20.75B,2.463B,19.69B,21.84B,1.341B,74.76M,1.632B,445.54M
GL,2020-06,1.066B,18.24B,458.13M,0,1.63,1.62,441.59M,2020-06,173.05M,579.13M,-22.81M,-22.81M,0,0,1.347B,1.295B,212.24M,39.19M,1.181B,61.76M,6.520B,25.35B,117.22M,18.68B,1.753B,18.83B,19.80B,1.415B,72.71M,1.295B,441.74M
GL,2020-03,1.845B,19.02B,298.74M,0,1.54,1.52,441.59M,2020-03,165.54M,575.49M,-20.81M,-20.81M,0,0,1.349B,1.477B,202.92M,37.38M,1.133B,62.21M,7.294B,25.98B,117.22M,19.46B,1.776B,18.68B,20.55B,1.413B,72.03M,1.477B,441.66M
GL,2019-12,1.943B,18.94B,233.31M,0,1.73,1.69,441.59M,2019-12,187.06M,568.89M,-20.50M,-20.50M,0,0,1.351B,1.498B,227.09M,40.03M,1.137B,72.10M,7.313B,25.79B,121.22M,19.37B,1.731B,18.48B,20.44B,1.414B,72.70M,1.498B,432.24M
GL,2019-09,1.439B,18.10B,257.45M,0,1.85,1.82,441.59M,2019-09,201.82M,560.47M,-21.09M,-21.09M,0,0,1.353B,1.351B,247.33M,45.51M,1.141B,59.98M,6.700B,24.86B,121.22M,18.52B,1.609B,18.16B,19.57B,1.420B,74.58M,1.351B,425.37M
GL,2019-06,870.07M,17.42B,294.38M,0,1.7,1.67,441.59M,2019-06,186.57M,555.46M,-21.43M,-21.43M,0,0,1.356B,1.225B,228.76M,42.15M,1.130B,58.80M,6.043B,24.13B,121.22M,17.84B,1.520B,18.09B,18.91B,1.423B,79.04M,1.225B,419.61M
GL,2019-03,319.48M,16.48B,307.85M,0,1.68,1.65,441.59M,2019-03,185.34M,550.07M,-21.28M,-21.28M,0,0,1.357B,1.048B,228.10M,42.71M,1.119B,0,5.415B,23.10B,121.22M,16.90B,1.356B,17.68B,17.90B,1.418B,72.79M,1.048B,415.16M
GL,2018-12,477.62M,16.94B,615.01M,0,1.48,1.45,441.59M,2018-12,164.72M,543.84M,-23.61M,-23.61M,0,0,1.359B,1.073B,203.64M,38.93M,1.076B,0,5.539B,23.47B,124.22M,17.35B,1.688B,17.93B,18.39B,1.421B,59.00M,1.073B,406.91M
