Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WBA,2014-05,202.00M,2.126B,13.96B,780.00M,0.75,0.74,3.597B,12.09B,5.44B,2014-05,6.439B,714.00M,-35.00M,-35.00M,12.09B,1.01B,3.747B,889.00M,7.629B,1.113B,357.00M,19.40B,4.551B,21.42B,37.39B,80.00M,11.93B,8.409B,15.91B,25.46B,7.497B,4.551B,4.259B,3.029B
WBA,2014-02,126.00M,1.777B,13.96B,577.00M,0.75,0.74,3.755B,12.14B,5.65B,2014-02,7.213B,716.00M,-37.00M,-37.00M,12.14B,878.00M,4.489B,1.081B,7.922B,1.121B,391.00M,19.60B,4.569B,20.78B,37.08B,80.00M,12.04B,8.499B,16.25B,25.04B,7.749B,4.569B,4.642B,2.774B
WBA,2013-11,22.00M,969.00M,13.18B,571.00M,0.73,0.72,3.799B,12.35B,5.152B,2013-11,7.729B,695.00M,-41.00M,-41.00M,12.35B,778.00M,4.501B,773.00M,8.25B,1.108B,404.00M,18.33B,4.379B,20.02B,36.48B,80.00M,11.72B,8.821B,16.42B,24.76B,7.604B,4.379B,5.04B,2.727B
WBA,2013-08,-98.00M,2.106B,12.75B,570.00M,0.69,0.69,3.717B,18.18B,5.191B,2013-08,6.852B,755.00M,-55.00M,-55.00M,12.14B,600.00M,4.477B,905.00M,6.608B,1.169B,414.00M,17.94B,4.286B,19.45B,35.48B,80.00M,11.87B,8.883B,16.03B,23.61B,7.144B,4.286B,5.156B,2.632B
WBA,2013-05,-121.00M,2.994B,13.09B,1.865B,0.66,0.65,3.739B,12.08B,5.222B,2013-05,6.881B,624.00M,-50.00M,-50.00M,12.08B,577.00M,4.501B,860.00M,7.825B,1.018B,394.00M,18.31B,4.362B,18.98B,35.84B,80.00M,12.57B,9.69B,16.86B,23.27B,7.171B,4.362B,4.604B,2.418B
WBA,2013-02,35.00M,2.431B,13.04B,1.299B,0.8,0.79,3.746B,12.05B,5.607B,2013-02,7.253B,756.00M,-23.00M,-23.00M,12.05B,517.00M,5.058B,1.11B,7.726B,1.192B,436.00M,18.65B,4.497B,18.97B,35.56B,80.00M,12.43B,9.025B,16.59B,23.13B,7.566B,4.497B,4.497B,2.481B
WBA,2012-11,45.00M,1.829B,12.22B,1.316B,0.44,0.43,3.745B,17.16B,5.099B,2012-11,7.821B,413.00M,-37.00M,-37.00M,12.11B,559.00M,5.069B,701.00M,8.004B,668.00M,255.00M,17.32B,4.398B,18.38B,35.26B,80.00M,12.16B,9.32B,16.88B,23.10B,7.56B,4.398B,4.976B,2.264B
WBA,2012-08,68.00M,1.297B,12.24B,1.319B,0.4,0.39,3.447B,15.83B,4.835B,2012-08,7.036B,353.00M,-37.00M,-37.00M,12.04B,545.00M,4.073B,586.00M,6.044B,549.00M,196.00M,17.07B,4.249B,18.24B,33.46B,80.00M,10.76B,8.722B,15.23B,22.70B,6.504B,4.249B,4.838B,2.167B
WBA,2012-05,15.00M,1.995B,12.74B,13.00M,0.63,0.62,3.456B,0,5.014B,2012-05,7.004B,537.00M,-17.00M,-17.00M,11.79B,368.00M,2.387B,873.00M,7.488B,856.00M,319.00M,17.75B,4.141B,15.04B,27.20B,80.00M,11.57B,7.501B,12.16B,15.63B,4.658B,4.141B,4.637B,2.294B
WBA,2012-02,15.00M,1.084B,13.26B,12.00M,0.79,0.78,3.331B,0,5.389B,2012-02,7.347B,683.00M,-17.00M,-17.00M,11.70B,295.00M,2.381B,1.105B,7.242B,1.088B,405.00M,18.65B,4.284B,14.82B,26.62B,80.00M,11.21B,7.254B,11.81B,15.41B,4.552B,4.284B,4.469B,2.509B
WBA,2011-11,15.00M,1.094B,13.05B,11.00M,0.63,0.63,3.228B,0,5.104B,2011-11,8.231B,554.00M,-17.00M,-17.00M,11.70B,284.00M,2.39B,900.00M,8.218B,883.00M,329.00M,18.16B,4.204B,14.67B,27.43B,80.00M,12.11B,8.229B,12.76B,15.32B,4.526B,4.204B,5.127B,2.586B
WBA,2011-08,16.00M,1.556B,12.90B,13.00M,0.88,0.87,3.229B,0,5.069B,2011-08,8.044B,792.00M,-15.00M,-15.00M,11.53B,343.00M,2.396B,832.00M,8.07B,1.251B,459.00M,17.97B,4.237B,14.85B,27.45B,80.00M,12.32B,8.083B,12.61B,15.13B,4.524B,4.237B,4.995B,2.497B
WBA,2011-05,-22.00M,2.652B,13.22B,11.00M,0.66,0.65,3.001B,0,5.154B,2011-05,7.552B,603.00M,-18.00M,-18.00M,11.13B,419.00M,2.384B,951.00M,7.907B,933.00M,330.00M,18.37B,4.203B,14.72B,27.32B,80.00M,13.00B,7.918B,12.59B,14.31B,4.675B,4.203B,5.098B,2.598B
