Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PBCT,2015-09,-146.10M,4.766B,3.46B,0.23,0.23,2.085B,877.80M,2015-09,68.40M,27.50B,258.70M,0,3.209B,115.30M,101.50M,33.10M,321.90M,140.00M,4.731B,37.48B,3.90M,4.766B,832.30M,32.75B,36.52B,31.49B,145.90M,46.20M,134.30M
PBCT,2015-06,-164.50M,5.077B,0,0.2,0.2,2.091B,0,2015-06,61.70M,27.41B,262.90M,0,3.646B,0,93.90M,32.20M,313.20M,135.80M,4.686B,37.18B,3.90M,5.077B,946.60M,32.50B,36.16B,31.08B,141.80M,0,0
PBCT,2015-03,-140.60M,4.914B,0,0.2,0.2,2.097B,0,2015-03,59.20M,26.78B,268.40M,0,3.209B,0,89.70M,30.50M,317.10M,140.50M,4.682B,36.41B,3.90M,4.914B,976.00M,31.73B,35.44B,30.36B,146.40M,0,0
PBCT,2014-12,-168.20M,5.007B,0,0.22,0.22,2.102B,0,2014-12,64.70M,26.45B,458.70M,0,1.30B,0,97.30M,32.60M,314.90M,139.50M,4.633B,36.00B,3.90M,5.395B,3.532B,31.36B,33.97B,27.69B,145.70M,0,0
PBCT,2014-09,-124.50M,4.393B,0,0.21,0.21,2.109B,0,2014-09,61.60M,25.79B,282.50M,0,3.493B,0,91.30M,29.70M,312.50M,133.70M,4.655B,34.77B,3.90M,4.693B,944.60M,30.12B,33.64B,28.75B,139.90M,0,0
PBCT,2014-06,-126.20M,4.287B,0,0.24,0.24,2.115B,0,2014-06,72.30M,25.30B,289.30M,0,3.841B,0,111.20M,38.90M,307.70M,135.20M,4.636B,33.92B,3.90M,4.287B,972.30M,29.29B,32.94B,27.93B,141.40M,0,0
PBCT,2014-03,-137.50M,4.348B,0,0.18,0.18,2.121B,0,2014-03,53.10M,24.46B,292.50M,0,3.265B,0,80.80M,27.70M,307.00M,138.10M,4.596B,33.11B,3.90M,4.348B,1.262B,28.52B,32.17B,26.93B,144.30M,0,0
PBCT,2013-12,-155.10M,4.683B,0,0.2,0.2,2.127B,0,2013-12,59.30M,24.26B,488.40M,0,909.90M,0,88.70M,29.40M,307.40M,133.00M,4.568B,33.21B,3.90M,4.927B,4.902B,28.65B,31.88B,23.66B,139.60M,0,0
PBCT,2013-09,-202.50M,4.79B,905.40M,0.19,0.19,2.134B,898.10M,2013-09,58.50M,23.07B,314.20M,18.70M,3.017B,123.10M,85.00M,26.50M,309.60M,133.20M,4.638B,31.51B,3.90M,4.79B,1.244B,26.87B,30.60B,25.21B,139.70M,53.20M,137.70M
PBCT,2013-06,-178.80M,4.939B,26.10M,0.2,0.2,2.140B,848.00M,2013-06,62.10M,22.75B,320.10M,0,2.846B,207.80M,94.10M,32.00M,309.10M,130.50M,4.678B,31.34B,3.90M,4.939B,1.419B,26.67B,30.51B,24.83B,137.10M,117.80M,191.60M
PBCT,2013-03,-108.50M,5.018B,0,0.16,0.16,2.147B,0,2013-03,52.50M,22.02B,327.00M,0,2.068B,0,79.80M,27.30M,304.20M,123.60M,4.886B,30.60B,3.90M,5.018B,1.441B,25.71B,29.86B,23.86B,130.10M,0,0
PBCT,2012-12,-96.90M,5.134B,0,0.18,0.18,2.154B,0,2012-12,61.20M,21.66B,476.00M,0,932.90M,0,96.60M,35.40M,316.00M,145.50M,5.039B,30.32B,3.90M,5.371B,2.236B,25.29B,28.99B,22.95B,152.20M,0,0
PBCT,2012-09,-79.00M,422.00M,0,0.18,0.18,2.160B,0,2012-09,62.20M,20.91B,334.70M,0,789.70M,0,92.20M,30.00M,316.20M,123.30M,5.107B,28.58B,3.90M,422.00M,895.00M,23.47B,27.74B,22.15B,130.00M,0,0
PBCT,2012-06,-90.20M,415.10M,0,0.19,0.19,2.166B,0,2012-06,64.60M,20.48B,337.40M,0,490.40M,0,95.00M,30.40M,311.30M,121.40M,5.147B,28.15B,3.90M,487.90M,629.30M,23.01B,27.26B,21.95B,128.20M,0,0
PBCT,2012-03,-93.10M,341.10M,0,0.17,0.17,2.169B,0,2012-03,57.30M,20.36B,330.40M,0,491.30M,0,85.50M,28.20M,305.60M,126.00M,5.181B,27.81B,3.90M,1.108B,479.60M,22.63B,26.29B,21.76B,132.60M,0,0
PBCT,2011-12,-95.80M,3.506B,0,0.12,0.12,2.174B,0,2011-12,41.40M,20.36B,447.20M,0,493.00M,0,60.30M,18.90M,311.20M,170.60M,5.215B,27.56B,3.90M,3.816B,731.10M,22.34B,25.95B,21.55B,157.30M,0,0
PBCT,2011-09,-36.80M,370.90M,0,0.14,0.14,2.151B,0,2011-09,51.50M,20.02B,363.10M,0,492.80M,0,76.10M,24.60M,322.40M,110.10M,5.290B,27.21B,3.90M,1.15B,547.10M,21.92B,25.65B,20.98B,90.00M,0,0
PBCT,2011-06,-70.20M,1.157B,0,0.15,0.15,1.947B,0,2011-06,51.20M,17.55B,323.60M,0,636.60M,0,76.80M,25.60M,297.80M,102.50M,5.194B,25.32B,3.70M,1.157B,853.70M,20.13B,23.81B,18.91B,96.10M,0,0
