Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FLT,2015-09,-332.61M,422.39M,90.96M,1.002B,461.96M,1.27,1.24,5.983B,154.99M,360.53M,2015-09,116.77M,-17.16M,-17.16M,75.86M,759.87M,2.087B,188.46M,939.39M,165.36M,48.59M,451.49M,125.25M,2.963B,8.285B,0.12M,2.034B,2.441B,5.323B,6.252B,2.881B,172.07M,760.41M,731.96M
FLT,2015-06,-243.14M,384.18M,74.56M,1.246B,456.69M,1.07,1.05,6.105B,146.98M,330.04M,2015-06,98.68M,-18.09M,-18.09M,73.16M,794.14M,2.112B,169.15M,976.53M,145.29M,46.61M,404.60M,112.41M,2.907B,8.575B,0.12M,2.201B,2.722B,5.668B,6.374B,2.946B,160.89M,815.54M,811.48M
FLT,2015-03,-249.99M,379.39M,81.36M,1.336B,451.59M,1.03,1,6.131B,137.61M,334.81M,2015-03,94.15M,-19.57M,-19.57M,72.07M,794.38M,2.140B,163.77M,927.90M,139.65M,45.50M,416.17M,123.38M,2.780B,8.505B,0.12M,2.109B,2.756B,5.725B,6.395B,2.968B,171.04M,775.93M,773.47M
FLT,2014-12,-291.51M,477.07M,56.18M,1.425B,492.26M,1.25,1.21,6.099B,135.06M,320.51M,2014-12,109.54M,-13.23M,-13.23M,73.56M,799.94M,2.169B,172.62M,895.05M,140.30M,30.76M,376.70M,139.59M,2.619B,8.525B,0.12M,2.137B,2.897B,5.906B,6.387B,3.010B,147.89M,745.65M,673.80M
FLT,2014-09,-93.15M,304.11M,41.45M,919.94M,180.13M,1.14,1.11,2.422B,127.34M,253.83M,2014-09,95.51M,-4.859M,-4.859M,56.18M,233.70M,434.82M,144.21M,721.95M,136.55M,41.04M,295.28M,83.91M,1.559B,4.224B,0.12M,1.505B,1.929B,2.666B,2.720B,736.94M,109.62M,612.69M,715.66M
FLT,2014-06,-24.67M,297.64M,38.84M,1.021B,193.60M,1.07,1.03,2.422B,125.20M,234.66M,2014-06,88.55M,-5.308M,-5.308M,56.50M,245.98M,450.21M,134.48M,697.51M,127.96M,39.41M,273.50M,75.74M,1.476B,4.253B,0.118M,1.523B,2.028B,2.778B,2.730B,749.86M,100.17M,573.48M,688.53M
FLT,2014-03,-31.50M,283.37M,36.86M,926.37M,174.68M,0.91,0.88,2.422B,118.46M,217.05M,2014-03,75.11M,-5.461M,-5.461M,54.89M,248.07M,459.92M,114.14M,689.78M,108.13M,33.02M,253.91M,78.50M,1.366B,4.037B,0.118M,1.471B,1.910B,2.671B,2.565B,760.44M,102.92M,578.51M,682.75M
FLT,2013-12,-47.43M,338.10M,38.60M,1.011B,182.54M,0.83,0.8,2.424B,111.10M,216.90M,2013-12,68.12M,-5.501M,-5.501M,53.96M,249.50M,474.94M,106.05M,582.07M,100.08M,31.96M,255.50M,86.69M,1.244B,3.932B,0.117M,1.354B,1.909B,2.688B,2.579B,779.44M,110.85M,530.40M,573.35M
FLT,2013-09,-19.21M,345.69M,33.47M,654.89M,177.51M,0.96,0.93,1.886B,108.29M,191.68M,2013-09,78.62M,-3.756M,-3.756M,48.80M,225.16M,479.08M,111.26M,636.47M,107.66M,29.04M,225.15M,62.36M,1.174B,3.475B,0.117M,1.491B,1.597B,2.301B,1.985B,704.24M,80.42M,567.42M,661.90M
FLT,2013-06,-37.50M,292.90M,32.01M,548.09M,158.46M,0.9,0.87,1.510B,101.37M,188.86M,2013-06,73.10M,-3.756M,-3.756M,46.65M,176.50M,486.00M,109.07M,594.03M,105.32M,32.22M,220.87M,63.90M,1.050B,3.013B,0.117M,1.406B,1.301B,1.963B,1.607B,662.50M,79.78M,528.16M,627.68M
FLT,2013-03,-14.08M,224.61M,29.94M,507.38M,170.04M,0.8,0.77,1.475B,97.10M,163.71M,2013-03,64.66M,-3.448M,-3.448M,45.89M,175.55M,491.99M,94.25M,562.42M,90.51M,25.85M,193.65M,54.83M,983.01M,2.890B,0.116M,1.318B,1.240B,1.907B,1.572B,667.54M,69.46M,501.04M,626.46M
FLT,2012-12,-3.346M,283.65M,32.28M,439.88M,187.63M,0.72,0.7,1.390B,93.90M,170.33M,2012-12,60.07M,-3.39M,-3.39M,45.20M,180.61M,485.22M,93.17M,494.42M,89.18M,29.11M,202.62M,62.04M,913.82M,2.722B,0.116M,1.195B,1.142B,1.808B,1.527B,665.83M,77.16M,467.40M,525.44M
FLT,2012-09,-5.067M,655.06M,30.57M,228.64M,177.95M,0.71,0.69,1.390B,117.01M,156.36M,2012-09,59.65M,-3.246M,-3.246M,46.54M,172.79M,278.86M,85.83M,593.81M,82.59M,22.94M,186.93M,56.94M,1.035B,2.842B,0.116M,1.318B,1.355B,1.807B,1.524B,451.65M,70.53M,533.11M,578.82M
FLT,2012-06,-13.84M,580.58M,27.01M,129.87M,170.64M,0.65,0.63,1.184B,101.88M,144.81M,2012-06,54.40M,-2.818M,-2.818M,35.68M,141.61M,285.95M,81.45M,509.69M,78.70M,24.30M,171.82M,51.75M,941.92M,2.505B,0.115M,1.198B,1.135B,1.563B,1.306B,427.56M,63.36M,474.84M,545.80M
FLT,2012-03,-4.644M,628.12M,25.58M,179.36M,174.98M,0.51,0.49,1.137B,99.48M,120.59M,2012-03,42.08M,-3.563M,-3.563M,34.23M,133.31M,274.88M,64.48M,574.35M,60.32M,18.24M,146.16M,44.39M,883.04M,2.561B,0.114M,1.307B,1.270B,1.678B,1.254B,408.19M,56.11M,534.11M,599.81M
FLT,2011-12,-13.72M,285.16M,-10.57M,425.84M,180.27M,0.47,0.45,1.146B,93.38M,150.73M,2011-12,37.77M,-3.433M,-3.433M,32.72M,132.75M,278.43M,54.23M,520.45M,50.78M,13.01M,140.16M,86.58M,811.44M,2.349B,0.114M,1.124B,1.127B,1.538B,1.225B,411.18M,96.50M,489.14M,481.79M
FLT,2011-09,-8.646M,137.28M,34.22M,15.24M,168.26M,0.5,0.48,876.93M,90.44M,99.99M,2011-09,40.51M,-3.13M,-3.13M,30.37M,92.12M,281.48M,61.72M,270.62M,59.11M,18.60M,134.21M,29.21M,761.82M,1.740B,0.113M,786.93M,604.12M,977.72M,952.61M,373.60M,38.26M,241.42M,569.53M
FLT,2011-06,-3.761M,263.20M,34.66M,15.24M,78.23M,0.46,0.44,788.40M,90.77M,99.56M,2011-06,36.72M,-3.451M,-3.451M,27.80M,78.60M,285.29M,59.89M,286.51M,53.83M,17.11M,134.21M,31.08M,713.03M,1.619B,0.112M,755.27M,541.99M,905.88M,863.64M,363.89M,39.66M,234.87M,387.80M
FLT,2011-03,-4.129M,119.78M,26.21M,11.13M,81.02M,0.4,0.39,792.08M,87.41M,84.80M,2011-03,32.34M,-3.363M,-3.363M,27.10M,81.35M,317.29M,50.49M,309.77M,47.16M,14.82M,111.00M,25.70M,667.67M,1.622B,0.112M,759.87M,555.92M,954.55M,862.35M,398.64M,34.31M,250.76M,532.95M
