Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PPG,2014-03,-1.23B,3.039B,2.091B,19.00M,4.535,4.485,4.295B,7.42B,1.545B,2014-03,1.929B,1.262B,-35.00M,-35.00M,2.724B,281.00M,3.373B,406.00M,3.712B,372.00M,89.00M,120.00M,3.636B,900.00M,5.992B,17.12B,484.00M,8.888B,4.566B,11.03B,8.229B,6.462B,1.139B,0,3.016B
PPG,2013-12,-1.26B,1.745B,2.028B,34.00M,0.9,0.89,4.347B,7.681B,1.472B,2013-12,1.824B,254.00M,-35.00M,-35.00M,2.876B,249.00M,3.372B,377.00M,3.172B,316.00M,71.00M,119.00M,3.50B,905.00M,4.932B,15.86B,484.00M,7.214B,4.135B,10.66B,8.649B,6.53B,1.095B,0,2.736B
PPG,2013-09,-1.469B,2.249B,2.161B,27.00M,0.79,0.78,4.394B,7.449B,1.613B,2013-09,1.878B,226.00M,-37.00M,-37.00M,2.687B,216.00M,3.368B,473.00M,3.503B,247.00M,40.00M,117.00M,3.774B,910.00M,5.211B,16.64B,484.00M,8.12B,4.362B,11.16B,8.518B,6.795B,1.14B,1.903B,3.122B
PPG,2013-06,-1.639B,1.781B,2.263B,24.00M,1.19,1.175,4.311B,7.273B,1.62B,2013-06,1.862B,341.00M,-38.00M,-38.00M,2.637B,224.00M,3.355B,458.00M,3.343B,422.00M,98.00M,118.00M,3.883B,925.00M,5.042B,16.07B,484.00M,7.71B,4.106B,10.76B,8.356B,6.659B,1.162B,1.864B,3.223B
PPG,2013-03,-1.608B,2.38B,1.862B,48.00M,8.245,8.155,3.727B,7.042B,1.246B,2013-03,1.698B,2.41B,-43.00M,-43.00M,2.461B,235.00M,3.353B,290.00M,2.949B,241.00M,44.00M,109.00M,3.108B,746.00M,4.787B,15.38B,484.00M,7.726B,3.727B,10.34B,7.65B,6.608B,956.00M,0,2.824B
PPG,2012-12,-1.666B,2.393B,1.604B,642.00M,0.735,0.73,3.846B,9.03B,813.00M,2012-12,1.687B,227.00M,-44.00M,-44.00M,2.888B,231.00M,3.368B,92.00M,2.958B,47.00M,-11.00M,95.00M,2.417B,593.00M,4.063B,15.88B,484.00M,7.715B,4.461B,11.56B,8.163B,7.095B,721.00M,0,2.813B
PPG,2012-09,-1.704B,2.011B,1.983B,636.00M,1.105,1.09,3.772B,8.851B,1.425B,2012-09,1.777B,339.00M,-44.00M,-44.00M,2.759B,263.00M,3.365B,429.00M,3.105B,402.00M,92.00M,112.00M,3.408B,779.00M,3.861B,15.61B,484.00M,7.777B,4.49B,11.47B,7.829B,6.984B,996.00M,0,3.19B
PPG,2012-06,-1.793B,1.247B,2.066B,647.00M,1.185,1.17,3.711B,8.725B,1.462B,2012-06,1.775B,362.00M,-41.00M,-41.00M,2.719B,241.00M,2.964B,455.00M,3.16B,426.00M,98.00M,113.00M,3.528B,792.00M,3.461B,14.82B,484.00M,7.151B,4.565B,11.14B,7.666B,6.577B,1.007B,0,3.31B
PPG,2012-03,-1.653B,1.034B,1.946B,669.00M,0.04,0.04,3.861B,8.808B,1.387B,2012-03,1.83B,13.00M,-41.00M,-41.00M,2.785B,262.00M,2.988B,346.00M,3.133B,-47.00M,-31.00M,110.00M,3.333B,823.00M,3.293B,14.83B,484.00M,6.944B,4.558B,11.32B,7.89B,6.76B,1.041B,0,3.236B
PPG,2011-12,-1.80B,1.482B,968.00M,108.00M,0.705,0.695,3.785B,8.614B,817.00M,2011-12,1.607B,216.00M,-41.00M,-41.00M,2.721B,272.00M,3.574B,2.00M,2.888B,-91.00M,-80.00M,107.00M,1.785B,690.00M,3.249B,14.38B,484.00M,6.694B,3.702B,10.94B,7.688B,7.234B,815.00M,0,2.83B
PPG,2011-09,-1.464B,1.338B,2.353B,102.00M,0.99,0.98,3.872B,8.537B,1.496B,2011-09,1.737B,311.00M,-40.00M,-40.00M,2.669B,286.00M,3.59B,466.00M,3.105B,462.00M,120.00M,108.00M,3.849B,806.00M,3.662B,14.54B,484.00M,6.94B,3.788B,10.64B,7.603B,6.849B,1.03B,0,3.088B
PPG,2011-06,-1.083B,1.245B,2.417B,111.00M,1.075,1.06,4.151B,8.706B,1.569B,2011-06,1.821B,340.00M,-44.00M,-44.00M,2.759B,305.00M,3.613B,511.00M,3.199B,500.00M,128.00M,110.00M,3.986B,829.00M,4.054B,15.27B,484.00M,7.239B,3.922B,10.98B,8.028B,7.057B,1.058B,0,3.345B
