Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TDG,2016-03,-109.85M,612.02M,371.10M,243.36M,2.52,2.52,6.291B,0,425.66M,2016-03,634.13M,141.68M,-111.29M,-111.29M,275.85M,396.50M,8.092B,319.84M,432.64M,200.79M,59.10M,796.80M,87.30M,-961.82M,8.359B,0.554M,1.758B,676.00M,9.321B,6.601B,8.645B,105.82M,125.93M,480.58M
TDG,2015-12,-96.10M,805.29M,327.10M,243.26M,2.23,2.23,6.171B,480.06M,374.57M,2015-12,599.31M,129.44M,-111.98M,-111.98M,268.03M,410.11M,8.099B,279.34M,413.18M,164.06M,34.62M,701.70M,78.90M,-964.27M,8.330B,0.553M,1.861B,656.44M,9.294B,6.469B,8.638B,95.22M,113.61M,427.26M
TDG,2015-09,-96.01M,714.03M,382.20M,243.22M,2.5,2.5,6.226B,395.57M,427.60M,2015-09,591.40M,141.67M,-113.40M,-113.40M,260.68M,405.00M,8.106B,322.75M,321.57M,199.68M,58.01M,809.79M,88.60M,-1.038B,8.304B,0.551M,1.787B,657.59M,9.342B,6.517B,8.685B,104.85M,142.82M,444.07M
TDG,2015-06,-58.59M,915.35M,331.90M,244.20M,1.75,1.75,5.967B,362.15M,359.46M,2015-06,574.19M,99.11M,-124.96M,-124.96M,250.92M,493.60M,8.205B,267.94M,435.49M,138.74M,39.63M,691.40M,77.60M,-1.169B,8.350B,0.549M,2.029B,679.69M,9.519B,6.321B,8.840B,91.51M,129.05M,419.96M
TDG,2015-03,-84.41M,392.52M,277.40M,239.30M,1.96,1.96,5.420B,0,341.62M,2015-03,553.06M,110.89M,-99.89M,-99.89M,232.34M,483.40M,7.299B,260.89M,374.22M,156.67M,45.78M,619.03M,69.70M,-1.326B,7.226B,0.547M,1.467B,613.52M,8.552B,5.759B,7.939B,80.73M,120.66M,419.64M
TDG,2014-12,-46.46M,1.012B,265.70M,239.30M,1.63,1.63,4.716B,0,321.17M,2014-12,470.85M,95.53M,-98.94M,-98.94M,211.82M,396.73M,7.234B,241.25M,405.76M,141.73M,46.20M,586.90M,66.90M,-1.465B,6.914B,0.54M,1.876B,645.05M,8.378B,5.037B,7.733B,79.93M,92.71M,333.51M
TDG,2014-09,-25.17M,819.55M,293.60M,239.30M,1.91,1.91,4.742B,0,348.63M,2014-09,459.07M,114.26M,-97.06M,-97.06M,212.11M,402.25M,7.234B,256.80M,263.48M,161.66M,47.40M,642.24M,78.60M,-1.556B,6.757B,0.538M,1.690B,585.91M,8.313B,5.067B,7.727B,91.82M,115.74M,351.31M
TDG,2014-06,-6.845M,729.13M,283.10M,239.30M,-1.66,-1.66,4.768B,0,327.53M,2014-06,461.63M,16.18M,-219.10M,-219.10M,209.35M,405.52M,7.251B,242.23M,312.43M,20.88M,4.70M,610.58M,68.90M,-1.592B,6.711B,0.535M,1.625B,551.72M,8.302B,5.086B,7.751B,85.30M,94.78M,353.32M
TDG,2014-03,-0.631M,475.69M,283.20M,31.04M,1.49,1.49,4.779B,0,307.58M,2014-03,458.46M,90.36M,-82.29M,-82.29M,208.71M,403.99M,5.692B,221.28M,321.43M,136.20M,45.85M,590.76M,68.70M,-125.63M,6.399B,0.534M,1.328B,352.48M,6.525B,5.071B,6.172B,86.30M,95.15M,342.38M
TDG,2013-12,0.195M,410.92M,245.20M,31.04M,1.44,1.44,4.768B,0,284.14M,2013-12,443.05M,86.12M,-80.85M,-80.85M,219.22M,417.34M,5.700B,211.35M,307.60M,129.77M,43.65M,529.32M,56.40M,-234.18M,6.292B,0.532M,1.221B,338.65M,6.527B,5.071B,6.188B,72.78M,90.50M,322.44M
TDG,2013-09,-6.516M,564.74M,256.90M,31.04M,-0.2,-0.2,4.533B,0,282.72M,2013-09,413.58M,84.03M,-81.25M,-81.25M,208.96M,384.30M,5.700B,207.04M,229.28M,124.53M,40.50M,539.74M,59.80M,-336.38M,6.149B,0.532M,1.320B,322.50M,6.485B,4.828B,6.163B,75.68M,106.77M,290.45M
TDG,2013-06,-13.22M,269.17M,219.70M,22.00M,0.71,0.71,4.517B,295.92M,268.99M,2013-06,413.95M,76.66M,-62.47M,-62.47M,198.56M,388.70M,4.317B,182.00M,235.45M,114.26M,37.60M,488.64M,77.50M,801.73M,5.813B,0.53M,1.041B,257.45M,5.011B,4.772B,4.753B,86.99M,75.73M,287.90M
TDG,2013-03,-15.54M,680.02M,206.30M,22.00M,1.25,1.25,4.136B,244.98M,259.31M,2013-03,340.18M,67.94M,-94.38M,-94.38M,175.44M,361.29M,4.322B,194.78M,237.26M,99.74M,31.80M,465.61M,54.80M,685.37M,5.694B,0.529M,1.328B,259.26M,5.009B,4.366B,4.749B,64.54M,73.70M,243.07M
TDG,2012-12,-6.213M,554.43M,191.90M,22.00M,0.66,0.66,4.141B,0,238.55M,2012-12,332.47M,74.17M,-62.88M,-62.88M,174.55M,354.76M,4.297B,173.51M,211.70M,109.97M,35.80M,430.42M,54.50M,598.85M,5.550B,0.525M,1.155B,233.70M,4.951B,4.394B,4.717B,65.04M,69.55M,218.66M
TDG,2012-09,-8.051M,440.52M,205.80M,20.50M,1.63,1.63,4.159B,0,256.82M,2012-09,320.50M,87.87M,-55.15M,-55.15M,172.74M,356.90M,3.599B,187.21M,164.17M,136.27M,48.40M,462.61M,58.50M,1.219B,5.460B,0.521M,1.051B,233.92M,4.241B,4.409B,4.007B,69.61M,74.18M,235.78M
TDG,2012-06,-11.77M,302.72M,208.40M,20.50M,1.68,1.68,4.142B,0,253.30M,2012-06,328.08M,90.45M,-55.39M,-55.39M,170.06M,347.73M,3.604B,186.36M,162.66M,130.47M,40.02M,461.66M,55.60M,1.107B,5.306B,0.519M,914.25M,183.16M,4.199B,4.392B,4.016B,66.94M,76.11M,250.70M
TDG,2012-03,-5.274M,201.48M,187.40M,20.50M,1.51,1.51,4.128B,0,236.04M,2012-03,326.60M,81.55M,-52.30M,-52.30M,174.38M,322.80M,3.609B,176.80M,189.80M,124.93M,43.38M,423.47M,49.90M,994.92M,5.200B,0.515M,815.08M,210.30M,4.205B,4.385B,3.995B,59.24M,73.30M,252.66M
TDG,2011-12,-7.618M,359.90M,152.90M,15.50M,1.15,1.15,3.490B,0,199.56M,2011-12,274.17M,65.10M,-49.06M,-49.06M,149.82M,313.60M,3.119B,148.52M,149.23M,96.20M,31.10M,352.47M,38.60M,887.07M,4.545B,0.511M,840.04M,164.73M,3.658B,3.705B,3.494B,51.04M,72.46M,174.70M
TDG,2011-09,-3.277M,376.18M,150.00M,15.50M,1.26,1.26,3.424B,0,193.02M,2011-09,265.32M,67.40M,-121.16M,-121.16M,150.80M,310.45M,3.123B,145.70M,166.54M,93.65M,29.34M,342.95M,35.16M,810.95M,4.514B,0.508M,870.29M,206.86M,3.703B,3.643B,3.496B,47.32M,71.05M,189.29M
TDG,2011-06,2.522M,549.25M,142.06M,15.50M,1.06,1.06,3.184B,0,183.15M,2011-06,250.71M,56.28M,-49.86M,-49.86M,134.60M,319.87M,3.127B,139.16M,139.26M,89.26M,30.89M,325.21M,31.55M,735.32M,4.385B,0.506M,996.87M,154.76M,3.650B,3.388B,3.495B,43.99M,65.74M,164.58M
TDG,2011-03,-0.994M,505.34M,146.43M,15.50M,1.04,1.04,3.218B,0,157.87M,2011-03,245.76M,55.82M,-54.14M,-54.14M,135.88M,319.24M,3.131B,113.24M,202.25M,57.46M,20.76M,304.31M,33.17M,667.03M,4.386B,0.505M,964.04M,217.75M,3.719B,3.422B,3.502B,44.63M,99.50M,162.39M
