Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
C,2018-09,-38.64B,476.21B,33.77B,1.73,1.73,27.40B,2018-09,4.622B,660.94B,235.27B,73.35B,6.104B,1.471B,18.70B,7.84B,197.00B,1.925T,19.07B,799.46B,283.03B,1.727T,1.403T,1.388T,7.84B,73.35B,42.31B
C,2018-06,-37.49B,482.03B,37.23B,1.63,1.63,27.38B,2018-06,4.49B,657.42B,236.82B,67.67B,5.945B,1.444B,18.79B,8.00B,200.09B,1.912T,19.07B,786.17B,282.73B,1.711T,1.407T,1.374T,8.00B,67.67B,38.62B
C,2018-03,-34.62B,479.92B,36.09B,1.68,1.68,27.70B,2018-03,4.62B,658.89B,237.94B,69.68B,6.09B,1.441B,19.25B,8.348B,201.92B,1.922T,19.19B,786.07B,277.54B,1.719T,1.413T,1.383T,8.348B,69.68B,48.26B
C,2017-12,-34.67B,461.94B,44.45B,-7.021,-7.15,27.40B,2017-12,-18.89B,652.94B,236.71B,61.34B,5.099B,23.86B,17.82B,7.395B,200.74B,1.842T,19.28B,734.54B,262.07B,1.641T,1.389T,1.322T,7.395B,61.34B,40.12B
C,2017-09,-29.89B,471.82B,38.15B,1.42,1.42,27.63B,2017-09,4.133B,639.03B,232.67B,63.20B,6.003B,1.866B,18.72B,7.814B,227.63B,1.889T,19.28B,764.30B,262.64B,1.661T,1.411T,1.336T,7.814B,63.20B,39.86B
C,2017-06,-29.90B,471.20B,36.52B,1.28,1.28,27.80B,2017-06,3.872B,630.89B,225.18B,62.95B,5.678B,1.795B,18.60B,7.942B,230.02B,1.864T,19.28B,747.53B,254.25B,1.633T,1.402T,1.321T,7.942B,62.95B,42.27B
C,2017-03,-30.92B,462.21B,26.13B,1.35,1.35,27.84B,2017-03,4.09B,614.72B,208.53B,59.66B,5.981B,1.863B,18.67B,7.905B,228.13B,1.822T,19.28B,743.88B,234.01B,1.592T,1.360T,1.303T,7.905B,59.66B,38.74B
C,2016-12,-32.38B,451.68B,30.70B,1.27,1.14,28.34B,2016-12,3.573B,610.46B,206.18B,57.15B,5.10B,1.509B,18.24B,7.428B,225.12B,1.792T,19.28B,719.23B,229.67B,1.566T,1.364T,1.275T,7.428B,57.15B,30.74B
C,2016-09,-27.19B,455.69B,29.53B,1.24,1.24,29.17B,2016-09,3.84B,624.11B,209.05B,61.92B,5.62B,1.733B,18.10B,7.671B,231.58B,1.818T,19.28B,729.74B,244.57B,1.585T,1.388T,1.281T,7.671B,61.92B,38.00B
C,2016-06,-26.12B,454.24B,18.41B,1.24,1.24,29.34B,2016-06,3.998B,619.27B,207.45B,62.05B,5.77B,1.723B,17.82B,7.635B,231.89B,1.819T,19.28B,793.93B,310.47B,1.586T,1.329T,1.210T,7.635B,62.05B,38.79B
C,2016-03,-26.63B,456.89B,20.89B,1.1,1.1,27.59B,2016-03,3.501B,604.10B,207.84B,58.26B,4.987B,1.479B,17.79B,7.918B,227.52B,1.801T,17.78B,782.30B,309.60B,1.572T,1.317T,1.205T,7.918B,58.26B,37.28B
C,2015-12,-29.34B,421.54B,21.08B,1.124,1.02,27.85B,2015-12,3.335B,602.55B,201.28B,53.72B,4.808B,1.403B,18.72B,7.946B,221.86B,1.731T,16.75B,671.34B,221.30B,1.508T,1.348T,1.227T,7.946B,53.72B,30.13B
C,2015-09,-27.26B,446.29B,22.58B,1.36,1.35,28.09B,2015-09,4.291B,606.40B,213.53B,59.56B,6.187B,1.881B,18.96B,7.793B,220.85B,1.808T,15.25B,779.15B,314.47B,1.586T,1.316T,1.180T,7.793B,59.56B,40.29B
C,2015-06,-25.10B,437.06B,25.91B,1.52,1.51,29.01B,2015-06,4.846B,615.53B,211.84B,54.87B,6.894B,2.036B,19.76B,8.002B,219.44B,1.829T,14.00B,781.38B,330.76B,1.609T,1.331T,1.183T,8.002B,54.87B,46.43B
C,2015-03,-24.69B,438.42B,39.40B,1.51,1.51,29.08B,2015-03,4.77B,603.83B,210.52B,58.25B,6.937B,2.12B,20.03B,7.808B,214.62B,1.832T,12.00B,787.28B,338.27B,1.616T,1.327T,1.187T,7.808B,58.25B,38.26B
C,2014-12,-23.22B,446.53B,58.34B,0.1157,0.06,30.00B,2014-12,344.00M,625.92B,223.08B,52.18B,1.46B,1.077B,18.17B,8.426B,210.18B,1.842T,10.50B,788.20B,354.90B,1.630T,1.340T,1.191T,8.426B,52.18B,31.14B
C,2014-09,-19.98B,477.72B,64.84B,0.88,0.88,31.12B,2014-09,2.841B,634.10B,223.84B,59.43B,4.984B,2.068B,19.92B,8.625B,212.27B,1.883T,8.999B,822.99B,378.56B,1.669T,1.359T,1.225T,8.625B,59.43B,42.11B
C,2014-06,-18.15B,481.66B,59.53B,0.03,0.03,32.07B,2014-06,181.00M,646.78B,226.98B,62.32B,2.174B,1.921B,19.68B,8.54B,211.36B,1.910T,8.999B,827.22B,381.60B,1.697T,1.375T,1.240T,8.54B,62.32B,44.70B
C,2014-03,-19.15B,495.34B,58.90B,1.24,1.23,32.48B,2014-03,3.944B,642.45B,222.75B,59.41B,6.083B,2.131B,20.49B,8.487B,208.46B,1.895T,7.249B,841.73B,388.91B,1.684T,1.344T,1.233T,8.487B,59.41B,35.34B
C,2013-12,-19.13B,463.14B,58.94B,0.8887,0.79,32.78B,2013-12,2.442B,642.88B,221.12B,53.71B,3.72B,1.409B,19.22B,9.744B,204.34B,1.880T,6.769B,801.62B,377.67B,1.674T,1.343T,1.237T,9.744B,53.71B,28.62B
C,2013-09,-18.80B,485.35B,58.90B,1.01,1.01,32.57B,2013-09,3.227B,634.17B,221.59B,56.99B,4.266B,1.08B,17.90B,7.854B,200.85B,1.900T,5.274B,838.52B,404.19B,1.697T,1.338T,1.227T,7.854B,56.99B,27.75B
C,2013-06,-19.92B,466.55B,58.81B,1.35,1.34,32.40B,2013-06,4.182B,619.36B,220.96B,61.70B,6.315B,2.127B,20.49B,8.041B,195.93B,1.884T,4.324B,822.84B,409.86B,1.686T,1.335T,1.211T,8.041B,61.70B,36.29B
C,2013-03,-17.06B,456.13B,48.19B,1.23,1.23,33.13B,2013-03,3.808B,619.93B,234.33B,59.30B,5.501B,1.57B,20.25B,8.314B,193.36B,1.882T,3.168B,809.79B,396.99B,1.686T,1.354T,1.221T,8.314B,59.30B,27.94B
C,2012-12,-16.90B,427.28B,52.03B,0.4064,0.4064,33.31B,2012-12,1.196B,627.21B,239.46B,57.01B,1.095B,-214.00M,19.24B,10.77B,189.05B,1.865T,2.592B,768.50B,384.07B,1.674T,1.385T,1.222T,10.77B,57.01B,25.29B
C,2012-09,-15.57B,203.83B,49.16B,0.15,0.15,33.80B,2012-09,468.00M,632.51B,271.86B,55.38B,-1.009B,-1.494B,13.70B,8.142B,186.78B,1.931T,341.00M,512.45B,328.91B,1.743T,1.419T,1.346T,8.142B,55.38B,31.08B
C,2012-06,-17.75B,188.98B,58.70B,0.98,0.95,33.76B,2012-06,2.946B,627.36B,288.33B,59.13B,3.697B,718.00M,18.39B,8.149B,183.91B,1.916T,341.00M,496.98B,332.68B,1.731T,1.419T,1.331T,8.149B,59.13B,35.34B
C,2012-03,-16.74B,210.45B,55.61B,0.98,0.95,34.91B,2012-03,2.931B,619.00B,311.08B,56.97B,4.068B,1.006B,19.41B,8.27B,181.82B,1.944T,341.00M,538.95B,338.58B,1.761T,1.405T,1.353T,8.27B,56.97B,39.44B
C,2011-12,-17.79B,449.69B,54.44B,0.3996,0.38,34.58B,2011-12,956.00M,614.58B,323.50B,56.70B,1.187B,145.00M,17.48B,10.49B,177.81B,1.874T,341.00M,818.19B,379.32B,1.694T,1.321T,1.246T,10.49B,56.70B,30.33B
C,2011-09,-17.04B,188.29B,65.82B,1.27,1.23,35.15B,2011-09,3.771B,605.19B,333.82B,56.09B,5.02B,1.278B,20.83B,8.164B,177.37B,1.936T,606.00M,516.92B,345.52B,1.757T,1.419T,1.334T,8.164B,56.09B,37.99B
C,2011-06,-12.22B,183.95B,72.89B,1.12,1.09,38.02B,2011-06,3.341B,613.14B,352.46B,57.24B,4.299B,967.00M,20.62B,8.571B,176.36B,1.957T,605.00M,508.62B,333.98B,1.778T,1.448T,1.371T,8.571B,57.24B,40.70B
