Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
C,2021-03,-35.01B,628.72B,32.09B,3.815,3.62,26.65B,2021-03,7.942B,644.35B,256.34B,60.91B,10.31B,2.332B,19.34B,8.175B,202.55B,2.314T,20.31B,1.004T,312.16B,2.111T,1.614T,1.736T,8.175B,60.91B,60.46B
C,2020-12,-32.06B,638.78B,29.51B,2.225,2.08,26.91B,2020-12,3.979B,650.19B,271.69B,50.48B,4.998B,1.003B,16.85B,8.07B,199.44B,2.260T,19.51B,979.03B,279.52B,2.060T,1.610T,1.720T,8.07B,50.48B,45.54B
C,2020-09,-33.06B,661.39B,37.44B,1.41,1.4,26.43B,2020-09,3.23B,639.72B,273.25B,54.33B,4.076B,815.00M,17.69B,8.157B,193.88B,2.234T,18.01B,1.003T,298.99B,2.040T,1.569T,1.683T,8.157B,54.33B,52.38B
C,2020-06,-33.34B,645.75B,40.16B,0.51,0.5,25.85B,2020-06,1.316B,657.94B,279.78B,60.57B,1.448B,131.00M,20.00B,7.949B,191.62B,2.233T,18.01B,981.23B,316.44B,2.040T,1.587T,1.663T,7.949B,60.57B,52.57B
C,2020-03,-32.52B,585.15B,54.95B,1.05,1.05,25.82B,2020-03,2.522B,699.12B,266.10B,74.37B,3.11B,576.00M,21.22B,7.954B,192.33B,2.220T,18.01B,917.30B,351.64B,2.027T,1.602T,1.615T,7.954B,74.37B,69.62B
C,2019-12,-36.32B,465.46B,45.05B,2.316,2.15,26.95B,2019-12,4.979B,685.32B,248.76B,48.60B,5.702B,703.00M,18.58B,7.485B,193.24B,1.951T,18.01B,758.03B,259.99B,1.757T,1.465T,1.439T,7.485B,48.60B,41.24B
C,2019-09,-36.14B,486.05B,35.23B,2.09,2.07,26.67B,2019-09,4.913B,677.82B,242.24B,63.34B,6.022B,1.079B,18.78B,7.706B,196.37B,2.015T,19.51B,802.78B,293.62B,1.818T,1.478T,1.466T,7.706B,63.34B,55.61B
C,2019-06,-35.20B,466.19B,42.44B,1.95,1.95,27.09B,2019-06,4.799B,674.73B,252.19B,69.84B,6.165B,1.373B,18.95B,7.747B,197.36B,1.988T,18.01B,777.46B,293.41B,1.790T,1.474T,1.434T,7.747B,69.84B,51.50B
C,2019-03,-36.31B,467.88B,39.32B,1.88,1.87,27.23B,2019-03,4.71B,668.47B,243.57B,62.66B,6.012B,1.275B,18.77B,7.942B,196.25B,1.958T,18.01B,778.43B,292.35B,1.761T,1.442T,1.410T,7.942B,62.66B,46.05B
C,2018-12,-37.17B,466.85B,32.35B,1.796,1.64,27.27B,2018-12,4.313B,670.35B,232.00B,64.57B,5.306B,1.001B,17.30B,6.987B,196.22B,1.917T,18.49B,774.52B,274.68B,1.720T,1.422T,1.389T,6.987B,64.57B,36.98B
