Ticker,Date,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ODFL,2021-03,662.09M,768.52M,45.00M,1.71,1.7,19.46M,4.591B,358.00M,2021-03,0,199.36M,-0.221M,-0.221M,2.908B,220.21M,99.94M,269.66M,181.83M,269.31M,69.95M,1.127B,52.29M,3.192B,4.352B,11.71M,1.223B,513.86M,1.160B,3.129B,646.08M,88.34M,77.22M,454.22M
ODFL,2020-12,731.70M,741.77M,45.00M,1.62,1.61,19.46M,4.567B,331.62M,2020-12,0,189.83M,-0.618M,-0.618M,2.914B,236.81M,99.93M,254.30M,187.13M,253.32M,63.49M,1.073B,41.66M,3.326B,4.369B,11.73M,1.243B,373.13M,1.043B,3.126B,669.99M,77.32M,72.50M,462.92M
ODFL,2020-09,625.69M,705.32M,45.00M,1.72,1.71,19.46M,4.533B,352.85M,2020-09,0,201.87M,-0.948M,-0.948M,2.935B,248.56M,99.93M,270.24M,258.50M,268.34M,66.47M,1.058B,46.83M,3.171B,4.274B,11.73M,1.138B,449.29M,1.103B,3.135B,653.57M,82.61M,154.56M,395.78M
ODFL,2020-06,518.62M,621.04M,0,1.26,1.25,19.46M,4.480B,275.17M,2020-06,0,147.80M,-0.534M,-0.534M,2.955B,261.96M,99.92M,199.17M,207.14M,199.00M,51.20M,896.21M,44.05M,2.982B,4.080B,11.81M,968.57M,494.17M,1.098B,3.111B,603.39M,76.01M,108.78M,427.61M
ODFL,2020-03,356.97M,718.41M,0,1.12,1.11,19.46M,4.433B,268.95M,2020-03,0,133.18M,1.148M,1.148M,2.954B,261.96M,45.00M,183.17M,173.56M,180.70M,47.52M,987.36M,51.65M,3.016B,3.935B,11.95M,831.01M,428.30M,918.94M,3.104B,490.64M,85.78M,73.10M,408.16M
ODFL,2019-12,403.57M,732.05M,0,1.207,1.2,19.46M,4.388B,277.15M,2019-12,0,144.02M,1.705M,1.705M,2.969B,247.67M,45.00M,188.26M,195.74M,189.59M,45.57M,1.009B,52.43M,3.081B,3.996B,7.988M,866.83M,366.08M,914.85M,3.129B,548.77M,88.89M,90.40M,438.08M
ODFL,2019-09,322.29M,737.35M,0,1.37,1.37,19.46M,4.294B,311.11M,2019-09,0,164.10M,1.711M,1.711M,2.928B,247.67M,45.00M,217.53M,194.97M,218.39M,54.30M,1.048B,53.01M,2.910B,3.892B,8.014M,806.98M,396.86M,982.89M,3.085B,586.03M,93.58M,98.27M,458.14M
ODFL,2019-06,228.96M,742.03M,0,1.44,1.44,0,4.139B,318.63M,2019-06,0,174.07M,1.609M,1.609M,2.858B,247.67M,45.00M,234.49M,183.81M,235.57M,61.50M,1.061B,50.11M,2.798B,3.759B,8.107M,741.42M,386.10M,960.22M,3.017B,574.11M,84.14M,79.40M,455.33M
ODFL,2019-03,280.63M,727.46M,0,1.1,1.1,0,4.073B,263.32M,2019-03,0,133.32M,1.361M,1.361M,2.762B,247.67M,45.00M,178.43M,158.28M,180.39M,47.06M,990.78M,50.57M,2.770B,3.704B,8.123M,783.88M,358.16M,933.67M,2.920B,575.52M,84.90M,78.52M,468.26M
ODFL,2018-12,190.28M,728.36M,0,1.307,1.3,0,0,298.58M,2018-12,0,159.46M,1.073M,1.073M,2.755B,0,0,218.84M,0,217.35M,57.89M,1.027B,46.08M,2.680B,3.545B,0,706.23M,356.73M,864.80M,2.839B,508.07M,79.74M,0,0
ODFL,2018-09,177.47M,747.53M,50.00M,1.413,1.413,19.46M,4.004B,310.70M,2018-09,0,173.44M,0.749M,0.749M,2.703B,227.53M,45.00M,228.38M,168.93M,229.20M,55.76M,1.058B,51.49M,2.617B,3.489B,8.189M,696.32M,362.46M,872.38M,2.793B,509.92M,82.32M,88.15M,482.21M
ODFL,2018-06,140.57M,731.09M,50.00M,1.327,1.327,19.46M,3.859B,302.40M,2018-06,0,163.43M,0.657M,0.657M,2.586B,196.94M,45.00M,220.48M,189.24M,221.47M,58.04M,1.033B,48.67M,2.482B,3.321B,8.208M,647.58M,366.36M,839.03M,2.673B,472.67M,81.92M,109.56M,464.28M
ODFL,2018-03,159.94M,692.47M,50.00M,0.8867,0.8867,19.46M,3.674B,232.55M,2018-03,0,109.33M,0.445M,0.445M,2.451B,179.35M,45.00M,149.34M,187.47M,147.49M,38.15M,925.02M,48.12M,2.359B,3.144B,8.229M,615.45M,345.28M,785.25M,2.529B,439.97M,83.21M,109.80M,418.47M
ODFL,2017-12,127.46M,667.04M,50.00M,1.6,1.593,19.46M,3.580B,224.08M,2017-12,0,197.25M,0.046M,0.046M,2.404B,189.96M,45.00M,143.46M,148.48M,143.86M,-53.39M,891.12M,47.52M,2.277B,3.068B,8.238M,584.65M,351.05M,791.57M,2.484B,440.52M,80.62M,73.73M,415.78M
ODFL,2017-09,78.09M,634.03M,0,0.8267,0.8267,19.46M,3.530B,238.95M,2017-09,0,102.31M,-0.327M,-0.327M,2.367B,274.41M,45.00M,163.88M,154.24M,164.52M,62.21M,872.99M,45.98M,2.087B,2.956B,8.238M,513.10M,355.65M,869.15M,2.443B,513.50M,75.08M,79.41M,399.39M
