Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
JNJ,2014-06,-2.645B,29.39B,6.039B,3.949B,1.53,1.51,49.82B,36.25B,13.46B,2014-06,8.009B,4.326B,-114.00M,-114.00M,16.00B,4.594B,13.34B,5.97B,18.15B,5.626B,1.30B,2.005B,19.50B,5.481B,76.58B,133.33B,3.12B,57.37B,23.84B,56.75B,75.96B,32.91B,7.486B,6.975B,12.12B
JNJ,2014-03,-2.86B,29.21B,5.455B,4.852B,1.67,1.64,50.74B,37.13B,12.66B,2014-03,7.878B,4.727B,-118.00M,-118.00M,16.71B,3.989B,13.33B,5.646B,18.03B,5.424B,697.00M,1.831B,18.12B,5.183B,74.05B,132.68B,3.12B,56.41B,25.68B,58.63B,76.28B,32.96B,7.014B,7.036B,11.71B
JNJ,2013-12,-5.346B,25.23B,5.955B,5.359B,1.248,1.23,51.32B,36.43B,12.40B,2013-12,8.124B,3.519B,-116.00M,-116.00M,16.13B,3.613B,9.748B,4.072B,18.15B,2.75B,-769.00M,2.411B,18.36B,5.917B,69.80B,126.93B,3.12B,52.18B,25.84B,57.13B,74.76B,31.29B,8.328B,7.766B,12.03B
JNJ,2013-09,-6.81B,25.13B,5.344B,5.339B,1.06,1.04,50.04B,35.40B,12.23B,2013-09,7.822B,2.982B,-87.00M,-87.00M,15.79B,3.685B,9.643B,4.875B,16.43B,3.667B,685.00M,2.042B,17.58B,5.314B,69.66B,124.32B,3.12B,51.27B,23.77B,54.66B,73.05B,30.89B,7.356B,6.643B,11.61B
JNJ,2013-06,-6.689B,21.67B,5.489B,4.529B,1.36,1.33,50.36B,34.70B,12.39B,2013-06,7.691B,3.833B,-101.00M,-101.00M,15.72B,3.619B,11.36B,5.066B,16.36B,4.793B,960.00M,1.946B,17.88B,5.376B,66.86B,121.54B,3.12B,47.23B,22.52B,54.68B,74.31B,32.16B,7.322B,6.55B,11.52B
JNJ,2013-03,-5.81B,21.09B,5.554B,4.676B,1.25,1.22,51.18B,34.65B,11.95B,2013-03,7.495B,3.497B,-104.00M,-104.00M,16.10B,3.136B,11.49B,4.944B,17.16B,4.261B,764.00M,1.784B,17.50B,5.223B,64.83B,121.35B,3.12B,46.12B,24.26B,56.52B,75.23B,32.26B,7.007B,6.895B,11.31B
JNJ,2012-12,-4.925B,19.77B,6.003B,5.423B,0.9239,0.91,50.57B,34.08B,11.56B,2012-12,7.809B,2.567B,-89.00M,-89.00M,15.84B,2.716B,11.43B,3.563B,16.38B,3.10B,533.00M,2.331B,17.56B,5.661B,63.76B,118.95B,3.12B,44.79B,23.94B,55.19B,74.16B,31.26B,7.992B,6.846B,11.18B
JNJ,2012-09,-6.204B,16.92B,5.597B,6.04B,1.08,1.05,50.61B,33.30B,11.46B,2012-09,7.697B,2.968B,-120.00M,-120.00M,15.62B,2.276B,11.52B,4.304B,15.90B,3.595B,966.00M,1.923B,17.05B,5.228B,60.43B,115.75B,3.12B,41.62B,23.85B,55.32B,74.14B,31.47B,7.151B,6.404B,10.99B
JNJ,2012-06,-4.54B,33.85B,5.143B,6.439B,0.51,0.5,34.50B,32.55B,11.33B,2012-06,6.80B,1.408B,-129.00M,-129.00M,14.82B,1.846B,13.01B,4.601B,14.76B,2.035B,627.00M,1.766B,16.48B,4.965B,61.37B,116.19B,3.12B,57.01B,21.20B,54.83B,59.19B,33.63B,6.731B,5.999B,10.98B
JNJ,2012-03,-5.632B,32.26B,4.915B,6.658B,1.43,1.41,34.28B,31.83B,11.22B,2012-03,6.285B,3.91B,-130.00M,-130.00M,14.74B,1.80B,12.97B,4.564B,13.82B,5.045B,1.135B,1.645B,16.14B,5.015B,57.08B,113.64B,3.12B,54.32B,22.81B,56.56B,59.33B,33.75B,6.66B,6.579B,10.58B
JNJ,2011-12,-3.068B,30.93B,5.338B,5.326B,0.09,0.09,34.27B,31.74B,10.92B,2011-12,6.428B,218.00M,-148.00M,-148.00M,14.64B,1.889B,13.03B,3.304B,14.10B,318.00M,100.00M,2.155B,16.26B,5.458B,61.53B,111.82B,3.12B,53.44B,21.69B,50.29B,58.38B,28.61B,7.613B,7.066B,10.55B
JNJ,2011-09,-1.192B,29.68B,5.072B,5.046B,1.17,1.15,34.62B,32.44B,10.93B,2011-09,6.413B,3.202B,-117.00M,-117.00M,14.97B,1.888B,13.68B,3.92B,13.84B,4.111B,909.00M,1.773B,16.00B,5.24B,62.13B,112.11B,3.12B,52.67B,20.98B,49.98B,59.44B,29.00B,7.013B,6.497B,10.98B
JNJ,2011-06,-2.02B,26.87B,5.172B,8.575B,1.01,1,34.81B,31.80B,11.42B,2011-06,6.20B,2.776B,-111.00M,-111.00M,15.08B,0,9.255B,4.328B,13.66B,3.422B,646.00M,1.882B,16.60B,5.215B,59.86B,108.15B,3.12B,49.22B,24.01B,48.29B,58.93B,24.28B,7.097B,6.708B,10.86B
