Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TDY,2020-12,-430.10M,673.10M,493.60M,97.60M,3.575,3.48,2.560B,1.163B,315.70M,2020-12,347.30M,132.10M,-3.40M,-3.40M,489.30M,680.90M,143.80M,663.30M,141.10M,9.00M,809.30M,171.90M,3.229B,5.085B,0.40M,1.723B,760.90M,1.856B,3.362B,1.095B,171.90M,229.10M,624.10M
TDY,2020-09,-486.80M,454.50M,458.50M,25.60M,2.55,2.48,2.500B,1.275B,290.50M,2020-09,365.40M,93.90M,-4.10M,-4.10M,601.90M,878.10M,122.50M,645.60M,119.70M,25.80M,749.00M,168.00M,3.026B,4.837B,0.40M,1.535B,671.20M,1.811B,3.302B,1.140B,168.00M,216.60M,650.20M
TDY,2020-06,-531.00M,382.80M,460.60M,100.60M,2.55,2.48,2.470B,1.249B,282.70M,2020-06,392.30M,93.70M,-3.70M,-3.70M,595.80M,862.50M,109.80M,651.60M,107.90M,14.20M,743.30M,172.90M,2.880B,4.738B,0.40M,1.484B,752.20M,1.858B,3.254B,1.106B,172.90M,245.00M,653.00M
TDY,2020-03,-539.50M,231.40M,492.60M,100.60M,2.25,2.17,2.466B,1.233B,292.00M,2020-03,401.10M,82.20M,-4.10M,-4.10M,598.70M,864.30M,104.00M,659.00M,101.00M,18.80M,784.60M,188.00M,2.753B,4.585B,0.40M,1.364B,759.60M,1.832B,3.221B,1.072B,188.00M,263.40M,668.10M
TDY,2019-12,-475.80M,199.50M,505.10M,100.60M,3.166,3.06,2.481B,1.112B,329.10M,2019-12,393.40M,115.70M,-4.70M,-4.70M,487.90M,750.00M,133.80M,662.60M,129.50M,13.80M,834.20M,195.30M,2.715B,4.580B,0.40M,1.314B,763.20M,1.865B,3.266B,1.102B,195.30M,271.10M,660.90M
TDY,2019-09,-491.80M,128.50M,487.70M,206.10M,2.93,2.84,2.448B,1.207B,314.50M,2019-09,404.40M,106.70M,-5.50M,-5.50M,598.40M,841.90M,128.70M,629.40M,123.40M,16.70M,802.20M,185.80M,2.571B,4.480B,0.40M,1.238B,835.50M,1.909B,3.242B,1.073B,185.80M,244.90M,643.70M
TDY,2019-06,-468.20M,108.10M,463.60M,135.50M,2.89,2.8,2.268B,1.176B,318.40M,2019-06,390.40M,104.60M,-5.40M,-5.40M,580.50M,778.10M,131.90M,575.50M,127.90M,23.30M,782.00M,186.50M,2.473B,4.200B,0.40M,1.161B,711.00M,1.727B,3.039B,1.016B,186.50M,221.70M,608.80M
TDY,2019-03,-469.80M,106.20M,463.90M,131.80M,2.09,2.02,2.274B,1.165B,281.30M,2019-03,393.00M,75.30M,-5.40M,-5.40M,585.00M,850.60M,97.30M,591.90M,92.90M,17.60M,745.20M,184.00M,2.350B,4.162B,0.40M,1.118B,723.70M,1.812B,3.044B,1.088B,184.00M,227.30M,564.40M
TDY,2018-12,-493.20M,142.50M,459.60M,137.40M,2.524,2.45,2.080B,1.009B,288.80M,2018-12,364.30M,91.10M,-5.70M,-5.70M,442.60M,610.10M,111.20M,583.40M,107.10M,16.00M,748.40M,177.60M,2.230B,3.809B,0.40M,1.114B,720.80M,1.580B,2.695B,858.80M,177.60M,227.80M,561.80M
TDY,2018-09,-407.60M,126.10M,446.20M,14.30M,2.52,2.43,2.113B,1.002B,279.10M,2018-09,377.60M,90.30M,-6.00M,-6.00M,446.10M,823.00M,105.50M,573.70M,100.20M,9.90M,725.30M,173.60M,2.217B,3.913B,0.40M,1.110B,588.00M,1.696B,2.804B,1.108B,173.60M,205.40M,551.80M
