Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
L,2015-09,-23.00M,45.62B,1.278B,0,0.5,0.5,352.00M,2015-09,182.00M,787.00M,-128.00M,-128.00M,15.90B,796.00M,9.492B,733.00M,348.00M,66.00M,3.169B,0,18.74B,77.53B,4.00M,53.70B,2.011B,53.38B,68.52B,36.86B,1.174B,733.00M,8.079B
L,2015-06,53.00M,45.96B,1.061B,0,0.46,0.46,373.00M,2015-06,170.00M,768.00M,-134.00M,-134.00M,15.92B,773.00M,9.791B,741.00M,295.00M,48.00M,3.435B,0,18.98B,78.02B,4.00M,54.05B,1.802B,53.68B,69.05B,37.57B,1.223B,741.00M,8.097B
L,2015-03,298.00M,47.21B,687.00M,0,0.29,0.29,371.00M,2015-03,109.00M,732.00M,-131.00M,-131.00M,15.38B,930.00M,9.863B,926.00M,105.00M,56.00M,3.478B,0,19.31B,78.62B,4.00M,55.37B,1.613B,53.99B,69.58B,37.75B,1.60B,926.00M,8.157B
L,2014-12,280.00M,47.14B,335.00M,0,0.5577,0.55,374.00M,2014-12,208.00M,731.00M,-129.00M,-129.00M,15.61B,893.00M,10.33B,673.00M,411.00M,110.00M,3.521B,0,19.28B,78.37B,4.00M,54.50B,1.008B,53.72B,69.63B,38.09B,1.31B,673.00M,7.358B
L,2014-09,638.00M,48.04B,850.00M,0,0.55,0.55,353.00M,2014-09,208.00M,562.00M,-121.00M,-121.00M,14.41B,1.03B,10.05B,663.00M,339.00M,99.00M,3.523B,0,19.66B,78.53B,4.00M,56.23B,1.513B,53.41B,69.08B,38.26B,1.377B,663.00M,8.185B
L,2014-06,807.00M,47.99B,974.00M,0,0.3,0.3,355.00M,2014-06,116.00M,496.00M,-126.00M,-126.00M,14.13B,996.00M,9.828B,815.00M,546.00M,145.00M,3.593B,0,19.86B,82.89B,4.00M,56.43B,1.789B,57.54B,69.12B,38.67B,1.145B,815.00M,8.441B
L,2014-03,563.00M,47.29B,854.00M,0,0.15,0.15,354.00M,2014-03,59.00M,0,-122.00M,-122.00M,14.97B,898.00M,10.46B,882.00M,514.00M,103.00M,3.688B,0,19.69B,81.80B,4.00M,55.64B,1.736B,56.69B,69.01B,39.12B,1.277B,882.00M,8.355B
L,2013-12,339.00M,48.26B,819.00M,0,-0.51,-0.51,357.00M,2013-12,-198.00M,0,-109.00M,-109.00M,13.52B,716.00M,9.525B,134.00M,498.00M,178.00M,3.782B,0,19.46B,79.94B,4.00M,57.15B,953.00M,55.03B,68.46B,38.05B,1.27B,134.00M,8.89B
L,2013-09,20.00M,47.67B,270.00M,0,0.73,0.73,991.00M,2013-09,282.00M,0,-105.00M,-105.00M,14.38B,831.00M,9.705B,326.00M,576.00M,155.00M,3.597B,0,19.36B,79.51B,4.00M,56.69B,596.00M,54.69B,69.38B,38.32B,1.197B,326.00M,9.023B
L,2013-06,37.00M,47.66B,33.00M,0,0.69,0.69,989.00M,2013-06,269.00M,473.00M,-108.00M,-108.00M,14.52B,749.00M,10.04B,520.00M,566.00M,163.00M,3.616B,392.00M,19.15B,80.05B,4.00M,57.18B,553.00M,55.40B,69.46B,39.00B,1.122B,520.00M,9.519B
L,2013-03,566.00M,48.82B,19.00M,0,0.62,0.62,993.00M,2013-03,242.00M,473.00M,-108.00M,-108.00M,14.20B,895.00M,9.418B,738.00M,498.00M,109.00M,3.686B,388.00M,19.47B,80.61B,4.00M,58.42B,757.00M,55.90B,69.91B,38.58B,1.356B,738.00M,9.605B
L,2012-12,678.00M,48.67B,19.00M,0,-0.08,-0.08,996.00M,2012-12,-32.00M,460.00M,-95.00M,-95.00M,13.94B,840.00M,9.191B,205.00M,658.00M,176.00M,3.225B,362.00M,19.46B,80.02B,4.00M,57.60B,224.00M,55.34B,69.52B,38.40B,570.00M,205.00M,8.929B
L,2012-09,964.00M,6.276B,18.00M,0,0.45,0.45,939.00M,2012-09,177.00M,245.00M,-109.00M,-109.00M,13.56B,1.122B,8.848B,808.00M,409.00M,99.00M,3.715B,0,19.84B,79.55B,4.00M,15.75B,826.00M,54.69B,65.60B,37.98B,1.429B,808.00M,9.474B
L,2012-06,746.00M,5.731B,88.00M,0,0.14,0.14,908.00M,2012-06,56.00M,0,-111.00M,-111.00M,13.71B,952.00M,9.048B,395.00M,214.00M,16.00M,3.388B,0,19.50B,77.33B,4.00M,14.88B,483.00M,53.09B,64.00B,37.48B,1.406B,395.00M,9.145B
L,2012-03,654.00M,5.657B,88.00M,0,0.93,0.92,908.00M,2012-03,367.00M,0,-111.00M,-111.00M,13.52B,937.00M,8.954B,920.00M,741.00M,222.00M,3.744B,0,19.43B,77.24B,4.00M,15.07B,1.008B,53.12B,63.55B,37.48B,1.216B,920.00M,9.409B
L,2011-12,384.00M,45.16B,88.00M,0,0.68,0.68,908.00M,2011-12,271.00M,0,-116.00M,-116.00M,13.62B,622.00M,8.913B,162.00M,482.00M,70.00M,3.481B,0,18.77B,75.27B,4.00M,53.98B,250.00M,52.06B,64.91B,37.09B,-392.00M,162.00M,8.817B
L,2011-09,735.00M,5.976B,1.206B,0,0.41,0.4,856.00M,2011-09,162.00M,0,-126.00M,-126.00M,12.94B,802.00M,8.026B,567.00M,439.00M,123.00M,3.438B,0,18.97B,76.30B,4.00M,16.08B,1.773B,52.74B,61.69B,37.24B,-436.00M,567.00M,10.11B
L,2011-06,581.00M,5.84B,6.00M,0,0.61,0.61,856.00M,2011-06,250.00M,0,-129.00M,-129.00M,12.46B,638.00M,9.163B,558.00M,548.00M,144.00M,3.542B,0,18.95B,76.07B,4.00M,15.97B,564.00M,52.59B,64.02B,38.41B,-78.00M,558.00M,10.13B
L,2011-03,294.00M,6.149B,197.00M,0,0.92,0.92,856.00M,2011-03,379.00M,0,-151.00M,-151.00M,12.54B,0,9.296B,419.00M,757.00M,195.00M,3.668B,0,18.69B,75.97B,4.00M,16.33B,616.00M,52.52B,60.83B,37.97B,0,419.00M,10.18B
