Ticker,Date,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
JKHY,2020-12,147.76M,257.78M,0.117M,193.41M,0.94,0.94,1.154B,672.93M,164.58M,2020-12,0,71.98M,-0.065M,-0.065M,257.88M,322.12M,0.149M,93.63M,157.45M,93.57M,21.58M,26.78M,422.36M,44.17M,1.545B,2.287B,1.037M,518.48M,350.97M,741.53M,1.768B,390.56M,70.95M,11.57M,221.60M
JKHY,2020-09,195.32M,262.93M,0.126M,254.76M,1.19,1.19,1.155B,680.83M,188.87M,2020-09,0,91.22M,-0.049M,-0.049M,263.71M,314.14M,0.169M,117.59M,152.49M,117.54M,26.32M,26.06M,451.80M,45.23M,1.544B,2.335B,1.037M,574.54M,407.38M,791.33M,1.761B,383.95M,71.28M,7.713M,223.01M
JKHY,2020-06,213.34M,254.84M,0.115M,318.16M,0.8005,0.8,1.152B,677.82M,155.70M,2020-06,0,61.34M,-0.124M,-0.124M,273.43M,315.46M,0.208M,73.70M,176.57M,76.67M,15.33M,29.90M,410.54M,52.10M,1.550B,2.428B,1.036M,669.10M,494.84M,878.79M,1.759B,383.94M,82.00M,9.88M,322.00M
JKHY,2020-03,109.51M,258.57M,0.081M,160.32M,0.96,0.96,1.153B,675.94M,170.84M,2020-03,0,73.86M,0.032M,0.032M,277.09M,294.80M,55.17M,95.14M,138.01M,91.97M,18.12M,28.31M,429.41M,47.39M,1.514B,2.229B,1.036M,479.65M,298.41M,715.56M,1.750B,417.15M,75.70M,11.67M,219.12M
JKHY,2019-12,72.51M,249.27M,0,215.42M,0.94,0.94,1.161B,659.43M,169.85M,2019-12,0,72.10M,0.19M,0.19M,278.70M,285.32M,0,93.70M,127.73M,93.89M,21.80M,27.19M,419.12M,48.96M,1.487B,2.187B,1.036M,427.73M,343.15M,700.69M,1.760B,357.54M,76.15M,11.35M,204.70M
JKHY,2019-09,96.68M,245.79M,35.00M,266.83M,1.16,1.16,1.158B,660.96M,192.21M,2019-09,0,89.37M,0.352M,0.352M,274.53M,280.68M,0,118.19M,126.25M,118.54M,29.17M,24.59M,438.00M,49.44M,1.477B,2.226B,1.035M,484.12M,393.08M,749.32M,1.742B,356.24M,74.03M,19.50M,234.36M
JKHY,2019-06,93.63M,240.04M,0,339.75M,0.7922,0.79,1.118B,656.27M,153.47M,2019-06,0,60.99M,-0.227M,-0.227M,272.47M,271.56M,0,79.23M,130.21M,79.19M,18.20M,24.92M,393.51M,49.32M,1.429B,2.185B,1.035M,569.45M,469.96M,755.82M,1.615B,285.85M,74.24M,9.85M,327.90M
JKHY,2019-03,35.40M,235.59M,0,189.00M,0.77,0.77,1.116B,670.72M,144.77M,2019-03,0,59.25M,-0.069M,-0.069M,279.95M,231.52M,0,76.65M,106.87M,76.37M,17.12M,23.44M,380.36M,44.68M,1.426B,2.003B,1.035M,388.56M,330.86M,576.88M,1.614B,246.01M,68.12M,10.91M,207.98M
JKHY,2018-12,26.16M,227.28M,0,240.86M,0.88,0.88,1.114B,0,158.99M,2018-12,0,68.09M,0.104M,0.104M,283.45M,225.26M,0,88.20M,99.21M,88.31M,20.22M,23.99M,386.28M,46.80M,1.392B,1.972B,1.034M,362.64M,340.07M,579.82M,1.609B,239.75M,70.79M,6.597M,194.22M
JKHY,2018-09,114.87M,220.11M,0,296.68M,1.08,1.08,1.092B,0,172.43M,2018-09,0,83.55M,0.144M,0.144M,286.50M,230.12M,0,103.22M,123.55M,103.37M,19.82M,24.03M,392.54M,45.18M,1.369B,2.033B,1.034M,457.84M,420.23M,664.54M,1.575B,244.31M,69.21M,10.48M,202.71M
