Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TGT,2015-10,-469.00M,1.977B,12.44B,825.00M,0.88,0.87,298.00M,41.39B,5.173B,2015-10,10.37B,549.00M,-151.00M,-151.00M,25.47B,1.316B,11.95B,876.00M,12.77B,725.00M,249.00M,17.61B,3.736B,13.26B,41.70B,52.00M,15.20B,13.86B,28.44B,26.49B,14.58B,4.297B,8.904B,1.126B
TGT,2015-07,-481.00M,2.742B,12.05B,841.00M,1.18,1.18,331.00M,41.04B,5.376B,2015-07,8.269B,753.00M,-148.00M,-148.00M,25.58B,1.319B,11.88B,1.33B,10.71B,1.182B,409.00M,17.43B,3.495B,13.94B,40.39B,53.00M,13.36B,11.61B,26.44B,27.03B,14.83B,4.046B,6.944B,1.106B
TGT,2015-04,-490.00M,2.768B,11.91B,112.00M,0.99,0.98,0,40.75B,5.208B,2015-04,8.61B,635.00M,-155.00M,-155.00M,25.78B,1.359B,12.65B,1.154B,10.47B,999.00M,348.00M,17.12B,3.514B,14.17B,40.45B,53.00M,13.20B,10.65B,26.27B,27.25B,15.62B,4.054B,6.799B,0
TGT,2015-01,-599.00M,2.21B,15.56B,91.00M,-4.14,-4.14,0,41.04B,6.188B,2015-01,8.282B,-2.64B,-152.00M,-152.00M,25.95B,1.667B,12.63B,1.586B,9.68B,1.434B,474.00M,21.75B,4.057B,14.00B,41.17B,53.00M,13.62B,11.74B,27.18B,27.55B,15.44B,4.602B,8.668B,0
TGT,2014-10,-923.00M,780.00M,12.17B,495.00M,0.55,0.55,0,46.07B,5.083B,2014-10,11.07B,352.00M,-146.00M,-146.00M,30.89B,1.279B,13.81B,904.00M,13.03B,758.00M,232.00M,17.25B,3.644B,16.37B,46.46B,53.00M,13.84B,13.52B,30.09B,32.62B,16.56B,4.179B,9.229B,0
TGT,2014-07,-792.00M,803.00M,11.80B,306.00M,0.37,0.37,0,45.87B,5.159B,2014-07,8.918B,234.00M,-433.00M,-433.00M,31.20B,1.317B,13.85B,1.023B,11.03B,590.00M,199.00M,16.96B,3.599B,16.43B,44.46B,53.00M,11.55B,11.34B,28.02B,32.90B,16.69B,4.136B,7.263B,0
TGT,2014-04,-822.00M,715.00M,11.75B,1.477B,0.66,0.66,0,45.52B,4.909B,2014-04,8.45B,418.00M,-152.00M,-152.00M,31.36B,1.381B,12.61B,1.022B,10.56B,870.00M,299.00M,16.66B,3.376B,16.49B,44.04B,53.00M,11.02B,12.04B,27.56B,33.02B,15.52B,3.887B,6.793B,0
TGT,2014-01,-891.00M,670.00M,14.60B,1.143B,0.82,0.81,0,40.48B,5.60B,2014-01,8.278B,520.00M,-84.00M,-84.00M,26.41B,1.84B,11.43B,1.927B,9.353B,1.843B,600.00M,20.20B,3.325B,16.23B,44.55B,53.00M,11.57B,12.78B,28.32B,32.98B,15.54B,3.673B,8.352B,0
TGT,2013-10,-653.00M,706.00M,12.13B,2.122B,0.54,0.54,0,45.64B,5.125B,2013-10,10.38B,341.00M,-165.00M,-165.00M,31.73B,1.466B,12.66B,703.00M,12.43B,538.00M,197.00M,17.26B,3.853B,16.16B,46.37B,53.00M,13.15B,14.55B,30.22B,33.22B,15.67B,4.422B,8.806B,0
TGT,2013-07,-653.00M,1.018B,11.74B,1.833B,0.96,0.95,224.00M,44.89B,5.372B,2013-07,8.441B,611.00M,-171.00M,-171.00M,31.40B,1.331B,12.66B,1.132B,10.78B,961.00M,350.00M,17.12B,3.698B,16.02B,44.16B,53.00M,11.40B,12.62B,28.14B,32.76B,15.53B,4.24B,7.078B,0
TGT,2013-04,-565.00M,1.819B,11.56B,523.00M,0.78,0.77,242.00M,44.09B,5.143B,2013-04,8.099B,498.00M,-629.00M,-629.00M,31.07B,1.295B,13.69B,1.017B,10.64B,779.00M,281.00M,16.71B,3.59B,16.52B,44.23B,53.00M,11.86B,11.16B,27.71B,32.38B,16.56B,4.126B,6.721B,0
TGT,2013-01,-576.00M,784.00M,16.30B,2.994B,1.48,1.47,0,43.96B,6.43B,2013-01,7.903B,961.00M,-126.00M,-126.00M,30.65B,1.79B,14.65B,2.032B,9.36B,1.911B,634.00M,22.73B,3.957B,16.56B,48.16B,54.00M,16.39B,14.03B,31.60B,31.78B,17.57B,4.398B,8.184B,1.099B
TGT,2012-10,-626.00M,1.469B,11.68B,2.528B,0.97,0.96,0,43.05B,5.254B,2012-10,9.533B,637.00M,-192.00M,-192.00M,30.07B,1.279B,14.53B,1.008B,11.68B,972.00M,335.00M,16.93B,3.704B,16.35B,49.58B,55.00M,18.50B,15.71B,33.23B,31.08B,17.52B,4.246B,8.05B,0
TGT,2012-07,-652.00M,1.442B,11.40B,3.285B,1.07,1.06,0,42.32B,5.374B,2012-07,7.733B,704.00M,-184.00M,-184.00M,29.77B,1.173B,15.23B,1.255B,10.04B,1.071B,367.00M,16.78B,3.588B,15.90B,47.32B,54.00M,16.42B,13.33B,31.43B,30.91B,18.10B,4.119B,6.505B,5.54B
TGT,2012-04,-641.00M,675.00M,11.66B,2.483B,1.05,1.04,0,41.66B,5.206B,2012-04,7.67B,697.00M,-184.00M,-184.00M,29.51B,1.209B,14.97B,1.285B,9.963B,1.101B,404.00M,16.87B,3.392B,15.86B,46.18B,55.00M,15.59B,12.45B,30.31B,30.58B,17.87B,3.921B,6.292B,5.548B
TGT,2012-01,-681.00M,794.00M,15.15B,3.036B,1.46,1.44,0,41.53B,6.139B,2012-01,7.918B,981.00M,-292.00M,-292.00M,29.15B,1.612B,13.45B,1.70B,8.785B,1.408B,427.00M,21.29B,3.876B,15.82B,46.63B,56.00M,16.45B,14.29B,30.81B,30.18B,16.52B,4.439B,7.863B,6.93B
TGT,2011-10,-563.00M,821.00M,11.27B,2.813B,0.82,0.82,0,41.08B,5.128B,2011-10,9.89B,555.00M,-200.00M,-200.00M,29.04B,1.199B,16.16B,1.057B,11.33B,857.00M,302.00M,16.40B,3.525B,15.26B,48.45B,56.00M,18.37B,14.14B,33.18B,30.08B,19.04B,4.071B,8.053B,5.713B
TGT,2011-07,-548.00M,890.00M,10.96B,1.38B,1.03,1.03,0,39.96B,5.282B,2011-07,7.926B,704.00M,-191.00M,-191.00M,28.37B,969.00M,16.16B,1.30B,10.24B,1.109B,405.00M,16.24B,3.473B,15.11B,45.50B,56.00M,16.06B,11.62B,30.39B,29.44B,18.77B,3.982B,6.519B,5.722B
TGT,2011-04,-570.00M,1.424B,10.93B,1.313B,0.99,0.99,0,36.98B,5.009B,2011-04,7.696B,689.00M,-183.00M,-183.00M,25.65B,916.00M,14.42B,1.264B,9.525B,1.081B,392.00M,15.94B,3.233B,15.23B,43.00B,57.00M,16.37B,10.84B,27.77B,26.63B,16.93B,3.745B,6.296B,5.721B
