Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WDC,2015-12,-8.00M,5.86B,2.411B,443.00M,1.08,1.07,3.058B,8.716B,906.00M,2015-12,1.238B,251.00M,-8.00M,-8.00M,2.801B,0,2.062B,278.00M,2.343B,244.00M,-7.00M,389.00M,3.317B,239.00M,9.557B,15.47B,3.00M,8.948B,3.245B,5.909B,6.518B,2.664B,628.00M,1.806B,1.65B
WDC,2015-09,-44.00M,5.428B,2.405B,427.00M,1.23,1.21,3.085B,8.635B,955.00M,2015-09,1.26B,283.00M,-8.00M,-8.00M,2.89B,0,2.109B,378.00M,2.327B,314.00M,31.00M,385.00M,3.36B,192.00M,9.336B,15.26B,3.00M,8.655B,3.231B,5.925B,6.606B,2.694B,577.00M,1.799B,1.616B
WDC,2015-06,-20.00M,5.286B,2.261B,407.00M,0.95,0.94,3.098B,8.604B,930.00M,2015-06,1.368B,220.00M,-9.00M,-9.00M,2.965B,0,2.149B,344.00M,2.351B,247.00M,27.00M,381.00M,3.191B,205.00M,9.219B,15.17B,3.00M,8.513B,3.238B,5.951B,6.657B,2.713B,586.00M,1.881B,1.532B
WDC,2015-03,-3.00M,5.04B,2.518B,141.00M,1.66,1.63,3.145B,8.52B,1.032B,2015-03,1.322B,384.00M,-9.00M,-9.00M,3.051B,0,2.203B,431.00M,2.523B,412.00M,28.00M,402.00M,3.55B,199.00M,9.226B,15.18B,3.00M,8.429B,3.218B,5.95B,6.747B,2.732B,601.00M,2.02B,1.696B
WDC,2014-12,-32.00M,5.143B,2.778B,125.00M,1.88,1.84,2.925B,8.353B,1.11B,2014-12,1.282B,438.00M,-8.00M,-8.00M,3.099B,0,2.25B,520.00M,2.567B,458.00M,20.00M,426.00M,3.888B,164.00M,9.082B,15.14B,3.00M,8.66B,3.289B,6.057B,6.479B,2.768B,590.00M,2.071B,1.88B
WDC,2014-09,-14.00M,5.381B,2.794B,125.00M,1.81,1.76,2.965B,8.244B,1.149B,2014-09,1.272B,423.00M,-9.00M,-9.00M,3.202B,0,2.281B,492.00M,3.221B,460.00M,37.00M,437.00M,3.943B,220.00M,8.963B,15.65B,3.00M,8.99B,3.918B,6.689B,6.662B,2.771B,657.00M,2.016B,1.915B
WDC,2014-06,12.00M,5.088B,2.622B,125.00M,1.35,1.32,3.013B,8.123B,1.029B,2014-06,1.226B,317.00M,-7.00M,-7.00M,3.293B,0,2.313B,349.00M,3.141B,347.00M,30.00M,426.00M,3.651B,254.00M,8.842B,15.50B,3.00M,8.72B,3.845B,6.657B,6.779B,2.812B,680.00M,1.971B,1.989B
WDC,2014-03,-4.00M,4.865B,2.627B,125.00M,1.6,1.55,3.097B,7.991B,1.076B,2014-03,1.277B,375.00M,-13.00M,-13.00M,3.406B,0,2.344B,457.00M,3.102B,406.00M,31.00M,418.00M,3.703B,201.00M,8.768B,15.33B,3.00M,8.306B,3.747B,6.564B,7.026B,2.817B,619.00M,1.902B,1.802B
WDC,2013-12,-49.00M,4.655B,2.816B,730.00M,1.82,1.77,3.162B,7.879B,1.156B,2013-12,1.293B,430.00M,-11.00M,-11.00M,3.509B,0,1.61B,514.00M,3.317B,467.00M,37.00M,416.00M,3.972B,226.00M,8.579B,15.28B,3.00M,8.288B,4.62B,6.703B,6.994B,2.083B,642.00M,2.106B,1.959B
WDC,2013-09,-19.00M,4.869B,2.705B,730.00M,2.1,2.05,2.667B,7.764B,1.099B,2013-09,1.244B,495.00M,-10.00M,-10.00M,3.638B,0,1.668B,566.00M,3.186B,532.00M,37.00M,401.00M,3.804B,132.00M,8.253B,14.81B,3.00M,8.261B,4.427B,6.553B,6.545B,2.126B,533.00M,2.061B,1.791B
WDC,2013-06,-35.00M,4.309B,2.678B,230.00M,-1.12,-1.12,2.559B,7.616B,1.05B,2013-06,1.188B,-265.00M,-9.00M,-9.00M,3.70B,0,1.725B,468.00M,3.176B,-230.00M,35.00M,402.00M,3.728B,180.00M,7.893B,14.04B,3.00M,7.598B,3.973B,6.143B,6.438B,2.17B,582.00M,1.99B,1.793B
WDC,2013-03,20.00M,4.06B,2.703B,230.00M,1.64,1.6,2.61B,7.561B,1.061B,2013-03,1.197B,391.00M,-11.00M,-11.00M,3.803B,0,1.783B,480.00M,2.874B,406.00M,15.00M,396.00M,3.764B,185.00M,8.423B,13.93B,3.00M,7.34B,3.226B,5.504B,6.587B,2.278B,581.00M,2.037B,1.70B
WDC,2012-12,8.00M,3.816B,2.765B,288.00M,1.38,1.36,2.616B,7.49B,1.059B,2012-12,1.204B,335.00M,-10.00M,-10.00M,3.938B,0,1.84B,519.00M,2.907B,468.00M,133.00M,378.00M,3.824B,162.00M,8.247B,13.93B,3.00M,7.175B,3.326B,5.682B,6.754B,2.356B,540.00M,2.185B,1.732B
WDC,2012-09,14.00M,3.537B,2.842B,230.00M,2.11,2.06,2.69B,7.324B,1.193B,2012-09,1.304B,519.00M,-14.00M,-14.00M,4.027B,0,1.898B,618.00M,3.465B,578.00M,59.00M,396.00M,4.035B,179.00M,8.037B,14.17B,3.00M,7.186B,3.695B,6.135B,6.986B,2.44B,575.00M,2.545B,1.951B
WDC,2012-06,-15.00M,3.208B,3.282B,230.00M,3.02,2.97,2.774B,7.173B,1.472B,2012-06,1.21B,745.00M,-6.00M,-6.00M,4.067B,0,1.955B,888.00M,3.255B,802.00M,57.00M,406.00M,4.754B,178.00M,7.669B,14.21B,3.00M,7.141B,4.032B,6.537B,7.065B,2.505B,584.00M,2.773B,2.364B
WDC,2012-03,-4.00M,3.377B,2.058B,730.00M,2,1.96,2.691B,4.837B,977.00M,2012-03,1.282B,483.00M,-4.00M,-4.00M,4.171B,0,2.013B,557.00M,3.805B,538.00M,55.00M,265.00M,3.035B,155.00M,7.416B,14.51B,3.00M,7.445B,4.535B,7.094B,7.065B,2.559B,420.00M,2.774B,2.377B
WDC,2011-12,-14.00M,3.924B,1.347B,181.00M,0.62,0.61,214.00M,0,648.00M,2011-12,466.00M,145.00M,-2.00M,-2.00M,2.091B,0,50.00M,361.00M,1.371B,160.00M,15.00M,191.00M,1.995B,96.00M,5.923B,7.807B,2.00M,5.398B,1.552B,1.884B,2.409B,332.00M,287.00M,883.00M,747.00M
WDC,2011-09,-24.00M,3.675B,2.153B,163.00M,1.03,1.01,218.00M,0,541.00M,2011-09,645.00M,239.00M,-1.00M,-1.00M,2.209B,0,100.00M,259.00M,2.191B,258.00M,19.00M,193.00M,2.694B,89.00M,5.723B,8.467B,2.00M,5.926B,2.354B,2.744B,2.541B,390.00M,282.00M,1.708B,1.356B
WDC,2011-06,-5.00M,3.49B,1.934B,144.00M,0.68,0.67,222.00M,0,469.00M,2011-06,577.00M,158.00M,-1.00M,-1.00M,2.224B,0,150.00M,197.00M,2.026B,171.00M,13.00M,188.00M,2.403B,84.00M,5.488B,8.118B,2.00M,5.487B,2.17B,2.63B,2.631B,460.00M,272.00M,1.545B,1.206B
WDC,2011-03,8.00M,3.23B,1.842B,125.00M,0.63,0.62,226.00M,0,410.00M,2011-03,574.00M,146.00M,1.00M,1.00M,2.249B,0,200.00M,158.00M,1.87B,159.00M,13.00M,179.00M,2.252B,73.00M,5.316B,7.839B,2.00M,5.153B,1.995B,2.523B,2.686B,528.00M,252.00M,1.486B,1.171B
