Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CINF,2013-06,1.221B,382.00M,104.00M,0.67,0.66,0,2013-06,110.00M,-14.00M,-14.00M,213.00M,512.00M,833.00M,0,148.00M,38.00M,1.104B,4.00M,5.699B,17.03B,396.00M,2.535B,104.00M,11.34B,13.24B,7.576B,4.00M,0,2.127B
CINF,2013-03,1.362B,380.00M,104.00M,0.95,0.94,0,2013-03,154.00M,-13.00M,-13.00M,216.00M,588.00M,831.00M,0,217.00M,63.00M,1.103B,0,5.785B,17.04B,395.00M,2.51B,104.00M,11.25B,13.31B,7.534B,5.00M,0,2.104B
CINF,2012-12,1.129B,487.00M,104.00M,1.18,1.17,0,2012-12,192.00M,-13.00M,-13.00M,217.00M,453.00M,827.00M,0,273.00M,81.00M,1.07B,0,5.453B,16.55B,394.00M,2.532B,104.00M,11.10B,12.81B,7.302B,4.00M,0,2.019B
CINF,2012-09,1.171B,416.00M,104.00M,0.69,0.68,0,2012-09,111.00M,-14.00M,-14.00M,223.00M,453.00M,828.00M,0,152.00M,41.00M,1.035B,0,5.359B,16.48B,394.00M,1.765B,104.00M,11.12B,12.74B,7.443B,2.00M,0,1.323B
CINF,2012-06,1.01B,263.00M,104.00M,0.2,0.2,0,2012-06,32.00M,-13.00M,-13.00M,229.00M,359.00M,831.00M,0,29.00M,-3.00M,1.02B,0,5.144B,16.09B,393.00M,1.575B,104.00M,10.94B,12.57B,7.348B,4.00M,0,1.288B
CINF,2012-03,1.047B,424.00M,104.00M,0.53,0.53,0,2012-03,86.00M,-14.00M,-14.00M,235.00M,388.00M,833.00M,0,112.00M,26.00M,986.00M,0,5.207B,16.02B,393.00M,1.65B,104.00M,10.82B,12.42B,7.248B,4.00M,0,1.202B
CINF,2011-12,901.00M,438.00M,104.00M,0.83,0.83,0,2011-12,134.00M,-14.00M,-14.00M,227.00M,303.00M,821.00M,0,186.00M,52.00M,955.00M,0,5.033B,15.64B,393.00M,2.366B,104.00M,10.60B,12.12B,7.096B,-1.00M,0,1.904B
CINF,2011-09,703.00M,308.00M,104.00M,0.12,0.12,0,2011-09,19.00M,-13.00M,-13.00M,228.00M,191.00M,790.00M,0,11.00M,-8.00M,944.00M,0,4.786B,15.41B,393.00M,1.622B,104.00M,10.63B,11.83B,7.159B,4.00M,0,1.299B
CINF,2011-06,903.00M,313.00M,49.00M,-0.31,-0.31,0,2011-06,-50.00M,-14.00M,-14.00M,234.00M,324.00M,790.00M,0,-99.00M,-49.00M,975.00M,0,5.057B,15.70B,393.00M,1.629B,49.00M,10.64B,12.08B,7.279B,6.00M,0,1.301B
CINF,2011-03,855.00M,379.00M,49.00M,0.38,0.38,0,2011-03,61.00M,-13.00M,-13.00M,243.00M,296.00M,790.00M,0,75.00M,14.00M,929.00M,0,5.118B,15.37B,393.00M,1.65B,49.00M,10.25B,11.94B,6.911B,4.00M,0,1.255B
