Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NEE,2021-03,-98.00M,1.462B,1.895B,6.603B,481.00M,0.85,0.84,4.853B,121.24B,1.831B,2021-03,1.604B,1.666B,440.00M,440.00M,94.30B,8.256B,46.06B,655.00M,6.178B,1.748B,250.00M,3.726B,37.38B,132.44B,20.00M,8.237B,15.78B,86.71B,124.20B,70.93B,1.176B,4.40B,3.286B
NEE,2020-12,-92.00M,1.105B,1.971B,6.147B,474.00M,-0.0026,-0.0026,4.254B,118.10B,2.424B,2020-12,1.552B,-5.00M,-104.00M,-104.00M,91.80B,8.02B,41.94B,866.00M,6.125B,-225.00M,-35.00M,4.395B,36.51B,127.68B,20.00M,7.382B,15.56B,82.76B,120.30B,67.20B,1.558B,4.615B,2.974B
NEE,2020-09,-152.00M,1.961B,2.033B,5.502B,494.00M,0.6275,0.625,4.214B,115.38B,2.752B,2020-09,1.414B,1.229B,-201.00M,-201.00M,88.86B,8.237B,42.79B,1.019B,7.042B,1.252B,129.00M,4.785B,37.29B,126.38B,5.00M,9.026B,15.71B,84.32B,117.36B,68.61B,1.733B,4.744B,3.277B
NEE,2020-06,-163.00M,1.009B,1.635B,3.877B,497.00M,0.65,0.6475,4.213B,112.20B,2.569B,2020-06,1.367B,1.275B,-309.00M,-309.00M,86.33B,8.07B,42.67B,1.169B,5.988B,1.314B,185.00M,4.204B,37.07B,121.96B,5.00M,7.581B,12.36B,80.39B,114.38B,68.02B,1.40B,4.097B,2.867B
NEE,2020-03,-192.00M,3.335B,1.651B,6.09B,502.00M,0.21,0.21,4.201B,109.76B,2.962B,2020-03,1.371B,421.00M,-1.298B,-1.298B,83.87B,8.082B,41.12B,1.708B,4.948B,73.00M,-235.00M,4.613B,36.40B,120.64B,5.00M,9.725B,13.72B,79.76B,110.91B,66.04B,1.254B,3.35B,2.621B
NEE,2019-12,-169.00M,600.00M,2.119B,5.04B,499.00M,0.4985,0.4975,4.204B,107.18B,2.469B,2019-12,1.328B,975.00M,-175.00M,-175.00M,82.01B,8.361B,37.54B,849.00M,5.341B,1.036B,192.00M,4.588B,37.00B,117.69B,20.00M,7.408B,13.85B,76.33B,110.28B,62.48B,1.62B,3.631B,2.807B
NEE,2019-09,-181.00M,1.131B,2.129B,5.643B,492.00M,0.455,0.4525,4.129B,103.74B,3.443B,2019-09,1.451B,879.00M,-730.00M,-730.00M,79.00B,8.109B,36.14B,1.595B,4.991B,856.00M,58.00M,5.572B,36.59B,114.22B,5.00M,7.679B,13.31B,74.05B,106.54B,60.73B,1.848B,2.838B,3.33B
NEE,2019-06,-191.00M,1.019B,1.974B,7.77B,487.00M,0.645,0.64,3.496B,100.05B,2.996B,2019-06,1.427B,1.234B,-588.00M,-588.00M,76.14B,8.086B,33.95B,1.393B,4.313B,1.263B,124.00M,4.97B,34.91B,110.55B,5.00M,7.471B,14.41B,72.13B,103.08B,57.71B,1.603B,2.598B,3.121B
NEE,2019-03,-213.00M,972.00M,1.782B,10.33B,484.00M,0.355,0.3525,3.488B,98.16B,2.293B,2019-03,1.41B,680.00M,-702.00M,-702.00M,74.79B,8.05B,29.88B,1.109B,3.726B,680.00M,74.00M,4.075B,34.23B,109.03B,5.00M,8.222B,17.93B,71.19B,100.81B,53.26B,1.184B,2.398B,2.974B
NEE,2018-12,-188.00M,638.00M,1.818B,10.93B,445.00M,0.2207,0.22,1.599B,92.08B,2.572B,2018-12,1.223B,422.00M,-698.00M,-698.00M,70.33B,7.367B,26.78B,1.075B,4.058B,288.00M,-26.00M,4.39B,34.14B,103.70B,5.00M,6.393B,17.56B,66.29B,97.31B,48.73B,1.497B,2.386B,2.969B
NEE,2018-09,-158.00M,497.00M,1.913B,5.539B,448.00M,0.53,0.525,2.051B,90.32B,2.503B,2018-09,1.083B,1.005B,-157.00M,-157.00M,68.57B,7.42B,27.05B,962.00M,4.836B,1.066B,125.00M,4.416B,34.25B,98.60B,5.00M,8.349B,12.81B,61.26B,90.25B,48.46B,1.541B,3.00B,3.119B
NEE,2018-06,-173.00M,478.00M,1.742B,4.21B,445.00M,0.415,0.4025,0,89.75B,2.321B,2018-06,1.159B,781.00M,-384.00M,-384.00M,68.66B,7.162B,28.36B,1.119B,3.721B,913.00M,226.00M,4.063B,33.02B,95.49B,5.00M,5.885B,10.18B,59.32B,89.60B,49.13B,1.202B,2.298B,2.891B
NEE,2018-03,-178.00M,550.00M,1.59B,4.137B,450.00M,2.352,2.33,0,88.12B,2.267B,2018-03,1.205B,4.431B,-208.00M,-208.00M,67.20B,7.007B,28.06B,1.045B,3.241B,5.084B,1.25B,3.857B,32.71B,94.28B,5.00M,5.612B,9.579B,58.29B,88.67B,48.71B,1.222B,1.748B,2.389B
NEE,2017-12,111.00M,1.714B,1.935B,3.615B,448.00M,1.144,1.138,0,93.56B,2.053B,2017-12,1.273B,2.157B,-365.00M,-365.00M,72.29B,11.17B,31.41B,677.00M,4.889B,82.00M,-1.989B,3.988B,28.24B,97.96B,5.00M,7.181B,11.24B,68.43B,90.78B,57.19B,1.376B,3.235B,2.737B
