Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WELL,2016-03,-109.05M,355.95M,582.60M,645.00M,0,0.42,0.42,1.414B,0,460.40M,2016-03,165.32M,0,0,0,12.42B,186.02M,665.64M,167.57M,-1.725M,1.043B,45.69M,14.52B,29.09B,1.363B,2.262B,1.311B,14.09B,26.83B,12.78B,274.39M,0,1.843B
WELL,2015-12,-88.24M,360.91M,569.84M,835.00M,0,0.37,0.37,1.419B,0,452.51M,2015-12,149.28M,0,0,0,12.13B,192.85M,697.19M,123.98M,2.682M,1.022B,36.85M,14.59B,29.02B,1.361B,2.344B,1.532B,13.85B,26.68B,12.32B,259.66M,0,1.921B
WELL,2015-09,-94.36M,292.04M,529.83M,490.00M,0,0.52,0.52,1.277B,0,447.09M,2015-09,198.40M,0,0,0,10.98B,204.34M,686.65M,196.50M,-3.344M,976.92M,36.95M,14.65B,27.46B,1.359B,2.169B,1.177B,12.32B,25.29B,11.14B,242.75M,0,1.802B
WELL,2015-06,-81.67M,217.94M,517.22M,350.00M,0,0.89,0.89,1.283B,0,435.54M,2015-06,328.92M,0,0,0,11.20B,188.26M,650.44M,150.72M,7.417M,952.76M,38.47M,14.69B,27.41B,1.358B,2.000B,1.000B,12.36B,25.41B,11.36B,247.28M,0,1.709B
WELL,2015-03,-107.50M,202.27M,497.54M,410.00M,0,0.57,0.56,1.255B,0,391.55M,2015-03,207.15M,0,0,0,10.60B,167.58M,604.15M,164.92M,-0.304M,889.09M,35.14M,14.56B,26.63B,1.357B,1.982B,1.014B,11.71B,24.65B,10.70B,223.97M,0,1.694B
WELL,2014-12,-77.01M,473.73M,483.72M,0,0,0.6,0.59,1.204B,0,380.31M,2014-12,204.99M,0,0,0,10.78B,157.30M,626.82M,108.46M,5.102M,864.03M,27.62M,13.18B,24.96B,1.335B,1.679B,626.82M,11.49B,23.28B,10.86B,223.01M,0,1.126B
WELL,2014-09,-52.70M,998.68M,473.59M,0,0,0.44,0.44,1.161B,0,372.31M,2014-09,152.61M,0,0,0,10.28B,140.54M,677.04M,115.60M,-10.20M,845.90M,30.80M,13.20B,24.54B,1.334B,2.104B,677.04M,11.04B,22.44B,10.36B,231.77M,0,987.21M
WELL,2014-06,-18.64M,207.35M,464.82M,562.00M,0,0.24,0.24,1.153B,0,359.60M,2014-06,88.18M,0,0,0,10.35B,93.49M,678.40M,87.60M,1.569M,824.42M,51.66M,12.18B,23.57B,1.315B,1.214B,678.40M,11.06B,22.36B,10.38B,266.11M,0,941.91M
WELL,2014-03,-25.42M,185.93M,462.26M,130.00M,0,0.17,0.17,1.135B,0,339.05M,2014-03,66.38M,0,0,0,10.38B,72.87M,612.67M,72.56M,2.26M,801.31M,32.86M,11.29B,23.21B,1.297B,1.140B,1.175B,11.59B,22.07B,10.41B,266.18M,0,886.08M
WELL,2013-12,-24.53M,158.78M,458.15M,847.67M,0,0.04,0.04,1.139B,0,329.59M,2013-12,28.00M,0,0,0,10.52B,56.94M,640.57M,38.67M,0.436M,787.74M,28.52M,11.41B,23.08B,1.307B,1.117B,770.57M,11.33B,21.97B,10.56B,272.65M,0,885.46M
WELL,2013-09,-23.48M,164.84M,457.94M,0,0,0.07,0.07,1.119B,0,324.33M,2013-09,37.29M,0,0,0,9.596B,54.58M,660.44M,31.63M,3.077M,782.27M,28.72M,11.56B,23.05B,1.311B,1.138B,1.508B,11.14B,21.91B,9.627B,269.74M,0,892.45M
WELL,2013-06,-49.17M,512.47M,387.42M,0,0,-0.03,-0.03,997.23M,16.83B,290.08M,2013-06,8.094M,-84.43M,-84.43M,15.35B,9.560B,68.12M,539.36M,43.73M,1.215M,677.51M,23.90M,11.64B,22.20B,1.308B,1.636B,539.36M,10.13B,20.56B,9.593B,221.96M,0,911.07M
WELL,2013-03,-33.09M,269.84M,361.66M,710.00M,0,0.21,0.21,879.82M,15.94B,267.36M,2013-03,71.66M,-81.48M,-81.48M,14.57B,9.144B,55.50M,518.17M,-11.78M,2.763M,629.02M,27.18M,10.18B,20.79B,1.284B,1.263B,1.228B,10.41B,19.53B,9.178B,211.87M,0,767.55M
WELL,2012-12,-11.03M,1.034B,249.10M,0,0,0.35,0.35,742.00M,15.37B,238.50M,2012-12,107.18M,-56.90M,-56.90M,14.10B,8.532B,85.59M,462.10M,68.96M,3.858M,487.60M,20.04M,10.29B,19.55B,1.283B,2.448B,462.10M,9.029B,17.10B,8.566B,152.92M,0,1.307B
WELL,2012-09,-10.43M,1.382B,236.33M,610.00M,0,0.17,0.16,68.32M,13.72B,224.16M,2012-09,53.87M,0,0,12.64B,7.319B,45.63M,405.80M,38.08M,0.836M,460.49M,23.68M,10.36B,18.28B,1.282B,1.914B,405.80M,7.725B,16.37B,7.319B,178.53M,0,391.35M
WELL,2012-06,-13.59M,204.90M,227.14M,0,0,0.26,0.25,68.32M,13.04B,210.10M,2012-06,77.70M,0,0,12.07B,7.686B,56.63M,400.06M,31.52M,1.447M,437.24M,25.87M,8.058B,16.35B,1.238B,691.59M,400.06M,8.086B,15.66B,7.686B,153.47M,0,407.08M
WELL,2012-03,-11.64M,469.22M,217.62M,0,0,0.2,0.19,68.32M,10.23B,198.70M,2012-03,58.51M,0,0,9.362B,6.878B,50.04M,393.20M,45.59M,1.47M,416.31M,27.75M,8.396B,15.86B,1.511B,933.85M,393.20M,7.271B,14.93B,6.878B,148.66M,0,381.13M
WELL,2011-12,-11.93M,163.48M,399.96M,0,0,0.13,0.13,496.52M,0,-75.26M,2011-12,44.52M,0,0,0,6.631B,-196.77M,371.56M,22.35M,0.825M,324.70M,20.19M,7.125B,14.92B,1.203B,906.14M,981.56M,7.646B,14.02B,6.664B,121.51M,0,673.03M
WELL,2011-09,-10.35M,136.68M,103.13M,0,0,0.21,0.21,68.32M,0,267.60M,2011-09,53.84M,0,0,0,6.793B,136.15M,342.01M,44.99M,0.223M,370.73M,19.74M,6.579B,13.86B,1.189B,530.51M,342.01M,7.135B,13.33B,6.793B,131.45M,0,337.16M
WELL,2011-06,-10.14M,328.76M,99.81M,0,0,0.4,0.39,51.21M,0,269.79M,2011-06,87.20M,0,0,0,6.404B,142.81M,325.55M,47.59M,0.211M,369.60M,19.56M,6.598B,13.48B,1.188B,713.41M,325.55M,6.729B,12.77B,6.404B,126.98M,0,342.15M
WELL,2011-03,-10.30M,2.668B,63.56M,0,0,0.15,0.15,51.21M,0,182.19M,2011-03,32.05M,0,0,0,6.149B,93.49M,334.26M,0.521M,0.129M,245.76M,17.71M,6.620B,13.26B,1.187B,3.029B,334.26M,6.483B,10.23B,6.149B,88.70M,0,322.46M
