Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables
MAA,2020-12,-12.13M,25.20M,289.60M,172.00M,0.72,0.72,1.30M,0,134.06M,2020-12,83.34M,-40.95M,-40.95M,0,4.391B,109.15M,528.27M,86.75M,0.795M,423.66M,24.91M,5.872B,11.19B,1.15M,35.62M,700.27M,5.106B,11.16B,4.406B,24.91M,0
MAA,2020-09,-12.40M,18.41M,297.49M,90.00M,0.52,0.52,2.60M,0,125.71M,2020-09,59.91M,-41.01M,-41.01M,0,4.426B,101.66M,570.01M,62.27M,0.665M,423.20M,24.05M,5.904B,11.13B,1.149M,27.59M,570.01M,5.009B,11.10B,4.439B,24.05M,0
MAA,2020-06,-12.66M,19.67M,284.66M,0,0.65,0.65,0,0,128.36M,2020-06,75.06M,-42.12M,-42.12M,0,4.383B,106.08M,473.80M,78.61M,1.20M,413.03M,22.29M,5.955B,11.13B,1.149M,35.59M,563.80M,4.960B,11.10B,4.396B,22.29M,0
MAA,2020-03,-12.93M,34.51M,279.56M,70.00M,0.31,0.31,0,0,138.54M,2020-03,36.65M,-43.48M,-43.48M,0,4.484B,110.63M,445.45M,38.21M,0.667M,418.10M,27.91M,5.997B,11.16B,1.149M,49.05M,445.45M,4.940B,11.11B,4.495B,27.91M,0
MAA,2019-12,-13.18M,20.48M,275.21M,200.00M,1.3,1.3,0,0,141.60M,2019-12,149.59M,-43.70M,-43.70M,0,4.385B,116.90M,472.26M,155.50M,0.882M,416.82M,24.70M,6.069B,11.23B,1.149M,70.54M,542.26M,4.941B,11.16B,4.399B,24.70M,0
MAA,2019-09,-14.87M,25.83M,284.22M,367.00M,0.68,0.68,0,0,131.41M,2019-09,78.64M,-44.51M,-44.51M,0,4.276B,107.28M,521.37M,82.57M,1.491M,415.63M,24.12M,6.016B,11.25B,1.147M,65.20M,721.37M,5.011B,11.18B,4.290B,24.12M,0
MAA,2019-06,-9.092M,40.97M,278.09M,0,0.53,0.53,0,0,129.30M,2019-06,61.92M,-45.94M,-45.94M,0,4.173B,105.45M,450.21M,64.39M,0.682M,407.39M,23.85M,6.051B,11.27B,1.147M,57.68M,817.21M,5.002B,11.22B,4.185B,23.85M,0
MAA,2019-03,-3.30M,44.62M,272.17M,0,0.55,0.55,0,0,129.01M,2019-03,63.66M,-45.70M,-45.70M,0,4.548B,102.83M,419.32M,66.20M,0.641M,401.18M,26.18M,6.102B,11.30B,1.146M,59.39M,419.32M,4.978B,11.24B,4.559B,26.18M,0
MAA,2018-12,-0.212M,34.26M,268.26M,0,0.53,0.53,0,0,129.89M,2018-12,61.28M,-44.45M,-44.45M,0,4.528B,104.71M,413.85M,63.73M,0.785M,398.15M,25.19M,6.150B,11.32B,1.145M,51.67M,413.85M,4.952B,11.27B,4.538B,25.19M,0
MAA,2018-09,11.56M,46.14M,279.29M,0,0.46,0.46,0,0,117.82M,2018-09,52.79M,-44.65M,-44.65M,0,4.504B,100.14M,473.80M,54.92M,0.616M,397.11M,17.68M,6.207B,11.42B,1.145M,88.70M,473.80M,4.987B,11.33B,4.514B,17.68M,0
