Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables
MAA,2018-06,7.986M,32.61M,271.66M,0,0.52,0.52,7.10M,0,118.42M,2018-06,59.81M,-43.58M,-43.58M,0,4.549B,97.81M,409.60M,62.20M,0.57M,390.07M,20.61M,6.252B,11.45B,1.145M,61.55M,409.60M,4.968B,11.39B,4.558B,20.61M,17.28M
MAA,2018-03,3.00M,59.71M,265.15M,0,0.42,0.42,1.239M,0,120.87M,2018-03,49.02M,-40.90M,-40.90M,0,4.499B,97.86M,390.38M,50.96M,0.64M,386.02M,23.01M,6.291B,11.42B,1.144M,88.81M,390.38M,4.897B,11.33B,4.507B,23.01M,13.93M
MAA,2017-12,2.157M,10.75M,259.73M,0,1.08,1.08,1.239M,0,123.00M,2017-12,123.45M,-39.75M,-39.75M,0,4.502B,101.96M,405.56M,128.37M,0.709M,382.74M,21.04M,6.340B,11.49B,1.143M,94.19M,405.56M,4.918B,11.40B,4.512B,21.04M,13.35M
MAA,2017-09,0.79M,47.85M,267.11M,0,1,1,1.239M,0,117.44M,2017-09,114.71M,-39.94M,-39.94M,0,4.493B,98.80M,456.94M,119.26M,0.641M,384.55M,18.64M,6.317B,11.53B,1.143M,133.42M,456.94M,4.982B,11.40B,4.525B,18.64M,9.08M
MAA,2017-06,0.735M,39.66M,272.33M,0,0.42,0.42,42.40M,0,110.46M,2017-06,48.32M,-38.48M,-38.48M,0,4.573B,90.18M,395.16M,50.44M,0.618M,382.79M,20.28M,6.298B,11.53B,1.143M,98.88M,395.16M,5.002B,11.44B,4.607B,20.28M,7.464M
MAA,2017-03,4.223M,33.96M,271.27M,0,0.36,0.36,1.607M,0,107.64M,2017-03,41.90M,-36.58M,-36.58M,0,4.557B,83.82M,382.13M,43.71M,0.651M,378.91M,23.82M,6.351B,11.56B,1.143M,58.50M,382.13M,4.973B,11.50B,4.591B,23.82M,8.222M
MAA,2016-12,1.144M,33.54M,208.00M,0,0.44,0.44,1.607M,0,99.20M,2016-12,39.39M,-33.69M,-33.69M,0,4.500B,81.54M,452.60M,42.34M,0.499M,307.20M,17.66M,6.404B,11.60B,1.142M,121.80M,452.60M,4.962B,11.48B,4.510B,17.66M,0
MAA,2016-09,-2.045M,27.82M,183.60M,0,1.12,1.12,1.607M,0,93.29M,2016-09,84.28M,-32.10M,-32.10M,0,3.434B,78.72M,269.04M,89.36M,0.454M,276.90M,14.57M,2.983B,6.881B,0.754M,58.85M,269.04M,3.734B,6.822B,3.465B,14.57M,0
MAA,2016-06,-4.15M,26.28M,178.70M,0,0.6,0.6,0,0,93.54M,2016-06,45.14M,-31.98M,-31.98M,0,3.489B,78.22M,226.12M,48.19M,0.457M,272.24M,15.32M,2.956B,6.869B,0.754M,51.41M,226.12M,3.750B,6.818B,3.524B,15.32M,0
MAA,2016-03,-3.976M,28.18M,176.01M,0,0.58,0.58,0,0,93.01M,2016-03,43.41M,-32.18M,-32.18M,0,3.444B,77.42M,215.00M,45.97M,0.288M,269.02M,15.59M,2.971B,6.828B,0.754M,49.82M,215.00M,3.693B,6.778B,3.478B,15.59M,0
MAA,2015-12,-1.589M,37.56M,171.46M,0,0.57,0.57,7.707M,0,91.88M,2015-12,42.99M,-30.83M,-30.83M,0,3.428B,77.38M,232.16M,45.62M,0.254M,263.34M,14.50M,2.992B,6.848B,0.753M,63.64M,232.16M,3.690B,6.784B,3.458B,14.50M,5.922M
MAA,2015-09,-6.306M,44.88M,174.70M,0,1.22,1.22,1.607M,0,87.30M,2015-09,91.73M,-30.23M,-30.23M,0,3.425B,73.79M,254.22M,97.34M,0.512M,262.00M,13.51M,3.004B,6.887B,0.754M,134.20M,254.22M,3.716B,6.753B,3.462B,13.51M,10.51M
MAA,2015-06,0.952M,30.03M,175.25M,0,1.81,1.81,1.607M,0,83.64M,2015-06,136.30M,-30.40M,-30.40M,0,3.442B,70.00M,227.02M,144.29M,0.398M,258.89M,13.64M,2.977B,6.843B,0.754M,147.70M,227.02M,3.701B,6.696B,3.474B,13.64M,11.88M
MAA,2015-03,-2.453M,18.33M,173.76M,0,0.81,0.81,2.321M,0,84.79M,2015-03,61.27M,-30.85M,-30.85M,0,3.479B,69.73M,202.90M,65.17M,0.51M,258.55M,15.06M,2.892B,6.800B,0.753M,220.57M,202.90M,3.746B,6.579B,3.543B,15.06M,7.68M
MAA,2014-12,-0.412M,26.65M,168.89M,0,0.46,0.46,10.62M,0,84.33M,2014-12,34.52M,-31.68M,-31.68M,0,3.513B,71.41M,227.44M,37.27M,0.815M,253.22M,12.92M,2.891B,6.822B,0.752M,54.83M,227.44M,3.770B,6.767B,3.543B,12.92M,8.395M
MAA,2014-09,0.396M,87.77M,171.10M,0,0.89,0.89,2.321M,0,78.47M,2014-09,66.98M,-29.21M,-29.21M,0,3.430B,64.53M,248.94M,68.14M,0.442M,249.57M,13.94M,2.913B,6.783B,0.752M,183.29M,248.94M,3.707B,6.600B,3.458B,13.94M,10.09M
MAA,2014-06,-1.395M,26.32M,167.53M,0,0.42,0.42,4.106M,0,77.78M,2014-06,31.61M,-30.44M,-30.44M,0,3.475B,62.98M,217.29M,31.00M,0.523M,245.30M,14.79M,2.895B,6.783B,0.751M,125.14M,217.29M,3.726B,6.658B,3.509B,14.79M,15.30M
MAA,2014-03,2.691M,121.90M,187.38M,0,0.2,0.2,4.106M,0,56.11M,2014-03,14.87M,-31.83M,-31.83M,0,3.463B,44.76M,213.17M,10.11M,0.27M,243.49M,11.35M,2.913B,6.786B,0.749M,193.91M,213.17M,3.709B,6.592B,3.495B,11.35M,15.17M
MAA,2013-12,0.108M,89.33M,184.39M,0,-0.1239,-0.1239,54.41M,0,55.97M,2013-12,-9.272M,-30.51M,-30.51M,0,3.473B,43.22M,221.34M,-15.00M,0.224M,240.36M,12.75M,2.947B,6.842B,0.747M,172.46M,221.34M,3.728B,6.669B,3.507B,12.75M,15.07M
MAA,2013-09,-4.599M,181.10M,88.46M,0,1.04,1.04,4.106M,0,46.95M,2013-09,44.28M,-15.73M,-15.73M,0,1.860B,38.00M,116.24M,16.46M,0.223M,135.41M,8.946M,990.38M,3.028B,0.427M,239.68M,116.24M,1.998B,2.789B,1.882B,8.946M,6.963M
MAA,2013-06,-6.336M,8.792M,85.04M,0,1.38,1.37,4.106M,3.688B,46.76M,2013-06,59.09M,-15.97M,-15.97M,2.693B,1.692B,38.15M,106.37M,16.39M,0.223M,131.80M,8.612M,980.30M,2.834B,0.427M,27.66M,106.37M,1.822B,2.807B,1.716B,8.612M,10.08M
MAA,2013-03,-21.87M,8.224M,82.72M,0,0.5,0.5,4.106M,3.504B,45.20M,2013-03,21.18M,-16.30M,-16.30M,2.514B,1.691B,36.86M,92.11M,20.39M,0.223M,127.92M,8.347M,932.18M,2.775B,0.426M,8.873M,92.11M,1.813B,2.766B,1.721B,8.347M,5.672M
MAA,2012-12,-26.05M,9.075M,79.60M,0,0.52,0.52,5.706M,3.381B,43.30M,2012-12,22.31M,-16.36M,-16.36M,2.401B,1.674B,35.18M,99.30M,18.16M,0,122.89M,8.123M,914.05M,2.751B,0.422M,9.883M,99.30M,1.806B,2.741B,1.707B,8.123M,4.586M
MAA,2012-09,-30.47M,13.42M,82.27M,0,0.74,0.74,4.106M,3.251B,40.92M,2012-09,30.87M,-15.41M,-15.41M,2.313B,1.706B,31.94M,106.71M,15.21M,0,123.19M,8.987M,894.18M,2.776B,0.419M,14.72M,106.71M,1.850B,2.761B,1.744B,8.987M,5.637M
MAA,2012-06,-30.89M,22.34M,78.97M,0,0.69,0.69,4.106M,3.173B,40.04M,2012-06,28.16M,-14.83M,-14.83M,2.236B,1.589B,31.01M,95.52M,15.30M,0,119.01M,9.032M,839.39M,2.599B,0.41M,23.38M,95.52M,1.733B,2.576B,1.638B,9.032M,5.582M
MAA,2012-03,-31.80M,41.83M,78.06M,0,0.6,0.6,4.106M,3.008B,38.23M,2012-03,23.89M,-14.74M,-14.74M,2.091B,1.540B,29.33M,83.44M,15.24M,0,116.29M,8.901M,834.53M,2.527B,0.409M,64.57M,83.44M,1.664B,2.463B,1.580B,8.901M,4.001M
MAA,2011-12,-35.85M,57.32M,144.54M,0,0.5,0.5,5.906M,0,-51.50M,2011-12,18.76M,-16.40M,-16.40M,0,1.650B,20.80M,93.81M,7.039M,0,93.05M,8.809M,718.33M,2.530B,0.389M,58.68M,93.81M,1.787B,2.472B,1.693B,-72.29M,2.091M
MAA,2011-09,-41.58M,24.25M,47.98M,0,0.37,0.37,4.106M,0,62.34M,2011-09,13.79M,-15.04M,-15.04M,0,1.588B,25.39M,96.47M,8.641M,0,110.32M,8.90M,654.50M,2.412B,0.378M,37.20M,96.47M,1.734B,2.375B,1.637B,36.95M,3.088M
MAA,2011-06,-42.27M,12.84M,45.72M,0,0.2,0.2,4.106M,0,61.48M,2011-06,7.428M,-13.83M,-13.83M,0,1.536B,23.57M,85.28M,0,0,107.20M,10.63M,617.64M,2.314B,0.371M,14.46M,85.28M,1.673B,2.299B,1.588B,37.91M,2.826M
MAA,2011-03,-41.64M,47.22M,44.33M,0,0.25,0.24,4.106M,0,60.62M,2011-03,8.844M,-13.68M,-13.68M,0,1.452B,23.65M,74.95M,0,0,104.94M,9.754M,600.00M,2.202B,0.365M,48.60M,74.95M,1.578B,2.153B,1.504B,36.97M,2.615M
