Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ALGN,2018-06,0.911M,712.62M,124.68M,0,332.70M,1.32,1.3,85.31M,484.60M,365.58M,2018-06,47.25M,106.10M,1.917M,1.917M,447.93M,0,122.69M,221.11M,117.51M,7.703M,30.80M,490.26M,212.09M,1.219B,1.917B,0.008M,1.261B,566.65M,697.63M,655.59M,130.98M,242.89M,62.46M,374.37M
ALGN,2018-03,1.484M,662.74M,109.52M,0,296.01M,1.2,1.17,87.63M,310.88M,327.41M,2018-03,35.87M,95.87M,2.176M,2.176M,400.53M,0,98.19M,210.43M,100.54M,2.902M,29.59M,436.92M,199.62M,1.127B,1.783B,0.008M,1.169B,517.98M,655.27M,613.96M,137.29M,229.22M,64.36M,361.46M
ALGN,2017-12,0.571M,721.54M,103.41M,0,273.09M,0.13,0.13,89.07M,0,317.92M,2017-12,31.69M,10.26M,2.486M,2.486M,348.79M,0,109.61M,219.67M,112.19M,103.65M,26.17M,421.32M,182.14M,1.154B,1.784B,0.008M,1.158B,500.05M,629.72M,625.64M,129.67M,208.31M,54.68M,324.19M
ALGN,2017-09,0.788M,679.07M,92.78M,0,241.58M,1.03,1.01,90.07M,0,292.49M,2017-09,36.94M,82.56M,1.826M,1.826M,295.90M,0,98.76M,214.74M,102.51M,18.34M,24.20M,385.27M,169.52M,1.182B,1.698B,0.008M,1.101B,461.37M,515.66M,596.62M,54.30M,193.72M,65.12M,321.33M
ALGN,2017-06,-0.156M,601.97M,85.56M,0,220.00M,0.86,0.85,91.31M,0,270.92M,2017-06,35.13M,69.18M,1.441M,1.441M,255.54M,0,83.57M,199.76M,86.78M,15.39M,24.38M,356.48M,162.96M,1.078B,1.551B,0.008M,1.003B,424.80M,472.90M,547.96M,48.10M,187.35M,63.17M,291.69M
ALGN,2017-03,-1.382M,545.59M,74.72M,0,202.90M,0.87,0.85,92.45M,0,235.62M,2017-03,35.17M,69.42M,1.195M,1.195M,231.69M,0,61.67M,158.36M,63.32M,-7.223M,22.80M,310.34M,151.15M,1.045B,1.459B,0.008M,918.17M,365.55M,414.42M,541.13M,48.86M,173.95M,48.87M,267.13M
ALGN,2016-12,-0.938M,640.26M,72.95M,0,191.41M,0.6,0.59,82.00M,0,220.25M,2016-12,27.13M,47.62M,3.052M,3.052M,175.17M,0,68.37M,159.09M,60.86M,12.03M,21.61M,293.20M,130.27M,995.39M,1.396B,0.008M,952.98M,354.34M,400.76M,443.17M,46.43M,151.88M,37.84M,247.42M
ALGN,2016-09,-0.085M,612.97M,69.39M,0,177.41M,0.64,0.63,82.99M,0,209.20M,2016-09,26.34M,51.37M,1.463M,1.463M,172.66M,0,62.08M,162.24M,63.54M,11.70M,20.42M,278.59M,126.71M,972.31M,1.359B,0.008M,911.77M,343.05M,386.58M,447.12M,43.53M,147.12M,44.23M,244.99M
ALGN,2016-06,0.428M,571.81M,64.15M,0,160.56M,0.63,0.62,83.75M,0,205.22M,2016-06,22.99M,50.15M,0.125M,0.125M,161.68M,0,65.14M,135.60M,65.26M,15.11M,18.61M,269.36M,121.47M,909.86M,1.251B,0.008M,825.41M,298.99M,341.42M,425.87M,42.43M,140.08M,47.98M,192.66M
ALGN,2016-03,0.022M,548.08M,58.09M,0,145.77M,0.51,0.5,78.61M,0,180.63M,2016-03,22.62M,40.55M,-0.427M,-0.427M,148.03M,0,53.33M,126.28M,52.91M,12.36M,15.08M,238.72M,112.21M,892.03M,1.208B,0.008M,783.00M,274.75M,315.53M,424.56M,40.78M,127.29M,50.26M,178.00M
ALGN,2015-12,-0.98M,527.30M,57.47M,0,129.55M,0.61,0.6,79.16M,254.51M,172.81M,2015-12,19.46M,48.88M,0.313M,0.313M,136.47M,0,59.34M,139.48M,59.65M,10.78M,13.89M,230.28M,99.58M,847.93M,1.159B,0.008M,732.01M,271.67M,310.71M,426.62M,39.04M,113.47M,41.80M,158.55M
ALGN,2015-09,0.025M,484.76M,50.06M,0,116.00M,0.35,0.34,79.72M,197.93M,157.58M,2015-09,18.94M,27.62M,-1.568M,-1.568M,120.74M,0,38.05M,125.80M,36.48M,8.862M,17.78M,207.64M,101.75M,798.26M,1.080B,0.008M,711.73M,244.51M,281.30M,367.83M,36.79M,119.53M,49.23M,148.40M
ALGN,2015-06,-0.187M,438.54M,50.85M,0,101.42M,0.39,0.39,80.59M,181.25M,158.63M,2015-06,16.42M,31.35M,0.174M,0.174M,108.03M,0,42.32M,118.52M,42.50M,11.15M,15.68M,209.49M,100.62M,769.80M,1.029B,0.008M,657.91M,222.92M,258.78M,370.68M,35.86M,116.31M,40.52M,146.47M
ALGN,2015-03,-0.106M,444.80M,47.00M,0,93.87M,0.45,0.44,81.27M,0,151.09M,2015-03,14.57M,36.18M,-1.452M,-1.452M,99.76M,0,48.92M,103.70M,47.47M,11.30M,13.88M,198.09M,88.28M,793.53M,1.028B,0.008M,657.31M,200.58M,234.87M,371.09M,34.30M,102.17M,37.88M,138.16M
ALGN,2014-12,-0.14M,454.66M,47.94M,0,90.68M,0.5,0.48,82.06M,0,150.66M,2014-12,15.93M,39.54M,-1.716M,-1.716M,90.12M,0,51.49M,107.98M,49.78M,10.24M,13.28M,198.60M,85.89M,752.77M,988.00M,0.008M,657.16M,201.81M,235.23M,330.84M,33.42M,99.17M,36.47M,129.75M
ALGN,2014-09,0.06M,425.50M,44.82M,0,87.44M,0.47,0.47,82.93M,0,145.05M,2014-09,15.98M,38.25M,-1.999M,-1.999M,86.45M,0,51.55M,107.85M,49.55M,11.30M,12.85M,189.88M,80.65M,722.46M,948.29M,0.008M,615.67M,198.56M,225.83M,332.62M,27.27M,93.51M,41.15M,130.05M
ALGN,2014-06,0.508M,365.53M,47.06M,0,85.12M,0.44,0.43,83.80M,0,145.48M,2014-06,13.12M,35.60M,-0.093M,-0.093M,81.31M,0,48.73M,98.74M,48.64M,13.04M,13.29M,192.53M,83.46M,675.80M,885.43M,0.008M,554.51M,187.11M,209.64M,330.92M,22.52M,96.74M,32.14M,131.03M
ALGN,2014-03,0.442M,366.44M,43.40M,0,81.00M,0.4,0.39,84.39M,0,137.25M,2014-03,15.84M,32.44M,0.601M,0.601M,79.09M,0,41.80M,86.81M,42.40M,9.961M,13.38M,180.65M,82.07M,696.75M,885.64M,0.008M,552.18M,170.86M,188.89M,333.46M,18.03M,95.45M,30.77M,126.18M
ALGN,2013-12,0.294M,369.99M,41.82M,0,77.28M,0.53,0.52,85.36M,0,136.48M,2013-12,13.97M,42.42M,-0.199M,-0.199M,75.74M,0,52.92M,94.96M,52.72M,10.30M,10.97M,178.29M,72.58M,633.97M,832.15M,0.008M,544.68M,175.34M,198.18M,287.47M,22.84M,83.55M,29.19M,113.25M
ALGN,2013-09,0.332M,323.58M,39.42M,0,70.40M,0.43,0.42,86.11M,0,125.09M,2013-09,14.66M,34.54M,0.449M,0.449M,76.55M,0,41.46M,89.06M,41.91M,7.376M,10.92M,164.51M,72.71M,575.68M,759.21M,0.008M,482.26M,163.27M,183.52M,276.95M,20.25M,83.63M,29.73M,109.18M
ALGN,2013-06,-0.044M,278.43M,40.14M,0,65.38M,0.36,0.36,86.69M,165.13M,123.69M,2013-06,15.70M,29.32M,-0.335M,-0.335M,76.93M,0,37.90M,90.82M,37.57M,8.246M,10.92M,163.83M,74.87M,520.20M,703.89M,0.008M,442.09M,160.65M,183.70M,261.80M,23.04M,85.79M,31.65M,112.37M
ALGN,2013-03,0.151M,366.72M,40.73M,0,59.47M,-0.52,-0.52,83.97M,129.43M,112.85M,2013-03,15.44M,-41.98M,-0.988M,-0.988M,72.67M,0,28.94M,80.25M,-39.06M,2.92M,11.28M,153.58M,72.63M,561.12M,726.24M,0.008M,527.33M,143.86M,165.13M,198.91M,21.27M,83.91M,27.46M,108.67M
ALGN,2012-12,0.203M,334.87M,36.36M,0,61.98M,0.12,0.12,145.01M,0,106.48M,2012-12,15.12M,9.559M,-0.672M,-0.672M,79.19M,0,29.00M,89.75M,16.40M,6.84M,11.71M,142.84M,65.77M,581.32M,756.31M,0.008M,485.79M,155.77M,175.00M,270.52M,19.22M,77.48M,28.24M,98.99M
ALGN,2012-09,-0.019M,328.05M,36.15M,0,68.12M,-0.0042,-0.0042,157.98M,0,100.35M,2012-09,15.14M,-0.344M,-0.353M,-0.353M,75.25M,0,29.17M,47.66M,4.15M,4.494M,9.952M,136.50M,61.23M,602.16M,768.16M,0.008M,484.25M,151.69M,166.00M,283.92M,14.31M,71.18M,24.23M,105.90M
ALGN,2012-06,-0.34M,283.55M,36.83M,0,59.40M,0.35,0.34,183.73M,0,108.80M,2012-06,14.62M,28.49M,0.541M,0.541M,72.21M,0,36.01M,83.26M,36.55M,8.061M,10.68M,145.63M,62.11M,586.30M,744.16M,0.008M,435.14M,143.84M,157.87M,309.03M,14.03M,72.79M,25.47M,102.15M
ALGN,2012-03,0.193M,240.38M,34.32M,0,54.65M,0.26,0.26,184.70M,0,100.76M,2012-03,13.43M,20.98M,0.10M,0.10M,62.91M,0,28.01M,46.50M,27.19M,6.21M,10.53M,135.08M,62.23M,523.02M,670.44M,0.008M,385.50M,135.83M,147.41M,284.94M,11.59M,72.75M,25.22M,94.44M
ALGN,2011-12,0.046M,248.07M,33.36M,0,52.25M,0.26,0.25,185.40M,0,95.55M,2011-12,9.402M,20.45M,-0.306M,-0.306M,53.96M,0,26.43M,92.69M,26.35M,5.897M,9.568M,128.90M,61.01M,490.78M,649.26M,0.008M,384.82M,148.12M,158.48M,264.45M,10.37M,69.12M,29.79M,91.54M
ALGN,2011-09,0.346M,210.41M,33.52M,0,47.77M,0.25,0.24,186.02M,0,92.37M,2011-09,8.278M,19.26M,0.10M,0.10M,46.39M,0,26.31M,42.02M,26.19M,6.93M,8.926M,125.89M,56.26M,456.88M,585.92M,0.008M,327.13M,120.19M,129.04M,258.79M,8.857M,66.06M,21.07M,86.65M
ALGN,2011-06,0.743M,175.36M,28.95M,0,43.02M,0.14,0.14,187.88M,0,91.14M,2011-06,6.272M,11.16M,0,0,37.12M,0,16.60M,66.43M,16.29M,5.127M,9.27M,120.09M,64.68M,429.78M,547.05M,0.008M,286.57M,109.45M,117.27M,260.48M,7.816M,74.54M,16.94M,82.13M
ALGN,2011-03,0.624M,316.94M,22.63M,0,37.20M,0.21,0.2,1.966M,0,82.23M,2011-03,2.867M,15.84M,0,0,30.72M,0,21.02M,50.80M,21.11M,5.271M,9.39M,104.86M,51.81M,402.10M,496.98M,0.008M,417.94M,87.99M,94.88M,79.04M,6.883M,61.20M,6.594M,73.90M
