Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ALGN,2020-12,43.50M,960.84M,224.06M,21.74M,777.89M,2.02,2,574.89M,1.119B,610.46M,2020-12,139.24M,158.99M,0.337M,0.337M,817.27M,64.44M,213.18M,525.98M,214.54M,55.55M,48.89M,834.52M,348.39M,3.234B,4.830B,0.008M,1.850B,1.326B,1.596B,2.980B,270.22M,397.28M,172.26M,708.36M
ALGN,2020-09,24.91M,615.53M,200.06M,20.67M,684.14M,1.77,1.76,555.95M,787.04M,534.09M,2020-09,123.09M,139.37M,0.329M,0.329M,787.04M,65.52M,177.07M,416.98M,184.54M,45.17M,44.53M,734.14M,312.49M,3.033B,4.415B,0.008M,1.473B,1.122B,1.382B,2.942B,259.83M,357.02M,134.72M,695.76M
ALGN,2020-06,9.101M,404.36M,127.99M,20.86M,601.83M,-0.52,-0.52,543.21M,737.53M,224.33M,2020-06,131.28M,-40.60M,0.473M,0.473M,737.53M,50.62M,-73.00M,307.27M,-73.49M,-32.89M,40.36M,352.31M,256.97M,2.845B,4.026B,0.008M,1.149B,941.59M,1.181B,2.877B,239.22M,297.33M,106.72M,567.11M
ALGN,2020-03,-0.193M,790.70M,156.61M,20.22M,578.54M,19.32,19.21,73.75M,733.86M,394.36M,2020-03,120.98M,1.518B,1.986M,1.986M,733.86M,53.74M,69.92M,311.92M,53.36M,-1.465B,41.53M,550.96M,282.91M,2.853B,3.965B,0.008M,1.577B,910.69M,1.112B,2.388B,201.16M,324.44M,88.01M,616.05M
ALGN,2019-12,-0.688M,868.63M,177.83M,15.74M,563.76M,1.54,1.53,75.69M,917.49M,471.96M,2019-12,112.05M,121.26M,2.906M,2.906M,687.97M,43.46M,151.15M,391.47M,155.80M,34.54M,41.33M,649.79M,279.48M,1.346B,2.501B,0.008M,1.633B,970.97M,1.155B,867.28M,183.56M,320.81M,101.38M,616.55M
ALGN,2019-09,-1.927M,782.37M,169.79M,13.71M,527.89M,1.29,1.28,77.01M,660.50M,437.55M,2019-09,94.80M,102.52M,3.478M,3.478M,660.50M,43.36M,120.36M,308.35M,128.42M,25.90M,39.68M,607.34M,277.51M,1.306B,2.350B,0.008M,1.506B,870.14M,1.045B,844.80M,174.69M,317.19M,76.32M,596.62M
ALGN,2019-06,-1.876M,720.92M,168.41M,16.14M,490.26M,1.84,1.83,78.85M,656.88M,432.29M,2019-06,81.12M,147.14M,3.465M,3.465M,656.88M,59.14M,125.49M,262.93M,193.85M,43.12M,38.85M,600.70M,267.95M,1.374B,2.346B,0.008M,1.457B,789.05M,972.34M,888.64M,183.29M,306.80M,73.22M,619.68M
ALGN,2019-03,-2.281M,774.51M,146.88M,71.69M,486.61M,0.9,0.89,80.33M,631.65M,402.10M,2019-03,68.49M,71.85M,2.633M,2.633M,631.65M,59.31M,117.48M,228.14M,84.59M,8.796M,37.50M,548.97M,247.11M,1.256B,2.234B,0.008M,1.439B,804.88M,978.73M,795.32M,173.84M,284.61M,70.66M,479.28M
ALGN,2018-12,-2.774M,735.36M,150.92M,0,393.14M,1.22,1.2,81.95M,693.06M,383.10M,2018-12,55.64M,97.39M,2.249M,2.249M,521.33M,0,120.47M,298.94M,121.99M,22.52M,35.80M,534.02M,226.82M,1.253B,2.052B,0.008M,1.302B,692.07M,799.57M,749.98M,107.49M,262.62M,70.01M,482.31M
ALGN,2018-09,-0.728M,605.16M,133.51M,0,363.73M,1.26,1.24,83.61M,0,371.78M,2018-09,48.86M,100.87M,2.234M,2.234M,491.63M,0,125.21M,240.58M,126.60M,24.60M,32.70M,505.29M,213.87M,1.193B,1.928B,0.008M,1.224B,618.21M,735.42M,704.22M,117.21M,246.57M,53.91M,420.28M
