Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NLFX,2021-03,4.137M,8.404B,3.869B,698.79M,1.140B,3.85,3.75,26.04B,1.536B,3.295B,2021-03,0,1.707B,74.65M,74.65M,1.015B,14.86B,1.960B,1.825B,2.035B,327.79M,0,7.163B,1.335B,12.88B,40.12B,3.600B,10.11B,7.962B,27.24B,30.02B,19.28B,1.335B,532.94M,807.04M
NLFX,2020-12,44.40M,8.206B,4.165B,499.88M,1.118B,1.23,1.19,25.38B,1.455B,2.479B,2020-12,0,542.16M,-447.82M,-447.82M,960.18M,15.81B,954.24M,1.758B,506.42M,-35.74M,0,6.644B,1.525B,11.07B,39.28B,3.448B,9.762B,7.806B,28.22B,29.52B,20.41B,1.525B,656.18M,610.82M
NLFX,2020-09,-1.147M,8.392B,3.868B,499.52M,1.040B,1.79,1.74,25.07B,1.302B,2.568B,2020-09,0,789.98M,-453.40M,-453.40M,828.12M,15.55B,1.315B,1.800B,861.46M,71.48M,0,6.436B,1.253B,10.33B,38.62B,3.303B,9.826B,7.940B,28.29B,28.80B,20.35B,1.253B,541.30M,604.79M
NLFX,2020-06,-34.07M,7.153B,3.644B,499.16M,1.029B,1.63,1.59,25.16B,1.212B,2.505B,2020-06,0,720.20M,-322.33M,-322.33M,751.94M,15.29B,1.358B,1.433B,1.036B,315.41M,0,6.148B,1.147B,9.335B,37.18B,3.128B,8.564B,7.626B,27.84B,28.61B,20.21B,1.147B,446.67M,565.67M
NLFX,2020-03,-47.05M,5.152B,3.600B,498.81M,986.75M,1.61,1.57,25.27B,1.087B,2.168B,2020-03,0,709.07M,-162.39M,-162.39M,650.46M,14.17B,958.26M,1.607B,795.87M,86.80M,0,5.768B,1.210B,8.409B,35.06B,2.936B,6.448B,7.854B,26.65B,28.61B,18.80B,1.210B,545.49M,1.082B
NLFX,2019-12,-23.52M,5.018B,3.466B,0,924.74M,1.34,1.3,24.50B,981.23M,2.001B,2019-12,0,586.97M,-309.18M,-309.18M,565.22M,14.76B,458.51M,1.517B,149.33M,-437.64M,0,5.467B,1.543B,7.582B,33.98B,2.794B,6.179B,6.856B,26.39B,27.80B,19.54B,1.543B,674.35M,454.40M
NLFX,2019-09,-41.25M,4.435B,3.098B,0,915.51M,1.52,1.47,23.23B,884.60M,2.147B,2019-09,0,665.24M,32.08M,32.08M,481.99M,12.43B,980.24M,1.482B,1.012B,347.08M,0,5.245B,1.167B,6.862B,30.94B,2.678B,5.328B,7.258B,24.08B,25.61B,16.82B,1.167B,444.13M,466.17M
NLFX,2019-06,-20.35M,5.004B,3.006B,0,892.78M,0.62,0.6,21.95B,837.51M,1.917B,2019-06,0,270.65M,-205.50M,-205.50M,452.40M,12.59B,706.42M,1.193B,500.92M,230.27M,0,4.923B,1.211B,6.106B,30.17B,2.566B,5.877B,6.934B,24.07B,24.29B,17.13B,1.211B,442.19M,492.03M
NLFX,2019-03,-25.60M,3.349B,2.871B,0,808.69M,0.79,0.76,20.89B,805.40M,1.650B,2019-03,0,344.05M,-59.42M,-59.42M,434.37M,10.31B,459.08M,1.186B,399.66M,55.61M,0,4.521B,1.191B,5.703B,27.22B,2.440B,4.169B,6.858B,21.52B,23.05B,14.66B,1.191B,439.50M,432.96M
NLFX,2018-12,-19.58M,3.794B,2.733B,0,760.90M,0.31,0.3,14.95B,786.80M,1.453B,2018-12,0,133.93M,-96.37M,-96.37M,418.28M,10.36B,215.77M,1.045B,119.40M,-14.54M,0,4.187B,1.238B,5.239B,25.97B,2.316B,9.694B,6.487B,20.74B,16.28B,14.25B,1.238B,562.98M,569.63M
