Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CRM,2021-01,-42.00M,11.97B,1.479B,766.00M,12.61B,0.29,0.28,30.43B,7.618B,4.338B,2021-01,267.00M,0,0,5.663B,188.00M,5.515B,193.00M,4.355B,425.00M,158.00M,939.00M,5.817B,3.206B,41.49B,66.30B,1.00M,21.89B,17.73B,24.81B,44.41B,7.08B,4.145B,3.505B,7.786B
CRM,2020-10,-84.00M,9.492B,1.394B,765.00M,7.923B,1.19,1.15,30.71B,5.526B,4.025B,2020-10,1.081B,0,0,5.526B,0,5.075B,224.00M,3.505B,1.25B,169.00M,902.00M,5.419B,2.899B,40.31B,59.14B,1.00M,14.95B,12.23B,18.83B,44.19B,6.592B,3.801B,2.989B,3.316B
CRM,2020-07,-68.00M,9.283B,1.311B,767.00M,8.711B,2.9,2.85,30.98B,5.513B,3.84B,2020-07,2.625B,0,0,5.513B,0,5.08B,178.00M,3.485B,839.00M,-1.786B,898.00M,5.151B,2.764B,38.44B,57.78B,1.00M,14.85B,12.96B,19.34B,42.93B,6.377B,3.662B,2.881B,3.445B
CRM,2020-04,-135.00M,9.802B,1.254B,742.00M,9.112B,0.11,0.11,30.34B,5.501B,3.611B,2020-04,99.00M,0,0,5.501B,0,5.095B,-140.00M,2.989B,47.00M,-52.00M,859.00M,4.865B,2.892B,34.56B,53.62B,1.00M,14.71B,12.84B,19.06B,38.91B,6.215B,3.751B,2.347B,3.076B
CRM,2020-01,-93.00M,7.947B,1.22B,750.00M,10.66B,-0.28,-0.28,29.86B,7.216B,3.631B,2020-01,-248.00M,0,0,5.415B,0,5.118B,-36.00M,3.433B,-4.00M,244.00M,831.00M,4.851B,2.836B,33.88B,55.13B,1.00M,15.96B,14.84B,21.24B,39.16B,6.396B,3.667B,2.228B,6.174B
CRM,2019-10,-74.00M,6.529B,1.134B,735.00M,6.858B,-0.12,-0.12,30.54B,5.515B,3.379B,2019-10,-109.00M,0,0,5.515B,0,5.359B,65.00M,2.881B,64.00M,173.00M,774.00M,4.513B,2.54B,33.28B,49.94B,1.00M,11.03B,10.47B,16.66B,38.92B,6.189B,3.314B,2.691B,2.573B
CRM,2019-07,-77.00M,6.042B,967.00M,706.00M,7.142B,0.12,0.11,15.53B,5.187B,3.03B,2019-07,91.00M,0,0,5.187B,0,5.314B,224.00M,2.347B,164.00M,73.00M,607.00M,3.997B,2.199B,17.17B,33.34B,1.00M,9.903B,10.20B,16.17B,23.43B,5.975B,2.806B,423.00M,2.332B
CRM,2019-04,-65.00M,6.379B,914.00M,675.00M,7.585B,0.51,0.49,15.32B,5.097B,2.823B,2019-04,392.00M,0,0,5.097B,0,5.556B,210.00M,2.228B,482.00M,90.00M,554.00M,3.737B,2.059B,16.45B,33.15B,1.00M,10.04B,10.49B,16.71B,23.12B,6.22B,2.613B,0,2.153B
CRM,2019-01,-58.00M,4.342B,946.00M,0,8.564B,0.47,0.46,15.47B,3.834B,2.657B,2019-01,362.00M,0,0,2.051B,0,3.173B,137.00M,2.691B,239.00M,-123.00M,518.00M,3.603B,2.002B,15.60B,30.74B,1.00M,10.68B,11.26B,15.13B,20.05B,3.877B,2.52B,0,4.924B
CRM,2018-10,-74.00M,3.45B,889.00M,706.00M,5.376B,0.14,0.13,15.08B,3.724B,2.503B,2018-10,105.00M,0,0,1.998B,0,3.685B,92.00M,423.00M,128.00M,23.00M,481.00M,3.392B,1.93B,14.69B,26.59B,1.00M,6.87B,8.022B,11.90B,19.72B,3.873B,2.411B,0,2.07B
