Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,2012-06,2012-03
IQV,2016-09,-140.98M,1.250B,1.056B,48.50M,624.08M,0.83,0.82,1.038B,0,441.00M,2016-09,100.00M,-24.00M,-24.00M,184.19M,13.10M,2.387B,200.00M,920.05M,143.00M,39.00M,1.497B,207.00M,-313.43M,4.129B,48.76M,2.643B,1.620B,4.211B,1.486B,2.591B,241.00M,920.05M,1.234B,,
IQV,2016-06,-139.09M,993.47M,1.121B,48.50M,608.74M,0.73,0.71,1.069B,0,432.00M,2016-06,86.00M,-22.00M,-22.00M,189.63M,12.69M,2.398B,184.00M,895.50M,131.00M,36.00M,1.553B,216.00M,-458.29M,3.963B,1.193M,2.437B,1.600B,4.191B,1.526B,2.591B,248.00M,895.50M,1.278B,74.24M,65.49M
IQV,2016-03,-105.76M,1.090B,1.076B,48.52M,618.93M,0.89,0.88,1.082B,510.00M,414.00M,2016-03,107.00M,-25.00M,-25.00M,189.01M,14.85M,2.409B,182.00M,881.86M,149.00M,43.00M,1.49B,200.00M,-434.81M,3.983B,25.92M,2.437B,1.578B,4.189B,1.546B,2.611B,232.00M,881.86M,1.198B,27.56M,24.25M
IQV,2015-12,-111.00M,977.00M,1.069B,49.00M,585.00M,0.86,0.85,1.088B,496.22M,451.91M,2015-12,104.36M,-24.21M,-24.21M,188.00M,66.00M,2.419B,185.83M,540.00M,158.80M,51.02M,1.521B,138.08M,-564.00M,3.926B,9.00M,2.412B,1.594B,4.262B,1.514B,2.668B,266.08M,180.00M,1.20B,1.231B,1.157B
IQV,2015-09,-95.46M,1.082B,1.014B,48.50M,558.83M,0.91,0.89,1.098B,481.13M,410.42M,2015-09,111.29M,-24.29M,-24.29M,194.74M,89.56M,2.430B,179.01M,897.18M,143.67M,40.19M,1.425B,231.42M,-406.02M,4.034B,239.59M,2.520B,1.524B,4.214B,1.514B,2.690B,231.42M,897.18M,1.185B,203.54M,205.80M
IQV,2015-06,-68.84M,803.62M,1.053B,48.51M,502.48M,0.69,0.67,726.83M,0,390.52M,2015-06,84.95M,-24.03M,-24.03M,176.77M,57.92M,2.441B,164.62M,791.07M,114.92M,31.70M,1.444B,225.90M,-701.76M,3.342B,28.52M,2.220B,1.354B,4.043B,1.122B,2.690B,225.90M,791.07M,1.154B,,
IQV,2015-03,-88.95M,779.07M,979.45M,5.94M,527.68M,0.69,0.68,733.53M,0,368.15M,2015-03,86.40M,-24.47M,-24.47M,179.49M,58.95M,2.288B,148.54M,759.74M,121.61M,36.09M,1.348B,219.61M,-612.39M,3.237B,178.97M,2.099B,1.321B,3.849B,1.138B,2.528B,219.61M,759.74M,1.051B,,
IQV,2014-12,-59.09M,867.36M,1.003B,0.826M,543.30M,0.7,0.69,744.68M,0,408.51M,2014-12,89.04M,-25.30M,-25.30M,190.30M,61.80M,2.283B,163.79M,494.83M,131.68M,37.95M,1.411B,123.72M,-704.06M,3.296B,143.83M,2.146B,1.472B,4.000B,1.150B,2.528B,244.72M,164.44M,1.021B,,
IQV,2014-09,-27.04M,645.03M,1.030B,20.68M,526.00M,0.73,0.71,756.89M,0,369.96M,2014-09,92.65M,-24.45M,-24.45M,190.86M,25.58M,2.023B,150.94M,849.61M,132.47M,41.26M,1.400B,219.03M,-536.26M,3.107B,368.01M,1.939B,1.427B,3.643B,1.168B,2.216B,219.03M,849.61M,1.050B,,
IQV,2014-06,2.244M,636.47M,980.07M,20.72M,516.08M,0.66,0.64,692.83M,0,360.96M,2014-06,85.12M,-23.80M,-23.80M,196.38M,33.90M,2.027B,141.95M,784.46M,114.14M,32.40M,1.341B,219.01M,-621.55M,2.979B,346.08M,1.865B,1.353B,3.600B,1.114B,2.247B,219.01M,784.46M,981.23M,,
IQV,2014-03,-0.393M,741.38M,946.28M,15.57M,511.44M,0.69,0.68,698.61M,0,361.57M,2014-03,90.18M,-23.45M,-23.45M,195.85M,35.56M,2.031B,142.32M,815.56M,122.71M,37.39M,1.308B,219.24M,-559.47M,3.062B,495.92M,1.948B,1.376B,3.621B,1.114B,2.245B,219.24M,815.56M,964.90M,,
IQV,2013-12,-0.376M,778.14M,1.017B,10.43M,538.58M,0.58,0.55,707.68M,0,361.98M,2013-12,73.00M,-25.24M,-25.24M,199.58M,37.54M,2.036B,129.19M,460.44M,100.04M,27.56M,1.379B,232.80M,-667.41M,3.067B,478.14M,1.946B,1.482B,3.734B,1.121B,2.252B,232.80M,136.39M,940.38M,,
IQV,2013-09,-3.892M,609.71M,863.81M,4.091M,511.00M,0.52,0.5,722.65M,451.46M,332.03M,2013-09,66.77M,-27.64M,-27.64M,197.39M,16.61M,2.042B,132.46M,784.50M,94.40M,27.46M,1.196B,199.57M,-711.97M,2.842B,510.10M,1.717B,1.334B,3.554B,1.125B,2.220B,199.57M,784.50M,911.72M,,
IQV,2013-06,-18.19M,585.72M,969.11M,0.141M,459.57M,0.31,0.3,566.99M,0,326.57M,2013-06,38.52M,-31.10M,-31.10M,196.75M,8.362M,2.045B,97.73M,736.19M,46.72M,8.83M,1.296B,228.84M,-798.06M,2.648B,505.07M,1.674B,1.239B,3.446B,974.31M,2.207B,228.84M,736.19M,893.72M,203.54M,205.80M
IQV,2013-03,-8.387M,454.29M,912.52M,34.74M,454.11M,0.3747,0.3747,571.57M,0,316.33M,2013-03,48.31M,-35.59M,-35.59M,190.17M,16.00M,2.355B,117.02M,688.50M,81.96M,32.12M,1.229B,199.30M,-1.323B,2.427B,9.227M,1.439B,1.222B,3.749B,987.21M,2.527B,199.30M,688.50M,800.02M,,
IQV,2012-12,7.695M,567.73M,961.30M,55.71M,456.59M,0.2787,0.2742,575.24M,0,317.28M,2012-12,34.97M,-36.91M,-36.91M,194.00M,11.62M,2.366B,101.65M,391.82M,55.08M,20.01M,1.279B,215.64M,-1.360B,2.499B,4.554M,1.510B,1.309B,3.858B,989.16M,2.549B,215.64M,94.35M,762.97M,,
