Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,2012-06,2012-03
IQV,2021-03,-376.00M,2.402B,2.293B,144.00M,1.554B,1.11,1.09,17.33B,909.00M,1.116B,2021-03,212.00M,-98.00M,-98.00M,909.00M,337.00M,12.44B,351.00M,2.954B,257.00M,44.00M,3.409B,442.00M,5.953B,24.47B,11.07B,5.579B,4.868B,18.23B,18.89B,13.36B,765.00M,2.954B,2.425B,,
IQV,2020-12,-205.00M,1.902B,2.172B,149.00M,1.252B,0.62,0.61,17.86B,1.626B,1.126B,2020-12,119.00M,-100.00M,-100.00M,953.00M,338.00M,12.76B,291.00M,2.915B,194.00M,63.00M,3.298B,491.00M,6.001B,24.56B,11.10B,5.09B,4.558B,18.28B,19.47B,13.73B,835.00M,2.915B,2.466B,,
IQV,2020-09,-317.00M,1.543B,1.80B,144.00M,1.188B,0.53,0.52,17.58B,942.00M,986.00M,2020-09,101.00M,-99.00M,-99.00M,942.00M,429.00M,12.58B,207.00M,2.562B,102.00M,-3.00M,2.786B,460.00M,5.846B,23.84B,11.07B,4.645B,4.139B,17.73B,19.19B,13.59B,779.00M,2.562B,2.492B,914.08M,859.11M
IQV,2020-06,-444.00M,1.182B,1.704B,142.00M,1.061B,-0.12,-0.12,17.40B,946.00M,817.00M,2020-06,-23.00M,-107.00M,-107.00M,946.00M,539.00M,12.37B,78.00M,2.397B,-25.00M,-5.00M,2.521B,431.00M,5.591B,23.18B,11.04B,4.208B,3.843B,17.33B,18.98B,13.49B,739.00M,2.397B,2.424B,,
IQV,2020-03,-485.00M,990.00M,1.824B,313.00M,1.036B,0.43,0.42,17.32B,934.00M,930.00M,2020-03,82.00M,-104.00M,-104.00M,934.00M,618.00M,12.26B,207.00M,2.478B,102.00M,17.00M,2.754B,407.00M,5.542B,23.08B,11.01B,4.277B,3.907B,17.28B,18.80B,13.37B,723.00M,2.478B,2.683B,,
IQV,2019-12,-311.00M,899.00M,1.901B,100.00M,1.014B,0.09,0.09,17.67B,1.551B,994.00M,2019-12,16.00M,-107.00M,-107.00M,954.00M,646.00M,11.94B,196.00M,2.62B,96.00M,68.00M,2.895B,484.00M,6.003B,23.25B,11.05B,4.126B,3.945B,16.99B,19.12B,13.04B,798.00M,2.62B,2.638B,0.3762,0.3449
IQV,2019-09,-377.00M,920.00M,1.852B,98.00M,954.00M,0.29,0.29,17.46B,941.00M,917.00M,2019-09,57.00M,-111.00M,-111.00M,941.00M,654.00M,11.84B,223.00M,2.313B,69.00M,-1.00M,2.769B,395.00M,6.131B,22.89B,10.99B,3.995B,3.576B,16.50B,18.90B,12.92B,694.00M,2.313B,2.579B,0.37,0.3393
IQV,2019-06,-215.00M,994.00M,1.799B,100.00M,934.00M,0.31,0.3,17.64B,956.00M,941.00M,2019-06,60.00M,-112.00M,-112.00M,956.00M,671.00M,11.70B,211.00M,2.25B,78.00M,8.00M,2.74B,436.00M,6.523B,23.07B,10.96B,3.978B,3.495B,16.29B,19.09B,12.79B,730.00M,2.25B,2.465B,,
IQV,2019-03,-262.00M,991.00M,1.748B,100.00M,971.00M,0.29,0.29,17.67B,954.00M,936.00M,2019-03,58.00M,-108.00M,-108.00M,954.00M,742.00M,11.59B,222.00M,2.224B,109.00M,41.00M,2.684B,419.00M,6.615B,23.11B,10.93B,3.999B,3.502B,16.24B,19.11B,12.74B,714.00M,2.224B,2.526B,,
IQV,2018-12,-224.00M,938.00M,1.742B,100.00M,1.007B,0.34,0.34,17.75B,1.001B,946.00M,2018-12,69.00M,-103.00M,-103.00M,434.00M,736.00M,10.91B,209.00M,2.395B,104.00M,30.00M,2.688B,443.00M,6.714B,22.55B,10.90B,3.874B,3.534B,15.60B,18.68B,12.06B,737.00M,2.395B,2.463B,316.69M,297.47M
IQV,2018-09,-220.00M,879.00M,1.678B,101.00M,984.00M,0.3,0.29,17.90B,923.00M,916.00M,2018-09,60.00M,-103.00M,-103.00M,417.00M,734.00M,10.52B,204.00M,2.279B,51.00M,-14.00M,2.594B,429.00M,7.215B,22.50B,10.88B,3.696B,3.38B,15.04B,18.80B,11.66B,712.00M,2.279B,2.364B,2012-06,2012-03
IQV,2018-06,-104.00M,928.00M,1.674B,101.00M,940.00M,0.3,0.29,18.14B,769.00M,893.00M,2018-06,61.00M,-106.00M,-106.00M,415.00M,813.00M,10.63B,187.00M,2.118B,88.00M,24.00M,2.567B,424.00M,7.364B,22.63B,10.84B,3.587B,3.166B,15.01B,19.04B,11.85B,706.00M,2.118B,2.224B,47.20M,43.27M
IQV,2018-03,254.00M,1.007B,1.652B,104.00M,934.00M,0.33,0.32,18.62B,0,911.00M,2018-03,69.00M,-94.00M,-94.00M,432.00M,828.00M,10.34B,209.00M,2.151B,85.00M,19.00M,2.563B,420.00M,8.196B,23.24B,10.80B,3.724B,3.199B,14.78B,19.51B,11.58B,702.00M,2.151B,2.295B,-32.81M,-28.92M
IQV,2017-12,49.00M,1.005B,1.607B,103.00M,985.00M,5.14,5.02,18.44B,0,914.00M,2017-12,1.027B,-95.00M,-95.00M,440.00M,895.00M,10.12B,167.00M,1.402B,33.00M,-999.00M,2.521B,469.00M,7.995B,22.86B,10.78B,3.554B,3.156B,14.61B,19.30B,11.46B,747.00M,394.00M,2.144B,-32.81M,-28.92M
IQV,2017-09,-79.00M,1.147B,1.611B,103.00M,782.00M,0.41,0.4,18.16B,0,855.00M,2017-09,88.00M,-91.00M,-91.00M,428.00M,2.014B,9.651B,205.00M,1.954B,86.00M,-3.00M,2.466B,394.00M,7.264B,22.44B,10.76B,3.492B,2.853B,14.94B,18.95B,12.08B,650.00M,1.954B,1.915B,,
IQV,2017-06,-233.00M,945.00M,1.557B,94.00M,801.00M,0.28,0.28,17.75B,0,798.00M,2017-06,62.00M,-80.00M,-80.00M,430.00M,2.069B,8.858B,175.00M,1.751B,48.00M,-14.00M,2.355B,378.00M,7.539B,21.78B,10.72B,3.259B,2.66B,14.01B,18.52B,11.35B,623.00M,1.751B,1.886B,,
IQV,2017-03,-444.00M,905.00M,1.526B,91.00M,791.00M,0.43,0.43,17.31B,0,834.00M,2017-03,100.00M,-73.00M,-73.00M,410.00M,2.14B,8.254B,221.00M,1.702B,127.00M,24.00M,2.36B,381.00M,7.571B,21.18B,10.66B,3.117B,2.596B,13.38B,18.07B,10.79B,613.00M,1.702B,1.807B,,
IQV,2016-12,-570.00M,1.238B,1.495B,92.00M,774.00M,-0.74,-0.74,17.12B,0,780.00M,2016-12,-221.00M,-69.00M,-69.00M,406.00M,2.133B,7.108B,196.00M,1.209B,-7.00M,207.00M,2.275B,393.00M,8.633B,21.21B,10.60B,3.337B,2.705B,12.35B,17.87B,9.643B,584.00M,326.00M,1.741B,113.15M,91.68M
