Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
REG,2020-12,-18.62M,376.07M,80.71M,0,0.2274,0.2274,362.67M,294.39M,177.75M,2020-12,38.49M,-37.96M,-37.96M,294.39M,4.143B,62.88M,302.36M,39.22M,0,258.46M,20.51M,5.985B,10.94B,1.697M,556.02M,302.36M,4.879B,10.38B,4.576B,114.87M,302.36M,143.63M
REG,2020-09,-23.22M,276.55M,77.28M,0,0.07,0.07,376.27M,294.52M,165.66M,2020-09,12.69M,-39.77M,-39.77M,294.52M,4.209B,60.06M,222.38M,13.31M,0,242.94M,19.58M,6.040B,10.99B,1.697M,491.34M,222.38M,4.874B,10.50B,4.651B,105.60M,222.38M,159.14M
REG,2020-06,-25.14M,583.42M,76.82M,0,0.11,0.11,390.21M,296.31M,154.29M,2020-06,19.05M,-38.83M,-38.83M,296.31M,4.514B,45.55M,223.99M,19.57M,0,231.11M,21.20M,6.122B,11.39B,1.697M,801.40M,223.99M,5.189B,10.58B,4.965B,108.74M,223.99M,186.23M
REG,2020-03,-25.53M,733.25M,78.26M,0,-0.15,-0.15,403.65M,297.86M,205.40M,2020-03,-25.33M,-35.79M,-35.79M,297.86M,4.637B,101.06M,194.84M,-62.79M,0,283.66M,13.70M,6.199B,11.57B,1.696M,912.79M,194.84M,5.293B,10.66B,5.098B,104.34M,194.84M,148.06M
REG,2019-12,-12.00M,113.02M,79.79M,0,0.2411,0.24,550.26M,299.88M,208.94M,2019-12,40.29M,-36.44M,-36.44M,299.88M,4.142B,95.71M,213.70M,41.13M,0,288.73M,18.26M,6.213B,11.13B,1.676M,330.46M,213.70M,4.842B,10.80B,4.629B,113.23M,213.70M,169.34M
REG,2019-09,-15.80M,43.28M,75.30M,0,0.34,0.34,576.58M,300.48M,206.98M,2019-09,56.96M,-36.60M,-36.60M,300.48M,4.111B,96.60M,219.53M,57.94M,0,282.28M,16.70M,6.263B,11.17B,1.676M,244.40M,219.53M,4.833B,10.93B,4.614B,110.38M,219.53M,161.38M
REG,2019-06,-14.09M,33.78M,76.26M,0,0.31,0.31,575.73M,301.67M,199.61M,2019-06,51.73M,-35.02M,-35.02M,301.67M,3.902B,85.77M,188.72M,52.69M,0,275.87M,18.72M,6.301B,10.95B,1.676M,210.35M,188.72M,4.594B,10.74B,4.406B,113.84M,188.72M,157.88M
REG,2019-03,-6.096M,42.78M,74.79M,0,0.54,0.54,594.76M,302.85M,211.46M,2019-03,90.45M,-35.64M,-35.64M,302.85M,3.909B,91.84M,183.98M,75.00M,0,286.26M,21.30M,6.351B,11.02B,1.675M,218.69M,183.98M,4.615B,10.80B,4.431B,119.63M,183.98M,160.64M
REG,2018-12,-0.927M,45.19M,83.87M,0,0.47,0.46,701.21M,6.127M,200.69M,2018-12,78.90M,-43.28M,-43.28M,6.127M,3.715B,91.01M,224.81M,54.74M,0,284.56M,13.54M,6.398B,10.94B,1.679M,278.06M,224.81M,4.494B,10.67B,4.270B,109.68M,224.81M,172.36M
REG,2018-09,14.07M,40.36M,75.69M,0,0.41,0.41,731.36M,6.715M,202.62M,2018-09,69.72M,-34.52M,-34.52M,6.715M,3.717B,93.83M,236.25M,68.16M,0,278.31M,17.56M,6.512B,11.06B,1.694M,257.09M,236.25M,4.505B,10.80B,4.269B,108.79M,236.25M,160.71M
REG,2018-06,10.32M,37.15M,73.39M,0,0.28,0.28,753.59M,7.01M,208.02M,2018-06,47.84M,-35.97M,-35.97M,7.01M,3.832B,99.34M,215.30M,60.00M,0.05M,281.41M,16.78M,6.528B,11.18B,1.694M,300.94M,215.30M,4.613B,10.88B,4.398B,108.68M,215.30M,155.54M
REG,2018-03,4.764M,87.90M,72.94M,0,0.31,0.31,786.30M,6.891M,203.75M,2018-03,52.66M,-34.68M,-34.68M,6.891M,3.840B,95.99M,212.52M,53.37M,0,276.69M,17.61M,6.564B,11.23B,1.694M,261.96M,212.52M,4.628B,10.97B,4.416B,107.76M,212.52M,159.59M
REG,2017-12,-6.289M,45.37M,70.19M,0,0.4979,0.4979,810.71M,6.123M,194.56M,2017-12,85.14M,-41.65M,-41.65M,6.123M,3.595B,78.51M,234.27M,53.68M,0,264.75M,18.01M,6.692B,11.15B,1.714M,220.37M,234.27M,4.413B,10.93B,4.178B,116.05M,234.27M,170.98M
REG,2017-09,-14.14M,23.54M,67.34M,0,0.35,0.35,508.87M,4.094M,194.81M,2017-09,62.81M,-32.58M,-32.58M,4.094M,3.522B,84.94M,276.36M,63.45M,0,262.14M,15.20M,6.595B,11.12B,1.701M,201.60M,276.36M,4.482B,10.92B,4.206B,109.87M,276.36M,143.15M
REG,2017-06,-16.44M,97.27M,64.98M,0,0.28,0.28,540.12M,0,196.33M,2017-06,49.49M,-33.30M,-33.30M,0,3.508B,80.49M,246.46M,45.81M,0,261.30M,16.75M,6.692B,11.19B,76.70M,249.67M,246.46M,4.458B,10.94B,4.212B,115.84M,246.46M,125.37M
REG,2017-03,-15.79M,36.86M,51.21M,0,-0.26,-0.26,606.71M,0,144.92M,2017-03,-21.37M,-25.10M,-25.10M,0,3.407B,-4.32M,242.64M,-21.08M,0,196.13M,17.67M,6.731B,11.14B,76.70M,184.28M,242.64M,4.371B,10.95B,4.129B,149.24M,242.64M,119.84M
REG,2016-12,-18.35M,13.26M,41.95M,0,0.5364,0.53,118.83M,0,117.61M,2016-12,61.13M,-18.12M,-18.12M,0,1.642B,50.08M,138.94M,37.33M,0,159.56M,16.63M,2.591B,4.489B,326.04M,129.60M,138.94M,1.864B,4.359B,1.725B,67.52M,138.94M,111.72M
REG,2016-09,-35.74M,40.90M,40.43M,0,0.05,0.05,122.74M,0,112.34M,2016-09,10.57M,-20.14M,-20.14M,0,1.628B,54.54M,145.69M,1.534M,0,152.77M,16.05M,2.567B,4.458B,326.04M,148.13M,145.69M,1.858B,4.310B,1.712B,57.80M,145.69M,103.23M
REG,2016-06,-80.04M,24.94M,40.48M,0,0.36,0.35,124.32M,0,111.93M,2016-06,40.08M,-22.13M,-22.13M,0,1.984B,52.84M,165.61M,40.10M,0,152.41M,16.35M,2.167B,4.437B,326.00M,162.34M,165.61M,2.235B,4.274B,2.069B,59.09M,165.61M,104.54M
