Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MRK,2015-09,-4.573B,12.09B,3.761B,2.543B,0.65,0.64,41.48B,28.52B,6.312B,2015-09,5.123B,1.826B,-97.00M,-97.00M,12.48B,5.959B,24.12B,2.34B,15.04B,2.397B,566.00M,1.50B,10.07B,2.472B,45.59B,101.23B,1.788B,28.57B,17.58B,55.55B,72.66B,37.97B,3.972B,5.43B,6.414B
MRK,2015-06,-4.332B,11.37B,3.754B,2.483B,0.24,0.24,42.46B,28.94B,6.031B,2015-06,5.306B,687.00M,-103.00M,-103.00M,12.63B,6.454B,24.07B,1.737B,15.02B,807.00M,119.00M,1.67B,9.785B,2.624B,46.45B,102.58B,1.788B,28.32B,17.51B,55.94B,74.26B,38.44B,4.294B,5.508B,6.51B
MRK,2015-03,-4.167B,15.60B,3.569B,4.728B,0.34,0.33,43.82B,29.70B,5.856B,2015-03,5.539B,953.00M,-90.00M,-90.00M,12.91B,6.803B,25.51B,1.518B,15.71B,1.381B,423.00M,1.737B,9.425B,2.601B,47.76B,108.34B,1.788B,32.93B,20.44B,60.43B,75.42B,39.99B,4.338B,5.847B,6.67B
MRK,2014-12,-4.323B,15.72B,3.749B,2.704B,2.578,2.54,33.38B,31.14B,6.733B,2014-12,5.571B,7.316B,-89.00M,-89.00M,13.14B,4.467B,18.70B,1.525B,15.69B,11.81B,4.484B,2.283B,10.48B,2.925B,48.65B,98.17B,1.788B,32.60B,18.40B,49.38B,65.56B,30.98B,5.208B,5.17B,6.626B
MRK,2014-09,-2.998B,14.35B,4.223B,9.275B,0.31,0.31,33.57B,32.20B,6.334B,2014-09,5.819B,895.00M,-122.00M,-122.00M,13.44B,4.987B,18.57B,1.70B,15.84B,1.49B,648.00M,1.659B,10.56B,2.975B,45.22B,101.81B,1.788B,34.72B,25.93B,56.45B,67.08B,30.52B,4.634B,6.034B,6.515B
MRK,2014-06,-2.444B,13.40B,4.893B,4.477B,0.69,0.68,30.62B,32.76B,6.041B,2014-06,6.136B,2.004B,-129.00M,-129.00M,13.89B,4.651B,18.59B,1.404B,12.65B,1.891B,-142.00M,1.664B,10.93B,2.973B,48.36B,97.86B,1.788B,33.59B,17.93B,49.34B,64.27B,31.42B,4.637B,3.821B,7.022B
MRK,2014-03,-2.179B,20.51B,3.903B,8.559B,0.58,0.57,32.64B,32.92B,6.361B,2014-03,6.376B,1.705B,-127.00M,-127.00M,14.30B,5.881B,19.59B,2.053B,13.06B,2.091B,360.00M,1.574B,10.26B,2.734B,49.98B,108.46B,1.788B,41.24B,22.47B,55.90B,67.22B,33.43B,4.308B,4.356B,7.188B
MRK,2013-12,-2.197B,17.49B,4.607B,4.521B,0.2668,0.26,36.10B,33.09B,6.713B,2013-12,6.226B,781.00M,-126.00M,-126.00M,14.97B,6.776B,20.54B,1.896B,13.35B,1.225B,410.00M,1.835B,11.32B,2.982B,49.76B,105.64B,1.788B,35.68B,17.87B,53.32B,69.96B,35.45B,4.817B,3.846B,7.184B
MRK,2013-09,-4.698B,18.17B,4.104B,3.976B,0.38,0.38,37.12B,33.13B,6.928B,2013-09,6.741B,1.124B,-148.00M,-148.00M,15.32B,15.55B,22.65B,2.465B,14.24B,1.525B,375.00M,1.66B,11.03B,2.803B,47.42B,106.42B,1.788B,37.76B,18.22B,56.41B,68.65B,38.20B,4.463B,5.056B,7.578B
MRK,2013-06,-4.76B,18.10B,4.284B,5.582B,0.3,0.3,38.53B,33.28B,6.726B,2013-06,6.766B,906.00M,-136.00M,-136.00M,15.68B,15.84B,22.53B,1.485B,12.82B,1.245B,310.00M,2.101B,11.01B,3.14B,47.50B,106.88B,1.788B,37.00B,18.40B,56.77B,69.88B,38.37B,5.241B,3.948B,7.779B
MRK,2013-03,-4.629B,16.02B,3.959B,4.736B,0.53,0.52,40.32B,33.42B,6.712B,2013-03,6.773B,1.593B,-127.00M,-127.00M,15.80B,15.70B,16.09B,1.818B,14.07B,1.55B,-66.00M,1.907B,10.67B,2.987B,53.03B,106.20B,1.788B,35.24B,18.80B,50.59B,70.96B,31.79B,4.894B,4.497B,7.965B
MRK,2012-12,-4.682B,16.14B,4.16B,4.315B,0.4629,0.46,41.22B,33.42B,7.577B,2012-12,6.535B,907.00M,-135.00M,-135.00M,16.03B,5.74B,16.25B,1.963B,14.03B,1.334B,385.00M,2.224B,11.74B,3.39B,53.02B,106.13B,1.788B,34.86B,18.35B,50.67B,71.28B,32.32B,5.614B,4.296B,7.672B
MRK,2012-09,-3.04B,18.12B,4.137B,2.029B,0.57,0.56,42.49B,33.36B,7.351B,2012-09,6.731B,1.729B,-131.00M,-131.00M,15.88B,14.94B,17.57B,2.37B,13.55B,2.218B,455.00M,1.918B,11.49B,3.063B,55.75B,106.30B,1.788B,36.23B,15.58B,48.09B,70.07B,32.51B,4.981B,4.631B,7.952B
MRK,2012-06,-3.126B,17.45B,4.112B,3.922B,0.59,0.58,43.78B,32.92B,8.199B,2012-06,6.249B,1.793B,-96.00M,-96.00M,15.87B,15.88B,15.06B,2.785B,12.99B,2.68B,860.00M,2.165B,12.31B,3.249B,55.19B,105.52B,1.788B,35.64B,16.91B,47.85B,69.89B,30.94B,5.414B,4.073B,8.152B
MRK,2012-03,-3.217B,15.57B,4.037B,2.93B,0.57,0.56,45.16B,32.82B,7.694B,2012-03,6.339B,1.738B,-120.00M,-120.00M,16.12B,16.38B,15.23B,2.758B,13.65B,2.507B,740.00M,1.862B,11.73B,3.074B,54.86B,105.51B,1.788B,34.34B,16.58B,48.20B,71.16B,31.61B,4.936B,4.829B,8.726B
MRK,2011-12,-3.132B,14.97B,4.176B,1.99B,0.4972,0.49,46.46B,32.47B,8.118B,2011-12,6.254B,1.512B,-130.00M,-130.00M,16.30B,16.42B,15.52B,1.995B,14.26B,1.581B,38.00M,2.419B,12.29B,3.704B,54.52B,105.13B,1.788B,33.18B,16.24B,48.18B,71.95B,31.94B,6.123B,4.085B,8.261B
MRK,2011-09,-2.713B,15.58B,4.352B,2.455B,0.55,0.55,48.05B,32.06B,7.67B,2011-09,6.239B,1.692B,-144.00M,-144.00M,16.38B,16.65B,15.69B,2.376B,14.14B,2.352B,628.00M,1.954B,12.02B,3.34B,55.14B,106.53B,1.788B,34.11B,16.59B,48.94B,72.42B,32.34B,5.294B,4.91B,8.136B
MRK,2011-06,-2.776B,13.98B,4.284B,2.523B,0.65,0.65,49.45B,31.87B,7.867B,2011-06,6.225B,2.024B,-131.00M,-131.00M,16.67B,16.73B,15.78B,2.461B,13.24B,1.672B,-382.00M,1.936B,12.15B,3.525B,55.50B,106.20B,1.788B,32.37B,15.76B,48.27B,73.83B,32.51B,5.406B,4.493B,8.475B
MRK,2011-03,-3.17B,13.03B,4.059B,2.202B,0.34,0.34,50.11B,31.35B,7.521B,2011-03,6.057B,1.043B,-145.00M,-145.00M,16.83B,17.72B,15.64B,2.199B,13.46B,1.729B,658.00M,2.158B,11.58B,3.164B,54.38B,105.86B,1.788B,31.02B,15.66B,49.03B,74.84B,33.36B,5.322B,4.905B,7.955B
