Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AEE,2013-12,3.00M,30.00M,869.00M,902.00M,0,0.15,0.15,411.00M,0,453.00M,2013-12,526.00M,37.00M,-103.00M,-103.00M,16.20B,3.851B,5.504B,171.00M,947.00M,72.00M,23.00M,1.322B,6.544B,21.04B,2.00M,1.972B,2.461B,14.36B,19.07B,11.90B,282.00M,861.00M,904.00M
AEE,2013-09,-19.00M,169.00M,775.00M,884.00M,0,1.25,1.24,430.00M,0,863.00M,2013-09,581.00M,302.00M,-79.00M,-79.00M,15.83B,4.021B,5.274B,567.00M,693.00M,494.00M,187.00M,1.638B,6.574B,22.38B,2.00M,3.273B,3.228B,15.66B,19.11B,12.43B,296.00M,573.00M,804.00M
AEE,2013-06,-9.00M,150.00M,853.00M,909.00M,110.00M,0.39,0.39,429.00M,23.69B,550.00M,2013-06,511.00M,95.00M,-92.00M,-92.00M,15.60B,4.00B,5.274B,261.00M,651.00M,172.00M,66.00M,1.403B,6.374B,22.28B,2.00M,3.408B,3.286B,15.75B,18.87B,12.46B,289.00M,551.00M,808.00M
AEE,2013-03,-15.00M,161.00M,993.00M,355.00M,110.00M,-0.6,-0.6,427.00M,27.56B,482.00M,2013-03,461.00M,-145.00M,-94.00M,-94.00M,15.41B,3.896B,5.803B,185.00M,543.00M,91.00M,35.00M,1.475B,6.365B,21.95B,2.00M,3.296B,2.577B,15.44B,18.66B,12.86B,297.00M,432.00M,811.00M
AEE,2012-12,-8.00M,184.00M,867.00M,355.00M,107.00M,-4.76,-4.76,425.00M,0,391.00M,2012-12,570.00M,-1.156B,-90.00M,-90.00M,15.35B,3.899B,5.802B,108.00M,671.00M,19.00M,9.00M,1.258B,6.616B,22.23B,2.00M,3.596B,2.686B,15.46B,18.63B,12.78B,283.00M,582.00M,716.00M
AEE,2012-09,2.00M,298.00M,856.00M,211.00M,96.00M,1.54,1.54,425.00M,0,853.00M,2012-09,756.00M,374.00M,-92.00M,-92.00M,17.83B,4.022B,6.781B,578.00M,766.00M,490.00M,179.00M,1.709B,7.874B,23.50B,2.00M,2.406B,1.546B,15.47B,21.09B,13.93B,275.00M,621.00M,870.00M
AEE,2012-06,-30.00M,117.00M,780.00M,209.00M,97.00M,0.87,0.87,423.00M,0,622.00M,2012-06,686.00M,211.00M,-87.00M,-87.00M,17.69B,3.838B,6.678B,344.00M,733.00M,258.00M,96.00M,1.402B,7.555B,22.98B,2.00M,2.154B,1.603B,15.28B,20.83B,13.68B,278.00M,620.00M,860.00M
AEE,2012-03,-35.00M,208.00M,974.00M,305.00M,98.00M,-1.66,-1.66,420.00M,0,438.00M,2012-03,625.00M,-403.00M,-91.00M,-91.00M,17.54B,3.755B,6.677B,158.00M,616.00M,62.00M,23.00M,1.412B,7.432B,22.90B,2.00M,2.124B,1.614B,15.32B,20.78B,13.71B,280.00M,467.00M,743.00M
AEE,2011-12,-50.00M,255.00M,1.524B,327.00M,98.00M,0.1,0.1,418.00M,0,-1.329B,2011-12,712.00M,25.00M,-20.00M,-20.00M,18.13B,3.841B,6.677B,-97.00M,859.00M,-102.00M,-39.00M,195.00M,7.919B,23.64B,2.00M,2.295B,1.785B,15.58B,21.35B,13.79B,-1.232B,758.00M,866.00M
AEE,2011-09,-25.00M,522.00M,845.00M,528.00M,98.00M,1.18,1.18,417.00M,0,1.423B,2011-09,734.00M,285.00M,-113.00M,-113.00M,17.87B,3.849B,6.682B,674.00M,730.00M,450.00M,163.00M,2.268B,7.997B,23.36B,2.00M,2.68B,1.848B,15.20B,20.68B,13.36B,749.00M,571.00M,1.014B
AEE,2011-06,-21.00M,378.00M,687.00M,342.00M,100.00M,0.57,0.57,415.00M,0,1.094B,2011-06,654.00M,138.00M,-104.00M,-104.00M,17.94B,3.689B,7.054B,318.00M,728.00M,224.00M,85.00M,1.781B,7.788B,23.39B,2.00M,2.603B,1.727B,15.45B,20.79B,13.72B,776.00M,621.00M,1.124B
AEE,2011-03,-20.00M,573.00M,894.00M,489.00M,100.00M,0.29,0.29,418.00M,0,1.01B,2011-03,572.00M,71.00M,-119.00M,-119.00M,17.89B,3.579B,7.123B,227.00M,688.00M,119.00M,45.00M,1.904B,7.725B,23.33B,2.00M,2.715B,1.837B,15.45B,20.61B,13.61B,783.00M,535.00M,1.118B
