Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NSC,2016-12,-487.00M,956.00M,1.67B,650.00M,1.43,1.42,41.49B,820.00M,2016-12,257.00M,416.00M,-142.00M,-142.00M,29.75B,9.532B,9.562B,725.00M,1.253B,641.00M,225.00M,2.49B,0,12.41B,34.89B,292.00M,2.291B,2.339B,22.48B,32.60B,20.14B,95.00M,1.134B,945.00M
NSC,2016-09,-433.00M,984.00M,1.618B,550.00M,1.56,1.55,41.13B,906.00M,2016-09,301.00M,460.00M,-144.00M,-144.00M,29.47B,9.127B,9.555B,856.00M,1.349B,705.00M,245.00M,2.524B,0,12.40B,34.63B,293.00M,2.317B,2.232B,22.24B,32.32B,20.00B,50.00M,1.349B,960.00M
NSC,2016-06,-437.00M,866.00M,1.573B,550.00M,1.37,1.36,40.97B,881.00M,2016-06,306.00M,405.00M,-138.00M,-138.00M,29.39B,9.047B,9.549B,802.00M,1.29B,636.00M,231.00M,2.454B,0,12.27B,34.33B,295.00M,2.239B,2.107B,22.06B,32.10B,19.95B,79.00M,1.29B,985.00M
NSC,2016-03,-442.00M,589.00M,1.583B,100.00M,1.3,1.29,40.66B,837.00M,2016-03,315.00M,387.00M,-139.00M,-139.00M,29.14B,8.989B,9.398B,756.00M,1.418B,600.00M,213.00M,2.42B,0,12.22B,33.78B,297.00M,1.966B,1.831B,21.56B,31.82B,19.73B,81.00M,1.418B,961.00M
NSC,2015-12,-445.00M,1.101B,1.736B,700.00M,1.21,1.2,40.47B,782.00M,2015-12,271.00M,361.00M,-138.00M,-138.00M,28.99B,9.339B,9.393B,667.00M,1.108B,524.00M,163.00M,2.518B,0,12.19B,34.14B,299.00M,2.512B,2.231B,21.95B,31.63B,19.72B,115.00M,985.00M,946.00M
NSC,2015-09,-382.00M,433.00M,1.766B,600.00M,1.5,1.49,40.03B,947.00M,2015-09,288.00M,452.00M,-137.00M,-137.00M,28.68B,8.84B,8.896B,849.00M,1.433B,724.00M,272.00M,2.713B,0,12.13B,33.53B,300.00M,2.002B,2.367B,21.40B,31.52B,19.03B,98.00M,1.433B,1.103B
NSC,2015-06,-389.00M,889.00M,1.781B,500.00M,1.43,1.41,39.26B,932.00M,2015-06,277.00M,433.00M,-134.00M,-134.00M,28.08B,8.818B,8.89B,840.00M,1.439B,699.00M,266.00M,2.713B,0,12.08B,33.31B,303.00M,2.413B,2.203B,21.23B,30.90B,19.03B,92.00M,1.439B,1.055B
NSC,2015-03,-395.00M,524.00M,1.837B,501.00M,1.01,1,38.85B,730.00M,2015-03,268.00M,310.00M,-132.00M,-132.00M,27.83B,8.783B,8.429B,642.00M,1.304B,495.00M,185.00M,2.567B,0,12.16B,32.78B,306.00M,2.115B,2.103B,20.62B,30.66B,18.51B,88.00M,1.304B,1.032B
NSC,2014-12,-398.00M,973.00M,1.864B,102.00M,1.65,1.64,38.51B,1.006B,2014-12,236.00M,511.00M,-132.00M,-132.00M,27.69B,9.213B,8.883B,905.00M,1.249B,790.00M,279.00M,2.87B,0,12.41B,33.20B,310.00M,2.778B,1.78B,20.79B,30.42B,19.01B,101.00M,1.131B,1.055B
NSC,2014-09,-178.00M,1.432B,1.907B,2.00M,1.8,1.79,37.97B,1.116B,2014-09,249.00M,559.00M,-138.00M,-138.00M,27.23B,8.682B,8.919B,1.033B,1.688B,892.00M,333.00M,3.023B,0,12.44B,33.21B,311.00M,3.012B,2.082B,20.77B,30.19B,18.68B,83.00M,1.688B,1.103B
NSC,2014-06,-183.00M,1.667B,1.899B,433.00M,1.81,1.79,37.56B,1.143B,2014-06,251.00M,562.00M,-139.00M,-139.00M,26.93B,8.659B,8.814B,1.061B,1.604B,898.00M,336.00M,3.042B,0,12.08B,33.04B,311.00M,3.266B,2.368B,20.96B,29.77B,18.60B,82.00M,1.604B,1.122B
NSC,2014-03,-193.00M,1.532B,1.909B,445.00M,1.18,1.17,37.28B,780.00M,2014-03,240.00M,368.00M,-139.00M,-139.00M,26.77B,8.647B,8.909B,697.00M,1.517B,554.00M,186.00M,2.689B,0,11.69B,32.70B,311.00M,3.13B,2.321B,21.01B,29.57B,18.69B,83.00M,1.517B,1.109B
NSC,2013-12,-381.00M,1.561B,1.908B,545.00M,1.66,1.64,37.03B,973.00M,2013-12,223.00M,513.00M,-141.00M,-141.00M,26.64B,8.795B,8.903B,877.00M,1.315B,783.00M,270.00M,2.881B,0,11.29B,32.48B,310.00M,3.075B,2.305B,21.19B,29.41B,18.89B,96.00M,1.194B,1.024B
NSC,2013-09,-1.04B,1.004B,1.875B,447.00M,1.55,1.53,36.68B,949.00M,2013-09,224.00M,482.00M,-131.00M,-131.00M,26.41B,8.074B,8.499B,872.00M,1.508B,748.00M,266.00M,2.824B,0,10.29B,31.36B,310.00M,2.494B,2.332B,21.07B,28.87B,18.74B,77.00M,1.508B,1.083B
NSC,2013-06,-1.063B,587.00M,1.869B,47.00M,1.47,1.46,36.25B,933.00M,2013-06,228.00M,465.00M,-128.00M,-128.00M,26.10B,7.974B,8.43B,856.00M,1.464B,737.00M,272.00M,2.802B,736.00M,10.19B,30.60B,313.00M,2.078B,1.815B,20.42B,28.53B,18.60B,77.00M,1.464B,1.072B
NSC,2013-03,-1.086B,687.00M,1.829B,47.00M,1.43,1.41,35.91B,909.00M,2013-03,246.00M,450.00M,-129.00M,-129.00M,25.87B,7.921B,8.438B,691.00M,1.507B,697.00M,247.00M,2.738B,739.00M,10.11B,30.60B,316.00M,2.323B,1.904B,20.49B,28.28B,18.58B,218.00M,1.507B,1.158B
NSC,2012-12,-1.109B,668.00M,2.18B,250.00M,1.31,1.3,35.66B,504.00M,2012-12,216.00M,413.00M,-130.00M,-130.00M,25.74B,8.083B,8.432B,828.00M,1.368B,621.00M,208.00M,2.684B,765.00M,9.76B,30.34B,315.00M,2.242B,2.081B,20.58B,28.10B,18.50B,-324.00M,1.256B,1.109B
NSC,2012-09,-971.00M,708.00M,1.736B,52.00M,1.26,1.24,34.85B,957.00M,2012-09,236.00M,402.00M,-124.00M,-124.00M,25.26B,7.803B,8.428B,731.00M,1.41B,640.00M,238.00M,2.693B,0,9.767B,29.84B,317.00M,2.199B,1.824B,20.07B,27.64B,18.25B,226.00M,1.41B,1.078B
NSC,2012-06,-991.00M,371.00M,1.735B,27.00M,1.62,1.6,34.71B,1.139B,2012-06,242.00M,524.00M,-122.00M,-122.00M,24.97B,7.639B,7.972B,934.00M,1.448B,843.00M,319.00M,2.874B,0,9.778B,29.19B,321.00M,1.884B,1.774B,19.41B,27.31B,17.64B,205.00M,1.448B,1.086B
NSC,2012-03,-1.01B,831.00M,1.926B,32.00M,1.24,1.23,34.30B,863.00M,2012-03,228.00M,410.00M,-120.00M,-120.00M,24.70B,7.59B,7.985B,783.00M,1.563B,654.00M,244.00M,2.789B,0,9.815B,29.38B,327.00M,2.332B,1.932B,19.56B,27.04B,17.63B,80.00M,1.563B,1.056B
NSC,2011-12,-1.026B,301.00M,4.362B,150.00M,1.43,1.42,33.93B,-1.565B,2011-12,209.00M,480.00M,-110.00M,-110.00M,24.47B,7.619B,7.39B,1.00B,1.081B,723.00M,243.00M,2.797B,0,9.911B,28.54B,332.00M,1.751B,1.701B,18.63B,26.79B,16.93B,-2.565B,975.00M,1.022B
NSC,2011-09,-753.00M,394.00M,998.00M,55.00M,1.61,1.59,33.33B,1.891B,2011-09,212.00M,554.00M,-114.00M,-114.00M,23.98B,7.55B,6.782B,938.00M,1.55B,884.00M,330.00M,2.889B,0,10.26B,28.31B,337.00M,1.825B,1.936B,18.06B,26.49B,16.12B,953.00M,1.55B,1.029B
NSC,2011-06,-770.00M,906.00M,1.039B,55.00M,1.58,1.56,32.89B,1.827B,2011-06,201.00M,557.00M,-113.00M,-113.00M,23.67B,7.372B,6.931B,875.00M,1.414B,796.00M,239.00M,2.866B,0,10.63B,28.48B,349.00M,2.315B,1.753B,17.85B,26.16B,16.10B,952.00M,1.414B,991.00M
NSC,2011-03,-786.00M,488.00M,1.044B,63.00M,0.91,0.9,32.84B,1.576B,2011-03,190.00M,325.00M,-112.00M,-112.00M,23.45B,7.212B,6.554B,600.00M,1.195B,515.00M,190.00M,2.62B,0,10.60B,27.73B,354.00M,1.832B,1.567B,17.13B,25.90B,15.56B,976.00M,1.195B,934.00M
