Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NSC,2020-12,-594.00M,1.115B,1.504B,668.00M,2.662,2.64,43.33B,1.069B,2020-12,221.00M,671.00M,-160.00M,-160.00M,31.34B,7.563B,12.45B,1.022B,1.117B,867.00M,196.00M,2.573B,0,14.79B,37.96B,254.00M,2.318B,2.16B,23.17B,35.64B,21.01B,47.00M,976.00M,848.00M
NSC,2020-09,-471.00M,1.359B,1.555B,89.00M,2.23,2.22,43.11B,951.00M,2020-09,247.00M,569.00M,-155.00M,-155.00M,31.24B,6.898B,12.63B,899.00M,1.53B,724.00M,155.00M,2.506B,0,14.94B,38.18B,255.00M,2.579B,2.005B,23.24B,35.60B,21.23B,52.00M,1.53B,883.00M
NSC,2020-06,-475.00M,1.143B,1.386B,85.00M,1.53,1.53,43.04B,699.00M,2020-06,257.00M,392.00M,-156.00M,-156.00M,31.22B,6.874B,12.61B,650.00M,1.507B,503.00M,111.00M,2.085B,0,14.86B,37.96B,256.00M,2.35B,1.935B,23.10B,35.61B,21.17B,49.00M,1.507B,822.00M
NSC,2020-03,-481.00M,608.00M,1.578B,400.00M,1.48,1.47,42.97B,1.047B,2020-03,265.00M,381.00M,-154.00M,-154.00M,31.18B,6.828B,11.81B,995.00M,1.484B,436.00M,55.00M,2.625B,0,14.88B,37.44B,258.00M,2.002B,2.236B,22.55B,35.44B,20.32B,52.00M,1.484B,889.00M
NSC,2019-12,-491.00M,580.00M,1.671B,413.00M,2.582,2.55,43.60B,1.019B,2019-12,244.00M,666.00M,-152.00M,-152.00M,31.61B,7.199B,12.32B,1.008B,1.458B,828.00M,162.00M,2.69B,0,15.18B,37.92B,259.00M,2.081B,2.30B,22.74B,35.84B,20.44B,11.00M,1.309B,920.00M
NSC,2019-09,-553.00M,452.00M,1.702B,751.00M,2.5,2.49,43.78B,1.139B,2019-09,266.00M,657.00M,-150.00M,-150.00M,31.39B,6.689B,11.08B,1.044B,1.609B,868.00M,211.00M,2.841B,0,15.24B,37.50B,262.00M,2.016B,2.761B,22.26B,35.48B,19.50B,95.00M,1.609B,973.00M
NSC,2019-06,-557.00M,274.00M,1.75B,401.00M,2.72,2.7,43.57B,1.175B,2019-06,256.00M,722.00M,-153.00M,-153.00M,31.20B,6.596B,11.08B,1.115B,1.677B,934.00M,212.00M,2.925B,0,15.31B,37.17B,265.00M,1.914B,2.451B,21.86B,35.26B,19.41B,60.00M,1.677B,1.039B
NSC,2019-03,-560.00M,411.00M,1.771B,835.00M,2.53,2.51,43.53B,1.069B,2019-03,228.00M,677.00M,-149.00M,-149.00M,31.16B,6.518B,10.57B,1.015B,1.672B,861.00M,184.00M,2.84B,0,15.33B,37.06B,267.00M,1.922B,2.885B,21.73B,35.14B,18.85B,54.00M,1.672B,1.048B
NSC,2018-12,-563.00M,358.00M,1.847B,585.00M,2.618,2.57,43.46B,1.049B,2018-12,207.00M,702.00M,-148.00M,-148.00M,31.09B,6.846B,10.56B,1.123B,1.546B,930.00M,228.00M,2.896B,0,15.36B,36.24B,269.00M,1.862B,2.591B,20.88B,34.38B,18.29B,-74.00M,1.407B,1.009B
NSC,2018-09,-435.00M,729.00M,1.82B,500.00M,2.54,2.52,42.99B,1.127B,2018-09,267.00M,702.00M,-142.00M,-142.00M,30.71B,6.464B,10.64B,1.066B,1.624B,908.00M,206.00M,2.947B,0,15.48B,36.32B,274.00M,2.109B,2.441B,20.84B,34.21B,18.40B,61.00M,1.624B,1.043B
NSC,2018-06,-441.00M,430.00M,1.773B,500.00M,2.52,2.5,42.72B,1.125B,2018-06,260.00M,710.00M,-131.00M,-131.00M,30.54B,6.414B,9.146B,1.064B,1.592B,924.00M,214.00M,2.898B,0,16.56B,35.79B,281.00M,1.904B,2.352B,19.23B,33.88B,16.88B,61.00M,1.592B,1.035B
NSC,2018-03,-448.00M,1.072B,1.766B,650.00M,1.94,1.93,42.47B,951.00M,2018-03,245.00M,552.00M,-136.00M,-136.00M,30.40B,6.367B,9.637B,882.00M,1.434B,707.00M,155.00M,2.717B,0,16.42B,36.16B,284.00M,2.479B,2.388B,19.74B,33.68B,17.36B,69.00M,1.434B,973.00M
NSC,2017-12,-356.00M,690.00M,1.588B,700.00M,13.91,13.79,42.24B,1.081B,2017-12,222.00M,3.968B,-134.00M,-134.00M,30.33B,6.717B,9.136B,1.029B,1.407B,893.00M,-3.075B,2.669B,0,16.36B,35.71B,285.00M,2.149B,2.545B,19.35B,33.56B,16.81B,52.00M,1.292B,955.00M
NSC,2017-09,-475.00M,724.00M,1.696B,600.00M,1.76,1.75,42.15B,974.00M,2017-09,245.00M,506.00M,-134.00M,-134.00M,30.16B,9.367B,9.28B,934.00M,1.493B,800.00M,294.00M,2.67B,0,12.73B,35.15B,288.00M,1.999B,2.413B,22.43B,33.15B,20.01B,40.00M,1.493B,973.00M
NSC,2017-06,-480.00M,642.00M,1.652B,600.00M,1.72,1.71,42.02B,985.00M,2017-06,289.00M,497.00M,-140.00M,-140.00M,30.03B,9.259B,9.273B,907.00M,1.491B,780.00M,283.00M,2.637B,0,12.66B,34.92B,290.00M,1.936B,2.343B,22.26B,32.99B,19.92B,78.00M,1.491B,926.00M
NSC,2017-03,-485.00M,955.00M,1.70B,550.00M,1.49,1.48,41.80B,875.00M,2017-03,281.00M,433.00M,-142.00M,-142.00M,29.93B,9.199B,9.569B,797.00M,1.59B,655.00M,222.00M,2.575B,0,12.53B,35.14B,291.00M,2.327B,2.443B,22.62B,32.82B,20.18B,78.00M,1.59B,998.00M
