Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EXR,2020-12,-99.09M,109.12M,94.72M,949.00M,1.2,1.19,137.14M,252.17M,258.76M,2020-12,156.06M,-32.31M,-32.31M,252.17M,0,5.061B,177.67M,177.14M,170.11M,3.797M,0,353.49M,24.35M,2.548B,9.396B,1.314M,421.82M,1.126B,6.460B,8.974B,5.334B,81.09M,177.14M,293.81M
EXR,2020-09,-108.71M,74.80M,99.51M,94.00M,0.89,0.88,134.93M,256.15M,243.51M,2020-09,114.63M,-40.30M,-40.30M,256.15M,0,5.453B,163.21M,200.36M,128.51M,4.657M,0,343.02M,23.89M,2.389B,8.761B,1.291M,80.57M,294.36M,5.993B,8.681B,5.699B,80.31M,200.36M,43.59M
EXR,2020-06,-119.26M,56.40M,95.90M,207.00M,0.8,0.8,132.00M,261.30M,231.35M,2020-06,102.91M,-40.60M,-40.60M,261.30M,0,5.146B,149.99M,178.36M,114.43M,3.177M,0,327.25M,25.34M,2.376B,8.530B,1.291M,61.75M,385.36M,5.784B,8.468B,5.399B,81.36M,178.36M,0
EXR,2020-03,-113.84M,93.30M,96.98M,244.00M,0.84,0.83,0,259.68M,235.48M,2020-03,108.18M,-43.89M,-43.89M,259.68M,0,5.152B,157.19M,161.78M,118.34M,2.179M,0,332.45M,23.01M,2.398B,8.549B,1.29M,97.93M,405.78M,5.775B,8.452B,5.369B,78.29M,161.78M,0
EXR,2019-12,-28.97M,65.75M,95.54M,158.00M,0.87,0.86,0,264.64M,240.26M,2019-12,112.28M,-44.46M,-44.46M,264.64M,0,5.163B,164.64M,156.65M,123.01M,2.728M,0,335.80M,20.87M,2.540B,8.532B,1.295M,114.32M,314.65M,5.611B,8.418B,5.296B,75.61M,156.65M,0
EXR,2019-09,-43.44M,62.28M,96.30M,159.00M,0.84,0.83,0,269.32M,241.21M,2019-09,108.09M,-45.30M,-45.30M,269.32M,0,4.932B,162.64M,167.80M,120.05M,4.052M,0,337.50M,22.52M,2.523B,8.318B,1.294M,66.72M,326.80M,5.410B,8.252B,5.084B,78.57M,167.80M,0
EXR,2019-06,-27.48M,47.67M,87.85M,382.00M,0.82,0.81,0,221.48M,235.75M,2019-06,104.83M,-46.92M,-46.92M,221.48M,0,4.887B,157.99M,160.14M,115.40M,2.715M,0,323.60M,23.35M,2.442B,8.391B,1.285M,55.64M,542.14M,5.562B,8.335B,5.020B,77.76M,160.14M,0
EXR,2019-03,11.81M,38.99M,85.73M,335.00M,0.74,0.74,0,94.20M,225.81M,2019-03,94.77M,-47.13M,-47.13M,94.20M,0,4.770B,148.48M,143.87M,103.97M,1.813M,0,311.55M,22.68M,2.384B,8.133B,1.274M,46.83M,478.87M,5.359B,8.086B,4.880B,77.34M,143.87M,0
EXR,2018-12,34.65M,57.50M,79.12M,81.00M,0.8,0.8,0,0,228.24M,2018-12,101.46M,-48.06M,-48.06M,0,0,4.731B,156.68M,146.66M,112.42M,3.167M,0,307.35M,18.43M,2.414B,7.848B,1.271M,72.69M,227.66M,5.063B,7.775B,4.835B,71.56M,146.66M,0
EXR,2018-09,68.36M,45.38M,81.37M,0,1.03,1.02,0,0,225.58M,2018-09,130.42M,-45.70M,-45.70M,0,0,4.761B,153.59M,170.76M,142.32M,2.638M,0,306.95M,19.71M,2.396B,7.799B,1.264M,66.58M,170.76M,5.029B,7.732B,4.858B,71.99M,170.76M,0
