Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
D,2016-12,-799.00M,261.00M,1.887B,4.864B,0,0.7277,0.7277,7.017B,69.56B,1.199B,2016-12,1.524B,457.00M,-295.00M,-295.00M,49.96B,8.602B,30.23B,604.00M,1.798B,585.00M,94.00M,3.086B,14.60B,71.61B,8.55B,4.248B,8.115B,54.77B,67.36B,46.66B,595.00M,1.00B,1.706B
D,2016-09,-471.00M,251.00M,1.442B,6.028B,0,1.1,1.1,6.405B,68.28B,1.69B,2016-09,1.516B,690.00M,-250.00M,-250.00M,48.89B,8.675B,28.71B,1.145B,1.485B,958.00M,230.00M,3.132B,14.96B,69.60B,8.592B,3.799B,9.027B,53.41B,65.80B,44.38B,545.00M,685.00M,1.392B
D,2016-06,-493.00M,377.00M,1.317B,4.785B,0,0.73,0.73,3.294B,60.49B,1.281B,2016-06,1.351B,452.00M,-239.00M,-239.00M,43.68B,7.666B,24.79B,781.00M,1.15B,614.00M,152.00M,2.598B,14.25B,61.37B,8.16B,4.143B,7.266B,45.92B,57.23B,38.65B,500.00M,589.00M,1.279B
D,2016-03,-463.00M,218.00M,1.524B,4.802B,0,0.88,0.88,3.294B,59.15B,1.397B,2016-03,1.304B,524.00M,-226.00M,-226.00M,42.62B,7.536B,24.19B,882.00M,1.253B,710.00M,179.00M,2.921B,12.88B,59.50B,6.778B,3.711B,7.518B,45.49B,55.79B,37.97B,515.00M,670.00M,1.328B
D,2015-12,-474.00M,607.00M,1.441B,5.334B,0,0.6,0.6,3.864B,57.78B,1.115B,2015-12,1.348B,357.00M,-230.00M,-230.00M,41.55B,7.414B,23.47B,638.00M,1.241B,477.00M,111.00M,2.556B,12.66B,58.65B,6.68B,4.189B,8.119B,45.05B,54.46B,36.93B,477.00M,726.00M,1.369B
D,2015-09,-501.00M,238.00M,1.36B,4.083B,0,1,1,3.294B,55.85B,1.611B,2015-09,1.31B,593.00M,-230.00M,-230.00M,39.78B,7.551B,23.24B,1.123B,1.258B,904.00M,305.00M,2.971B,12.59B,56.60B,6.606B,4.123B,6.746B,43.32B,52.48B,36.58B,488.00M,705.00M,1.433B
D,2015-06,-386.00M,271.00M,1.501B,3.932B,0,0.7,0.7,3.294B,54.45B,1.246B,2015-06,1.26B,413.00M,-221.00M,-221.00M,38.67B,7.573B,23.05B,773.00M,1.369B,608.00M,190.00M,2.747B,12.42B,55.94B,6.53B,4.452B,6.736B,43.09B,51.49B,36.35B,473.00M,842.00M,1.44B
D,2015-03,-409.00M,275.00M,1.899B,5.022B,0,0.91,0.91,3.294B,52.72B,1.51B,2015-03,1.227B,536.00M,-223.00M,-223.00M,37.23B,7.577B,21.35B,1.002B,945.00M,839.00M,299.00M,3.409B,12.01B,55.16B,6.17B,5.053B,8.021B,42.74B,50.10B,34.72B,508.00M,945.00M,1.702B
D,2014-12,-416.00M,318.00M,1.865B,4.15B,0,0.42,0.41,3.614B,51.41B,1.078B,2014-12,1.41B,243.00M,-498.00M,-498.00M,36.27B,7.444B,21.80B,638.00M,1.518B,224.00M,-25.00M,2.943B,11.56B,54.33B,5.876B,5.615B,7.198B,42.37B,48.71B,35.17B,440.00M,952.00M,1.633B
D,2014-09,-417.00M,218.00M,1.652B,4.22B,0,0.91,0.9,3.044B,49.93B,1.398B,2014-09,1.385B,529.00M,-231.00M,-231.00M,34.88B,7.226B,20.67B,921.00M,848.00M,759.00M,228.00M,3.05B,11.57B,52.28B,5.788B,5.446B,7.579B,40.71B,46.83B,33.13B,477.00M,848.00M,1.464B
D,2014-06,-317.00M,419.00M,1.977B,3.945B,0,0.27,0.27,3.044B,48.70B,836.00M,2014-06,1.261B,159.00M,-227.00M,-227.00M,33.89B,7.237B,20.47B,394.00M,852.00M,224.00M,63.00M,2.813B,11.57B,51.50B,5.861B,5.561B,7.243B,39.93B,45.94B,32.69B,442.00M,852.00M,1.637B
D,2014-03,-299.00M,228.00M,2.387B,2.888B,0,0.65,0.65,3.046B,47.72B,1.243B,2014-03,1.013B,379.00M,-237.00M,-237.00M,33.13B,7.293B,20.46B,768.00M,1.143B,571.00M,186.00M,3.63B,11.70B,50.59B,5.785B,5.478B,6.351B,38.89B,45.11B,32.54B,475.00M,1.143B,1.972B
D,2013-12,-324.00M,316.00M,1.961B,3.446B,0,0.74,0.74,3.646B,46.97B,1.224B,2013-12,1.176B,431.00M,-229.00M,-229.00M,32.63B,7.114B,19.33B,804.00M,1.777B,618.00M,183.00M,3.185B,11.64B,50.10B,5.783B,5.94B,6.994B,38.45B,44.16B,31.46B,420.00M,1.168B,1.836B
D,2013-09,-536.00M,287.00M,1.955B,3.277B,0,0.98,0.98,3.087B,46.10B,1.477B,2013-09,1.21B,569.00M,-217.00M,-217.00M,31.86B,6.735B,18.55B,1.034B,980.00M,903.00M,305.00M,3.432B,11.24B,48.49B,5.699B,5.21B,6.453B,37.25B,43.28B,30.79B,443.00M,980.00M,1.602B
D,2013-06,-483.00M,190.00M,1.988B,4.039B,499.00M,0.35,0.35,3.125B,45.57B,992.00M,2013-06,1.154B,202.00M,-203.00M,-203.00M,31.55B,6.525B,18.04B,548.00M,909.00M,394.00M,116.00M,2.98B,11.00B,48.43B,5.65B,5.863B,7.377B,37.37B,42.56B,29.99B,444.00M,909.00M,1.647B
D,2013-03,-820.00M,35.00M,2.129B,4.048B,752.00M,0.86,0.86,3.128B,44.66B,1.394B,2013-03,1.039B,495.00M,-228.00M,-228.00M,30.91B,6.07B,17.28B,930.00M,950.00M,789.00M,288.00M,3.523B,10.87B,47.12B,5.571B,5.148B,6.972B,36.19B,41.97B,29.22B,464.00M,950.00M,1.831B
D,2012-12,-877.00M,248.00M,1.923B,4.635B,871.00M,-1.15,-1.15,3.666B,44.32B,1.178B,2012-12,1.259B,-659.00M,-198.00M,-198.00M,30.77B,5.80B,16.85B,761.00M,1.773B,612.00M,233.00M,3.101B,10.57B,46.84B,5.493B,5.14B,7.763B,36.21B,41.70B,28.45B,417.00M,1.137B,1.717B
D,2012-09,-507.00M,81.00M,2.372B,3.557B,0,0.36,0.36,3.141B,45.35B,960.00M,2012-09,1.257B,209.00M,-197.00M,-197.00M,31.52B,6.337B,17.14B,551.00M,1.02B,410.00M,143.00M,3.332B,11.82B,46.89B,0,4.653B,6.562B,35.01B,42.23B,28.45B,409.00M,1.02B,1.679B
D,2012-06,-455.00M,162.00M,1.961B,3.671B,0,0.45,0.45,3.141B,44.69B,1.044B,2012-06,1.251B,258.00M,-209.00M,-209.00M,30.92B,6.026B,17.00B,628.00M,917.00M,463.00M,166.00M,3.005B,11.90B,46.42B,0,4.712B,6.806B,34.46B,41.70B,27.66B,416.00M,917.00M,1.678B
D,2012-03,-411.00M,133.00M,2.044B,3.188B,0,0.86,0.86,3.141B,43.85B,1.353B,2012-03,1.249B,494.00M,-212.00M,-212.00M,30.29B,5.719B,17.08B,918.00M,935.00M,780.00M,269.00M,3.397B,11.91B,46.09B,0,5.019B,6.654B,34.12B,41.07B,27.47B,435.00M,935.00M,1.712B
D,2011-12,-610.00M,102.00M,4.457B,3.293B,0,0.36,0.35,3.778B,42.99B,-1.708B,2011-12,1.348B,201.00M,-105.00M,-105.00M,29.67B,5.216B,17.39B,326.00M,1.898B,287.00M,48.00M,2.749B,11.45B,45.61B,5.18B,5.43B,6.962B,34.11B,40.18B,27.15B,-2.034B,1.25B,2.035B
D,2011-09,-499.00M,212.00M,1.661B,2.11B,0,0.69,0.69,3.141B,42.16B,2.084B,2011-09,1.326B,392.00M,-249.00M,-249.00M,28.41B,5.13B,17.15B,828.00M,1.785B,595.00M,203.00M,3.745B,11.63B,44.03B,0,5.267B,5.496B,32.40B,38.76B,26.90B,1.256B,1.138B,1.874B
D,2011-06,-329.00M,80.00M,1.438B,2.599B,0,0.59,0.58,3.141B,41.16B,1.85B,2011-06,1.194B,336.00M,-216.00M,-216.00M,27.65B,5.081B,16.50B,733.00M,1.707B,556.00M,211.00M,3.288B,11.68B,43.41B,0,4.962B,5.514B,31.73B,38.45B,26.22B,1.117B,1.125B,1.998B
D,2011-03,-327.00M,188.00M,1.81B,1.345B,0,0.83,0.82,3.141B,40.39B,2.247B,2011-03,1.044B,479.00M,-227.00M,-227.00M,27.08B,4.91B,16.80B,963.00M,1.909B,793.00M,310.00M,4.057B,11.94B,42.78B,5.464B,4.932B,4.501B,30.83B,37.84B,26.33B,1.284B,1.189B,1.953B
