Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EFX,2017-03,-414.40M,123.20M,300.80M,631.80M,113.50M,1.28,1.26,5.465B,819.00M,531.40M,2017-03,153.30M,-24.20M,-24.20M,479.00M,330.30M,2.037B,218.60M,272.60M,195.70M,40.30M,832.20M,241.50M,2.888B,6.789B,236.60M,705.20M,1.201B,3.837B,6.084B,2.636B,312.80M,79.60M,459.70M
EFX,2016-12,-528.90M,129.30M,286.30M,585.40M,110.70M,1.03,1.01,5.393B,784.00M,514.80M,2016-12,123.00M,-24.10M,-24.10M,466.90M,325.40M,2.087B,211.10M,389.10M,182.60M,57.80M,801.10M,232.80M,2.663B,6.664B,236.60M,672.90M,1.260B,3.943B,5.991B,2.683B,303.70M,81.00M,433.30M
EFX,2016-09,-363.30M,111.50M,288.00M,706.70M,112.20M,1.11,1.09,5.573B,755.40M,516.10M,2016-09,132.80M,-24.30M,-24.30M,443.30M,358.20M,2.136B,212.10M,305.70M,190.20M,55.30M,804.10M,233.40M,2.746B,6.807B,236.60M,661.80M,1.298B,4.019B,6.145B,2.722B,304.00M,46.00M,436.40M
EFX,2016-06,-447.80M,96.80M,285.80M,447.50M,98.60M,1.1,1.08,5.471B,719.60M,525.50M,2016-06,130.90M,-23.60M,-23.60M,418.20M,365.90M,2.499B,225.70M,274.50M,201.30M,68.30M,811.30M,231.60M,2.542B,6.641B,236.60M,627.20M,961.90M,4.057B,6.014B,3.096B,299.80M,43.40M,418.00M
EFX,2016-03,-384.00M,96.80M,253.30M,1.185B,108.00M,0.86,0.85,5.589B,689.50M,475.00M,2016-03,102.10M,-20.10M,-20.10M,397.40M,364.40M,1.884B,176.20M,279.90M,154.00M,51.60M,728.30M,243.10M,2.487B,6.733B,236.60M,630.10M,1.729B,4.200B,6.103B,2.471B,298.80M,55.90M,424.70M
EFX,2015-12,-484.80M,93.30M,225.00M,49.30M,96.80M,0.94,0.93,3.494B,654.90M,441.30M,2015-12,111.90M,-15.70M,-15.70M,366.80M,205.50M,1.138B,176.90M,292.50M,167.70M,54.70M,666.30M,215.50M,2.311B,4.502B,236.60M,561.60M,603.80M,2.151B,3.940B,1.547B,264.40M,40.60M,349.80M
EFX,2015-09,-477.10M,108.50M,226.50M,186.80M,79.70M,1,0.98,3.536B,633.20M,440.90M,2015-09,117.90M,-15.80M,-15.80M,339.00M,219.90M,1.146B,174.30M,281.60M,172.90M,53.20M,667.40M,217.20M,2.228B,4.541B,236.60M,582.10M,690.70M,2.274B,3.959B,1.583B,266.60M,43.40M,357.70M
EFX,2015-06,-448.20M,84.20M,220.80M,335.10M,74.10M,0.94,0.92,3.591B,613.60M,457.30M,2015-06,111.00M,-16.20M,-16.20M,315.60M,226.40M,1.146B,188.50M,233.60M,158.40M,45.90M,678.10M,218.70M,2.168B,4.586B,236.60M,591.20M,784.50M,2.379B,3.994B,1.594B,268.80M,35.80M,368.20M
EFX,2015-03,-469.80M,95.00M,215.10M,377.50M,76.00M,0.74,0.73,3.605B,596.70M,436.70M,2015-03,88.30M,-16.10M,-16.10M,304.00M,244.10M,1.146B,154.20M,204.80M,137.60M,48.00M,651.80M,232.90M,2.147B,4.595B,236.60M,585.00M,790.80M,2.405B,4.01B,1.614B,282.50M,42.10M,362.70M
EFX,2014-12,-435.40M,128.30M,214.60M,380.40M,73.40M,0.82,0.8,3.656B,655.40M,410.00M,2014-12,98.00M,-16.80M,-16.80M,300.60M,228.30M,1.146B,165.20M,207.70M,151.40M,52.60M,624.60M,195.00M,2.200B,4.661B,236.60M,590.50M,823.10M,2.426B,4.070B,1.603B,244.80M,20.30M,337.20M
