Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MMC,2020-12,-5.11B,2.089B,2.65B,859.00M,0.74,0.73,18.22B,4.909B,1.766B,2020-12,374.00M,-126.00M,-126.00M,2.75B,0,12.72B,571.00M,3.297B,540.00M,161.00M,4.416B,0,9.104B,33.05B,561.00M,8.155B,6.556B,23.79B,24.89B,17.23B,1.195B,3.297B,5.326B
MMC,2020-09,-5.148B,2.388B,2.495B,1.551B,0.62,0.62,17.74B,4.861B,1.473B,2020-09,316.00M,-127.00M,-127.00M,2.748B,0,13.43B,540.00M,3.217B,459.00M,139.00M,3.968B,0,8.591B,32.68B,561.00M,8.312B,6.53B,23.93B,24.37B,17.40B,933.00M,3.217B,5.236B
MMC,2020-06,-5.582B,1.711B,2.429B,1.548B,1.13,1.12,17.56B,4.80B,1.76B,2020-06,572.00M,-130.00M,-130.00M,2.748B,0,13.89B,885.00M,3.035B,787.00M,207.00M,4.189B,0,8.226B,32.17B,561.00M,8.097B,5.928B,23.78B,24.07B,17.85B,875.00M,3.035B,5.647B
MMC,2020-03,-5.847B,1.48B,2.555B,2.743B,1.49,1.48,17.08B,4.747B,2.096B,2020-03,754.00M,-125.00M,-125.00M,2.735B,0,13.13B,1.07B,3.098B,1.007B,240.00M,4.651B,0,7.295B,31.39B,561.00M,7.749B,6.859B,23.94B,23.64B,17.08B,1.026B,3.098B,5.558B
MMC,2019-12,-5.055B,1.155B,2.478B,1.557B,0.77,0.76,17.44B,4.78B,1.786B,2019-12,391.00M,-125.00M,-125.00M,2.779B,0,12.67B,592.00M,2.925B,531.00M,135.00M,4.264B,0,7.793B,31.36B,561.00M,7.068B,6.679B,23.41B,24.29B,16.74B,1.194B,2.925B,5.236B
MMC,2019-09,-4.931B,1.213B,2.437B,1.48B,0.6,0.59,17.16B,4.717B,1.531B,2019-09,303.00M,-129.00M,-129.00M,2.773B,0,13.39B,467.00M,2.962B,414.00M,108.00M,3.968B,0,7.62B,31.10B,561.00M,7.056B,6.204B,23.30B,24.04B,17.10B,1.064B,2.962B,5.198B
MMC,2019-06,-4.527B,1.294B,2.537B,2.01B,0.66,0.65,17.56B,4.833B,1.812B,2019-06,332.00M,-139.00M,-139.00M,2.815B,0,13.44B,680.00M,2.997B,550.00M,206.00M,4.349B,0,8.065B,32.12B,561.00M,7.526B,6.382B,23.78B,24.59B,17.40B,1.132B,2.997B,5.553B
MMC,2019-03,-4.59B,1.117B,2.282B,1.853B,1.42,1.4,11.20B,4.23B,1.789B,2019-03,716.00M,-92.00M,-92.00M,2.341B,0,13.06B,938.00M,2.711B,944.00M,217.00M,4.071B,0,7.909B,30.14B,561.00M,12.68B,5.739B,22.15B,17.46B,16.41B,851.00M,2.711B,4.63B
MMC,2018-12,-4.647B,1.066B,2.163B,314.00M,0.3,0.3,11.04B,2.543B,1.549B,2018-12,153.00M,-89.00M,-89.00M,701.00M,0,5.51B,621.00M,2.391B,224.00M,65.00M,3.712B,0,7.511B,21.58B,561.00M,5.934B,4.924B,13.99B,15.64B,9.07B,928.00M,2.391B,4.317B
MMC,2018-09,-4.488B,951.00M,2.083B,638.00M,0.55,0.54,10.76B,2.57B,1.421B,2018-09,276.00M,-67.00M,-67.00M,707.00M,0,5.512B,541.00M,2.683B,385.00M,106.00M,3.504B,0,7.453B,21.13B,561.00M,5.966B,4.727B,13.59B,15.16B,8.864B,880.00M,2.683B,4.476B
MMC,2018-06,-4.265B,1.036B,2.135B,439.00M,1.05,1.04,10.41B,2.555B,1.599B,2018-06,531.00M,-65.00M,-65.00M,698.00M,0,5.813B,691.00M,2.674B,719.00M,183.00M,3.734B,0,7.716B,21.16B,561.00M,6.175B,4.216B,13.36B,14.98B,9.146B,908.00M,2.674B,4.601B
MMC,2018-03,-3.905B,1.168B,2.224B,512.00M,1.36,1.34,10.45B,2.602B,1.776B,2018-03,690.00M,-58.00M,-58.00M,713.00M,0,5.815B,908.00M,2.797B,916.00M,220.00M,4.00B,0,7.94B,21.38B,561.00M,6.27B,4.122B,13.36B,15.11B,9.236B,868.00M,2.797B,4.562B
MMC,2017-12,-4.043B,1.205B,2.114B,262.00M,0.06,0.06,10.36B,2.538B,1.571B,2017-12,29.00M,-56.00M,-56.00M,712.00M,0,5.225B,670.00M,2.282B,642.00M,614.00M,3.685B,0,7.359B,20.43B,561.00M,5.562B,4.262B,12.99B,14.87B,8.725B,901.00M,2.282B,4.133B
MMC,2017-09,-4.56B,1.078B,1.968B,13.00M,0.77,0.76,10.42B,2.55B,1.373B,2017-09,393.00M,-58.00M,-58.00M,728.00M,0,5.475B,535.00M,2.424B,537.00M,140.00M,3.341B,0,7.046B,19.69B,561.00M,5.215B,3.814B,12.56B,14.48B,8.745B,838.00M,2.424B,3.909B
MMC,2017-06,-4.541B,966.00M,1.998B,162.00M,0.98,0.96,10.05B,2.479B,1.497B,2017-06,501.00M,-58.00M,-58.00M,721.00M,0,5.479B,701.00M,2.414B,711.00M,204.00M,3.495B,0,6.993B,19.44B,561.00M,5.182B,3.649B,12.37B,14.26B,8.719B,796.00M,2.414B,3.984B
