Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PNW,2014-06,-74.22M,9.161M,502.08M,545.49M,74.78M,1.2,1.19,137.04M,16.28B,404.19M,2014-06,269.14M,132.46M,-47.47M,-47.47M,10.89B,2.698B,3.000B,254.11M,597.88M,215.92M,74.54M,906.26M,4.234B,13.69B,2.500B,999.07M,1.555B,9.308B,12.69B,7.754B,150.08M,545.14M,495.06M
PNW,2014-03,-74.90M,103.42M,462.67M,549.92M,94.90M,0.14,0.14,144.45M,16.17B,223.58M,2014-03,259.90M,15.77M,-48.95M,-48.95M,10.81B,2.627B,3.046B,75.17M,451.35M,31.10M,6.405M,686.25M,4.223B,13.45B,2.497B,897.93M,1.395B,9.073B,12.55B,7.678B,148.41M,403.96M,336.93M
PNW,2013-12,-78.05M,9.526M,475.35M,693.55M,76.10M,0.22,0.22,157.69M,16.40B,224.42M,2013-12,259.71M,24.26M,-46.18M,-46.18M,10.73B,2.619B,2.796B,83.90M,526.39M,41.98M,9.167M,699.76M,4.194B,13.51B,2.492B,1.044B,1.619B,9.168B,12.47B,7.550B,140.52M,478.04M,529.01M
PNW,2013-09,-89.34M,135.46M,584.28M,566.48M,77.25M,2.06,2.04,160.13M,15.47B,568.12M,2013-09,258.34M,226.16M,-47.24M,-47.24M,10.37B,2.589B,2.820B,415.69M,479.69M,366.63M,131.91M,1.152B,4.276B,13.82B,2.489B,1.350B,1.447B,9.401B,12.47B,7.954B,152.43M,433.88M,689.71M
PNW,2013-06,-104.46M,27.80M,506.88M,629.23M,78.80M,1.19,1.18,162.72M,15.33B,408.94M,2013-06,253.43M,131.21M,-47.20M,-47.20M,10.31B,2.404B,2.820B,259.81M,526.38M,216.64M,77.04M,915.82M,4.032B,13.56B,2.487B,1.066B,1.537B,9.393B,12.50B,7.856B,149.13M,477.18M,508.68M
PNW,2013-03,-107.93M,25.11M,453.93M,122.83M,80.78M,0.22,0.22,162.98M,15.26B,232.72M,2013-03,258.82M,24.44M,-45.41M,-45.41M,10.26B,2.173B,3.304B,86.92M,421.45M,45.30M,12.47M,686.65M,4.014B,13.30B,2.484B,871.78M,891.51M,9.149B,12.43B,8.257B,145.80M,376.63M,358.40M
PNW,2012-12,-114.01M,26.20M,448.00M,215.00M,79.69M,0.2,0.2,162.15M,15.52B,245.12M,2012-12,249.43M,22.63M,-47.64M,-47.64M,10.23B,2.361B,3.199B,101.29M,455.42M,53.06M,18.16M,693.12M,3.973B,13.38B,2.467B,1.006B,1.084B,9.277B,12.37B,8.194B,143.83M,406.04M,371.15M
PNW,2012-09,-119.48M,79.48M,523.62M,90.36M,76.85M,2.23,2.21,152.66M,14.97B,585.85M,2012-09,250.26M,244.82M,-48.10M,-48.10M,10.07B,2.221B,3.339B,447.97M,472.23M,399.99M,147.12M,1.109B,4.056B,13.46B,2.456B,1.099B,949.35M,9.275B,12.36B,8.325B,137.88M,421.34M,497.44M
PNW,2012-06,-150.32M,11.23M,480.96M,166.96M,74.90M,1.12,1.11,163.73M,14.80B,397.62M,2012-06,247.40M,122.34M,-49.45M,-49.45M,9.954B,2.058B,3.371B,254.49M,569.02M,207.62M,76.69M,878.58M,3.778B,13.21B,0,947.42M,1.104B,9.315B,12.27B,8.211B,143.13M,507.57M,482.76M
PNW,2012-03,-167.78M,20.71M,426.97M,318.31M,74.30M,-0.08,-0.08,170.20M,14.66B,193.66M,2012-03,240.14M,-8.257M,-53.21M,-53.21M,9.889B,2.252B,3.341B,48.01M,470.85M,-4.361M,-4.645M,620.63M,3.745B,13.18B,0,904.80M,1.158B,9.322B,12.28B,8.165B,145.65M,426.11M,349.12M
PNW,2011-12,-152.16M,33.58M,1.120B,477.44M,72.18M,0.11,0.11,170.57M,14.83B,-451.91M,2011-12,226.39M,12.56M,-54.27M,-54.27M,9.792B,2.042B,3.019B,78.72M,502.15M,26.92M,7.375M,667.89M,3.822B,13.11B,2.444B,956.47M,1.343B,9.180B,12.15B,7.838B,-530.62M,447.28M,412.14M
PNW,2011-09,-121.54M,564.71M,337.90M,876.36M,71.77M,2.34,2.32,176.40M,14.31B,786.94M,2011-09,228.52M,255.36M,-54.67M,-54.67M,9.625B,2.239B,3.047B,435.02M,529.33M,384.69M,131.42M,1.125B,3.894B,13.15B,0,1.591B,1.783B,9.147B,11.56B,7.364B,351.93M,473.15M,545.91M
PNW,2011-06,-142.68M,92.27M,244.05M,910.82M,124.56M,0.8,0.79,177.84M,14.15B,555.75M,2011-06,221.22M,86.68M,-59.60M,-59.60M,9.478B,1.946B,2.762B,196.99M,515.88M,144.00M,50.82M,799.80M,3.614B,12.47B,0,1.037B,1.831B,8.758B,11.44B,6.927B,358.76M,460.76M,454.42M
PNW,2011-03,-149.32M,114.19M,212.01M,849.58M,145.97M,-0.14,-0.14,182.86M,13.98B,436.84M,2011-03,181.57M,-15.14M,-57.11M,-57.11M,9.397B,2.039B,2.845B,35.78M,426.09M,-16.37M,-6.005M,648.85M,3.631B,12.30B,0,958.02M,1.674B,8.574B,11.34B,6.900B,401.06M,371.14M,395.82M
