Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
J,2020-12,-877.54M,1.377B,2.750B,164.64M,530.76M,1.98,1.96,6.524B,901.03M,632.06M,2020-12,257.05M,-16.19M,-16.19M,901.03M,624.74M,2.532B,213.94M,2.193B,354.11M,87.02M,3.382B,418.12M,6.099B,12.77B,130.04M,4.787B,2.889B,6.624B,7.981B,3.736B,418.12M,999.48M,3.265B
J,2020-09,-933.06M,1.210B,2.855B,164.31M,465.65M,0.63,0.63,6.297B,1.364B,664.94M,2020-09,81.99M,-12.49M,-12.49M,896.29M,576.77M,2.412B,22.47M,2.312B,60.16M,-19.72M,3.520B,642.46M,5.816B,12.35B,129.75M,4.540B,2.942B,6.499B,7.815B,3.557B,642.46M,1.192B,3.167B
J,2020-06,-911.69M,1.025B,2.631B,199.94M,450.33M,1.88,1.87,6.293B,346.64M,629.03M,2020-06,244.93M,-16.94M,-16.94M,346.64M,1.843B,2.155B,194.38M,2.278B,303.68M,67.67M,3.260B,434.65M,5.836B,12.61B,130.18M,4.612B,2.728B,6.727B,7.999B,3.998B,434.65M,1.049B,3.154B
J,2020-03,-946.32M,1.656B,2.779B,199.90M,416.01M,-0.69,-0.69,6.286B,330.50M,648.14M,2020-03,-92.09M,-14.17M,-14.17M,330.50M,1.797B,3.099B,167.78M,2.209B,-176.80M,-61.12M,3.427B,480.36M,5.562B,13.13B,129.98M,5.167B,2.625B,7.522B,7.968B,4.897B,480.36M,1.030B,3.179B
J,2019-12,-880.17M,619.21M,2.715B,222.69M,435.21M,1.93,1.91,6.083B,308.67M,644.57M,2019-12,257.01M,-13.87M,-13.87M,308.67M,1.892B,1.415B,151.34M,2.196B,254.17M,68.49M,3.360B,493.23M,6.004B,12.20B,133.00M,4.379B,2.832B,6.138B,7.822B,3.307B,493.23M,1.033B,3.056B
J,2019-09,-916.81M,1.082B,2.727B,0.024M,662.33M,1.06,1.04,6.098B,804.93M,665.53M,2019-09,142.32M,-7.805M,-7.805M,308.14M,843.20M,1.201B,99.09M,2.209B,53.54M,24.12M,3.393B,566.45M,5.715B,11.46B,132.88M,4.112B,3.074B,5.694B,7.351B,2.620B,566.45M,1.130B,2.840B
J,2019-06,-763.59M,998.24M,2.543B,3.136M,506.39M,3.83,3.8,6.065B,305.27M,626.13M,2019-06,524.44M,-15.58M,-15.58M,305.27M,1.218B,1.025B,89.95M,2.558B,93.40M,-1.981M,3.170B,536.18M,6.060B,11.64B,135.85M,4.476B,3.289B,5.533B,7.165B,2.244B,536.18M,884.99M,2.779B
J,2019-03,-860.26M,674.55M,2.475B,3.172M,450.86M,0.41,0.41,5.308B,268.80M,616.84M,2019-03,56.92M,-27.75M,-27.75M,268.80M,1.238B,2.842B,102.68M,2.006B,111.83M,-7.947M,3.092B,514.16M,5.466B,12.95B,136.43M,4.846B,3.188B,7.390B,8.099B,4.202B,514.16M,828.52M,2.747B
J,2018-12,-856.55M,886.71M,2.515B,0,409.76M,0.87,0.86,5.323B,256.49M,568.52M,2018-12,124.30M,-23.22M,-23.22M,256.49M,1.202B,2.669B,113.13M,1.890B,92.19M,22.76M,3.084B,455.39M,5.753B,12.95B,140.40M,4.899B,3.095B,7.104B,8.046B,4.010B,455.39M,895.43M,2.682B
J,2018-09,-806.70M,634.87M,2.386B,0,501.01M,-0.16,-0.16,5.369B,712.96M,606.23M,2018-09,-37.54M,-24.56M,-24.56M,257.86M,1.261B,2.144B,160.85M,1.885B,142.40M,215.40M,2.992B,445.38M,5.854B,12.65B,142.22M,4.557B,3.146B,6.701B,8.089B,3.556B,445.38M,857.03M,2.514B
J,2018-06,-728.18M,824.37M,2.325B,8.964M,559.90M,1.05,1.05,6.636B,1.154B,608.60M,2018-06,150.22M,-22.51M,-22.51M,471.10M,1.066B,2.336B,162.51M,2.527B,146.63M,31.17M,2.934B,446.08M,5.965B,12.55B,141.86M,4.476B,3.096B,6.499B,8.076B,3.403B,446.08M,1.072B,3.464B
J,2018-03,-617.06M,835.42M,2.269B,5.559M,582.36M,0.34,0.34,6.663B,1.189B,601.63M,2018-03,48.59M,-17.44M,-17.44M,504.41M,1.081B,2.512B,68.76M,2.395B,48.65M,51.86M,2.870B,532.87M,5.937B,12.60B,141.72M,4.457B,2.983B,6.576B,8.145B,3.593B,532.87M,964.28M,3.421B
J,2017-12,-628.98M,1.060B,1.442B,5.45M,637.54M,0.02,0.02,6.642B,1.232B,342.09M,2017-12,2.163M,-3.258M,-3.258M,574.03M,1.079B,2.588B,-4.67M,2.420B,-6.703M,27.20M,1.784B,346.76M,5.869B,12.69B,141.56M,4.547B,3.063B,6.730B,8.145B,3.667B,346.76M,947.20M,3.294B
J,2017-09,-653.51M,774.15M,-1.001B,3.071M,360.46M,0.78,0.78,3.343B,979.71M,-37.93M,2017-09,94.14M,2.343M,2.343M,349.91M,732.28M,235.00M,-41.13M,1.563B,-30.61M,-6.717M,-1.039B,3.208M,4.428B,7.381B,120.39M,2.996B,1.926B,2.894B,4.385B,967.28M,3.208M,734.34M,2.103B
J,2017-06,-783.39M,758.30M,2.055B,3.02M,396.82M,0.74,0.74,3.211B,939.48M,459.36M,2017-06,89.03M,-1.931M,-1.931M,329.13M,838.03M,282.00M,128.48M,1.440B,127.40M,38.77M,2.515B,330.89M,4.226B,7.245B,120.27M,2.940B,1.840B,2.960B,4.305B,1.120B,330.89M,553.74M,2.086B
J,2017-03,-835.01M,674.60M,1.883B,2.941M,389.28M,0.41,0.41,3.182B,908.70M,419.28M,2017-03,50.02M,-1.667M,-1.667M,316.08M,843.61M,334.92M,68.17M,1.341B,60.49M,16.33M,2.303B,351.11M,4.115B,7.086B,120.45M,2.821B,1.733B,2.912B,4.265B,1.179B,351.11M,468.14M,2.058B
J,2016-12,-878.91M,736.55M,2.132B,2.899M,409.91M,0.5,0.5,3.140B,895.07M,419.31M,2016-12,60.54M,-2.032M,-2.032M,314.41M,837.67M,387.00M,88.63M,1.337B,85.88M,24.73M,2.552B,330.68M,4.070B,7.110B,121.17M,2.923B,1.750B,2.974B,4.187B,1.225B,330.68M,502.83M,2.093B
J,2016-09,-610.59M,655.72M,2.209B,2.421M,388.52M,0.25,0.24,3.417B,897.61M,431.69M,2016-09,29.64M,-2.205M,-2.205M,319.67M,861.82M,385.33M,82.81M,1.392B,35.67M,5.79M,2.641B,348.88M,4.265B,7.360B,120.95M,2.864B,1.783B,3.030B,4.496B,1.247B,348.88M,559.46M,2.116B
J,2016-06,-453.26M,616.39M,2.242B,8.941M,297.52M,0.58,0.57,3.413B,928.76M,451.45M,2016-06,69.06M,-3.948M,-3.948M,325.13M,646.07M,479.00M,109.56M,1.500B,102.81M,31.87M,2.694B,341.89M,4.425B,7.421B,121.70M,2.929B,1.806B,2.932B,4.492B,1.125B,341.89M,479.22M,2.234B
