Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PKG,2020-12,-144.50M,1.080B,1.381B,70.50M,1.3,1.3,1.159B,7.548B,333.30M,2020-12,787.90M,123.60M,-24.40M,-24.40M,3.428B,379.40M,2.667B,203.00M,551.40M,165.40M,41.80M,1.714B,130.30M,3.246B,7.433B,0.90M,2.750B,782.60M,4.187B,4.683B,3.404B,130.30M,500.50M,837.50M
PKG,2020-09,-150.90M,1.050B,1.348B,69.60M,1.47,1.46,1.169B,7.436B,345.40M,2020-09,777.60M,139.10M,-24.40M,-24.40M,3.363B,363.70M,2.666B,218.30M,541.60M,185.70M,46.60M,1.694B,127.10M,3.205B,7.373B,0.90M,2.744B,775.40M,4.167B,4.629B,3.392B,127.10M,471.70M,864.60M
PKG,2020-06,-153.40M,940.20M,1.216B,68.70M,0.6,0.59,1.178B,7.347B,325.80M,2020-06,834.50M,56.70M,-25.10M,-25.10M,3.344B,361.10M,2.665B,189.50M,466.90M,91.60M,34.90M,1.542B,136.30M,3.133B,7.272B,0.90M,2.659B,683.60M,4.139B,4.613B,3.455B,136.30M,414.60M,823.40M
PKG,2020-03,-157.00M,856.30M,1.344B,65.90M,1.5,1.49,1.248B,7.290B,365.00M,2020-03,809.90M,141.70M,-19.60M,-19.60M,3.374B,354.30M,2.670B,219.10M,558.20M,190.10M,48.40M,1.709B,145.90M,3.150B,7.348B,0.90M,2.614B,744.60M,4.198B,4.734B,3.453B,145.90M,488.80M,879.50M
PKG,2019-12,-159.50M,767.40M,1.337B,64.10M,1.44,1.43,1.258B,7.232B,383.30M,2019-12,794.10M,136.20M,-60.80M,-60.80M,3.386B,340.10M,2.670B,246.30M,499.80M,172.40M,36.20M,1.72B,137.00M,3.071B,7.236B,0.90M,2.478B,723.80M,4.165B,4.757B,3.441B,137.00M,443.80M,872.10M
PKG,2019-09,-128.80M,738.30M,1.339B,61.90M,1.9,1.89,1.267B,7.138B,411.40M,2019-09,806.30M,179.80M,-21.60M,-21.60M,3.343B,327.60M,2.68B,274.50M,551.40M,239.30M,59.50M,1.751B,136.90M,3.035B,7.191B,0.90M,2.531B,770.70M,4.156B,4.660B,3.386B,136.90M,487.00M,941.80M
PKG,2019-06,-132.20M,569.40M,1.332B,61.40M,2.05,2.04,1.277B,7.072B,427.90M,2019-06,815.70M,193.60M,-22.40M,-22.40M,3.345B,314.80M,2.686B,284.20M,525.60M,256.00M,62.40M,1.760B,143.70M,2.921B,7.074B,0.90M,2.403B,729.60M,4.153B,4.672B,3.424B,143.70M,479.80M,958.40M
PKG,2019-03,-135.50M,442.40M,1.312B,58.70M,1.98,1.97,1.286B,6.981B,421.40M,2019-03,831.70M,186.80M,-24.10M,-24.10M,3.327B,305.70M,2.667B,281.40M,566.20M,249.30M,62.50M,1.734B,140.00M,2.795B,6.929B,0.90M,2.262B,740.70M,4.134B,4.666B,3.393B,140.00M,511.00M,930.30M
PKG,2018-12,-138.80M,361.50M,1.321B,1.40M,2.17,2.16,1.296B,6.691B,425.40M,2018-12,795.60M,204.60M,-21.70M,-21.70M,3.109B,285.20M,2.501B,295.70M,520.80M,264.50M,59.90M,1.746B,129.70M,2.672B,6.570B,0.90M,2.115B,693.60M,3.897B,4.455B,3.204B,129.70M,471.70M,918.60M
PKG,2018-09,-145.10M,293.80M,1.367B,1.40M,2.19,2.18,1.263B,6.588B,443.20M,2018-09,780.60M,206.70M,-23.90M,-23.90M,3.065B,279.30M,2.501B,309.00M,599.00M,274.10M,67.40M,1.810B,134.20M,2.530B,6.50B,0.90M,2.115B,766.50M,3.970B,4.385B,3.203B,134.20M,536.00M,991.30M
