Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WEC,2020-12,-6.80M,24.80M,1.262B,2.563B,0.76,0.76,3.053B,35.07B,671.20M,2020-12,528.60M,239.30M,-117.90M,-117.90M,25.71B,4.472B,11.73B,370.50M,1.055B,276.80M,37.20M,1.933B,10.50B,37.03B,33.60M,2.083B,4.148B,26.37B,34.95B,22.22B,300.70M,880.70M,1.203B
WEC,2020-09,-6.40M,13.10M,981.50M,1.367B,0.85,0.84,3.053B,33.86B,669.50M,2020-09,573.40M,267.10M,-122.00M,-122.00M,24.55B,4.392B,11.65B,370.20M,925.20M,314.00M,46.90M,1.651B,10.48B,35.42B,33.60M,1.727B,2.84B,24.86B,33.69B,22.02B,299.30M,751.30M,911.80M
WEC,2020-06,-7.30M,13.30M,917.60M,2.106B,0.77,0.76,3.053B,33.33B,631.10M,2020-06,467.70M,241.90M,-124.40M,-124.40M,24.17B,4.370B,10.72B,338.80M,858.20M,295.90M,53.80M,1.549B,10.41B,35.04B,33.60M,1.713B,3.485B,24.55B,33.33B,21.06B,292.30M,696.60M,957.90M
WEC,2020-03,-7.10M,15.40M,1.190B,1.522B,1.43,1.43,3.053B,32.84B,918.20M,2020-03,391.10M,452.80M,-129.40M,-129.40M,23.80B,4.298B,11.19B,626.60M,726.50M,542.60M,90.00M,2.109B,10.37B,34.83B,33.60M,1.845B,2.848B,24.35B,32.99B,21.50B,291.60M,597.90M,1.177B
WEC,2019-12,-4.10M,37.50M,1.294B,1.524B,0.77,0.77,3.053B,32.50B,653.10M,2019-12,549.80M,244.20M,-127.20M,-127.20M,23.62B,4.266B,11.21B,363.10M,1.108B,277.70M,33.50M,1.948B,10.14B,34.95B,33.60M,2.094B,3.183B,24.70B,32.86B,21.51B,290.00M,908.10M,1.176B
WEC,2019-09,-7.10M,20.00M,1.014B,1.379B,0.74,0.74,3.053B,31.84B,594.50M,2019-09,593.30M,234.60M,-125.80M,-125.80M,23.04B,4.117B,10.90B,310.90M,936.00M,245.60M,11.30M,1.608B,10.08B,34.38B,33.60M,1.773B,2.818B,24.19B,32.60B,21.37B,283.60M,769.00M,911.80M
WEC,2019-06,-6.60M,37.90M,995.50M,2.029B,0.75,0.74,3.053B,31.24B,594.70M,2019-06,461.40M,236.00M,-124.10M,-124.10M,22.54B,4.107B,9.921B,314.60M,874.90M,251.00M,15.20M,1.590B,10.05B,33.93B,33.60M,1.839B,3.362B,23.79B,32.10B,20.42B,280.10M,715.60M,1.004B
WEC,2019-03,-4.00M,30.60M,1.560B,1.511B,1.33,1.33,3.053B,30.78B,817.20M,2019-03,330.10M,420.40M,-124.40M,-124.40M,22.19B,3.974B,10.33B,542.80M,800.00M,485.40M,65.00M,2.377B,10.01B,33.74B,33.60M,2.008B,2.890B,23.62B,31.73B,20.74B,274.40M,674.10M,1.430B
WEC,2018-12,-2.60M,84.50M,1.522B,1.805B,0.65,0.65,3.053B,30.64B,555.00M,2018-12,548.20M,205.30M,-117.90M,-117.90M,22.00B,3.908B,9.994B,289.80M,1.062B,218.70M,13.40M,2.077B,9.819B,33.48B,33.60M,2.248B,3.332B,23.63B,31.23B,20.30B,265.20M,876.40M,1.281B
WEC,2018-09,2.40M,14.50M,1.077B,2.158B,0.74,0.74,3.053B,30.25B,566.50M,2018-09,608.50M,233.50M,-112.00M,-112.00M,21.66B,3.698B,9.119B,302.70M,1.051B,250.50M,17.00M,1.644B,9.806B,32.56B,33.60M,1.840B,3.602B,22.72B,30.72B,19.12B,263.80M,907.80M,1.017B
WEC,2018-06,2.50M,29.80M,1.085B,1.664B,0.73,0.73,3.053B,29.59B,587.10M,2018-06,466.60M,231.30M,-108.50M,-108.50M,21.08B,3.649B,9.209B,330.80M,1.025B,282.40M,51.10M,1.672B,9.756B,31.94B,33.60M,1.810B,3.053B,22.18B,30.13B,19.13B,256.30M,894.50M,1.086B
WEC,2018-03,4.60M,48.10M,1.484B,2.158B,1.24,1.23,3.053B,30.29B,802.50M,2018-03,376.00M,390.40M,-106.70M,-106.70M,21.47B,3.608B,8.618B,545.10M,700.20M,478.70M,88.30M,2.286B,9.698B,31.79B,33.60M,1.981B,3.606B,22.09B,29.80B,18.48B,257.40M,592.80M,1.357B
WEC,2017-12,2.90M,38.90M,1.396B,2.287B,1.37,1.36,3.054B,29.97B,659.10M,2017-12,539.00M,432.90M,-105.30M,-105.30M,21.35B,3.543B,8.747B,407.00M,1.029B,357.60M,-75.30M,2.055B,9.492B,31.59B,33.60M,2.214B,3.869B,22.10B,29.38B,18.23B,252.10M,859.90M,1.351B
WEC,2017-09,2.40M,18.10M,1.016B,1.703B,0.68,0.68,3.054B,29.41B,641.70M,2017-09,672.20M,215.70M,-103.80M,-103.80M,20.88B,6.165B,8.786B,392.20M,880.70M,345.40M,129.70M,1.658B,9.226B,31.01B,33.60M,1.823B,3.026B,21.79B,29.19B,18.76B,249.50M,743.90M,948.00M
WEC,2017-06,2.50M,36.50M,1.022B,1.483B,0.63,0.63,3.054B,28.96B,609.90M,2017-06,510.00M,199.40M,-101.90M,-101.90M,20.52B,5.971B,8.800B,362.20M,864.10M,315.20M,115.80M,1.632B,9.183B,30.56B,33.60M,1.780B,2.787B,21.38B,28.78B,18.59B,247.70M,724.10M,1.004B
WEC,2017-03,2.70M,45.70M,1.446B,828.40M,1.13,1.12,3.046B,28.30B,858.90M,2017-03,417.10M,356.90M,-104.70M,-104.70M,19.99B,5.848B,9.144B,614.70M,804.90M,570.20M,213.30M,2.304B,9.156B,30.02B,33.60M,1.855B,2.055B,20.86B,28.16B,18.81B,244.20M,582.30M,1.191B
WEC,2016-12,2.90M,37.50M,1.346B,1.017B,0.62,0.61,3.046B,28.13B,617.20M,2016-12,587.60M,194.70M,-102.60M,-102.60M,19.92B,5.713B,9.158B,375.90M,1.025B,306.10M,111.40M,1.963B,8.960B,30.12B,33.60M,2.169B,2.432B,21.16B,27.95B,18.73B,241.30M,861.50M,1.242B
WEC,2016-09,3.70M,25.00M,1.072B,878.80M,0.69,0.68,3.046B,27.75B,640.30M,2016-09,654.30M,217.30M,-99.10M,-99.10M,19.61B,5.636B,9.088B,399.00M,906.50M,345.70M,128.40M,1.712B,8.922B,29.44B,3.20M,1.818B,2.026B,20.52B,27.63B,18.50B,241.30M,663.50M,871.50M
WEC,2016-06,4.40M,32.10M,1.030B,1.024B,0.57,0.57,3.046B,27.45B,571.70M,2016-06,494.50M,181.70M,-100.10M,-100.10M,19.40B,5.511B,8.902B,332.10M,755.00M,295.30M,113.60M,1.602B,8.864B,29.18B,3.20M,1.766B,2.137B,20.31B,27.41B,18.17B,239.60M,620.50M,914.90M
WEC,2016-03,4.30M,34.70M,1.370B,1.049B,1.1,1.09,2.999B,27.26B,824.40M,2016-03,470.70M,346.50M,-100.90M,-100.90M,19.26B,5.433B,8.956B,589.30M,805.70M,559.60M,213.10M,2.195B,8.849B,29.10B,3.20M,1.896B,2.230B,20.26B,27.21B,18.03B,235.10M,584.40M,1.088B
WEC,2015-12,4.60M,49.80M,1.238B,1.253B,0.57,0.57,3.024B,27.11B,610.00M,2015-12,687.00M,179.90M,-107.00M,-107.00M,19.19B,5.202B,9.124B,380.20M,985.10M,317.60M,137.70M,1.848B,8.685B,29.36B,33.60M,2.207B,2.709B,20.67B,27.15B,17.96B,229.80M,815.40M,1.029B
WEC,2015-09,11.20M,22.20M,1.126B,1.268B,0.58,0.58,3.404B,26.72B,572.20M,2015-09,719.80M,183.10M,-103.20M,-103.20M,18.79B,5.278B,8.727B,345.70M,932.50M,293.60M,110.50M,1.699B,8.711B,28.77B,3.20M,2.182B,2.667B,20.06B,26.59B,17.39B,226.50M,777.60M,844.70M
WEC,2015-06,0.30M,214.40M,690.00M,1.435B,0.36,0.35,3.386B,26.39B,301.20M,2015-06,562.50M,81.20M,-61.80M,-61.80M,18.53B,5.220B,8.548B,165.80M,912.80M,144.40M,63.20M,991.20M,8.538B,28.61B,2.30M,2.277B,2.940B,20.08B,26.34B,17.14B,135.40M,777.10M,956.60M
WEC,2015-03,0,65.20M,894.60M,989.80M,0.87,0.86,441.90M,15.88B,493.30M,2015-03,289.70M,196.10M,-59.40M,-59.40M,11.32B,3.547B,4.169B,358.80M,350.70M,318.50M,122.40M,1.388B,4.541B,15.14B,2.30M,1.326B,1.560B,10.59B,13.81B,9.034B,134.50M,291.90M,658.90M
WEC,2014-12,0,61.90M,855.10M,1.042B,0.54,0.53,441.90M,15.84B,370.00M,2014-12,400.60M,122.60M,-58.60M,-58.60M,11.26B,3.278B,4.171B,243.50M,458.40M,199.40M,76.80M,1.225B,4.450B,14.90B,0,1.293B,1.669B,10.45B,13.61B,8.786B,126.50M,363.30M,643.40M
WEC,2014-09,0,88.70M,656.80M,523.50M,0.56,0.56,441.90M,15.58B,376.50M,2014-09,379.30M,126.30M,-60.40M,-60.40M,11.13B,3.380B,4.570B,246.10M,386.40M,206.60M,80.30M,1.033B,4.429B,14.72B,0,1.274B,1.066B,10.30B,13.45B,9.231B,130.40M,315.00M,498.10M
WEC,2014-06,0,33.40M,674.40M,455.20M,0.59,0.58,441.90M,15.41B,369.30M,2014-06,304.30M,133.00M,-59.00M,-59.00M,11.02B,3.354B,4.588B,240.70M,358.90M,207.30M,74.30M,1.044B,4.398B,14.62B,0,1.286B,980.80M,10.22B,13.33B,9.242B,128.60M,288.50M,579.70M
WEC,2014-03,0,27.60M,1.186B,766.00M,0.92,0.91,441.90M,15.27B,509.50M,2014-03,234.90M,207.60M,-62.30M,-62.30M,10.94B,3.351B,4.349B,381.80M,508.30M,337.90M,130.30M,1.695B,4.352B,14.80B,0,1.545B,1.425B,10.45B,13.26B,9.024B,127.70M,435.00M,895.00M
WEC,2013-12,0,26.00M,827.40M,879.60M,0.64,0.63,441.90M,15.26B,350.90M,2013-12,329.40M,145.50M,-60.60M,-60.60M,10.91B,3.298B,4.363B,271.60M,439.50M,232.00M,86.50M,1.178B,4.263B,14.77B,0,1.551B,1.496B,10.51B,13.22B,9.010B,79.30M,342.60M,727.10M
WEC,2013-09,0,18.50M,668.80M,732.80M,0.61,0.6,441.90M,15.01B,384.40M,2013-09,367.60M,137.50M,-62.00M,-62.00M,10.81B,3.147B,4.371B,258.00M,387.70M,218.20M,80.70M,1.053B,4.228B,14.37B,0,1.238B,1.291B,10.14B,13.13B,8.853B,126.40M,296.90M,460.00M
WEC,2013-06,0,21.00M,656.70M,750.50M,0.52,0.52,441.90M,14.84B,355.60M,2013-06,317.90M,119.00M,-63.30M,-63.30M,10.70B,3.059B,4.383B,229.50M,351.90M,189.30M,70.30M,1.012B,4.226B,14.32B,2.30M,1.271B,1.281B,10.09B,13.05B,8.810B,126.10M,276.40M,501.70M
WEC,2013-03,0,24.70M,829.20M,730.20M,0.77,0.76,441.90M,14.71B,446.00M,2013-03,266.80M,176.60M,-65.00M,-65.00M,10.62B,2.978B,4.441B,321.00M,328.80M,277.00M,100.40M,1.275B,4.234B,14.30B,4.147B,1.314B,1.278B,10.06B,12.98B,8.783B,125.00M,257.10M,635.30M
WEC,2012-12,0,35.60M,744.80M,806.70M,0.43,0.43,441.90M,14.70B,326.40M,2012-12,360.70M,98.80M,-66.90M,-66.90M,10.57B,2.827B,4.454B,201.40M,469.30M,152.50M,53.70M,1.071B,4.166B,14.28B,4.081B,1.273B,1.441B,10.12B,13.01B,8.678B,125.00M,368.40M,563.40M
WEC,2012-09,0,13.00M,636.50M,834.30M,0.68,0.67,441.90M,14.41B,402.80M,2012-09,342.10M,156.10M,-60.90M,-60.90M,10.44B,2.708B,4.241B,280.60M,277.70M,245.80M,89.70M,1.039B,4.178B,13.83B,4.052B,1.085B,1.387B,9.657B,12.75B,8.270B,122.20M,277.70M,347.00M
WEC,2012-06,0,13.10M,601.60M,894.30M,0.52,0.51,441.90M,14.26B,343.10M,2012-06,335.00M,119.30M,-123.00M,-123.00M,10.34B,2.59B,4.298B,222.60M,267.50M,185.90M,66.60M,944.70M,4.112B,13.89B,2.30M,1.237B,1.428B,9.776B,12.65B,8.348B,120.50M,267.50M,297.30M
WEC,2012-03,0,18.10M,777.60M,591.10M,0.75,0.74,441.90M,14.09B,413.60M,2012-03,311.60M,172.10M,-58.90M,-58.90M,10.24B,2.532B,4.603B,295.70M,239.30M,268.40M,96.30M,1.191B,4.082B,13.82B,3.941B,1.280B,1.172B,9.739B,12.54B,8.568B,117.90M,239.30M,386.90M
