Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HUM,2020-12,391.00M,17.23B,920.00M,-2.07,-2.07,4.776B,2020-12,-274.00M,-72.00M,-72.00M,2.371B,6.06B,12.16B,-458.00M,-178.00M,19.06B,3.068B,13.73B,34.97B,33.00M,18.36B,13.08B,21.24B,29.16B,6.378B,3.235B,12.16B,1.138B
HUM,2020-09,370.00M,20.73B,1.938B,10.12,10.05,4.795B,2020-09,1.34B,-75.00M,-75.00M,2.228B,6.059B,12.88B,1.755B,450.00M,20.08B,2.513B,15.77B,38.48B,33.00M,21.86B,14.82B,22.71B,29.36B,6.346B,2.634B,12.88B,1.135B
HUM,2020-06,317.00M,20.00B,2.034B,13.83,13.75,4.817B,2020-06,1.828B,-76.00M,-76.00M,2.118B,6.058B,14.36B,2.586B,783.00M,19.08B,2.354B,14.42B,38.46B,33.00M,22.24B,16.39B,24.04B,29.05B,6.324B,2.246B,14.36B,2.238B
HUM,2020-03,48.00M,17.16B,2.067B,3.58,3.56,4.839B,2020-03,473.00M,-60.00M,-60.00M,2.023B,6.057B,12.69B,717.00M,252.00M,18.94B,2.117B,12.36B,34.63B,33.00M,19.17B,14.76B,22.28B,26.57B,6.331B,2.529B,12.69B,2.009B
HUM,2019-12,156.00M,15.03B,924.00M,3.87,3.84,4.105B,2019-12,512.00M,-58.00M,-58.00M,1.955B,4.967B,9.758B,593.00M,79.00M,16.30B,2.129B,12.04B,29.07B,33.00M,16.08B,10.68B,17.04B,23.96B,5.214B,1.955B,9.758B,1.056B
HUM,2019-09,177.00M,15.96B,972.00M,5.16,5.14,4.116B,2019-09,689.00M,-62.00M,-62.00M,1.864B,5.365B,10.07B,888.00M,200.00M,16.24B,1.889B,11.60B,29.18B,33.00M,16.80B,11.04B,17.58B,22.80B,5.639B,1.934B,10.07B,848.00M
HUM,2019-06,112.00M,14.77B,1.553B,6.96,6.94,4.133B,2019-06,940.00M,-60.00M,-60.00M,1.796B,4.377B,9.888B,1.229B,301.00M,16.24B,1.703B,11.87B,28.91B,33.00M,15.67B,11.44B,17.04B,23.23B,4.689B,1.638B,9.888B,904.00M
HUM,2019-03,-10.00M,13.75B,1.872B,4.18,4.16,4.125B,2019-03,566.00M,-62.00M,-62.00M,1.754B,4.376B,9.956B,746.00M,183.00M,16.11B,1.66B,10.84B,28.35B,33.00M,15.71B,11.83B,17.51B,22.52B,4.688B,1.806B,9.956B,1.955B
HUM,2018-12,-159.00M,12.37B,1.865B,2.6,2.58,4.142B,2018-12,355.00M,-59.00M,-59.00M,1.735B,4.375B,8.148B,436.00M,83.00M,14.17B,2.115B,10.16B,25.41B,33.00M,13.38B,10.01B,15.25B,22.06B,4.658B,2.24B,8.148B,1.015B
HUM,2018-09,-206.00M,13.84B,597.00M,4.68,4.65,4.158B,2018-09,644.00M,-53.00M,-53.00M,1.685B,4.774B,10.63B,901.00M,266.00M,14.21B,1.90B,10.59B,27.49B,33.00M,14.90B,11.23B,16.90B,22.29B,5.068B,2.017B,10.63B,1.062B
