Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HUM,2018-06,-176.00M,17.52B,472.00M,1.4,1.39,4.179B,2018-06,193.00M,-53.00M,-53.00M,1.626B,4.773B,12.17B,19.00M,-174.00M,14.26B,1.761B,10.21B,34.27B,33.00M,18.99B,12.64B,24.06B,21.28B,8.403B,1.071B,12.17B,1.471B
HUM,2018-03,-154.00M,18.60B,522.00M,3.56,3.53,4.036B,2018-03,491.00M,-53.00M,-53.00M,1.595B,4.772B,14.07B,707.00M,216.00M,14.28B,1.749B,10.08B,33.45B,33.00M,19.87B,14.59B,23.37B,23.32B,8.478B,1.849B,14.07B,1.276B
HUM,2017-12,19.00M,13.60B,291.00M,1.3,1.29,3.507B,2017-12,184.00M,-76.00M,-76.00M,1.584B,4.77B,11.66B,490.00M,306.00M,13.19B,1.873B,9.842B,27.18B,33.00M,14.45B,11.95B,17.34B,22.28B,5.148B,1.962B,11.66B,854.00M
HUM,2017-09,12.00M,18.49B,1.124B,3.46,3.44,3.508B,2017-09,499.00M,-59.00M,-59.00M,1.56B,3.977B,12.74B,799.00M,300.00M,13.28B,1.688B,11.21B,32.96B,33.00M,19.41B,13.86B,21.74B,22.17B,7.424B,1.782B,12.74B,922.00M
HUM,2017-06,-5.00M,16.25B,818.00M,4.49,4.46,3.525B,2017-06,650.00M,-58.00M,-58.00M,1.543B,4.279B,12.43B,1.042B,392.00M,13.53B,1.453B,10.95B,32.25B,33.00M,18.68B,13.25B,21.30B,21.68B,7.635B,1.545B,12.43B,2.43B
HUM,2017-03,-58.00M,16.63B,648.00M,7.54,7.49,3.541B,2017-03,1.115B,-49.00M,-49.00M,1.525B,4.78B,12.26B,1.689B,574.00M,13.76B,1.553B,10.23B,31.71B,33.00M,18.47B,12.91B,21.48B,21.45B,8.20B,2.592B,12.26B,1.838B
HUM,2016-12,-66.00M,11.47B,512.00M,-2.68,-2.68,3.552B,2016-12,-401.00M,-48.00M,-48.00M,1.505B,3.792B,9.864B,-486.00M,-85.00M,12.88B,2.001B,10.68B,25.40B,33.00M,12.75B,10.38B,14.71B,20.24B,4.072B,2.069B,9.864B,1.28B
HUM,2016-09,112.00M,14.10B,483.00M,3.01,2.98,3.57B,2016-09,450.00M,-47.00M,-47.00M,1.478B,3.792B,10.28B,902.00M,452.00M,13.69B,1.739B,11.28B,29.47B,33.00M,14.86B,10.76B,18.18B,21.93B,7.143B,1.805B,10.28B,765.00M
HUM,2016-06,134.00M,9.846B,492.00M,2.08,2.06,3.582B,2016-06,311.00M,-47.00M,-47.00M,1.452B,3.793B,11.42B,636.00M,325.00M,14.01B,1.699B,10.87B,27.24B,33.00M,12.40B,11.91B,16.36B,22.25B,4.104B,1.761B,11.42B,2.553B
HUM,2016-03,76.00M,10.54B,557.00M,1.7,1.68,3.601B,2016-03,254.00M,-47.00M,-47.00M,1.42B,3.793B,11.42B,500.00M,246.00M,13.80B,1.734B,10.52B,26.93B,33.00M,12.28B,11.98B,16.41B,22.40B,4.153B,1.788B,11.42B,1.737B
HUM,2015-12,58.00M,9.838B,600.00M,0.68,0.67,3.622B,2015-12,101.00M,-46.00M,-46.00M,1.384B,3.794B,9.339B,246.00M,145.00M,13.36B,1.845B,10.35B,24.68B,33.00M,11.00B,9.939B,14.33B,20.95B,4.158B,1.913B,9.339B,1.161B
HUM,2015-09,137.00M,9.02B,307.00M,2.11,2.09,3.645B,2015-09,314.00M,-47.00M,-47.00M,1.343B,3.822B,9.292B,648.00M,334.00M,13.36B,1.688B,10.35B,24.30B,33.00M,10.01B,9.599B,13.94B,21.71B,4.119B,1.772B,9.292B,986.00M
HUM,2015-06,153.00M,9.291B,609.00M,2.88,2.85,3.667B,2015-06,431.00M,-47.00M,-47.00M,1.299B,3.823B,10.22B,793.00M,362.00M,13.73B,1.817B,10.08B,25.38B,33.00M,11.42B,10.83B,15.30B,21.00B,4.114B,2.174B,10.22B,2.129B
HUM,2015-03,227.00M,9.546B,288.00M,2.86,2.82,3.65B,2015-03,430.00M,-46.00M,-46.00M,1.258B,3.824B,10.62B,744.00M,314.00M,13.83B,1.945B,10.04B,25.62B,33.00M,11.24B,10.90B,15.58B,21.04B,4.202B,2.038B,10.62B,1.69B
HUM,2014-12,223.00M,9.533B,334.00M,0.96,0.94,3.671B,2014-12,145.00M,-84.00M,-84.00M,1.228B,3.825B,8.919B,287.00M,142.00M,12.33B,2.121B,9.646B,23.53B,33.00M,10.59B,9.253B,13.88B,19.60B,4.186B,2.208B,8.919B,1.053B
HUM,2014-09,233.00M,10.79B,779.00M,1.87,1.85,4.302B,2014-09,290.00M,-38.00M,-38.00M,1.349B,3.826B,9.043B,551.00M,261.00M,12.24B,1.898B,10.12B,24.33B,33.00M,11.80B,9.822B,14.21B,20.62B,4.072B,1.983B,9.043B,1.004B
HUM,2014-06,260.00M,9.158B,294.00M,2.22,2.19,4.325B,2014-06,344.00M,-35.00M,-35.00M,1.289B,2.595B,9.623B,646.00M,302.00M,12.22B,1.835B,10.00B,23.12B,33.00M,11.23B,9.917B,13.12B,19.45B,2.844B,1.914B,9.623B,2.074B
HUM,2014-03,226.00M,9.91B,267.00M,2.37,2.35,4.356B,2014-03,368.00M,-35.00M,-35.00M,1.244B,2.598B,9.383B,686.00M,318.00M,11.71B,1.785B,9.725B,22.57B,33.00M,11.37B,9.65B,12.84B,19.44B,2.861B,1.867B,9.383B,1.46B
HUM,2013-12,158.00M,9.228B,403.00M,-0.19,-0.19,4.426B,2013-12,-30.00M,-35.00M,-35.00M,1.218B,2.60B,7.921B,-49.00M,-19.00M,10.19B,1.908B,9.316B,20.74B,33.00M,10.18B,8.324B,11.42B,18.65B,2.806B,1.998B,7.921B,950.00M
HUM,2013-09,196.00M,9.517B,273.00M,2.34,2.31,4.44B,2013-09,368.00M,-35.00M,-35.00M,1.18B,2.603B,7.907B,586.00M,218.00M,10.32B,1.54B,9.606B,20.90B,32.00M,10.34B,8.18B,11.30B,18.82B,2.801B,1.623B,7.907B,824.00M
HUM,2013-06,209.00M,9.075B,246.00M,2.66,2.63,4.313B,2013-06,420.00M,-35.00M,-35.00M,1.133B,2.606B,8.141B,654.00M,234.00M,10.32B,1.461B,9.335B,20.85B,32.00M,10.67B,8.387B,11.51B,17.74B,2.799B,1.541B,8.141B,1.593B
HUM,2013-03,328.00M,9.539B,290.00M,2.97,2.95,4.344B,2013-03,473.00M,-35.00M,-35.00M,1.119B,2.608B,8.335B,730.00M,257.00M,10.49B,1.446B,9.164B,20.97B,32.00M,10.86B,8.625B,11.81B,18.26B,2.851B,1.526B,8.335B,1.321B
HUM,2012-12,386.00M,9.307B,324.00M,1.21,1.19,4.371B,2012-12,192.00M,-27.00M,-27.00M,1.098B,2.611B,7.679B,282.00M,90.00M,9.557B,1.655B,8.847B,19.98B,32.00M,10.04B,8.003B,11.13B,17.94B,2.841B,1.732B,7.679B,733.00M
HUM,2012-09,397.00M,9.421B,277.00M,2.65,2.62,2.962B,2012-09,426.00M,-26.00M,-26.00M,1.034B,1.616B,5.92B,675.00M,249.00M,9.651B,1.408B,8.691B,18.80B,32.00M,10.06B,6.197B,10.11B,14.96B,1.788B,1.483B,5.92B,642.00M
HUM,2012-06,327.00M,11.75B,260.00M,2.19,2.16,2.792B,2012-06,356.00M,-26.00M,-26.00M,976.00M,1.618B,6.075B,564.00M,208.00M,9.699B,1.384B,8.455B,20.86B,32.00M,12.65B,6.335B,12.40B,22.19B,3.959B,1.457B,6.075B,898.00M
HUM,2012-03,313.00M,11.54B,294.00M,1.51,1.49,2.785B,2012-03,248.00M,-26.00M,-26.00M,939.00M,1.621B,6.231B,390.00M,142.00M,10.22B,1.383B,8.234B,20.70B,32.00M,12.88B,6.525B,12.47B,14.01B,3.919B,1.453B,6.231B,1.33B
HUM,2011-12,303.00M,9.12B,306.00M,1.22,1.2,3.175B,2011-12,199.00M,-27.00M,-27.00M,912.00M,1.659B,7.20B,313.00M,114.00M,9.056B,1.585B,8.063B,17.71B,32.00M,10.15B,7.506B,9.645B,15.30B,1.872B,1.654B,7.20B,1.034B
HUM,2011-09,279.84M,11.88B,298.59M,2.71,2.67,2.580B,2011-09,445.00M,-27.00M,-27.00M,850.89M,1.662B,6.201B,699.00M,254.00M,9.301B,1.361B,7.858B,19.90B,32.13M,12.92B,6.500B,12.04B,13.14B,3.678B,1.428B,6.201B,1.036B
HUM,2011-06,189.03M,9.178B,217.29M,2.76,2.71,2.578B,2011-06,460.00M,-28.00M,-28.00M,822.61M,1.664B,5.898B,726.00M,266.00M,9.284B,1.193B,7.587B,17.59B,32.12M,10.72B,6.115B,10.01B,12.86B,1.904B,1.261B,5.898B,1.546B
HUM,2011-03,108.81M,9.177B,252.07M,1.88,1.86,2.576B,2011-03,315.00M,-27.00M,-27.00M,819.73M,1.666B,5.857B,497.00M,182.00M,9.191B,1.256B,7.227B,17.16B,31.94M,10.40B,6.109B,9.933B,12.59B,1.922B,1.322B,5.857B,1.219B
