Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
OKE,2020-12,-551.45M,524.50M,1.780B,21.26M,0.71,0.71,773.72M,23.07B,790.84M,2020-12,370.99M,308.03M,-176.93M,-176.93M,19.15B,1.376B,14.32B,541.07M,1.054B,403.24M,95.21M,2.571B,6.042B,23.08B,4.749M,1.870B,1.345B,17.04B,21.21B,15.69B,249.77M,808.73M,829.80M
OKE,2020-09,-530.62M,447.13M,1.419B,21.30M,0.7,0.7,776.33M,22.80B,755.34M,2020-09,459.53M,312.32M,-176.37M,-176.37M,19.03B,1.200B,14.34B,550.42M,868.77M,418.87M,106.56M,2.174B,6.146B,22.78B,4.749M,1.721B,1.094B,16.63B,21.06B,15.54B,204.93M,728.26M,717.85M
OKE,2020-06,-524.90M,945.73M,1.081B,21.21M,0.32,0.32,778.94M,22.62B,579.86M,2020-06,515.26M,134.32M,-218.97M,-218.97M,18.98B,1.109B,14.37B,355.39M,1.051B,177.46M,43.14M,1.661B,6.241B,22.99B,4.749M,2.180B,1.273B,16.75B,20.81B,15.48B,224.46M,833.23M,608.92M
OKE,2020-03,-499.39M,531.63M,1.409B,21.08M,-0.34,-0.34,781.54M,22.14B,727.39M,2020-03,386.11M,-141.86M,-140.62M,-140.62M,18.63B,1.074B,14.24B,520.35M,925.26M,-197.25M,-55.40M,2.137B,5.561B,21.97B,4.45M,1.488B,1.091B,16.41B,20.48B,15.32B,207.04M,803.43M,497.56M
OKE,2019-12,-374.00M,20.96M,1.917B,229.53M,0.77,0.76,957.83M,22.05B,746.28M,2019-12,506.68M,320.25M,-129.28M,-129.28M,18.35B,1.073B,12.49B,487.01M,1.476B,418.43M,98.18M,2.664B,6.226B,21.81B,4.45M,1.470B,2.020B,15.59B,20.34B,13.57B,259.28M,1.285B,835.12M
OKE,2019-09,-421.10M,673.31M,1.536B,9.551M,0.75,0.74,960.81M,20.95B,727.27M,2019-09,476.48M,309.16M,-129.58M,-129.58M,17.36B,1.046B,12.50B,482.14M,1.331B,406.52M,97.36M,2.263B,6.219B,21.34B,4.45M,1.968B,1.567B,15.12B,19.37B,13.55B,245.14M,1.209B,718.71M
OKE,2019-06,-336.40M,273.40M,1.741B,309.50M,0.75,0.75,963.78M,19.81B,716.82M,2019-06,362.47M,311.96M,-117.49M,-117.49M,16.34B,886.70M,10.78B,479.10M,1.074B,410.90M,98.94M,2.458B,6.348B,19.75B,4.45M,1.401B,1.737B,13.40B,18.35B,11.67B,237.71M,907.38M,669.29M
OKE,2019-03,-269.52M,27.81M,2.071B,309.46M,0.82,0.81,964.17M,18.89B,709.42M,2019-03,406.95M,337.21M,-115.42M,-115.42M,15.52B,772.53M,10.03B,468.68M,1.141B,415.14M,77.93M,2.780B,6.442B,18.93B,4.45M,1.343B,1.690B,12.49B,17.59B,10.80B,240.74M,1.027B,812.87M
OKE,2018-12,-188.24M,11.98M,2.429B,509.42M,0.71,0.71,967.14M,18.03B,707.95M,2018-12,437.84M,292.89M,-118.49M,-118.49M,14.77B,644.11M,8.900B,471.61M,1.278B,389.51M,96.62M,3.137B,6.580B,18.23B,4.45M,1.399B,2.108B,11.65B,16.83B,9.544B,236.34M,1.116B,818.96M
OKE,2018-09,-158.14M,84.46M,2.668B,627.65M,0.76,0.75,970.12M,17.12B,725.74M,2018-09,554.87M,313.26M,-121.91M,-121.91M,13.96B,482.64M,8.326B,495.37M,1.451B,416.90M,102.98M,3.394B,6.653B,17.91B,4.45M,1.808B,2.450B,11.26B,16.10B,8.808B,230.37M,1.340B,1.085B
