Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ESS,2018-06,-11.44M,368.09M,101.93M,2.67M,1.52,1.52,0,246.80M,2018-06,100.44M,-49.38M,-49.38M,0,0,5.688B,116.34M,320.12M,106.41M,0.131M,348.72M,11.12M,6.354B,12.56B,0.007M,509.49M,322.79M,6.081B,12.05B,5.758B,130.46M,320.12M,68.39M
ESS,2018-03,-14.71M,319.70M,102.73M,179.00M,1.38,1.38,0,244.52M,2018-03,90.92M,-48.95M,-48.95M,0,0,5.719B,110.60M,356.90M,96.64M,0,347.26M,14.81M,6.369B,12.64B,0.007M,467.40M,356.90M,6.151B,12.18B,5.794B,133.92M,356.90M,70.52M
ESS,2017-12,-18.45M,234.62M,103.63M,2.609M,1.57,1.57,0,241.44M,2017-12,103.61M,-48.87M,-48.87M,0,0,5.510B,112.79M,300.69M,109.66M,0,345.06M,10.66M,6.277B,12.50B,0.007M,391.21M,479.69M,6.099B,12.10B,5.619B,128.65M,300.69M,100.93M
ESS,2017-09,-24.63M,231.08M,104.14M,0,1.21,1.21,0,240.23M,2017-09,79.72M,-50.15M,-50.15M,0,0,5.613B,112.99M,403.38M,85.04M,4.279M,344.37M,9.788M,6.266B,12.51B,0.006M,420.86M,405.99M,6.129B,12.09B,5.723B,127.24M,403.38M,121.56M
ESS,2017-06,-28.34M,335.88M,98.26M,176.23M,1.08,1.08,0,240.80M,2017-06,70.76M,-51.45M,-51.45M,0,0,5.663B,112.52M,308.44M,75.80M,0,339.06M,10.34M,6.317B,12.52B,0.006M,459.53M,308.44M,6.087B,12.07B,5.778B,128.28M,308.44M,54.66M
ESS,2017-03,-29.96M,223.32M,99.51M,125.00M,2.73,2.72,0,235.89M,2017-03,178.96M,-47.82M,-47.82M,0,0,5.426B,109.79M,340.94M,187.55M,0,335.40M,10.60M,6.264B,12.45B,0.006M,343.80M,517.17M,6.058B,12.10B,5.541B,126.10M,340.94M,50.86M
ESS,2016-12,-32.10M,204.11M,99.00M,0,2.98,2.98,0,230.04M,2016-12,195.57M,-47.18M,-47.18M,0,0,5.438B,105.98M,284.30M,204.65M,0,329.04M,12.22M,6.192B,12.22B,0.006M,500.87M,409.30M,5.925B,11.72B,5.516B,124.06M,284.30M,40.97M
ESS,2016-09,-40.10M,348.87M,99.36M,0,1,1,0,229.81M,2016-09,65.56M,-51.75M,-51.75M,0,0,5.585B,109.70M,330.33M,70.16M,0,329.17M,9.647M,6.089B,12.18B,0.006M,439.40M,330.33M,5.993B,11.74B,5.663B,120.11M,330.33M,22.94M
ESS,2016-06,-43.01M,334.78M,96.08M,164.28M,1.1,1.1,0,225.51M,2016-06,72.01M,-46.16M,-46.16M,0,0,5.618B,106.14M,293.85M,76.82M,0,321.59M,9.698M,6.118B,12.21B,0.006M,435.19M,293.85M,5.992B,11.77B,5.698B,119.37M,293.85M,20.45M
ESS,2016-03,-44.15M,186.76M,94.49M,0,1.19,1.19,0,219.71M,2016-03,81.84M,-47.26M,-47.26M,0,0,5.189B,100.82M,318.68M,91.19M,0,314.20M,9.182M,6.142B,12.07B,0.006M,277.21M,482.96M,5.826B,11.79B,5.343B,118.89M,318.68M,18.20M
ESS,2015-12,-42.01M,167.17M,92.14M,15.00M,1.22,1.22,0,218.60M,2015-12,80.94M,-52.10M,-52.10M,0,0,5.304B,93.26M,272.63M,85.76M,0,310.75M,8.867M,6.238B,12.01B,73.76M,348.43M,287.63M,5.671B,11.66B,5.384B,125.34M,272.63M,19.28M
ESS,2015-09,-50.36M,168.73M,94.12M,2.011M,0.65,0.65,0,210.51M,2015-09,43.64M,-42.69M,-42.69M,0,0,5.315B,83.07M,304.16M,47.18M,0,304.63M,11.13M,6.221B,12.01B,73.76M,274.88M,306.17M,5.681B,11.74B,5.375B,127.44M,304.16M,22.67M
ESS,2015-06,-50.15M,151.49M,90.08M,28.76M,0.7,0.7,0,206.08M,2015-06,46.87M,-47.55M,-47.55M,0,0,5.341B,82.80M,272.53M,50.54M,0,296.16M,9.549M,6.234B,12.05B,73.76M,243.08M,301.30M,5.700B,11.80B,5.399B,123.28M,272.53M,25.68M
ESS,2015-03,-50.87M,347.70M,87.17M,0,0.92,0.92,0,195.70M,2015-03,60.68M,-43.35M,-43.35M,0,0,5.436B,78.25M,289.73M,64.75M,0,282.87M,10.54M,6.187B,12.09B,73.76M,471.47M,289.73M,5.784B,11.61B,5.495B,117.45M,289.73M,28.95M
ESS,2014-12,-51.45M,142.85M,88.62M,242.82M,0.63,0.63,0,190.65M,2014-12,41.49M,-44.40M,-44.40M,0,0,4.838B,71.69M,254.28M,44.80M,0,279.27M,12.26M,6.023B,11.53B,73.76M,327.59M,497.10M,5.391B,11.20B,4.894B,118.96M,254.28M,24.92M
ESS,2014-09,-51.41M,126.02M,88.06M,222.63M,0.85,0.85,0,182.81M,2014-09,54.86M,-42.84M,-42.84M,0,0,5.003B,69.05M,293.22M,58.58M,0,270.87M,11.48M,5.983B,11.67B,73.76M,357.95M,515.85M,5.573B,11.31B,5.057B,113.76M,293.22M,22.97M
ESS,2014-06,-53.79M,124.30M,83.56M,66.98M,0.02,0.02,0,176.23M,2014-06,2.521M,-39.34M,-39.34M,0,0,4.999B,65.38M,253.74M,4.646M,0,259.79M,9.558M,5.858B,11.35B,73.76M,360.04M,320.72M,5.376B,10.99B,5.055B,110.85M,253.74M,66.52M
ESS,2014-03,-56.40M,120.27M,52.31M,135.90M,0.58,0.58,0,108.70M,2014-03,23.28M,-26.16M,-26.16M,0,0,2.818B,50.81M,92.60M,26.41M,0,161.01M,7.583M,2.028B,6.633B,78.10M,268.34M,228.50M,3.071B,6.365B,2.843B,57.90M,92.60M,36.10M
ESS,2013-12,-60.47M,108.58M,52.39M,219.42M,0.85,0.85,0,106.37M,2013-12,33.24M,-27.56M,-27.56M,0,0,2.814B,49.80M,125.86M,20.02M,0,158.76M,6.832M,1.889B,5.187B,78.10M,265.89M,345.28M,3.184B,4.921B,2.839B,56.56M,125.86M,68.26M
ESS,2013-09,-62.59M,99.41M,50.32M,15.35M,1.84,1.84,0,103.63M,2013-09,70.16M,-26.80M,-26.80M,0,0,2.905B,49.14M,141.27M,62.72M,0,153.95M,6.263M,1.885B,5.086B,78.10M,284.90M,156.62M,3.088B,4.801B,2.931B,54.49M,141.27M,67.63M
ESS,2013-06,-62.81M,108.95M,48.30M,4.37M,0.67,0.67,4.818B,102.52M,2013-06,26.31M,-27.41M,-27.41M,3.780B,0,2.921B,48.26M,134.63M,28.98M,0,150.82M,6.589M,1.863B,5.059B,78.10M,295.56M,139.00M,3.085B,4.763B,2.946B,54.26M,134.63M,110.54M
ESS,2013-03,-68.28M,111.28M,48.03M,102.30M,0.68,0.68,4.660B,99.98M,2013-03,26.57M,-20.19M,-20.19M,3.665B,0,2.671B,44.02M,145.62M,29.16M,0,148.00M,6.239M,1.875B,4.936B,78.10M,196.54M,247.92M,2.948B,4.740B,2.700B,55.96M,145.62M,11.36M
ESS,2012-12,-69.26M,111.32M,40.12M,141.00M,1.22,1.22,4.389B,98.08M,2012-12,45.16M,-34.54M,-34.54M,3.435B,0,2.678B,54.59M,115.30M,48.23M,0,138.20M,8.133M,1.769B,4.847B,78.10M,256.87M,256.30M,2.963B,4.590B,2.706B,43.49M,115.30M,66.16M
ESS,2012-09,-76.45M,143.52M,46.72M,150.00M,0.46,0.45,4.313B,90.88M,2012-09,17.59M,-22.06M,-22.06M,3.430B,0,2.596B,39.78M,125.47M,20.05M,0,137.59M,5.276M,1.666B,4.535B,73.75M,276.68M,125.47M,2.754B,4.258B,2.628B,51.10M,125.47M,50.32M
ESS,2012-06,-72.92M,118.30M,44.03M,0,1.07,1.07,4.274B,88.53M,2012-06,38.45M,-19.20M,-19.20M,3.429B,0,2.488B,38.09M,109.92M,42.49M,0,132.56M,5.764M,1.593B,4.339B,73.75M,238.28M,109.92M,2.629B,4.101B,2.519B,50.45M,109.92M,50.90M
ESS,2012-03,-70.56M,93.74M,41.80M,0,0.67,0.67,4.365B,86.11M,2012-03,24.09M,-22.24M,-22.24M,3.450B,0,2.343B,37.11M,107.52M,17.20M,0,127.92M,5.40M,1.458B,4.051B,73.75M,215.20M,107.52M,2.478B,3.836B,2.370B,49.00M,107.52M,48.05M
ESS,2011-12,-72.77M,87.16M,43.08M,0,0.42,0.42,0,76.44M,2011-12,15.30M,-20.30M,-20.30M,0,0,2.211B,24.84M,94.44M,12.58M,0,119.52M,1.907M,1.442B,4.037B,78.10M,216.23M,244.44M,2.479B,3.821B,2.234B,51.60M,94.44M,66.37M
ESS,2011-09,-75.24M,84.64M,40.85M,0,0.23,0.23,0,78.32M,2011-09,9.054M,-19.36M,-19.36M,0,0,2.260B,34.30M,112.61M,11.76M,0,119.17M,6.13M,1.388B,3.905B,73.75M,199.96M,112.61M,2.399B,3.705B,2.286B,44.01M,112.61M,51.60M
ESS,2011-06,-74.92M,84.48M,39.77M,0,0.32,0.32,0,76.56M,2011-06,13.75M,-20.08M,-20.08M,0,0,2.254B,32.85M,98.62M,10.50M,0,116.33M,6.458M,1.327B,3.826B,73.75M,199.71M,98.62M,2.379B,3.626B,2.280B,43.71M,98.62M,49.96M
ESS,2011-03,-77.78M,172.46M,38.42M,0,0.27,0.27,0,74.01M,2011-03,8.961M,-14.82M,-14.82M,0,0,2.370B,31.15M,101.61M,12.10M,0,112.43M,6.199M,1.164B,3.867B,25.00M,283.20M,101.61M,2.499B,3.583B,2.398B,42.86M,101.61M,49.08M
