Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ESS,2020-12,-14.73M,221.40M,119.28M,0,1.47,1.47,72.14M,242.80M,2020-12,95.74M,-27.31M,-27.31M,72.14M,0,6.326B,89.53M,326.19M,101.54M,-0.105M,362.07M,23.14M,6.000B,12.94B,0.006M,532.19M,356.03M,6.753B,12.40B,6.397B,153.27M,326.19M,195.10M
ESS,2020-09,-16.80M,693.42M,121.01M,0,1.13,1.13,72.91M,249.80M,2020-09,73.66M,-48.92M,-48.92M,72.91M,0,6.685B,106.28M,378.18M,78.84M,0,370.81M,13.31M,6.083B,13.40B,0.007M,859.04M,378.18M,7.134B,12.54B,6.755B,143.51M,378.18M,75.43M
ESS,2020-06,-18.71M,400.64M,118.78M,0,1.29,1.29,73.67M,251.72M,2020-06,84.46M,-43.04M,-43.04M,73.67M,0,6.395B,103.15M,355.78M,91.71M,1.636M,370.50M,14.95M,6.166B,13.18B,0.007M,533.04M,355.78M,6.825B,12.64B,6.469B,148.56M,355.78M,44.75M
ESS,2020-03,-22.67M,420.02M,115.90M,350.00M,4.77,4.76,74.43M,276.46M,2020-03,315.01M,-60.37M,-60.37M,74.43M,0,6.222B,130.92M,386.90M,328.76M,0,392.37M,13.98M,6.228B,13.45B,0.007M,515.29M,736.90M,7.033B,12.94B,6.296B,145.54M,386.90M,34.87M
ESS,2019-12,-13.89M,214.28M,109.74M,55.00M,1.95,1.95,74.74M,265.62M,2019-12,128.82M,-37.68M,-37.68M,74.74M,0,5.831B,127.19M,342.31M,135.18M,1.457M,375.36M,15.53M,6.220B,12.71B,0.007M,400.59M,397.31M,6.302B,12.30B,5.905B,138.44M,342.31M,134.36M
ESS,2019-09,-19.03M,290.92M,110.73M,220.00M,1.51,1.51,75.48M,256.21M,2019-09,99.34M,-46.21M,-46.21M,75.48M,0,5.906B,124.05M,382.05M,107.16M,0,366.93M,11.34M,6.225B,13.00B,0.007M,566.70M,602.05M,6.583B,12.43B,5.981B,132.15M,382.05M,216.54M
ESS,2019-06,-18.99M,253.60M,103.66M,117.00M,1.4,1.4,76.20M,257.98M,2019-06,92.28M,-45.76M,-45.76M,76.20M,0,5.802B,124.58M,334.35M,98.06M,0,361.64M,13.93M,6.155B,12.67B,0.007M,390.35M,451.35M,6.326B,12.28B,5.875B,133.39M,334.35M,74.42M
ESS,2019-03,-14.82M,318.06M,106.47M,0,1.81,1.81,77.00M,249.75M,2019-03,118.86M,-41.38M,-41.38M,77.00M,0,5.815B,115.73M,375.00M,125.50M,0,356.22M,13.46M,6.191B,12.58B,0.007M,453.19M,375.00M,6.261B,12.12B,5.886B,134.03M,375.00M,71.15M
ESS,2018-12,-13.22M,344.01M,106.20M,0,1.78,1.78,0,246.96M,2018-12,117.82M,-52.39M,-52.39M,0,0,5.606B,109.45M,314.96M,124.44M,0,353.16M,16.91M,6.267B,12.38B,0.007M,472.27M,314.96M,5.990B,11.91B,5.675B,137.51M,314.96M,71.90M
ESS,2018-09,-8.548M,367.88M,105.54M,0,1.23,1.22,0,245.38M,2018-09,80.98M,-46.76M,-46.76M,0,0,5.634B,113.93M,378.16M,86.11M,0,350.92M,10.60M,6.317B,12.52B,0.007M,505.31M,378.16M,6.082B,12.01B,5.704B,131.45M,378.16M,69.17M
