Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ED,2020-12,-25.00M,1.272B,1.301B,3.933B,311.00M,0.13,0.13,1.906B,59.10B,1.659B,2020-12,356.00M,43.00M,-222.00M,-222.00M,47.39B,6.709B,21.15B,507.00M,1.882B,-44.00M,-93.00M,2.96B,18.85B,62.90B,36.00M,5.301B,7.354B,43.83B,57.59B,36.48B,1.152B,1.625B,2.741B
ED,2020-09,-12.00M,153.00M,1.318B,3.884B,319.00M,1.47,1.47,1.931B,57.91B,2.015B,2020-09,353.00M,493.00M,-226.00M,-226.00M,46.41B,6.744B,20.01B,860.00M,1.733B,621.00M,119.00M,3.333B,18.49B,59.60B,35.00M,4.204B,7.16B,40.88B,55.39B,33.72B,1.155B,1.368B,2.386B
ED,2020-06,-14.00M,1.144B,1.16B,3.861B,332.00M,0.57,0.57,1.956B,57.00B,1.559B,2020-06,336.00M,190.00M,-247.00M,-247.00M,45.75B,6.583B,19.96B,479.00M,1.34B,211.00M,9.00M,2.719B,18.22B,59.08B,35.00M,4.564B,6.705B,40.64B,54.52B,33.94B,1.08B,1.071B,2.245B
ED,2020-03,-14.00M,1.395B,1.318B,3.378B,344.00M,1.13,1.12,1.978B,56.24B,1.916B,2020-03,326.00M,375.00M,-322.00M,-322.00M,45.28B,6.618B,20.22B,808.00M,1.40B,447.00M,55.00M,3.234B,18.26B,59.16B,35.00M,5.026B,6.311B,40.69B,54.13B,34.38B,1.108B,1.046B,2.078B
ED,2019-12,-19.00M,981.00M,1.349B,3.203B,346.00M,0.89,0.88,2.003B,55.46B,1.602B,2019-12,352.00M,295.00M,-219.00M,-219.00M,44.75B,6.506B,19.34B,565.00M,1.495B,366.00M,53.00M,2.951B,18.02B,58.08B,35.00M,4.272B,6.287B,39.87B,53.81B,33.58B,1.037B,1.24B,2.115B
ED,2019-09,-10.00M,78.00M,1.459B,3.273B,348.00M,1.42,1.42,2.026B,54.75B,1.906B,2019-09,358.00M,473.00M,-262.00M,-262.00M,44.07B,6.418B,18.36B,867.00M,1.456B,619.00M,116.00M,3.365B,17.96B,55.94B,35.00M,3.581B,6.219B,37.81B,52.36B,31.59B,1.039B,1.117B,2.029B
ED,2019-06,-11.00M,831.00M,1.29B,3.188B,350.00M,0.46,0.46,2.045B,54.06B,1.454B,2019-06,344.00M,152.00M,-263.00M,-263.00M,43.59B,6.256B,18.32B,458.00M,1.306B,198.00M,19.00M,2.744B,17.71B,55.60B,35.00M,3.707B,5.969B,37.74B,51.90B,31.77B,996.00M,1.041B,1.954B
ED,2019-03,-12.00M,406.00M,1.71B,3.514B,351.00M,1.31,1.31,2.07B,53.25B,1.804B,2019-03,327.00M,424.00M,-247.00M,-247.00M,43.00B,6.226B,17.76B,786.00M,1.388B,553.00M,108.00M,3.514B,17.37B,55.07B,34.00M,3.781B,6.348B,37.56B,51.28B,31.22B,1.018B,1.053B,2.125B
ED,2018-12,-16.00M,895.00M,1.487B,3.216B,351.00M,1.06,1.05,2.094B,51.79B,1.462B,2018-12,358.00M,331.00M,-222.00M,-222.00M,41.75B,6.119B,17.50B,526.00M,1.486B,402.00M,71.00M,2.949B,16.73B,53.92B,34.00M,3.864B,6.207B,37.08B,50.06B,30.87B,936.00M,1.248B,2.115B
ED,2018-09,-18.00M,199.00M,1.545B,2.48B,351.00M,1.4,1.39,571.00M,49.21B,1.783B,2018-09,338.00M,435.00M,-205.00M,-205.00M,39.38B,6.126B,15.48B,826.00M,1.54B,610.00M,175.00M,3.328B,15.89B,49.54B,34.00M,3.356B,5.401B,33.65B,46.19B,28.24B,957.00M,1.221B,1.992B
ED,2018-06,-20.00M,866.00M,1.128B,2.684B,349.00M,0.6,0.6,555.00M,48.38B,1.21B,2018-06,318.00M,149.00M,-167.00M,-167.00M,38.77B,5.983B,15.22B,382.00M,1.422B,180.00M,31.00M,2.338B,15.65B,49.06B,34.00M,3.436B,5.456B,33.41B,45.63B,27.95B,828.00M,1.175B,1.77B
ED,2018-03,-22.00M,651.00M,1.691B,2.68B,347.00M,1.38,1.37,557.00M,47.52B,1.673B,2018-03,301.00M,428.00M,-195.00M,-195.00M,38.08B,5.846B,14.73B,755.00M,1.60B,545.00M,117.00M,3.364B,15.65B,48.90B,34.00M,3.773B,5.651B,33.24B,45.13B,27.59B,918.00M,1.283B,1.98B
