Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PTC,2014-09,-94.37M,293.65M,95.85M,15.62M,370.12M,0.33,0.33,1.349B,0,270.85M,2014-09,0,38.76M,1.662M,1.662M,67.78M,49.87M,586.88M,62.93M,86.67M,32.37M,-6.387M,60.39M,366.71M,139.18M,853.89M,2.200B,1.15M,732.17M,626.67M,1.346B,1.468B,719.40M,207.92M,29.13M,235.69M
PTC,2014-06,-48.18M,304.17M,91.08M,12.50M,364.68M,0.32,0.32,1.139B,0,245.56M,2014-06,0,38.03M,-2.30M,-2.30M,63.58M,50.91M,299.38M,54.90M,78.55M,52.11M,14.08M,57.40M,336.63M,125.26M,972.47M,1.958B,1.173M,711.23M,548.35M,985.74M,1.247B,437.39M,190.66M,78.55M,228.62M
PTC,2014-03,-51.17M,270.47M,93.80M,15.00M,359.79M,0.37,0.36,1.149B,0,234.90M,2014-03,0,43.76M,-2.70M,-2.70M,60.63M,51.37M,305.62M,51.21M,73.92M,48.52M,4.765M,55.63M,328.70M,120.07M,982.42M,1.959B,1.186M,703.44M,525.82M,976.70M,1.256B,450.89M,183.69M,73.92M,221.29M
PTC,2013-12,-49.20M,371.38M,92.96M,15.00M,293.61M,0.33,0.33,1.029B,0,231.97M,2013-12,0,39.66M,-1.80M,-1.80M,63.15M,48.43M,353.12M,55.94M,71.37M,53.12M,13.46M,53.07M,324.92M,115.17M,968.65M,1.905B,1.195M,769.10M,455.94M,936.09M,1.136B,480.16M,176.03M,71.37M,212.57M
PTC,2013-09,-51.16M,241.91M,91.53M,0,327.80M,0.47,0.47,1.042B,0,253.32M,2013-09,0,56.47M,-3.614M,-3.614M,64.65M,52.05M,243.12M,66.85M,73.08M,48.41M,-8.059M,55.13M,344.84M,124.64M,926.48M,1.829B,1.185M,680.22M,528.61M,902.43M,1.149B,373.81M,186.46M,23.28M,229.11M
PTC,2013-06,-74.84M,257.03M,91.17M,9.375M,321.03M,0.29,0.29,1.014B,291.83M,223.83M,2013-06,0,34.46M,3.20M,3.20M,61.48M,50.86M,258.75M,46.35M,76.27M,46.40M,11.94M,53.83M,315.00M,117.11M,850.70M,1.757B,1.19M,639.95M,494.03M,906.07M,1.117B,412.04M,177.48M,76.27M,200.88M
PTC,2013-03,-73.66M,240.81M,93.27M,7.50M,341.25M,0.14,0.14,1.027B,276.42M,220.68M,2013-03,0,17.04M,-1.90M,-1.90M,62.73M,54.99M,300.62M,37.05M,69.14M,19.38M,2.34M,55.53M,313.95M,121.46M,827.80M,1.785B,1.196M,645.24M,499.07M,957.02M,1.140B,457.95M,183.62M,69.14M,213.25M
PTC,2012-12,-67.00M,248.39M,97.07M,5.625M,294.15M,0.3,0.29,1.048B,0,222.68M,2012-12,0,35.81M,-1.80M,-1.80M,66.11M,56.23M,362.50M,29.26M,73.98M,12.05M,-23.76M,57.43M,319.75M,129.37M,825.96M,1.803B,1.199M,633.50M,453.32M,976.69M,1.169B,523.37M,193.42M,73.98M,221.69M
PTC,2012-09,-72.50M,489.54M,87.84M,7.50M,315.71M,-0.71,-0.71,796.23M,0,237.46M,2012-09,0,-83.98M,4.074M,4.074M,63.47M,44.07M,362.50M,57.60M,66.32M,56.16M,140.14M,52.13M,325.30M,122.86M,797.26M,1.792B,1.196M,879.15M,481.74M,994.38M,912.48M,512.63M,179.85M,66.32M,217.37M
PTC,2012-06,-71.98M,238.05M,92.85M,0,311.72M,0.19,0.19,799.74M,0,218.13M,2012-06,0,22.90M,-0.30M,-0.30M,61.85M,36.74M,140.00M,35.21M,74.81M,30.78M,7.884M,53.26M,310.98M,124.56M,863.00M,1.611B,1.188M,607.97M,482.30M,748.46M,1.003B,266.16M,182.92M,23.28M,203.26M
PTC,2012-03,-61.12M,224.11M,93.22M,0,328.49M,0.03,0.03,821.73M,0,207.91M,2012-03,0,3.569M,-3.00M,-3.00M,64.02M,37.87M,160.00M,27.70M,89.24M,3.936M,0.367M,54.58M,301.12M,120.50M,857.99M,1.659B,1.195M,631.26M,506.53M,800.62M,1.027B,294.09M,180.20M,35.06M,204.44M
PTC,2011-12,-69.69M,187.35M,98.22M,0,272.12M,0.19,0.18,822.07M,0,220.06M,2011-12,0,22.12M,-2.60M,-2.60M,62.16M,39.92M,200.00M,32.50M,85.15M,29.86M,7.739M,54.99M,318.28M,127.35M,847.73M,1.613B,1.186M,588.29M,428.39M,765.66M,1.025B,337.26M,187.55M,29.19M,221.44M
PTC,2011-09,-64.76M,167.88M,98.53M,0,284.38M,0.32,0.32,835.41M,0,240.90M,2011-09,0,37.62M,-0.366M,-0.366M,62.57M,40.31M,200.00M,51.25M,89.04M,47.66M,10.04M,55.73M,339.42M,128.47M,822.69M,1.630B,1.169M,592.26M,465.32M,806.99M,1.037B,341.67M,189.65M,28.87M,230.22M
PTC,2011-06,-41.80M,260.75M,90.41M,0,308.05M,0.13,0.13,851.88M,0,201.37M,2011-06,0,15.53M,0.20M,0.20M,60.70M,63.58M,250.00M,24.53M,90.45M,18.26M,2.733M,51.10M,291.78M,120.99M,802.14M,1.682B,1.175M,618.26M,485.23M,879.37M,1.063B,394.14M,176.84M,24.29M,186.87M
PTC,2011-03,-44.47M,259.50M,81.77M,0,294.42M,0.16,0.16,541.75M,0,187.42M,2011-03,0,19.02M,0.50M,0.50M,55.78M,27.05M,0,24.23M,70.92M,23.40M,4.387M,53.05M,269.19M,105.88M,803.03M,1.347B,1.188M,625.00M,437.71M,544.07M,722.10M,106.36M,163.19M,16.01M,178.56M
