Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables
AVB,2020-12,-40.25M,216.98M,213.14M,0,2.44,2.44,155.27M,342.66M,2020-12,341.13M,-51.59M,-51.59M,155.27M,7.746B,151.38M,642.24M,338.94M,-2.178M,555.80M,13.46M,10.75B,19.20B,1.395M,552.06M,642.55M,8.447B,18.65B,7.804B,191.29M,318.51M
AVB,2020-09,-42.62M,87.53M,212.84M,0,1.05,1.05,157.62M,354.56M,2020-09,147.70M,-53.25M,-53.25M,157.62M,7.747B,165.23M,667.59M,147.69M,-0.027M,567.40M,13.98M,10.67B,19.14B,1.398M,421.22M,667.59M,8.474B,18.72B,7.807B,189.33M,313.06M
AVB,2020-06,-46.32M,322.82M,198.10M,0,1.21,1.21,159.90M,378.30M,2020-06,170.83M,-53.40M,-53.40M,159.90M,7.814B,186.48M,603.68M,169.74M,-1.133M,576.40M,15.57M,10.87B,19.35B,1.407M,633.52M,603.68M,8.481B,18.72B,7.877B,191.82M,306.71M
AVB,2020-03,-47.16M,778.00M,199.02M,750.00M,1.19,1.19,162.34M,402.63M,2020-03,167.97M,-55.91M,-55.91M,162.34M,7.526B,207.40M,637.54M,168.10M,0.091M,601.65M,17.32M,10.91B,19.89B,1.407M,1.072B,1.388B,8.979B,18.82B,7.591B,195.23M,318.31M
AVB,2019-12,-31.50M,39.69M,190.39M,0,1.2,1.2,124.96M,403.18M,2019-12,167.65M,-54.19M,-54.19M,124.96M,7.437B,219.21M,628.72M,169.50M,1.825M,593.57M,12.60M,10.99B,19.12B,1.406M,326.81M,629.09M,8.131B,18.79B,7.502B,183.97M,307.55M
AVB,2019-09,-45.08M,246.42M,197.82M,0,2,2,121.22M,389.79M,2019-09,279.68M,-51.49M,-51.49M,121.22M,7.498B,211.56M,682.09M,290.89M,11.18M,587.61M,12.77M,10.81B,19.06B,1.397M,538.19M,682.09M,8.245B,18.52B,7.563B,178.23M,307.24M
AVB,2019-06,-33.18M,243.58M,195.11M,0,1.21,1.21,122.38M,382.15M,2019-06,168.28M,-50.01M,-50.01M,122.38M,7.490B,200.49M,624.60M,168.30M,0,577.26M,18.96M,10.75B,18.93B,1.397M,532.01M,625.14M,8.182B,18.40B,7.557B,181.66M,317.95M
AVB,2019-03,-31.91M,63.00M,184.78M,0,1.23,1.23,124.37M,381.40M,2019-03,170.37M,-47.89M,-47.89M,124.37M,7.181B,205.64M,660.59M,170.41M,-0.006M,566.18M,13.71M,10.73B,18.64B,1.394M,371.46M,661.62M,7.906B,18.27B,7.244B,175.76M,315.18M
AVB,2018-12,-26.14M,91.66M,191.10M,0,2.79,2.79,0,387.42M,2018-12,385.73M,-55.18M,-55.18M,0,7.040B,212.52M,645.52M,385.39M,-0.247M,578.52M,15.98M,10.63B,18.38B,1.385M,384.40M,645.67M,7.748B,18.00B,7.102B,174.90M,301.17M
AVB,2018-09,-21.24M,55.89M,193.47M,56.00M,1.39,1.39,0,382.52M,2018-09,192.49M,-54.10M,-54.10M,0,7.477B,211.23M,663.32M,192.44M,0.029M,575.98M,14.74M,10.40B,18.66B,1.382M,512.47M,720.36M,8.265B,18.15B,7.544B,171.28M,295.95M
AVB,2018-06,-22.71M,101.56M,190.83M,0,1.84,1.84,0,378.41M,2018-06,254.66M,-56.58M,-56.58M,0,7.571B,206.52M,633.43M,254.60M,0.058M,569.24M,15.21M,10.40B,18.67B,1.382M,603.37M,634.03M,8.273B,18.07B,7.639B,171.89M,296.27M
AVB,2018-03,-24.16M,137.24M,191.15M,242.00M,1.03,1.03,0,369.64M,2018-03,141.64M,-55.11M,-55.11M,0,7.599B,196.15M,645.91M,141.59M,0,560.79M,14.43M,10.34B,18.65B,1.382M,558.19M,647.16M,8.311B,18.09B,7.664B,173.49M,286.38M
AVB,2017-12,-37.42M,67.09M,178.78M,105.00M,1.72,1.72,0,376.51M,2017-12,237.57M,-52.52M,-52.52M,0,7.329B,204.52M,632.78M,237.52M,0.039M,555.29M,14.89M,10.39B,18.41B,1.381M,487.97M,632.78M,8.027B,17.93B,7.394B,171.99M,281.47M
AVB,2017-09,-40.86M,36.04M,187.29M,0,1.73,1.72,0,363.21M,2017-09,238.25M,-47.74M,-47.74M,0,6.886B,206.57M,647.89M,238.22M,0.024M,550.50M,11.66M,10.33B,18.18B,1.381M,527.71M,890.49M,7.844B,17.65B,6.954B,156.64M,280.42M
AVB,2017-06,-42.99M,53.48M,180.25M,0,1.2,1.2,0,350.26M,2017-06,165.22M,-50.10M,-50.10M,0,6.887B,194.87M,601.43M,165.25M,0.058M,530.51M,13.95M,10.28B,17.94B,1.381M,593.72M,706.56M,7.661B,17.35B,6.955B,155.39M,290.61M
AVB,2017-03,-28.61M,121.70M,175.97M,170.00M,1.72,1.72,0,346.35M,2017-03,235.88M,-49.30M,-49.30M,0,7.006B,192.52M,640.11M,235.80M,0.02M,522.33M,13.21M,10.27B,17.98B,1.378M,688.02M,640.11M,7.712B,17.29B,7.072B,153.83M,292.33M
AVB,2016-12,-30.51M,214.99M,169.44M,0,1.76,1.76,0,348.80M,2016-12,242.24M,-49.65M,-49.65M,0,7.031B,198.35M,599.38M,242.39M,0.21M,518.24M,10.43M,10.17B,17.87B,1.373M,618.98M,600.19M,7.696B,17.25B,7.096B,150.45M,286.40M
AVB,2016-09,-100.53M,65.90M,177.13M,0,2.6,2.59,0,339.08M,2016-09,356.39M,-47.87M,-47.87M,0,6.646B,195.43M,664.77M,356.35M,0.022M,516.21M,11.93M,10.04B,17.59B,1.373M,494.18M,838.62M,7.552B,17.09B,6.713B,143.66M,285.50M
AVB,2016-06,-103.00M,182.31M,170.01M,0,1.44,1.44,0,332.30M,2016-06,197.44M,-46.58M,-46.58M,0,6.834B,187.82M,634.95M,197.36M,0.036M,502.31M,12.01M,9.857B,17.40B,1.373M,530.73M,636.50M,7.539B,16.86B,6.902B,144.48M,286.24M
AVB,2016-03,-77.77M,97.54M,166.69M,0,1.73,1.73,0,341.80M,2016-03,237.93M,-43.41M,-43.41M,0,6.503B,203.18M,628.38M,237.91M,0.037M,508.50M,11.40M,9.847B,17.04B,1.372M,507.41M,628.38M,7.197B,16.54B,6.568B,138.62M,284.82M
AVB,2015-12,-31.39M,400.51M,158.24M,0,1.13,1.13,0,322.60M,2015-12,155.43M,-42.22M,-42.22M,0,6.457B,188.83M,570.15M,155.49M,0.135M,480.84M,11.51M,9.841B,16.93B,1.37M,734.50M,570.70M,7.091B,16.20B,6.520B,133.77M,270.06M
AVB,2015-09,-38.18M,318.56M,166.07M,0,1.54,1.53,0,309.29M,2015-09,206.14M,-43.23M,-43.23M,0,6.307B,178.64M,581.24M,206.12M,0.039M,475.36M,10.46M,9.829B,16.78B,1.369M,652.66M,581.24M,6.953B,16.13B,6.371B,130.65M,274.14M
AVB,2015-06,-39.52M,65.13M,157.98M,0,1.3,1.29,0,299.48M,2015-06,172.32M,-44.59M,-44.59M,0,6.487B,170.52M,558.21M,173.55M,1.293M,457.46M,10.34M,9.210B,16.32B,1.329M,406.63M,558.87M,7.110B,15.91B,6.551B,128.96M,275.27M
AVB,2015-03,-40.95M,194.93M,159.95M,0,1.57,1.56,0,282.41M,2015-03,208.14M,-45.57M,-45.57M,0,6.562B,155.09M,541.99M,208.07M,0.015M,442.37M,10.47M,9.098B,16.26B,1.322M,554.63M,542.72M,7.166B,15.71B,6.624B,127.32M,259.37M
AVB,2014-12,-42.52M,509.46M,152.57M,0,1.08,1.08,0,288.08M,2014-12,142.64M,-47.99M,-47.99M,0,6.490B,163.32M,540.88M,151.89M,0,440.65M,10.68M,9.046B,16.14B,1.32M,839.49M,542.88M,7.094B,15.30B,6.551B,124.76M,255.12M
AVB,2014-09,-44.07M,440.03M,150.21M,0,1.83,1.83,0,280.32M,2014-09,241.10M,-46.38M,-46.38M,0,6.242B,157.19M,530.52M,241.00M,0,430.52M,11.29M,9.045B,15.88B,1.32M,775.81M,532.11M,6.836B,15.11B,6.304B,123.13M,251.22M
AVB,2014-06,-45.62M,425.74M,143.50M,0,1.22,1.21,0,270.31M,2014-06,158.09M,-43.72M,-43.72M,0,6.255B,149.69M,516.52M,172.20M,0,413.81M,10.22M,8.822B,15.66B,1.311M,753.80M,516.52M,6.836B,14.90B,6.320B,120.62M,248.13M
AVB,2014-03,-47.06M,386.19M,143.03M,0,1.09,1.09,0,257.05M,2014-03,141.74M,-42.53M,-42.53M,0,6.382B,141.44M,518.88M,103.42M,0,400.08M,9.236M,8.603B,15.57B,1.296M,687.88M,518.88M,6.963B,14.88B,6.444B,115.60M,244.44M
AVB,2013-12,-48.63M,281.36M,139.37M,0,1.95,1.95,0,254.80M,2013-12,252.21M,-44.63M,-44.63M,0,6.134B,141.68M,516.30M,88.21M,0,394.17M,8.311M,8.596B,15.33B,1.294M,604.02M,532.15M,6.728B,14.72B,6.196B,113.12M,233.11M
AVB,2013-09,-50.09M,112.91M,139.04M,0,-0.08,-0.08,0,250.15M,2013-09,-10.72M,-43.94M,-43.94M,0,6.098B,80.40M,500.60M,-15.95M,0,389.19M,9.878M,8.470B,15.15B,1.294M,440.19M,508.87M,6.672B,14.70B,6.163B,169.75M,222.49M
AVB,2013-06,-105.04M,111.15M,128.88M,142.00M,0.28,0.28,9.892B,249.33M,2013-06,36.22M,-43.17M,-43.17M,7.879B,5.711B,48.01M,487.36M,0.334M,0,378.21M,11.34M,8.560B,14.97B,1.294M,417.43M,629.36M,6.408B,14.55B,5.779B,201.32M,223.44M
AVB,2013-03,-106.62M,447.46M,103.73M,0,0.63,0.63,9.554B,197.63M,2013-03,75.43M,-38.17M,-38.17M,7.606B,5.928B,82.03M,532.66M,-14.77M,0,301.36M,10.04M,8.655B,15.19B,1.294M,731.32M,532.66M,6.528B,14.46B,5.996B,115.60M,191.76M
AVB,2012-12,-108.01M,2.734B,87.41M,0,1.19,1.19,9.438B,163.11M,2012-12,122.36M,-36.12M,-36.12M,7.537B,3.851B,95.42M,413.68M,59.36M,0,250.52M,7.703M,6.837B,11.16B,1.144M,2.952B,424.18M,4.319B,8.208B,3.895B,67.70M,163.87M
AVB,2012-09,-110.79M,664.13M,92.95M,1.450B,0.89,0.89,9.083B,168.38M,2012-09,86.84M,-33.98M,-33.98M,7.257B,3.848B,97.25M,392.65M,82.41M,0,261.32M,8.372M,4.717B,8.969B,0.977M,713.98M,392.65M,4.240B,8.255B,3.848B,71.12M,145.97M
AVB,2012-06,-103.81M,358.26M,91.28M,1.450B,1.64,1.63,8.974B,161.17M,2012-06,156.91M,-33.19M,-33.19M,7.187B,1.912B,89.63M,420.42M,57.89M,0,252.44M,8.316M,4.579B,8.412B,0.966M,431.95M,1.870B,3.822B,7.980B,1.952B,71.54M,137.06M
AVB,2012-03,-76.01M,248.24M,88.21M,0,0.61,0.6,8.771B,157.82M,2012-03,57.76M,-33.63M,-33.63M,7.003B,1.930B,86.54M,391.26M,53.67M,0,246.03M,9.71M,4.383B,8.241B,0.953M,321.14M,1.841B,3.844B,7.920B,2.002B,71.28M,136.30M
AVB,2011-12,-87.02M,616.85M,69.39M,0,3.55,3.54,0,124.68M,2011-12,323.08M,-37.64M,-37.64M,0,3.599B,71.06M,401.53M,30.12M,0,194.06M,7.847M,4.395B,8.482B,0.952M,854.38M,438.27M,4.080B,7.628B,3.642B,53.62M,121.80M
AVB,2011-09,-80.87M,690.05M,92.01M,0,0.49,0.49,0,151.71M,2011-09,44.82M,-42.66M,-42.66M,0,3.823B,84.73M,379.91M,44.35M,0,243.72M,6.087M,4.149B,8.489B,0.95M,759.03M,379.91M,4.326B,7.730B,3.946B,66.98M,121.02M
AVB,2011-06,-20.60M,290.10M,87.22M,0,0.5,0.49,0,148.36M,2011-06,43.37M,-44.54M,-44.54M,0,3.986B,79.38M,433.28M,35.23M,0,235.58M,8.145M,3.475B,7.943B,0.887M,384.56M,433.28M,4.457B,7.558B,4.023B,68.98M,112.98M
AVB,2011-03,-1.259M,291.80M,87.91M,0,0.35,0.35,0,140.62M,2011-03,30.34M,-42.97M,-42.97M,0,4.037B,73.68M,381.68M,31.21M,0,228.53M,7.292M,3.417B,7.882B,0.873M,476.93M,381.68M,4.454B,7.405B,4.073B,66.94M,110.64M
