Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Receivables
USB,2021-03,-2.095B,199.50B,12.10B,1.45,1.45,13.37B,8.618B,2021-03,2.28B,297.08B,3.388B,37.42B,2.892B,607.00M,5.444B,2.235B,51.68B,553.38B,5.989B,199.50B,12.10B,501.07B,509.87B,471.18B,2.273B,13.71B
USB,2020-12,322.00M,199.02B,9.559B,0.95,0.95,12.78B,8.656B,2020-12,1.519B,285.45B,3.468B,41.30B,1.92B,395.00M,5.725B,2.05B,53.10B,553.90B,6.004B,212.72B,11.77B,500.18B,477.62B,471.07B,2.097B,14.06B
USB,2020-09,612.00M,177.48B,13.72B,0.99,0.99,12.54B,7.247B,2020-09,1.58B,293.14B,3.516B,42.44B,1.933B,347.00M,5.939B,2.094B,52.56B,540.46B,6.005B,191.54B,13.72B,487.26B,482.35B,455.66B,2.138B,14.05B
USB,2020-06,798.00M,179.50B,20.60B,0.41,0.41,12.36B,0,2020-06,689.00M,297.08B,3.616B,42.58B,759.00M,64.00M,5.814B,2.066B,51.85B,546.65B,6.005B,193.55B,20.60B,494.17B,480.21B,455.88B,2.109B,14.14B
USB,2020-03,503.00M,169.86B,26.34B,0.72,0.72,12.46B,0,2020-03,1.171B,302.57B,3.66B,52.30B,1.439B,260.00M,5.748B,2.046B,51.53B,542.91B,6.005B,184.00B,26.34B,490.75B,481.96B,447.15B,2.088B,14.18B
USB,2019-12,-1.373B,144.75B,21.73B,0.91,0.9,12.88B,0,2019-12,1.486B,283.48B,3.702B,40.17B,1.847B,354.00M,5.643B,2.029B,51.85B,495.43B,6.005B,158.93B,23.72B,442.94B,458.84B,402.08B,2.073B,14.05B
USB,2019-09,-1.173B,89.60B,14.58B,1.16,1.15,12.62B,0,2019-09,1.908B,281.11B,3.673B,41.27B,2.384B,467.00M,5.895B,2.028B,53.52B,487.67B,6.005B,103.65B,14.58B,433.52B,458.35B,400.99B,2.07B,14.00B
USB,2019-06,-1.344B,85.20B,15.03B,1.09,1.09,12.71B,0,2019-06,1.821B,277.82B,3.69B,41.01B,2.277B,449.00M,5.795B,1.999B,52.91B,481.72B,6.005B,99.20B,15.03B,428.18B,450.78B,394.18B,2.041B,14.13B
USB,2019-03,-1.773B,85.22B,15.40B,1.01,1,12.89B,0,2019-03,1.699B,272.30B,3.686B,40.68B,2.086B,378.00M,5.55B,1.981B,52.06B,475.78B,6.005B,99.34B,15.40B,423.09B,443.53B,388.77B,2.021B,14.14B
USB,2018-12,-2.322B,85.51B,11.10B,1.1,1.1,12.76B,0,2018-12,1.856B,270.75B,2.457B,41.34B,2.153B,291.00M,5.801B,1.991B,51.03B,467.37B,6.005B,99.65B,14.14B,415.72B,431.78B,386.82B,2.032B,0
