Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DUK,2020-12,-237.00M,259.00M,3.213B,7.111B,-0.13,-0.13,19.30B,157.13B,2.564B,2020-12,3.167B,-63.00M,-503.00M,-503.00M,108.31B,9.931B,56.96B,1.022B,4.163B,-319.00M,-162.00M,5.777B,47.96B,162.39B,1.963B,8.682B,16.30B,113.20B,153.71B,96.90B,1.542B,3.626B,3.153B
DUK,2020-09,-263.00M,308.00M,3.34B,8.094B,1.74,1.74,19.30B,155.52B,3.381B,2020-09,3.19B,1.304B,-522.00M,-522.00M,107.34B,9.859B,57.43B,1.84B,3.81B,1.339B,105.00M,6.721B,46.01B,161.41B,1.963B,8.679B,16.69B,114.11B,152.73B,97.42B,1.541B,3.254B,3.039B
DUK,2020-06,-183.00M,341.00M,2.761B,8.541B,-1.13,-1.13,19.30B,153.20B,2.66B,2020-06,3.289B,-802.00M,-554.00M,-554.00M,105.90B,9.662B,57.52B,1.176B,3.624B,-1.208B,-316.00M,5.421B,45.48B,160.05B,1.963B,9.237B,16.69B,113.44B,150.81B,96.75B,1.484B,3.055B,2.802B
DUK,2020-03,-193.00M,1.45B,2.985B,8.11B,1.24,1.24,19.30B,151.34B,2.964B,2020-03,3.324B,938.00M,-551.00M,-551.00M,104.74B,9.98B,57.72B,1.489B,3.428B,1.027B,137.00M,5.949B,46.92B,160.07B,1.963B,10.18B,15.17B,111.99B,149.89B,96.82B,1.475B,2.857B,2.637B
DUK,2019-12,-130.00M,311.00M,3.503B,6.276B,0.88,0.88,19.30B,149.56B,2.60B,2019-12,3.232B,674.00M,-516.00M,-516.00M,103.78B,9.502B,56.42B,1.121B,4.444B,709.00M,95.00M,6.103B,46.82B,158.84B,1.963B,9.163B,14.75B,110.89B,149.68B,96.14B,1.479B,3.879B,3.06B
DUK,2019-09,-153.00M,379.00M,3.51B,5.565B,1.82,1.82,19.30B,145.76B,3.43B,2019-09,3.107B,1.342B,-572.00M,-572.00M,100.62B,9.355B,56.27B,1.909B,4.217B,1.511B,188.00M,6.94B,46.44B,155.92B,1.964B,9.619B,13.39B,108.51B,146.30B,95.12B,1.521B,3.658B,3.077B
DUK,2019-06,-148.00M,336.00M,3.151B,6.491B,1.12,1.12,19.30B,143.42B,2.722B,2019-06,3.189B,832.00M,-542.00M,-542.00M,98.93B,9.101B,55.84B,1.299B,3.597B,889.00M,141.00M,5.873B,45.21B,153.45B,974.00M,9.509B,13.45B,108.12B,143.94B,94.67B,1.423B,3.033B,2.799B
DUK,2019-03,-128.00M,377.00M,3.355B,5.53B,1.24,1.24,19.30B,141.41B,2.808B,2019-03,3.102B,900.00M,-543.00M,-543.00M,97.42B,8.611B,55.17B,1.376B,3.552B,988.00M,95.00M,6.163B,45.03B,151.14B,975.00M,9.168B,12.28B,106.09B,141.97B,93.81B,1.432B,3.008B,2.756B
DUK,2018-12,-92.00M,442.00M,3.758B,6.816B,0.64,0.64,19.30B,134.82B,2.357B,2018-12,3.084B,464.00M,-524.00M,-524.00M,91.69B,8.374B,51.12B,936.00M,4.623B,433.00M,-1.00M,6.115B,43.82B,145.39B,1.00M,9.714B,15.04B,101.56B,135.68B,86.52B,1.421B,4.064B,3.134B
DUK,2018-09,-66.00M,303.00M,3.573B,6.346B,1.51,1.51,19.30B,133.06B,3.055B,2018-09,3.14B,1.082B,-517.00M,-517.00M,89.86B,8.304B,50.51B,1.693B,4.465B,1.23B,168.00M,6.628B,43.00B,143.16B,1.00M,9.52B,13.92B,100.15B,133.64B,86.23B,1.362B,3.908B,3.079B
DUK,2018-06,-70.00M,304.00M,3.207B,6.181B,0.71,0.71,19.40B,130.99B,2.436B,2018-06,3.177B,500.00M,-518.00M,-518.00M,88.50B,7.511B,49.86B,1.148B,3.71B,607.00M,100.00M,5.643B,42.51B,140.26B,1.00M,8.476B,12.79B,97.74B,131.78B,84.95B,1.288B,3.18B,2.817B
DUK,2018-03,-69.00M,421.00M,3.453B,6.92B,0.88,0.88,19.40B,129.68B,2.682B,2018-03,3.149B,620.00M,-515.00M,-515.00M,87.37B,7.392B,49.03B,1.399B,3.355B,803.00M,181.00M,6.135B,41.79B,138.54B,1.00M,8.279B,13.00B,96.74B,130.26B,83.74B,1.283B,2.813B,2.743B
DUK,2017-12,-67.00M,358.00M,3.286B,5.407B,1,1,19.40B,127.93B,2.513B,2017-12,3.25B,703.00M,-498.00M,-498.00M,86.39B,7.16B,49.04B,1.271B,4.119B,866.00M,161.00M,5.799B,41.74B,137.91B,1.00M,8.453B,12.48B,96.18B,129.46B,83.70B,1.242B,3.594B,2.774B
DUK,2017-09,-80.00M,282.00M,3.407B,4.384B,1.36,1.36,19.42B,126.02B,3.075B,2017-09,3.265B,954.00M,-498.00M,-498.00M,84.86B,15.59B,48.93B,1.862B,3.81B,1.321B,364.00M,6.482B,41.63B,136.32B,1.00M,7.706B,10.82B,94.68B,128.62B,83.86B,1.213B,3.272B,2.617B
