Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,2012-03,2011-12,2011-09,2011-06,2011-03
VTR,2016-12,-57.53M,286.71M,366.50M,146.54M,0,0.59,0.58,2.552B,0,509.21M,2016-12,207.64M,-107.74M,-107.74M,0,316.64M,10.98B,245.53M,991.69M,237.94M,-2.836M,875.71M,31.49M,10.46B,23.17B,88.51M,1.366B,1.140B,12.64B,21.80B,11.50B,263.68M,907.93M,944.10M,6.430B,5.974B,6.313B,5.007B,2.571B
VTR,2016-09,-49.61M,89.28M,362.09M,232.40M,0,0.43,0.42,2.575B,0,505.02M,2016-09,149.45M,-105.06M,-105.06M,0,315.71M,11.02B,265.07M,1.001B,141.91M,-8.537M,867.12M,31.57M,10.49B,23.43B,88.43M,1.423B,1.311B,12.86B,22.00B,11.54B,239.95M,930.10M,1.049B,164.98M,75.84M,235.83M,112.32M,109.96M
VTR,2016-06,-44.20M,57.32M,353.81M,212.38M,0,0.42,0.42,2.386B,0,494.60M,2016-06,143.16M,-103.66M,-103.66M,0,320.47M,10.69B,240.54M,815.44M,126.30M,-11.55M,848.40M,32.09M,9.690B,22.09B,85.25M,1.529B,1.117B,12.34B,20.56B,11.23B,254.06M,735.29M,1.211B,1.119B,1.123B,1.470B,427.71M,238.14M
VTR,2016-03,-19.93M,51.70M,359.67M,324.49M,0,0.44,0.44,2.400B,0,492.62M,2016-03,148.98M,-103.27M,-103.27M,0,333.35M,10.92B,224.50M,805.32M,114.92M,-8.421M,852.29M,31.73M,9.614B,22.26B,84.35M,1.388B,1.142B,12.59B,20.87B,11.45B,268.11M,738.33M,1.205B,58.07M,184.61M,88.28M,12.52M,45.25M
VTR,2015-12,-7.565M,53.02M,359.80M,180.68M,0,0.37,0.37,2.405B,0,481.47M,2015-12,124.73M,-103.69M,-103.69M,0,338.38M,11.03B,217.04M,860.24M,111.68M,-11.55M,841.27M,27.64M,9.564B,22.26B,83.58M,1.274B,1.075B,12.64B,20.99B,11.56B,264.43M,779.38M,1.050B,11.34M,-7.621M,-13.73M,-6.11M,-3.197M
VTR,2015-09,-0.592M,65.23M,354.26M,114.05M,0,0.07,0.07,2.412B,0,473.34M,2015-09,22.85M,-97.14M,-97.14M,0,352.66M,11.15B,214.90M,858.79M,34.54M,-10.70M,827.61M,32.11M,9.609B,22.41B,83.24M,1.222B,1.038B,12.74B,21.19B,11.71B,258.45M,791.43M,913.65M,566.42M,550.34M,555.38M,359.51M,268.43M
VTR,2015-06,10.18M,60.53M,348.43M,583.76M,0,0.45,0.45,2.518B,0,463.49M,2015-06,149.82M,-83.96M,-83.96M,0,370.16M,10.92B,214.82M,1.104B,114.78M,-9.789M,811.92M,33.96M,11.03B,24.28B,82.98M,1.290B,1.688B,13.18B,22.98B,11.49B,248.67M,1.026B,929.89M,22.20M,23.53M,20.62M,15.55M,14.83M
VTR,2015-03,4.357M,120.22M,347.72M,451.92M,0,0.37,0.37,2.428B,0,457.88M,2015-03,120.44M,-82.33M,-82.33M,0,371.78M,11.15B,207.34M,1.094B,89.25M,-7.25M,805.60M,34.33M,11.04B,24.44B,82.72M,1.424B,1.546B,13.33B,23.02B,11.78B,250.54M,1.017B,905.63M,9.187B,9.275B,9.246B,3.917B,2.643B
VTR,2014-12,13.12M,55.35M,319.90M,919.10M,0,0.37,0.36,1.338B,0,412.19M,2014-12,107.19M,-77.95M,-77.95M,0,344.34M,9.925B,166.03M,812.84M,71.88M,-13.55M,732.09M,28.11M,8.680B,21.17B,74.66M,3.627B,1.970B,12.41B,17.54B,10.44B,246.16M,750.66M,944.96M,17.19B,17.27B,17.21B,9.634B,5.694B
VTR,2014-09,16.16M,64.60M,311.10M,225.36M,0,0.37,0.37,1.503B,0,393.83M,2014-09,109.13M,-77.32M,-77.32M,0,361.45M,10.24B,191.36M,1.034B,85.97M,-1.887M,704.93M,29.46M,8.549B,20.65B,73.60M,867.71M,1.260B,12.03B,19.78B,10.77B,202.47M,965.24M,524.02M,72.27M,72.24M,72.02M,47.06M,40.82M
VTR,2014-06,26.26M,86.64M,290.38M,179.37M,0,0.47,0.47,1.482B,0,460.87M,2014-06,138.40M,-91.50M,-91.50M,0,256.39M,9.423B,238.74M,1.032B,130.21M,3.274M,751.25M,31.31M,8.655B,19.79B,73.60M,972.68M,1.211B,11.06B,18.82B,9.849B,222.12M,975.28M,519.95M,167.64M,594.48M,142.26M,90.96M,77.30M
VTR,2014-03,18.46M,59.79M,291.01M,559.30M,0,0.41,0.41,1.489B,0,450.46M,2014-03,121.05M,-87.84M,-87.84M,0,252.50M,8.922B,224.00M,999.18M,120.68M,3.433M,741.47M,32.87M,8.732B,19.70B,73.60M,794.21M,1.558B,10.89B,18.91B,9.334B,226.46M,938.10M,534.80M,1.390B,1.579B,1.470B,707.38M,476.28M
VTR,2013-12,19.66M,94.82M,291.71M,376.34M,0,0.37,0.37,1.487B,0,146.64M,2013-12,108.44M,-4.374M,-4.374M,0,250.17M,8.989B,10.44M,1.056B,-5.624M,1.272M,438.35M,30.33M,8.824B,19.73B,74.49M,840.42M,1.432B,10.83B,18.89B,9.395B,136.20M,1.002B,505.60M,7.820B,7.916B,7.783B,5.714B,3.048B
VTR,2013-09,21.29M,54.67M,286.53M,447.97M,0,0.4,0.4,1.490B,0,424.72M,2013-09,118.30M,-83.76M,-83.76M,0,248.37M,8.965B,219.02M,1.081B,124.99M,-2.78M,711.25M,28.66M,8.885B,19.88B,74.34M,830.35M,1.529B,10.91B,19.05B,9.386B,205.70M,1.019B,542.38M,17.02B,16.68B,17.06B,9.543B,5.617B
VTR,2013-06,19.75M,62.42M,271.16M,259.62M,265.12M,0.39,0.39,1.470B,19.37B,412.95M,2013-06,114.58M,-82.24M,-82.24M,16.92B,247.59M,8.160B,214.10M,938.17M,121.03M,-12.06M,684.11M,27.32M,8.926B,18.80B,74.25M,875.22M,1.198B,9.790B,17.92B,8.592B,198.85M,887.31M,605.12M,6.430B,6.337B,6.313B,5.007B,2.571B
VTR,2013-03,21.83M,57.69M,268.84M,164.73M,271.07M,0.38,0.38,1.465B,18.98B,414.07M,2013-03,112.19M,-78.63M,-78.63M,16.72B,261.12M,8.131B,209.83M,968.78M,123.27M,1.744M,682.91M,28.77M,8.915B,18.71B,73.97M,897.92M,1.134B,9.720B,17.81B,8.587B,204.24M,910.69M,618.32M,182.62M,260.56M,105.77M,95.06M,66.15M
VTR,2012-12,23.35M,67.91M,263.05M,540.73M,271.41M,0.29,0.29,1.497B,17.83B,391.09M,2012-12,86.27M,-74.69M,-74.69M,15.75B,259.72M,7.873B,187.89M,1.043B,98.65M,-3.555M,654.14M,23.02M,9.019B,18.98B,73.90M,1.041B,1.583B,9.891B,17.94B,8.307B,203.20M,995.16M,755.33M,1.061B,1.086B,1.404B,401.15M,203.59M
VTR,2012-09,23.63M,58.53M,253.94M,455.58M,279.67M,0.38,0.38,1.264B,17.76B,384.72M,2012-09,111.88M,-74.04M,-74.04M,16.00B,260.72M,7.495B,169.31M,1.105B,106.66M,-8.886M,638.66M,26.87M,9.358B,18.44B,73.90M,135.44M,1.370B,8.979B,18.31B,7.609B,215.41M,1.049B,309.46M,,,,,
