Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ABMD,2014-03,-0.73M,76.58M,10.11M,0,4.766M,0.09,0.09,37.99M,0,40.32M,2014-03,13.95M,3.622M,6.889M,6.415M,0,3.678M,12.88M,3.762M,0.14M,7.92M,50.43M,28.72M,168.35M,205.41M,0.411M,117.97M,30.41M,37.05M,87.44M,6.643M,36.64M,9.191M,24.36M
ABMD,2013-12,-0.62M,79.58M,9.458M,0,4.354M,0.11,0.11,38.03M,0,36.74M,2013-12,14.82M,4.393M,7.022M,6.234M,0,4.594M,10.68M,4.651M,0.258M,7.779M,46.20M,24.36M,160.46M,193.36M,0.409M,119.73M,26.44M,32.91M,73.64M,6.473M,32.14M,7.738M,22.96M
ABMD,2013-09,-1.406M,71.07M,9.027M,0,4.142M,0.03,0.03,37.35M,0,35.32M,2013-09,15.64M,1.059M,6.444M,6.007M,0,1.398M,10.95M,1.429M,0.37M,7.721M,44.34M,26.20M,150.70M,181.02M,0.406M,110.61M,24.05M,30.32M,70.40M,6.269M,33.92M,7.928M,21.12M
ABMD,2013-06,-3.232M,67.45M,8.723M,0,3.993M,-0.04,-0.04,35.93M,18.74M,33.95M,2013-06,16.51M,-1.723M,6.479M,5.781M,0,-1.307M,11.48M,-1.312M,0.411M,7.287M,42.67M,27.97M,141.30M,170.46M,0.401M,106.68M,23.09M,29.16M,63.78M,6.066M,35.25M,7.879M,20.98M
ABMD,2013-03,-3.737M,76.71M,8.826M,0,4.198M,0.1,0.09,35.41M,16.27M,34.85M,2013-03,14.93M,3.742M,6.549M,5.554M,0,4.132M,12.49M,4.14M,0.398M,6.822M,43.67M,23.89M,137.08M,170.00M,0.397M,116.60M,27.06M,32.92M,53.39M,5.863M,30.72M,9.803M,22.95M
ABMD,2012-12,-2.345M,85.74M,8.13M,0,3.10M,0.07,0.07,36.51M,14.32M,30.12M,2012-12,14.99M,2.684M,6.472M,5.344M,0,2.918M,10.90M,3.243M,0.559M,6.259M,38.25M,20.94M,136.04M,165.01M,0.397M,122.00M,23.29M,28.96M,43.01M,5.675M,27.20M,8.177M,19.92M
ABMD,2012-09,-3.492M,88.98M,7.194M,0,2.896M,0.14,0.13,35.51M,0,30.22M,2012-09,14.46M,5.469M,6.268M,5.117M,0,5.932M,9.703M,5.924M,0.455M,5.854M,37.42M,18.44M,140.67M,165.85M,0.397M,124.03M,19.70M,25.17M,41.81M,5.471M,24.29M,6.624M,18.80M
ABMD,2012-06,-4.342M,81.22M,7.446M,0,2.687M,0.08,0.08,34.74M,0,31.34M,2012-06,12.48M,3.119M,6.337M,4.89M,0,3.561M,10.57M,3.555M,0.436M,6.712M,38.78M,20.95M,130.52M,154.90M,0.395M,113.79M,19.12M,24.38M,41.11M,5.267M,27.78M,7.402M,18.34M
ABMD,2012-03,-1.765M,77.22M,6.786M,0,3.025M,0.07,0.07,36.85M,0,30.56M,2012-03,11.14M,2.567M,6.378M,4.799M,0,2.942M,9.392M,2.928M,0.361M,7.236M,37.34M,20.03M,126.30M,153.91M,0.393M,110.54M,22.42M,27.61M,43.37M,5.199M,27.62M,7.858M,20.46M
ABMD,2011-12,-3.036M,69.57M,6.279M,0,1.886M,0.08,0.07,36.23M,0,25.92M,2011-12,9.688M,2.921M,6.413M,4.565M,0,2.233M,8.532M,3.287M,0.366M,6.14M,32.20M,17.18M,117.78M,140.63M,0.39M,97.98M,17.86M,22.85M,42.64M,4.988M,23.69M,5.206M,17.30M
ABMD,2011-09,-0.829M,60.82M,5.551M,0,1.819M,0.02,0.02,38.41M,0,23.93M,2011-09,9.211M,0.601M,6.273M,4.332M,0,0.766M,13.62M,0.826M,0.225M,6.459M,29.48M,16.32M,111.40M,131.61M,0.386M,86.93M,15.43M,20.21M,44.68M,4.777M,23.16M,4.457M,15.49M
ABMD,2011-06,1.772M,59.13M,5.891M,0,1.715M,-0.12,-0.12,41.03M,0,21.46M,2011-06,8.879M,-4.594M,6.214M,4.106M,0,-4.421M,13.66M,-4.498M,0.096M,7.324M,27.36M,18.18M,111.18M,131.14M,0.385M,83.89M,15.38M,19.95M,47.24M,4.575M,25.88M,4.964M,14.54M
ABMD,2011-03,0.745M,60.31M,5.848M,0,1.982M,-0.05,-0.05,40.58M,0,22.68M,2011-03,7.505M,-1.772M,6.273M,4.01M,0,-1.411M,20.36M,-1.529M,0.243M,6.843M,28.53M,16.89M,104.74M,131.59M,0.377M,84.74M,22.34M,26.84M,46.85M,4.502M,24.09M,6.283M,15.38M
